Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
79.27,1.25948,-1.479612,-0.4769399,0.9802063,-0.04197326,-0.2552872,-43.88847,-28.63706,13.78314
79.28,0.767214200000001,-1.657669,-0.7817937,0.9866481,-0.04767729,-0.255297,-43.88847,-28.63706,13.78314
79.29,1.936346,-1.776374,-1.025677,0.9829186,-0.05717248,-0.2758668,-43.88847,-28.63706,13.78314
79.3,2.797811,-1.479612,-1.26956,0.9792146,-0.04176571,-0.2835215,-43.88847,-28.63706,13.78314
79.31,2.244012,-1.18285,-1.147618,0.9833155,-0.02662927,-0.2844898,-43.88847,-28.63706,13.78314
79.32,1.321013,-0.648678499999998,-0.903735200000002,0.9859793,-0.01307555,-0.2959837,-44.24749,-29.40059,13.78442
79.33,-0.03271778,-0.4706214,-0.7817937,0.9820466,-0.01118755,-0.2935844,-44.24749,-29.40059,13.78442
79.34,-0.7711166,0.1822547,-0.720822899999998,0.985614,-0.01929913,-0.2849742,-44.24749,-29.40059,13.78442
79.35,-0.7711166,0.5383689,-0.659852100000001,0.9866154,-0.02074155,-0.2854542,-44.24749,-29.40059,13.78442
79.36,-0.5249836,0.597721199999998,-0.4769399,0.9824458,-0.03186022,-0.2701296,-43.51543,-28.63098,14.17292
79.37,0.2134152,0.657073599999999,-0.5379106,0.9821306,-0.0411432,-0.2749124,-43.51543,-28.63098,14.17292
79.38,1.07488,0.716426,-0.659852100000001,0.9786481,-0.03732008,-0.2744287,-43.51543,-28.63098,14.17292
79.39,0.644147799999998,0.597721199999998,-0.720822899999998,0.9829226,-0.03140434,-0.2744377,-43.51543,-28.63098,14.17292
79.4,0.2749484,0.775778400000001,-0.903735200000002,0.9848356,-0.02938768,-0.270613,-43.51543,-28.63098,14.17292
79.41,-0.7711166,0.716426,-0.964705900000002,0.9773937,-0.02219734,-0.2653375,-43.89672,-28.31683,14.16845
79.42,-2.063314,0.2416071,-0.903735200000002,0.9837188,-0.02152941,-0.2591272,-43.89672,-28.31683,14.16845
79.43,-2.124848,0.06354995,-0.964705900000002,0.9864366,-0.03655745,-0.2610424,-43.89672,-28.31683,14.16845
79.44,-1.571049,0.004197581,-1.26956,0.9811771,-0.04205935,-0.2667747,-43.89672,-28.31683,14.16845
79.45,-0.4634504,-0.4706214,-1.452472,0.9837113,-0.04740728,-0.2725206,-43.89672,-28.31683,14.16845
79.46,0.3364816,-0.589326100000003,-2.06218,0.9781338,-0.03586804,-0.2739496,-43.52198,-28.31402,14.17123
79.47,0.2749484,-0.4706214,-2.06218,0.9789066,-0.02518399,-0.2763466,-43.52198,-28.31402,14.17123
79.48,-0.4634504,-0.5299737,-2.184121,0.9803147,-0.02219227,-0.2710855,-43.52198,-28.31402,14.17123
79.49,-1.201849,-0.648678499999998,-2.123151,0.9804948,-0.03198211,-0.2792191,-43.52198,-28.31402,14.17123
79.5,-1.140316,-0.589326100000003,-2.06218,0.9810205,-0.03384969,-0.2720409,-43.52198,-28.31402,14.17123
79.51,-1.571049,-0.5299737,-2.245092,0.982713,-0.02022305,-0.2734831,-43.51543,-28.63098,14.17292
79.52,-1.571049,-0.4706214,-2.306063,0.9823356,-0.02605303,-0.2725237,-43.51543,-28.63098,14.17292
79.53,-0.894183000000003,-0.648678499999998,-2.306063,0.981949,-0.03140164,-0.2720431,-43.51543,-28.63098,14.17292
79.54,-0.6480501,-0.648678499999998,-2.488975,0.9828506,-0.02748752,-0.2710886,-43.51543,-28.63098,14.17292
79.55,-0.832649800000001,-0.767383199999997,-2.306063,0.9848384,-0.0292999,-0.2610414,-43.51543,-28.63098,14.17292
79.56,-0.586516899999998,-1.004793,-2.428004,0.9863514,-0.03228216,-0.271572,-43.13282,-29.00853,14.17773
79.57,0.1518819,-0.5299737,-2.428004,0.9804028,-0.02714644,-0.2816131,-43.13282,-29.00853,14.17773
