Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
97.49,-0.781556599999999,0.736639399999999,0.3692269,0.9828836,-0.002352937,-0.232809,-35.93078,-33.49538,17.09291
97.5,-0.5354238,0.617934600000003,0.1253438,0.984383,-0.00421444,-0.2270682,-35.93078,-33.49538,17.09291
97.51,-0.1662243,0.3211728,-0.0575684599999997,0.9796771,-0.01302805,-0.2241863,-35.93078,-33.49538,17.09291
97.52,0.5721745,0.2024681,-0.1185392,0.9853946,-0.006111905,-0.224198,-35.93078,-33.49538,17.09291
97.53,1.06444,-0.2129985,-0.4843637,0.9993538,0.002823109,-0.2337962,-35.93078,-33.49538,17.09291
97.54,0.695240899999997,0.02441099,-0.606305300000001,0.9969644,0.000363738,-0.2318771,-35.93078,-33.49538,17.09291
97.55,0.756774200000002,-0.2129985,-0.4843637,0.9988289,0.004717027,-0.238103,-35.93078,-33.49538,17.09291
97.56,0.202975,-0.2129985,-0.3624223,0.9982511,0.009582574,-0.2361889,-35.93078,-33.49538,17.09291
97.57,-0.596956899999998,-0.1536461,-0.423393,0.993446,0.006151842,-0.229001,-35.93078,-33.49538,17.09291
97.58,-1.396889,-0.0942937400000001,-0.2404808,0.9876266,0.004535181,-0.2337762,-36.68813,-33.12066,17.08532
97.59,-1.827622,-0.1536461,-0.423393,0.9848495,-0.003307909,-0.2352051,-36.68813,-33.12066,17.08532
97.6,-1.458422,-0.450408,-0.3624223,0.985934,-0.009095854,-0.2328126,-36.68813,-33.12066,17.08532
97.61,-0.2277576,-0.3317032,-0.5453345,0.9889185,-0.01249989,-0.239517,-36.68813,-33.12066,17.08532
97.62,0.9413738,-0.3317032,-0.972129899999999,0.9935921,-0.00161595,-0.2285207,-36.68813,-33.12066,17.08532
97.63,1.310573,-0.3317032,-0.972129899999999,0.9965208,-0.002140529,-0.2390543,-36.30552,-33.4982,17.09013
97.64,1.43364,-0.2723508,-0.911159100000002,0.9896762,-0.0007477535,-0.2313855,-36.30552,-33.4982,17.09013
