Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
106.409400463,0.02271502,-0.1161073,-0.02145787,1.017038,-0.05272987,-0.07683978,-40.07508,-32.93517,4.545084
106.419398308,0.0841424299999999,0.002836477,-0.02135433,1.018435,-0.04930067,-0.0768431,-40.07508,-32.93517,4.545084
106.429396153,-0.1619802,0.002888829,-0.02130836,1.01304,-0.04749859,-0.08066276,-40.07508,-32.93517,4.545084
106.439394474,-0.2847853,0.0622002899999998,0.03967001,1.013013,-0.04601498,-0.07779165,-40.07508,-32.93517,4.545084
106.449392319,-0.2229716,0.1213813,0.03963933,1.013989,-0.04595623,-0.07348618,-40.07508,-32.93517,4.545084
106.459390164,-0.161139,0.1805999,0.2224061,1.012168,-0.05279099,-0.07300267,-40.44813,-32.94125,4.155302
106.469388485,-0.2839837,0.1803917,0.1002618,1.014548,-0.04985025,-0.07540045,-40.44813,-32.94125,4.155302
106.47938633,0.1469123,0.3581476,0.2220774,1.010769,-0.05628164,-0.07969939,-40.44813,-32.94125,4.155302
106.489384174,0.1466118,0.06095459,0.03911594,1.016007,-0.04988721,-0.08258163,-40.44813,-32.94125,4.155302
106.499382019,0.3923867,0.2387674,-0.0829130099999998,1.017498,-0.0512454,-0.07492666,-40.44813,-32.94125,4.155302
106.509380341,0.3303025,0.3570417,-0.02197213,1.011653,-0.05137405,-0.07635216,-40.08295,-32.55481,4.543056
106.519378185,0.3298876,0.4160202,0.03898793,1.009173,-0.0489407,-0.07060556,-40.08295,-32.55481,4.543056
106.52937603,-0.1009887,0.2968675,-0.0830408800000001,1.015964,-0.04740135,-0.0763607,-40.08295,-32.55481,4.543056
106.539374352,-0.4700032,0.3557165,-0.02208069,1.015569,-0.05224665,-0.07396589,-40.08295,-32.55481,4.543056
106.549372196,-0.2850064,0.355251,0.03880291,1.012616,-0.05091733,-0.0816183,-40.08295,-32.55481,4.543056
106.559370041,-0.2231732,0.2361188,-0.1441773,1.014648,-0.05521556,-0.07779212,-40.07508,-32.93517,4.545084
106.569367886,0.02320135,0.2950813,0.03876292,1.012165,-0.05288317,-0.08305274,-40.07508,-32.93517,4.545084
106.579365254,0.2077526,-0.002032489,0.1607323,1.010271,-0.05584061,-0.08352725,-40.07508,-32.93517,4.545084
106.589363575,0.146055,0.05722924,0.03866551,1.013111,-0.05142418,-0.08496906,-40.07508,-32.93517,4.545084
106.59936142,0.2073275,0.1164725,0.03854036,1.01406,-0.04987743,-0.07731391,-40.07508,-32.93517,4.545084
106.609359265,0.2071443,0.1163635,0.1603951,1.012076,-0.04797727,-0.0777895,-40.44027,-33.32161,4.15733
106.619357109,0.0839336799999998,0.1756815,0.2212219,1.012129,-0.05093134,-0.08209602,-40.44027,-33.32161,4.15733
106.629355431,0.08375096,-0.2992463,0.03807002,1.016955,-0.04837558,-0.07875507,-40.44027,-33.32161,4.15733
106.639353275,0.0837037400000001,0.05698285,0.0988589100000002,1.016981,-0.04987236,-0.08306191,-40.44027,-33.32161,4.15733
106.64935112,0.02216198,-0.06173754,0.0986390099999999,1.014132,-0.05380742,-0.08209877,-40.44027,-33.32161,4.15733
106.659349441,-0.03945705,-0.121031,0.159371,1.014499,-0.04752678,-0.08688679,-40.07339,-32.93843,4.158082
106.669347286,0.02206777,-0.239621,0.2201224,1.015603,-0.05424237,-0.07970835,-40.07339,-32.93843,4.158082
106.679345131,0.0835732800000002,-0.1206711,0.2199225,1.01609,-0.05424591,-0.08114492,-40.07339,-32.93843,4.158082
106.689342976,0.2065154,-0.1799279,0.03686806,1.009638,-0.04808245,-0.08400672,-40.07339,-32.93843,4.158082
106.699341297,0.2678279,-0.2390915,0.03687919,1.011055,-0.04557649,-0.0787455,-40.07339,-32.93843,4.158082
106.709339142,0.0829304299999999,-0.2981622,-0.02404214,1.012011,-0.04459888,-0.08018315,-40.07339,-32.93843,4.158082
106.719336986,-0.1631521,-0.2977691,-0.1459918,1.011644,-0.05087513,-0.07491655,-40.07339,-32.93843,4.158082
106.729335308,-0.2859556,-0.1786717,-0.02402008,1.011103,-0.04793507,-0.07108776,-40.07339,-32.93843,4.158082
106.739333153,-0.3470523,-0.2377251,0.2197399,1.006763,-0.05049438,-0.0758653,-40.07339,-32.93843,4.158082
106.749330997,-0.162036,-0.0592762199999998,0.0976755599999999,1.010219,-0.05285143,-0.07539213,-40.07339,-32.93843,4.158082
106.759328842,-0.03878538,-0.2370911,0.0975720099999999,1.015602,-0.05428626,-0.08449409,-39.69865,-32.93562,4.160863
106.769327164,0.2072996,0.0600430699999999,-0.0244346,1.018435,-0.04931384,-0.07827882,-39.69865,-32.93562,4.160863
106.779324532,0.2685725,-0.295811,-0.0243656,1.011074,-0.04654363,-0.0782667,-39.69865,-32.93562,4.160863
106.789322376,0.3912437,-0.2954954,-0.2072473,1.014026,-0.04788172,-0.07157144,-39.69865,-32.93562,4.160863
106.799320221,0.3908682,-0.2952361,-0.2070635,1.013493,-0.04547131,-0.07252828,-39.69865,-32.93562,4.160863
106.809318542,0.02150634,-0.2355874,-0.1459476,1.016424,-0.0459125,-0.07396901,-40.08295,-32.55481,4.543056
106.819316387,-0.1628884,0.001838338,-0.2676292,1.014052,-0.04936973,-0.07492114,-40.08295,-32.55481,4.543056
106.829314232,-0.2241398,0.001761477,-0.2673314,1.012617,-0.05088222,-0.0777897,-40.08295,-32.55481,4.543056
106.839312077,-0.162325,0.1203895,-0.1451881,1.011589,-0.04796495,-0.07539578,-40.08295,-32.55481,4.543056
106.849310398,-0.2236736,0.1201824,-0.2059574,1.014032,-0.0484421,-0.0797071,-40.08295,-32.55481,4.543056
106.859308243,-0.22347,0.1200127,-0.2667269,1.012149,-0.05184141,-0.07539576,-40.07339,-32.93843,4.158082
106.869306087,-0.1002968,0.1197688,0.03821301,1.01508,-0.05230894,-0.07970793,-40.07339,-32.93843,4.158082
106.879304409,0.0842936500000001,0.2976754,-0.1447473,1.011734,-0.05575907,-0.07778691,-40.07339,-32.93843,4.158082
106.889302254,-0.03895602,0.2379678,0.03807872,1.010688,-0.05185712,-0.07395748,-40.07339,-32.93843,4.158082
106.899300098,0.0840820799999998,0.296984,-0.02295901,1.013574,-0.04988267,-0.07683448,-40.07339,-32.93843,4.158082
106.909297943,0.0839378099999999,0.2965737,-0.0839583899999999,1.018059,-0.05511308,-0.07396949,-40.07339,-32.93843,4.158082
