Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
129.196490765,-2.230856,0.933775699999999,1.135428,0.9378878,0.02695046,-0.2990698,-41.2351,-27.80624,8.318336
129.206402779,-2.230856,0.700767799999999,0.951339199999998,0.9300023,0.03218602,-0.2989619,-41.2351,-27.80624,8.318336
129.216314793,-2.10698,0.5260119,0.6445247,0.9359186,0.02643119,-0.3009756,-40.49143,-27.43158,8.31329
129.226226807,-1.921166,0.46776,0.583161800000002,0.9344186,0.02590779,-0.3048065,-40.49143,-27.43158,8.31329
129.236138821,-1.239847,0.409508,0.5217989,0.9339823,0.02397784,-0.3019344,-40.49143,-27.43158,8.31329
129.246050835,-1.115971,0.5260119,0.583161800000002,0.9363887,0.02057389,-0.3096619,-40.49143,-27.43158,8.31329
129.255962849,-0.6204669,0.46776,0.6445247,0.9332708,0.02775838,-0.3191883,-40.49143,-27.43158,8.31329
129.265874863,-0.2488386,0.409508,0.460436,0.9298185,0.02818793,-0.3215543,-40.8673,-27.43344,7.865526
129.275785923,0.0608516599999998,0.293004,0.3377102,0.935732,0.02926096,-0.3158399,-40.8673,-27.43344,7.865526
129.285697937,0.3086039,0.351256,0.1536215,0.9312384,0.02964524,-0.3244387,-40.8673,-27.43344,7.865526
129.295609951,0.680232200000002,0.409508,0.03089567,0.9313114,0.02724421,-0.3201339,-40.8673,-27.43344,7.865526
129.305521965,0.804108299999999,0.46776,-0.03046724,0.9341965,0.02676782,-0.3254455,-40.8673,-27.43344,7.865526
129.315433979,0.866046300000002,0.5260119,0.0922585699999997,0.9326777,0.03111274,-0.3254026,-41.61582,-27.4335,7.869419
129.325345993,0.742170199999999,0.700767799999999,0.03089567,0.9282491,0.03348205,-0.3253458,-41.61582,-27.4335,7.869419
129.335258007,0.494418,0.700767799999999,0.0922585699999997,0.9268595,0.02618684,-0.3263419,-41.61582,-27.4335,7.869419
129.345169544,0.3086039,0.759019800000003,-0.03046724,0.9326626,0.02866585,-0.3297401,-41.61582,-27.4335,7.869419
129.355081558,0.3086039,0.759019800000003,0.03089567,0.9313274,0.01847207,-0.3288354,-41.61582,-27.4335,7.869419
129.367471695,0.3086039,0.875523700000001,-0.03046724,0.9327254,0.01845462,-0.3355706,-41.23186,-28.18266,7.86978
129.377383709,0.1847278,1.166783,-0.03046724,0.9296926,0.02470775,-0.3379017,-41.23186,-28.18266,7.86978
129.387294769,-0.1869005,1.283287,-0.1531931,0.9243048,0.02756245,-0.3354321,-41.23186,-28.18266,7.86978
129.397206783,-0.744343000000003,1.225035,-0.214556,0.9243026,0.02609788,-0.3373624,-41.23186,-28.18266,7.86978
129.407118797,-0.9301572,1.225035,-0.03046724,0.9212679,0.02795985,-0.3450045,-41.23186,-28.18266,7.86978
129.417030811,-1.239847,1.108532,-0.03046724,0.9246957,0.03288341,-0.3387613,-40.86868,-27.43501,7.480057
129.426942825,-1.4876,1.283287,0.0922585699999997,0.9248395,0.02661677,-0.3320822,-40.86868,-27.43501,7.480057
129.436854839,-1.549538,1.166783,-0.03046724,0.9238737,0.02807429,-0.3291826,-40.86868,-27.43501,7.480057
129.446766853,-1.673414,0.9920276,0.0922585699999997,0.9267611,0.02906248,-0.3325639,-40.86868,-27.43501,7.480057
129.456678867,-1.921166,0.875523700000001,-0.03046724,0.9287748,0.03204394,-0.3234396,-40.86868,-27.43501,7.480057
129.466590881,-2.045042,0.933775699999999,0.2149844,0.9273394,0.03106632,-0.3215122,-40.877,-26.68425,7.863218
129.476502419,-2.168918,0.933775699999999,0.1536215,0.9331959,0.03649994,-0.3162484,-40.877,-26.68425,7.863218
129.486414433,-2.10698,0.817271699999998,0.2149844,0.9396754,0.03030206,-0.3115481,-40.877,-26.68425,7.863218
129.49632597,-2.354732,0.933775699999999,0.1536215,0.9387854,0.02789652,-0.3057939,-40.877,-26.68425,7.863218
129.506237984,-2.292794,1.108532,0.3990731,0.9402337,0.02985646,-0.3053141,-40.877,-26.68425,7.863218
