Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
119.460024834,-0.9941163,3.053203,2.808889,0.9653024,-0.01902223,-0.2544947,-37.91837,-16.91237,15.71941
119.472414017,-0.932178300000002,4.159991,2.747526,0.9501503,-0.01530666,-0.2495282,-37.91837,-16.91237,15.71941
119.482325077,-0.870240200000003,4.451251,2.011171,0.9348263,-0.01411952,-0.2642635,-37.91837,-16.91237,15.71941
119.492236614,-1.056054,4.684258,1.704357,0.9347218,-0.01856419,-0.2796572,-37.91837,-16.91237,15.71941
119.502147675,-1.303807,4.74251,1.397542,0.9375606,-0.02052807,-0.2912203,-37.53789,-17.28537,16.10409
119.512059212,-1.17993,5.092022,1.397542,0.9360318,-0.02399334,-0.3013126,-37.53789,-17.28537,16.10409
119.521970272,-0.9941163,4.917266,1.397542,0.9383513,-0.01475956,-0.302713,-37.53789,-17.28537,16.10409
119.531881809,-0.5605499,4.626007,1.213453,0.9381536,-0.003155104,-0.3083958,-37.53789,-17.28537,16.10409
119.54179287,-0.3747357,3.926983,1.274816,0.9286739,0.004922586,-0.3173773,-37.53789,-17.28537,16.10409
119.551704407,-0.5605499,2.645439,1.029365,0.9329097,0.01952612,-0.3163589,-37.54274,-16.91077,16.10293
119.561615467,-1.241868,1.363896,0.722550199999998,0.932042,0.01566876,-0.3101345,-37.54274,-16.91077,16.10293
119.571527004,-1.303807,-0.03415086,0.783913100000002,0.92577,0.01026728,-0.3081918,-37.54274,-16.91077,16.10293
119.581439018,-2.232877,-1.723458,0.968001799999997,0.9297762,0.01182884,-0.2971748,-37.54274,-16.91077,16.10293
119.591350078,-2.914196,-3.063253,0.845276000000001,0.9347591,0.01388989,-0.2856834,-37.54274,-16.91077,16.10293
119.601261616,-3.595515,-4.053536,0.783913100000002,0.9368188,0.005187907,-0.2857604,-37.92322,-16.53778,15.71826
119.611172676,-3.533576,-4.577804,0.6611873,0.9473098,-0.007738307,-0.2792213,-37.92322,-16.53778,15.71826
119.621084213,-2.914196,-4.577804,0.6611873,0.9493796,-0.01399594,-0.2754409,-37.92322,-16.53778,15.71826
119.630995274,-1.613497,-4.927315,0.5384615,0.9515297,-0.01582165,-0.2586674,-37.92322,-16.53778,15.71826
119.640906811,-0.4366738,-4.869063,0.3543728,0.9555162,-0.01427028,-0.2495709,-37.92322,-16.53778,15.71826
119.650817871,0.678211099999999,-4.461299,0.04755823,0.9584463,-0.009845227,-0.244767,-36.80045,-16.53769,15.71242
119.660729408,1.421468,-4.17004,-0.0751675899999998,0.9643852,-0.009246798,-0.2371354,-36.80045,-16.53769,15.71242
119.670640469,1.793096,-4.286544,-0.0751675899999998,0.9560357,-0.006931163,-0.238003,-36.80045,-16.53769,15.71242
119.680552006,2.164724,-4.228292,-0.3819821,0.9677845,0.0005399769,-0.2279786,-36.80045,-16.53769,15.71242
119.690463066,2.660229,-3.529269,-0.6274338,0.964898,-0.0009355496,-0.2250808,-36.80045,-16.53769,15.71242
119.700374603,3.155733,-3.412765,-0.688796699999998,0.9600374,0.002432944,-0.2182912,-37.15878,-17.65993,16.10329
119.710285664,3.279609,-3.87878,-0.811522500000001,0.9546562,0.009681353,-0.2100305,-37.15878,-17.65993,16.10329
119.720197201,3.155733,-4.519552,-0.872885399999999,0.9609158,0.01117391,-0.2177609,-37.15878,-17.65993,16.10329
119.730108261,2.846043,-4.927315,-0.872885399999999,0.9630092,0.005416356,-0.2110964,-37.15878,-17.65993,16.10329
119.740019798,2.907981,-4.636055,-0.995611200000002,0.9718712,0.003606873,-0.2073492,-37.15878,-17.65993,16.10329
119.752408981,2.969919,-4.17004,-0.688796699999998,0.9747363,0.006046891,-0.2112007,-37.53789,-17.28537,16.10409
119.762320042,3.155733,-3.412765,-0.688796699999998,0.9747861,0.01095087,-0.200605,-37.53789,-17.28537,16.10409
119.772231579,2.598291,-2.713741,-0.5660709,0.9679103,0.01475184,-0.1990756,-37.53789,-17.28537,16.10409
119.782142639,2.412477,-2.422481,-0.6274338,0.9728466,0.01288614,-0.1967329,-37.53789,-17.28537,16.10409
119.792054176,2.102786,-1.898214,-0.811522500000001,0.9767454,0.01146505,-0.1996594,-37.53789,-17.28537,16.10409
