Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,0.1847278,-3.726381,0.2149844,0.99266,-0.008448012,-0.2445939,-29.01543,-27.48782,24.89367
57.183093071,3.901011,0.351256,-1.441814,0.9839893,-0.07019324,-0.2564489,-29.48054,-24.22594,28.67638
57.193002701,2.66225,0.1765001,-1.257725,0.9774435,-0.06256645,-0.2659407,-29.48054,-24.22594,28.67638
57.202912331,2.166745,0.001744238,-1.135,0.9769578,-0.06696114,-0.2707671,-29.48054,-24.22594,28.67638
57.215298653,2.228683,-0.05650773,-1.135,0.9746146,-0.07132916,-0.2659729,-29.48054,-24.22594,28.67638
57.225208759,1.795117,0.1765001,-1.012274,0.9804328,-0.06640325,-0.2650336,-29.85965,-23.85137,28.67717
57.235117912,2.042869,0.9920276,-1.073637,0.9843745,-0.06975333,-0.2660527,-29.85965,-23.85137,28.67717
57.245027542,2.724188,1.341539,-1.012274,0.9817951,-0.05765878,-0.2649879,-29.85965,-23.85137,28.67717
57.254937172,2.66225,1.283287,-0.8895479,0.988264,-0.06337442,-0.2607644,-29.85965,-23.85137,28.67717
57.264846802,1.361551,1.632799,-0.5827335,0.9838763,-0.06732524,-0.2641113,-29.85965,-23.85137,28.67717
57.274755955,0.3086039,1.807555,-0.1531931,0.977968,-0.07132232,-0.2727261,-29.48677,-23.85291,28.28975
57.284666061,-0.001086392,1.399791,0.3990731,0.9760264,-0.07085163,-0.2707843,-29.48677,-23.85291,28.28975
57.294575214,-0.001086392,1.341539,0.5217989,0.9681356,-0.07342371,-0.2803317,-29.48677,-23.85291,28.28975
57.304484367,0.43248,1.341539,0.5831618,0.9616357,-0.07211452,-0.292747,-29.48677,-23.85291,28.28975
57.314394474,0.8041083,1.108532,0.5217989,0.956182,-0.07075751,-0.2984494,-29.48677,-23.85291,28.28975
57.324303627,1.175737,0.9337757,0.1536215,0.9566117,-0.06248958,-0.294557,-29.47084,-24.97513,28.67868
