Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
31.79,0.1227897,-0.1730116,-0.2759189,0.3829763,-0.04155626,0.9156045,-10.36152,-26.61842,-22.74858
31.8,0.1227897,-0.639027300000002,-0.3372818,0.3801236,-0.04545321,0.9189661,-10.36152,-26.61842,-22.74858
31.81,0.0608516599999998,-0.580775400000001,-0.4600076,0.3831312,-0.05659758,0.9131021,-10.36152,-26.61842,-22.74858
31.82,0.3086039,-0.580775400000001,-0.644096300000003,0.3851583,-0.06092623,0.9149751,-10.36152,-26.61842,-22.74858
31.83,0.2466658,-0.639027300000002,-0.766822200000002,0.3847113,-0.0570081,0.9236482,-9.23737,-26.61676,-22.36895
31.84,0.3086039,-0.8720351,-0.705459200000001,0.3862086,-0.06038852,0.9226516,-9.23737,-26.61676,-22.36895
31.85,0.1847278,-0.930287099999998,-0.705459200000001,0.3876832,-0.05939054,0.9245652,-9.23737,-26.61676,-22.36895
31.86,0.680232200000002,-1.046791,-0.828185100000001,0.3896276,-0.06132325,0.9211733,-9.23737,-26.61676,-22.36895
31.87,1.05186,-1.221547,-0.889547900000002,0.3905942,-0.05790227,0.9240681,-9.23737,-26.61676,-22.36895
31.88,1.485427,-1.163295,-0.828185100000001,0.3958238,-0.05205872,0.9163761,-9.993722,-26.24562,-23.20139
31.89,1.423489,-1.163295,-0.766822200000002,0.3963122,-0.04912606,0.9197522,-9.993722,-26.24562,-23.20139
31.9,1.175737,-1.105043,-0.705459200000001,0.3996069,-0.04378395,0.9135152,-9.993722,-26.24562,-23.20139
31.91,0.866046300000002,-0.988539100000001,-0.4600076,0.4045486,-0.04320786,0.9192352,-9.993722,-26.24562,-23.20139
31.92,0.680232200000002,-0.930287099999998,-0.214556,0.4044105,-0.03742601,0.9125528,-9.993722,-26.24562,-23.20139
31.93,0.742170199999999,-0.580775400000001,0.03089567,0.4048718,-0.03304406,0.9149786,-10.36152,-26.61842,-22.74858
31.94,0.618294100000002,-0.4642715,0.2149844,0.4028861,-0.02723046,0.9188769,-10.36152,-26.61842,-22.74858
31.95,0.3086039,-0.1147597,0.3377102,0.4047774,-0.0243127,0.9159979,-10.36152,-26.61842,-22.74858
31.96,0.1227897,0.1182482,0.5217989,0.3994048,-0.02437695,0.9165273,-10.36152,-26.61842,-22.74858
31.97,0.1227897,0.409508,0.6445247,0.4042787,-0.01895802,0.92132,-10.36152,-26.61842,-22.74858
31.98,-0.1869005,0.759019800000003,0.583161800000002,0.4012787,-0.01463896,0.919936,-10.73739,-26.62028,-23.19635
31.99,-0.3727147,0.700767799999999,0.5217989,0.3988406,-0.01271487,0.9228523,-10.73739,-26.62028,-23.19635
32,-0.682404900000003,0.817271699999998,0.460436,0.3919698,-0.00891135,0.9248618,-10.73739,-26.62028,-23.19635
32.01,-0.744343000000003,0.933775699999999,0.3377102,0.3929622,-0.008891562,0.9262933,-10.73739,-26.62028,-23.19635
32.02,-0.682404900000003,0.875523700000001,0.2763473,0.3895367,-0.01771639,0.9157027,-10.73739,-26.62028,-23.19635
32.03,-0.744343000000003,0.933775699999999,0.3377102,0.3886319,-0.02012957,0.9200164,-10.73739,-26.62028,-23.19635
32.04,-0.9301572,0.759019800000003,0.2763473,0.3885905,-0.01624868,0.9205228,-10.73739,-26.62028,-23.19635
32.05,-1.177909,0.700767799999999,0.3377102,0.3901587,-0.02349471,0.9219005,-10.73739,-26.62028,-23.19635
