Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
99.357368469,0.609072900000002,0.3303417,-0.3460783,0.9886481,-0.1383901,-0.06140684,-41.54746,-30.95476,7.844727
99.367225647,0.671188799999999,0.2708328,-0.4686843,0.9891871,-0.1398362,-0.05903073,-41.54746,-30.95476,7.844727
99.377083302,0.546957,0.2113238,-0.2847753,0.9895982,-0.1354601,-0.06091645,-41.17252,-30.58469,8.287122
99.386941433,1.168116,0.5683774,-0.4073813,0.992079,-0.1378696,-0.06049294,-41.17252,-30.58469,8.287122
99.399263382,1.043884,0.2113238,-0.4686843,0.9930028,-0.1437352,-0.0696604,-41.17252,-30.58469,8.287122
99.409121037,0.9817684,0.0923059800000003,-0.2234723,0.9999362,-0.1382799,-0.0586916,-41.17252,-30.58469,8.287122
99.418979168,0.546957,0.2113238,-0.0395633,0.995452,-0.1324834,-0.05953716,-41.17252,-30.58469,8.287122
99.428836346,0.2363774,-0.0267119,-0.1008663,0.9915444,-0.1334929,-0.05996919,-41.92119,-30.95045,7.846659
99.438694477,-0.3226659,0.2708328,-0.1008663,0.9910979,-0.139832,-0.06241232,-41.92119,-30.95045,7.846659
99.448552132,-0.5090136,0.2708328,0.0830427000000003,0.9876121,-0.1379269,-0.06522176,-41.92119,-30.95045,7.846659
99.458410263,-0.6332454,0.0923059800000003,-0.1621693,0.9862099,-0.1379213,-0.06040973,-41.92119,-30.95045,7.846659
99.468267441,-0.5090136,0.1518149,0.0830427000000003,0.9855386,-0.1335835,-0.06994754,-41.92119,-30.95045,7.846659
99.478125572,-0.5711295,0.3303417,0.2056487,0.9847513,-0.1408611,-0.06233055,-41.91998,-30.57606,8.290985
99.487983227,-0.3226659,0.5088685,0.2669517,0.9863118,-0.1437509,-0.05806439,-41.91998,-30.57606,8.290985
99.497841358,0.1121456,0.4493596,0.2056487,0.9872155,-0.1369284,-0.05754049,-41.91998,-30.57606,8.290985
99.507698536,0.484841,0.4493596,0.3282547,0.9828203,-0.1369652,-0.05699896,-41.91998,-30.57606,8.290985
99.517556667,0.4227251,0.5088685,0.2669517,0.9837832,-0.1384257,-0.059421,-41.91998,-30.57606,8.290985
99.527414322,0.8575366,0.746904300000001,0.4508607,0.9915364,-0.1388656,-0.06528561,-41.92319,-30.5823,7.842888
99.537272453,0.919652500000003,0.627886399999999,0.4508607,0.9940094,-0.1334658,-0.0585665,-41.92319,-30.5823,7.842888
99.547129631,0.733304700000002,0.687395300000001,0.3282547,0.9914374,-0.1310823,-0.06569771,-41.92319,-30.5823,7.842888
99.556987762,0.3606092,0.4493596,0.3895577,0.9881966,-0.134966,-0.05562111,-41.92319,-30.5823,7.842888
99.569309711,0.1742615,0.3303417,0.1443457,0.9920674,-0.1368965,-0.06048457,-41.92319,-30.5823,7.842888
99.579167366,0.05002963,0.0923059800000003,0.0217397,0.9877914,-0.1442227,-0.05761026,-41.17574,-30.59093,7.839025
99.589025497,0.1742615,0.1518149,0.3282547,0.99222,-0.1436881,-0.05527286,-41.17574,-30.59093,7.839025
99.598883629,0.3606092,0.3303417,0.2669517,0.9895844,-0.1359522,-0.06235801,-41.17574,-30.59093,7.839025
99.608740806,0.609072900000002,0.2708328,0.2669517,0.9861693,-0.1389093,-0.0642511,-41.17574,-30.59093,7.839025
99.618598461,0.484841,0.3303417,0.4508607,0.9832876,-0.1384318,-0.05989319,-41.17574,-30.59093,7.839025
99.628456592,0.2363774,0.0923059800000003,0.2056487,0.9842311,-0.1355038,-0.05988193,-41.92119,-30.95045,7.846659
99.638314724,-0.01208629,0.2708328,0.2669517,0.9895641,-0.1364463,-0.06427869,-41.92119,-30.95045,7.846659
99.648171902,-0.1363181,0.3898506,0.2056487,0.9905504,-0.1310649,-0.05897613,-41.92119,-30.95045,7.846659
99.658029556,-0.5711295,0.5683774,0.5121637,0.9857029,-0.1325602,-0.05700286,-41.92119,-30.95045,7.846659
99.667887688,-0.695361299999997,0.5088685,0.1443457,0.993565,-0.1383396,-0.05955969,-41.92119,-30.95045,7.846659
99.677744865,-0.3847818,0.3898506,0.3282547,0.9911883,-0.1402944,-0.05618792,-41.54624,-30.58038,8.289053
99.687602997,-0.1363181,0.5683774,0.3895577,0.9906088,-0.1442303,-0.06627607,-41.54624,-30.58038,8.289053
99.697460651,0.1742615,0.4493596,0.3282547,0.9877068,-0.1398528,-0.05996817,-41.54624,-30.58038,8.289053
99.707318783,0.546957,0.2708328,0.5121637,0.9871714,-0.1403586,-0.0637984,-41.54624,-30.58038,8.289053
99.71717596,0.546957,0.2113238,0.3282547,0.9940202,-0.1393214,-0.06292886,-41.54624,-30.58038,8.289053
99.727034092,0.484841,0.03279705,0.3895577,0.9974337,-0.1373413,-0.0620024,-41.91918,-31.31859,7.85043
99.739356518,0.484841,0.0923059800000003,0.696072600000001,0.9959677,-0.1407714,-0.06488565,-41.91918,-31.31859,7.85043
99.749213695,0.2984933,-0.0267119,0.757375699999999,0.9940934,-0.1339301,-0.05282122,-41.91918,-31.31859,7.85043
99.759071827,0.1121456,0.03279705,0.757375699999999,0.9882096,-0.1393564,-0.05853355,-41.91918,-31.31859,7.85043
99.768929481,-0.01208629,-0.1457298,0.634769699999997,0.9906515,-0.137383,-0.05711409,-41.91918,-31.31859,7.85043
99.778787136,-0.01208629,-0.1457298,0.573466700000002,0.984786,-0.1393865,-0.05848501,-41.92119,-30.95045,7.846659
99.788644791,0.1121456,-0.3242566,0.573466700000002,0.9886618,-0.1378979,-0.05996528,-41.92119,-30.95045,7.846659
99.798502922,0.484841,-0.2647476,0.5121637,0.9818139,-0.1384466,-0.06035151,-41.92119,-30.95045,7.846659
99.808360577,0.609072900000002,-0.1457298,0.5121637,0.9823377,-0.1413618,-0.06038358,-41.92119,-30.95045,7.846659
99.818218231,0.9817684,-0.2052387,0.4508607,0.9846762,-0.1345356,-0.0622761,-41.92119,-30.95045,7.846659
99.828075886,1.043884,-0.3837655,0.4508607,0.9881107,-0.131573,-0.05894565,-41.92319,-30.5823,7.842888
99.837934017,0.8575366,-0.2647476,0.3895577,0.9847442,-0.1325633,-0.05555163,-41.92319,-30.5823,7.842888
99.847791672,0.546957,-0.4432744,0.2669517,0.9895259,-0.1315749,-0.06279943,-41.92319,-30.5823,7.842888
99.857649326,-0.01208629,-0.5027834,0.4508607,0.9847189,-0.1320823,-0.05698481,-41.92319,-30.5823,7.842888
99.867506981,-0.3226659,-0.3837655,0.3282547,0.9861644,-0.1335402,-0.05989291,-41.92319,-30.5823,7.842888
99.877365112,-0.6332454,-0.3837655,0.4508607,0.9857382,-0.1393853,-0.06041536,-42.294,-31.62641,7.47142
99.887222767,-0.695361299999997,-0.621801299999999,0.3895577,0.9852809,-0.1398688,-0.05849613,-42.294,-31.62641,7.47142
99.897080421,-0.3847818,-0.621801299999999,0.0830427000000003,0.9882747,-0.1393378,-0.05374232,-42.294,-31.62641,7.47142
99.906938076,0.05002963,-0.621801299999999,-0.0395633,0.9862648,-0.1403467,-0.05851419,-42.294,-31.62641,7.47142
99.919260025,0.1742615,-0.621801299999999,-0.0395633,0.9872525,-0.1339885,-0.05224501,-42.294,-31.62641,7.47142
99.929118156,-0.0742022000000002,-0.5027834,-0.1621693,0.9852252,-0.1379317,-0.06087498,-42.29768,-30.95148,7.464508
99.938975811,-0.2605499,-0.5622923,-0.2847753,0.9905417,-0.132532,-0.06090519,-42.29768,-30.95148,7.464508
99.948833942,-0.3847818,-0.3837655,-0.1008663,0.9929761,-0.135443,-0.06431885,-42.29768,-30.95148,7.464508
99.95869112,-0.4468977,-0.2647476,-0.2847753,0.9901899,-0.136403,-0.05422405,-42.29768,-30.95148,7.464508
99.968549252,-0.2605499,-0.4432744,-0.3460783,0.9900193,-0.1330341,-0.06377718,-42.29768,-30.95148,7.464508
99.978406906,-0.0742022000000002,-0.3242566,-0.4686843,0.9935484,-0.1407855,-0.0629345,-41.92796,-30.2195,7.455035
99.988265038,0.1742615,-0.2647476,-0.5299873,0.994018,-0.1407867,-0.0643788,-41.92796,-30.2195,7.455035
99.998122215,0.2984933,-0.3837655,-0.4073813,0.9944746,-0.1320036,-0.05903999,-41.92796,-30.2195,7.455035
100.007980347,0.3606092,-0.3242566,-0.7138963,0.9916282,-0.1383512,-0.05809459,-41.92796,-30.2195,7.455035
100.017838001,0.3606092,-0.3837655,-0.4073813,0.9915819,-0.1388527,-0.06193176,-41.92796,-30.2195,7.455035
100.027696133,0.2984933,-0.5622923,-0.2234723,0.9930853,-0.1407823,-0.06101107,-41.92119,-30.95045,7.846659
100.03755331,-0.0742022000000002,-0.681310200000002,-0.5299873,0.9906754,-0.1388408,-0.05664754,-41.92119,-30.95045,7.846659
100.047411442,-0.3226659,-0.3242566,-0.2234723,0.9896661,-0.1378818,-0.05806266,-41.92119,-30.95045,7.846659
100.057269096,-0.198434,-0.2647476,-0.2847753,0.9916572,-0.1363901,-0.05424486,-41.92119,-30.95045,7.846659
100.067127228,-0.0742022000000002,0.03279705,-0.4073813,0.9886329,-0.1398591,-0.06381501,-41.92119,-30.95045,7.846659
100.076984406,-0.198434,-0.0862208400000001,-0.652593299999999,0.9895569,-0.1369365,-0.06524112,-41.54624,-30.58038,8.289053
100.089306831,-0.198434,-0.0267119,-0.591290299999998,0.9935708,-0.1388261,-0.05956388,-41.54624,-30.58038,8.289053
100.099164486,-0.2605499,-0.0862208400000001,-0.5299873,0.9930181,-0.1378721,-0.06338155,-41.54624,-30.58038,8.289053
100.109022141,-0.2605499,0.03279705,-0.652593299999999,0.9921136,-0.1407891,-0.06051808,-41.54624,-30.58038,8.289053
100.118880272,-0.5090136,-0.1457298,-0.591290299999998,0.9907281,-0.1471257,-0.06007261,-41.54624,-30.58038,8.289053
100.128737927,-0.3847818,-0.0267119,-0.4686843,0.98729,-0.1393483,-0.05420758,-41.55022,-30.96011,7.460644
