Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
30.26,0.1661467,-4.331164,3.31805,1.034171,0.03032416,0.05293845,-42.71236,-36.05162,6.622728
30.27,1.408465,-3.97411,2.70502,1.01608,0.02918988,0.05270753,-42.71236,-36.05162,6.622728
30.28,2.215972,-3.260003,1.724172,1.002766,0.02611335,0.04232893,-43.09087,-35.6845,6.236806
30.29,4.327913,-2.367369,0.620718400000002,0.9910664,0.02113868,0.04101611,-43.09087,-35.6845,6.236806
30.3,6.00504300000001,-1.77228,-0.05361458,0.9915656,0.02358702,0.04390485,-43.09087,-35.6845,6.236806
30.31,6.50197000000002,-0.820136700000001,-0.6666446,0.9925576,0.02848184,0.04920322,-43.09087,-35.6845,6.236806
30.32,6.25350600000003,-0.04652058,-1.524887,0.9984919,0.03734018,0.06165258,-43.09087,-35.6845,6.236806
30.33,5.011188,0.965131299999997,-1.770099,1.011219,0.0359905,0.0609806,-42.71282,-35.37045,7.063912
30.34,4.017333,1.798256,-1.831402,1.018417,0.04773295,0.06097712,-42.71282,-35.37045,7.063912
30.35,1.905392,2.333837,-1.708796,1.022825,0.04777355,0.06139382,-42.71282,-35.37045,7.063912
30.36,0.1040308,2.869417,-1.58619,1.036647,0.03718935,0.06110751,-42.71282,-35.37045,7.063912
30.37,-0.889823900000002,3.345489,-1.157069,1.030231,0.03369949,0.0539815,-42.71282,-35.37045,7.063912
30.38,-1.200403,3.404998,-0.850553500000001,1.017483,0.03406673,0.05224949,-42.71282,-35.37045,7.063912
30.39,-0.951939799999999,3.464506,-0.727947499999999,1.005288,0.02078622,0.04320643,-42.71282,-35.37045,7.063912
30.4,0.3524944,3.345489,-0.2988266,0.9936853,0.01095692,0.04472645,-42.71282,-35.37045,7.063912
30.41,2.464436,2.274328,-0.2988266,0.9774505,0.01274076,0.03970169,-42.71282,-35.37045,7.063912
30.42,3.830986,1.679239,-0.3601296,0.971099,0.01708072,0.04414164,-42.71282,-35.37045,7.063912
30.43,5.445999,0.9056224,-0.1762206,0.9637598,0.01945647,0.04618309,-43.45585,-35.66326,7.455
30.44,5.75657900000002,0.01298836,-0.1762206,0.9687918,0.02246911,0.05907518,-43.45585,-35.66326,7.455
30.45,6.06715799999999,-0.1060295,-0.05361458,0.9823563,0.03573468,0.0609106,-43.45585,-35.66326,7.455
30.46,6.06715799999999,-0.3440652,0.0689914200000002,0.9957111,0.06114614,0.05805953,-43.45585,-35.66326,7.455
30.47,4.452145,-0.4630831,0.0689914200000002,0.9971412,0.04064292,0.03726053,-43.45585,-35.66326,7.455
30.48,3.147711,-1.653262,0.682021400000003,1.008467,0.03539328,0.0380132,-42.71207,-34.99695,7.444224
30.49,2.899247,-2.545896,2.09199,1.013951,0.03986439,0.04947357,-42.71207,-34.99695,7.444224
30.5,1.905392,-3.021967,2.643717,1.011261,0.0544198,0.04436355,-42.71207,-34.99695,7.444224
30.51,-0.3928965,-3.97411,3.440656,0.9922236,0.04449808,0.03880075,-42.71207,-34.99695,7.444224
30.52,-2.753301,-4.807235,4.482807,0.9875291,0.01912325,0.03098632,-42.71207,-34.99695,7.444224
30.53,-3.68504,-5.580852,6.44450299999999,0.9831792,0.001523127,0.01939899,-42.71282,-35.37045,7.063912
30.54,-3.68504,-6.47348499999999,7.73186600000001,0.9714735,-0.002964956,0.01809036,-42.71282,-35.37045,7.063912
30.55,-2.629069,-7.48513700000001,8.89662299999997,0.9669837,0.01650029,0.02886101,-42.71282,-35.37045,7.063912
30.56,-2.691185,-7.96120899999999,9.20313699999998,0.976639,0.02777954,0.02929779,-42.71282,-35.37045,7.063912
30.57,-3.871388,-7.90170000000001,9.38704699999999,0.9796741,0.02978695,0.03837626,-42.71282,-35.37045,7.063912
30.58,-4.678895,-8.199244,9.57095500000001,0.9977157,0.0411598,0.0439655,-43.08259,-34.9864,7.894252
30.59,-5.73486500000002,-8.02071800000003,9.632258,1.009827,0.04611649,0.03952192,-43.08259,-34.9864,7.894252
30.6,-6.60448799999999,-7.90170000000001,9.14183399999998,1.016185,0.04177838,0.03556109,-43.08259,-34.9864,7.894252
30.61,-6.79083600000002,-7.78268199999998,8.28359300000002,1.021581,0.03987756,0.03498894,-43.08259,-34.9864,7.894252
30.62,-5.79698099999998,-7.60415499999998,7.24144199999999,1.019748,0.03550156,0.04024933,-43.08259,-34.9864,7.894252
30.63,-3.622924,-7.54464599999999,6.26059400000001,1.019139,0.03790416,0.03356949,-42.71006,-35.3651,7.447995
30.64,-2.31849,-7.36611899999999,5.341049,1.014687,0.05591524,0.04576494,-42.71006,-35.3651,7.447995
30.65,-1.635215,-7.00906600000001,3.808474,1.005839,0.05240757,0.03963185,-42.71006,-35.3651,7.447995
30.66,-1.200403,-6.71152099999998,2.766323,1.001126,0.04509184,0.04634608,-42.71006,-35.3651,7.447995
30.67,-0.641360199999998,-6.23544999999998,2.030687,0.996336,0.04312477,0.05214814,-42.71006,-35.3651,7.447995
30.68,0.787305800000002,-5.759378,1.417657,0.9968402,0.03580997,0.04680802,-43.0866,-34.25011,7.886711
30.69,2.588667,-5.521342,1.111142,0.9992278,0.04509134,0.05068592,-43.0866,-34.25011,7.886711
30.7,3.45829,-4.985762,0.8659304,0.9962254,0.05188132,0.05174442,-43.0866,-34.25011,7.886711
30.71,2.775015,-4.807235,0.2529004,0.9971126,0.06504611,0.05663487,-43.0866,-34.25011,7.886711
30.72,1.222117,-4.093128,-0.1762206,0.9952944,0.06604476,0.0676908,-43.0866,-34.25011,7.886711
30.73,0.04191487,-3.319512,-0.973159599999999,1.002684,0.05391887,0.06077435,-43.45355,-34.97674,8.280267
30.74,-0.2686647,-2.486387,-1.58619,0.9983755,0.03779519,0.05351169,-43.45355,-34.97674,8.280267
30.75,0.2282626,-1.891297,-2.260523,0.9989585,0.03099111,0.05440436,-43.45355,-34.97674,8.280267
30.76,1.222117,-1.117681,-2.996159,1.003404,0.03006598,0.05672918,-43.45355,-34.97674,8.280267
30.77,2.340204,-0.4630831,-3.425279,1.007246,0.03496248,0.05575735,-43.45355,-34.97674,8.280267
30.78,3.023479,-0.2250474,-3.609189,1.011067,0.04278217,0.0557689,-44.20578,-34.6053,7.896276
30.79,3.334059,-0.04652058,-3.24137,1.023583,0.07017776,0.0649265,-44.20578,-34.6053,7.896276
30.8,1.346349,0.4295509,-2.934855,1.03366,0.09755369,0.07459789,-44.20578,-34.6053,7.896276
30.81,-3.312345,1.441203,-3.118764,1.046306,0.1069217,0.07737191,-44.20578,-34.6053,7.896276
30.82,-6.72872000000001,2.214819,-3.486583,1.039516,0.09320756,0.06968576,-44.20578,-34.6053,7.896276
30.83,-8.34373400000002,2.809908,-3.915704,1.018664,0.07305604,0.0655001,-43.83005,-34.97777,7.898116
30.84,-8.46796500000002,3.28598,-4.528733,1.004164,0.04026488,0.04961645,-43.83005,-34.97777,7.898116
