Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
69.804686069,1.65499,0.3672807,-0.228989,0.9489204,0.133211,-0.280174,-42.25814,-15.87713,-5.84657
69.814573765,1.280136,0.4255694,-0.1065761,0.9532883,0.1356946,-0.2763342,-41.49687,-15.51728,-6.223831
69.82446146,1.092219,0.4251457,0.01581723,0.9552111,0.1303343,-0.2763049,-41.49687,-15.51728,-6.223831
69.834348679,0.780084600000002,0.601065300000002,-0.1674193,0.949378,0.1338839,-0.2676729,-41.49687,-15.51728,-6.223831
69.844236851,0.778968099999998,0.600384199999998,0.01593087,0.9547564,0.132132,-0.2864138,-41.49687,-15.51728,-6.223831
69.854124069,0.840235899999999,0.2466676,0.01585332,0.9571537,0.1313188,-0.2753458,-41.49687,-15.51728,-6.223831
69.864012241,0.5286132,0.4817277,0.01571828,0.9527588,0.1240304,-0.2748331,-41.8805,-15.50459,-5.843294
69.87389946,0.5279102,0.1281971,0.0767899100000001,0.9561462,0.1260794,-0.2676258,-41.8805,-15.50459,-5.843294
69.883786678,0.5273447,0.1279252,0.1987803,0.9517801,0.1260736,-0.2685925,-41.8805,-15.50459,-5.843294
69.893674374,0.4023655,0.0690883900000003,0.01535236,0.9513354,0.1347749,-0.2729653,-41.8805,-15.50459,-5.843294
69.906033993,0.2775147,0.01015591,0.0762853999999999,0.950846,0.1362942,-0.2691261,-41.8805,-15.50459,-5.843294
69.915921688,0.0906811300000003,0.0689856599999999,-0.04595483,0.9557094,0.1367212,-0.2724892,-42.62843,-15.87876,-6.244267
69.925808907,0.02847718,0.127723,-0.1069502,0.9513376,0.1347605,-0.2739271,-42.62843,-15.87876,-6.244267
69.935697079,0.0906486300000001,0.0686831499999998,-0.1068926,0.9503642,0.1322917,-0.2763203,-42.62843,-15.87876,-6.244267
69.945584297,-0.09573542,0.00971745,0.01536691,0.9513135,0.1254582,-0.2772465,-42.62843,-15.87876,-6.244267
69.955472469,-0.4064169,0.2449458,0.0764197999999998,0.9522626,0.1226065,-0.2724218,-42.62843,-15.87876,-6.244267
69.965359688,-0.2194996,0.3624155,0.1374536,0.9571465,0.1268859,-0.2786899,-41.87451,-15.88981,-6.227107
69.975246906,-0.4676427,0.3033581,0.1982956,0.9546975,0.1225513,-0.2757852,-41.87451,-15.88981,-6.227107
69.985134602,-0.1563707,0.2442454,0.1368783,0.9527678,0.1279547,-0.2729292,-41.87451,-15.88981,-6.227107
69.995022297,-0.0940061599999999,0.3027442,0.2587741,0.9493737,0.125949,-0.2772512,-41.87451,-15.88981,-6.227107
70.004909992,0.0925968800000002,0.2436138,0.380651,0.9503615,0.1278301,-0.2815879,-41.87451,-15.88981,-6.227107
