Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
75.740198135,0.1084444,0.2639603,0.160054,0.3969681,-0.06120513,0.8767961,-11.67526,-27.56543,-23.68199
75.750083446,-0.0780206000000001,0.1461101,0.03770858,0.3940615,-0.05924439,0.8772638,-11.67526,-27.56543,-23.68199
75.759968758,0.04643325,-0.2069804,0.0986950800000003,0.3935632,-0.06463581,0.8748858,-11.67526,-27.56543,-23.68199
75.769853115,0.1085821,-0.2655814,0.1595666,0.3887229,-0.0587397,0.877736,-11.98272,-27.56799,-24.07825
75.779738426,0.3569817,-0.5593124,-0.02383127,0.3882315,-0.06516974,0.8710351,-11.98272,-27.56799,-24.07825
75.78962326,0.3565724,-0.676165499999999,0.03723249,0.3935779,-0.06273837,0.8715098,-11.98272,-27.56799,-24.07825
75.799508572,0.1696981,-0.910538300000001,0.09827712,0.3969948,-0.05988092,0.8676519,-11.98272,-27.56799,-24.07825
75.809393883,0.1693874,-1.203496,-0.0849285899999999,0.401345,-0.06076996,0.8739133,-11.98272,-27.56799,-24.07825
75.81927824,0.4176129,-1.319725,-0.1458174,0.4008783,-0.05640806,0.872448,-11.67458,-27.18737,-23.68729
75.829163551,0.4170103,-1.376817,-0.0845428100000002,0.4047484,-0.06180811,0.870075,-11.67458,-27.18737,-23.68729
75.839048386,0.3543964,-1.433949,-0.2677108,0.4086195,-0.06422894,0.8715345,-11.67458,-27.18737,-23.68729
75.848933697,0.2295369,-1.020361,-0.1452685,0.4095834,-0.06518318,0.8729831,-11.67458,-27.18737,-23.68729
75.858819008,0.3533506,-1.195533,-0.0839754800000001,0.4095868,-0.06520475,0.8715405,-11.67458,-27.18737,-23.68729
75.871174812,0.3526788,-0.899795200000001,0.03833914,0.4081233,-0.06366193,0.8768212,-11.66859,-27.57259,-24.0711
75.881060123,-0.0827265299999997,-0.722248399999999,0.0994591100000001,0.4081262,-0.0651731,0.8734624,-11.66859,-27.57259,-24.0711
75.890944481,-0.0205716,-1.015517,0.0995452500000003,0.4090862,-0.06759537,0.8744375,-11.66859,-27.57259,-24.0711
75.900829792,0.2278731,-0.7201766,0.0995353300000001,0.4105678,-0.06427592,0.8686514,-11.66859,-27.57259,-24.0711
75.910715103,0.1655358,-0.4838652,0.1603866,0.4120398,-0.063384,0.8633584,-11.66859,-27.57259,-24.0711
75.920599937,-0.02103989,-0.0715264399999998,0.3432099,0.4139467,-0.06665264,0.8729955,-11.66859,-27.57259,-24.0711
75.930485249,-0.02093536,0.04622988,0.4648848,0.4139648,-0.06278583,0.8710523,-11.66859,-27.57259,-24.0711
75.940369606,0.1033492,0.5167823,0.3420989,0.4124973,-0.0607201,0.8787349,-11.66859,-27.57259,-24.0711
75.950254917,0.1031999,0.2220871,0.219544,0.4100835,-0.06129575,0.8724831,-11.66859,-27.57259,-24.0711
75.960140228,0.04088257,0.2216418,0.3413935,0.4110628,-0.06085386,0.8695964,-11.66859,-27.57259,-24.0711
75.970025063,-0.02123932,0.3388451,0.1577864,0.4076554,-0.0602883,0.8743989,-11.98409,-28.3241,-24.06765
75.979910374,-0.2698267,0.6912896,0.2186413,0.4066858,-0.05929809,0.8753547,-11.98409,-28.3241,-24.06765
75.989794731,-0.0831199800000002,0.749337699999999,0.4626171,0.4062022,-0.05980566,0.873914,-11.98409,-28.3241,-24.06765
75.999680042,-0.1451642,1.101359,0.5231658,0.4062011,-0.06178941,0.8715194,-11.98409,-28.3241,-24.06765
76.009565353,-0.0828332600000001,0.864753500000001,0.5226814,0.4032842,-0.05976394,0.876315,-11.98409,-28.3241,-24.06765
76.019450188,0.1037167,0.628352900000001,0.277736,0.4018162,-0.06117876,0.879206,-12.359,-27.1844,-24.09214
76.029335499,0.04141827,0.686369200000002,0.3384785,0.3955267,-0.05830933,0.8748561,-12.359,-27.1844,-24.09214
76.03922081,-0.02076285,0.626627599999999,0.215909,0.401354,-0.05784108,0.8743794,-12.359,-27.1844,-24.09214
76.049105167,-0.144995,0.449387,0.2157913,0.3989208,-0.05729901,0.8777403,-12.359,-27.1844,-24.09214
76.058990479,-0.0828594700000002,0.4487856,-0.02865345,0.3926121,-0.05828919,0.8758145,-12.359,-27.1844,-24.09214
76.068875313,0.04152236,0.0952224499999998,-0.1508578,0.394074,-0.05832802,0.8734118,-11.29898,-27.94902,-23.6681
76.078760624,0.04137261,0.1538529,-0.02850471,0.3960098,-0.0582959,0.8758184,-11.29898,-27.94902,-23.6681
76.091116905,0.1033001,-0.4932494,-0.0894554600000002,0.3960477,-0.05206629,0.8690541,-11.29898,-27.94902,-23.6681
76.10100174,0.3516673,-0.845536800000001,-0.2725022,0.4008873,-0.05447466,0.8714764,-11.29898,-27.94902,-23.6681
76.110887051,0.4753472,-0.9032433,-0.2722558,0.3989176,-0.0612593,0.8734321,-11.29898,-27.94902,-23.6681
76.120771408,0.785415200000002,-1.019775,-0.02766339,0.4052185,-0.06519612,0.8715355,-11.98871,-27.18277,-23.69444
