Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
72.764092445,6.97275699999999,-1.32956,-1.087381,0.9919563,0.02027428,-0.1737517,-25.97272,14.63235,14.85776
72.773979664,6.97275699999999,-0.682292600000002,-1.026289,0.9924333,0.01485218,-0.178052,-25.97272,14.63235,14.85776
72.783867836,6.78625199999999,-0.1527103,-0.781923700000001,0.9996822,0.01006182,-0.1717676,-25.97272,14.63235,14.85776
72.796227455,6.59974800000002,0.4357146,-0.659740900000002,0.9948297,0.006082344,-0.178005,-24.84241,14.30072,14.88792
72.80611515,5.85373000000002,1.082982,-0.781923700000001,0.9938668,0.01200673,-0.1727459,-24.84241,14.30072,14.88792
72.816002846,4.983376,1.200667,-0.781923700000001,0.9938815,0.01290871,-0.1775596,-24.84241,14.30072,14.88792
72.825890064,4.610366,1.259509,-0.781923700000001,0.9943739,0.007887259,-0.187633,-24.84241,14.30072,14.88792
72.835778236,4.548198,1.436037,-0.720832200000002,0.9871318,0.01163901,-0.1982405,-24.84241,14.30072,14.88792
72.845665455,3.988685,1.259509,-0.5375581,0.9876122,0.0101772,-0.1982325,-24.84184,14.61577,14.8835
72.85555315,3.180499,1.612564,-0.4764667,0.980322,0.004777642,-0.2020609,-24.84184,14.61577,14.8835
72.865441322,2.620985,1.494879,-0.2931925,0.985678,0.008641091,-0.2035171,-24.84184,14.61577,14.8835
72.875328541,1.874967,1.377194,-0.2931925,0.977419,0.001739458,-0.2102245,-24.84184,14.61577,14.8835
72.885216713,1.191117,0.847612000000001,-0.1710097,0.9788666,-0.001693622,-0.2116483,-24.84184,14.61577,14.8835
72.895103931,0.9424447,0.612241999999999,-0.2321011,0.9798228,-0.004588454,-0.2097089,-24.83517,14.60861,14.49438
72.904991627,0.818108400000001,0.3768721,-0.1710097,0.9788435,-0.008016739,-0.2111355,-24.83517,14.60861,14.49438
72.914879799,0.5072676,-0.0938677799999998,0.01226447,0.9768879,-0.01140715,-0.2101587,-24.83517,14.60861,14.49438
72.924767017,-0.114414,-0.3292377,0.1955387,0.9827344,-0.004092879,-0.2087463,-24.83517,14.60861,14.49438
72.934655189,-0.5495912,-0.682292600000002,0.25663,0.9774022,-0.006116416,-0.2145132,-24.83517,14.60861,14.49438
72.944542408,-0.798263799999999,-1.32956,0.4399042,0.9827716,0.004629014,-0.2116758,-24.84184,14.61577,14.8835
72.954430103,-1.60645,-1.56493,0.3177214,0.9876264,0.009589574,-0.2049624,-24.84184,14.61577,14.8835
72.964317322,-1.482114,-1.32956,0.0733558600000001,0.9876038,0.003760596,-0.2039712,-24.84184,14.61577,14.8835
72.974205494,-1.233441,-1.56493,0.1344473,0.9861318,0.0008777506,-0.2015537,-24.84184,14.61577,14.8835
72.984093189,-1.855123,-1.682615,0.3177214,0.9895216,-7.409067e-05,-0.1996213,-24.84184,14.61577,14.8835
72.993980885,-2.476804,-1.270717,0.3177214,0.9899684,-0.006798814,-0.1933349,-24.85019,14.30907,15.34189
73.00386858,-2.476804,-1.153032,0.5009956,0.9880342,-0.003357583,-0.1914308,-24.85019,14.30907,15.34189
73.013755798,-2.352468,-1.153032,0.4399042,0.9918959,-0.01119236,-0.1937914,-24.85019,14.30907,15.34189
73.026115894,-2.2903,-0.85882,0.3788128,0.9894729,-0.009719537,-0.1933207,-24.85019,14.30907,15.34189
73.036003113,-2.165963,-1.09419,0.1955387,0.990951,-0.003392105,-0.193351,-24.83449,14.98667,14.48908
73.045891285,-2.414636,-0.85882,0.1955387,0.9938733,0.002510227,-0.1890492,-24.83449,14.98667,14.48908
73.05577898,-2.476804,-0.741135099999998,0.0733558600000001,0.9919199,0.001096373,-0.1861587,-24.83449,14.98667,14.48908
73.065666199,-2.352468,-0.6234501,0.1344473,0.9895005,0.001552157,-0.1885684,-24.83449,14.98667,14.48908
