Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
13.128845215,6.48980500000002,-8.30513400000001,-1.879267,0.002688901,-0.1589386,0.2259802,-18.56119,-12.62564,-41.90788
13.138842583,8.705001,-13.17203,-3.220624,0.01505533,-0.1161586,0.2541836,-18.56119,-12.62564,-41.90788
13.148839951,9.56646600000001,-18.8105,-4.257127,0.009807928,-0.09563781,0.2776377,-17.43697,-12.6172,-41.89954
13.158836365,9.56646600000001,-25.22056,-5.84236700000003,0.01306126,-0.1122262,0.3164009,-17.43697,-12.6172,-41.89954
13.168833733,10.1818,-31.09644,-7.54954800000001,0.03489048,-0.157433,0.3738037,-17.43697,-12.6172,-41.89954
13.178831101,12.88926,-36.08204,-9.13478800000001,0.06092989,-0.1933369,0.4297609,-17.43697,-12.6172,-41.89954
13.188828468,14.85832,-40.05865,-10.90294,0.07092305,-0.1789277,0.4957832,-17.43697,-12.6172,-41.89954
13.198825836,14.11993,-43.79785,-12.48818,0.07717108,-0.1729589,0.5503285,-18.18814,-12.61956,-41.51809
13.208823204,10.551,-47.35899,-13.76857,0.08794442,-0.1748205,0.5890749,-18.18814,-12.61956,-41.51809
13.218820572,7.65893599999998,-52.22588,-15.23186,0.1023955,-0.1913674,0.608197,-18.18814,-12.61956,-41.51809
13.228817463,6.18213799999999,-58.9326999999999,-17.06099,0.1090946,-0.236261,0.6263827,-18.18814,-12.61956,-41.51809
13.238814831,9.935666,-66.1143400000001,-18.64623,0.1233668,-0.2693949,0.6388093,-18.18814,-12.61956,-41.51809
13.248812199,15.78132,-75.0765500000001,-20.90215,0.128105,-0.2875302,0.6646489,-19.67506,-13.38444,-40.68665
13.258809567,24.39598,-84.51358,-23.09709,0.1433008,-0.2919578,0.6789808,-19.67506,-13.38444,-40.68665
13.268806934,34.79509,-94.4254199999998,-25.41398,0.1741185,-0.27167,0.7052435,-19.67506,-13.38444,-40.68665
13.278804302,43.47128,-103.447,-27.91378,0.1979262,-0.2412809,0.7353445,-19.67506,-13.38444,-40.68665
