Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
12.521036148,-1.878715,2.853111,-1.879267,0.06019852,-0.2081235,0.3555867,-20.33991,-14.52794,-40.36317
12.531033039,1.813279,-3.141478,-3.281595,0.05532309,-0.2075848,0.3718667,-20.33991,-14.52794,-40.36317
12.541030407,5.689873,-8.42383900000002,-4.683922,0.06994586,-0.2069976,0.4043842,-20.33991,-14.52794,-40.36317
12.551026821,9.935666,-13.40944,-5.964308,0.08510163,-0.2088208,0.4378586,-20.33991,-14.52794,-40.36317
12.561024189,14.36606,-18.03892,-6.81789900000001,0.08468531,-0.1863704,0.4493393,-19.21568,-14.5195,-40.35483
12.57102108,17.01199,-23.32128,-7.79343099999999,0.07930105,-0.1577922,0.503899,-19.21568,-14.5195,-40.35483
12.581017494,17.62732,-29.07846,-8.70799300000002,0.07877154,-0.154501,0.5460138,-19.21568,-14.5195,-40.35483
12.591014862,17.99652,-35.25111,-9.86643700000001,0.08696754,-0.174152,0.6110909,-19.21568,-14.5195,-40.35483
12.601011753,19.53485,-40.59282,-11.51265,0.1164321,-0.2102768,0.6885781,-19.21568,-14.5195,-40.35483
12.611008167,21.50391,-44.51008,-12.54915,0.1314374,-0.2293425,0.7498147,-19.58453,-14.89886,-39.90408
12.621005535,21.99618,-47.89316,-13.40274,0.1290672,-0.2319716,0.7861912,-19.58453,-14.89886,-39.90408
12.631001949,20.88858,-51.98848,-14.13439,0.1212769,-0.2320203,0.7976907,-19.58453,-14.89886,-39.90408
12.640999317,19.84252,-56.3212,-14.86604,0.1278044,-0.2419864,0.8096462,-19.58453,-14.89886,-39.90408
12.650996208,21.31931,-60.8913300000001,-16.08545,0.1610021,-0.2708194,0.826346,-19.58453,-14.89886,-39.90408
12.660992622,25.62664,-63.3247799999997,-16.69516,0.1825034,-0.2736471,0.8425808,-21.07455,-15.65774,-38.36314
12.67098999,28.76484,-66.5298100000001,-17.36584,0.203786,-0.2648121,0.8592916,-21.07455,-15.65774,-38.36314
12.680986881,31.41076,-68.7851999999998,-17.2439,0.2146365,-0.2463293,0.837732,-21.07455,-15.65774,-38.36314
12.690984249,32.45683,-73.1179199999999,-17.54875,0.2048988,-0.2215071,0.8099851,-21.07455,-15.65774,-38.36314
12.700980663,30.9185,-79.8247400000001,-18.09749,0.2282917,-0.2214519,0.8185587,-21.07455,-15.65774,-38.36314
12.710977554,31.4723,-84.5729300000001,-17.73167,0.2821759,-0.2356129,0.8538831,-23.68121,-16.80488,-36.76401
12.720974445,35.59502,-86.5909099999998,-17.18293,0.3506496,-0.2479137,0.9016245,-23.68121,-16.80488,-36.76401
12.730971336,41.13301,-84.69164,-16.51225,0.3745675,-0.1992286,0.8599341,-23.68121,-16.80488,-36.76401
12.74096775,40.45615,-84.5729300000001,-16.32934,0.3697913,-0.1279081,0.8048878,-23.68121,-16.80488,-36.76401
12.750965118,33.19522,-88.07472,-16.39031,0.3676364,-0.1189819,0.7230528,-23.68121,-16.80488,-36.76401
12.760962009,27.7803,-93.6538400000002,-15.84157,0.3871488,-0.1479907,0.6440611,-25.52605,-18.70056,-34.38126
12.770959377,25.01131,-101.1322,-15.84157,0.3948981,-0.1461439,0.6167684,-25.52605,-18.70056,-34.38126
12.780955791,20.39631,-109.4416,-17.12196,0.4356729,-0.1366737,0.6607238,-25.52605,-18.70056,-34.38126
12.790952682,17.01199,-113.5962,-18.2804,0.5068181,-0.1887831,0.6539131,-25.52605,-18.70056,-34.38126
12.80095005,18.36572,-116.3264,-18.2804,0.5286651,-0.2101004,0.6668022,-25.52605,-18.70056,-34.38126
12.810946464,20.39631,-116.8013,-18.09749,0.5629975,-0.170074,0.6652963,-28.45177,-19.83696,-31.23644
12.820943832,17.19659,-116.92,-17.91458,0.5850161,-0.09733016,0.6547104,-28.45177,-19.83696,-31.23644
12.830940247,7.65893599999998,-118.4631,-18.58526,0.6055251,-0.04791505,0.6470048,-28.45177,-19.83696,-31.23644
12.840937138,-4.032378,-119.5908,-18.82914,0.6323261,-0.07502814,0.6000645,-28.45177,-19.83696,-31.23644
12.850934505,-10.06263,-122.2023,-18.03652,0.6378642,-0.1375491,0.5531705,-28.45177,-19.83696,-31.23644
12.86093092,-9.07810300000001,-125.7041,-17.48778,0.6742684,-0.1308372,0.5176908,-31.80841,-21.29306,-28.02868
12.870927811,-7.97050500000002,-129.0872,-16.69516,0.7120739,-0.09415694,0.5147439,-31.80841,-21.29306,-28.02868
12.880925179,-9.69343500000003,-133.1825,-17.00002,0.751509,-0.09248051,0.5065389,-31.80841,-21.29306,-28.02868
12.890921593,-13.3239,-138.2275,-16.51225,0.7865417,-0.1155644,0.5103124,-31.80841,-21.29306,-28.02868
12.900918961,-15.10836,-144.3408,-16.8171,0.8116869,-0.1559252,0.5590938,-31.80841,-21.29306,-28.02868
12.910915852,-10.24723,-146.6555,-16.75613,0.8233454,-0.1792604,0.5858797,-34.43338,-22.03968,-24.04506
12.920912266,-1.324916,-144.5782,-17.2439,0.8182585,-0.1675974,0.5968928,-34.43338,-22.03968,-24.04506
12.930909634,7.16667,-141.2544,-18.09749,0.8166298,-0.1325672,0.6050224,-34.43338,-22.03968,-24.04506
12.940906048,8.397335,-139.0584,-17.67069,0.8281973,-0.100521,0.5772366,-34.43338,-22.03968,-24.04506
12.950902939,4.459208,-139.1771,-16.32934,0.8501096,-0.101096,0.520248,-34.43338,-22.03968,-24.04506
12.960900307,-0.832649800000001,-142.2041,-14.92701,0.8842376,-0.1281949,0.5120597,-37.07128,-22.39614,-18.90248
12.970896721,-2.678647,-144.2814,-12.48818,0.9275733,-0.1527393,0.4976332,-37.07128,-22.39614,-18.90248
12.980894089,-3.540112,-145.2904,-10.59809,0.9659415,-0.1462684,0.4846431,-37.07128,-22.39614,-18.90248
12.99089098,-4.524643,-146.1807,-9.92740700000002,0.9814905,-0.118438,0.4654658,-37.07128,-22.39614,-18.90248
13.000887394,-9.75496900000002,-148.9702,-10.23226,1.007026,-0.1035833,0.4405315,-39.61359,-24.27682,-14.13832
13.010884762,-17.07742,-153.3623,-11.51265,1.040973,-0.1209275,0.4366482,-39.61359,-24.27682,-14.13832
13.020881653,-21.44628,-157.2202,-12.18333,1.093944,-0.1650209,0.4423101,-39.61359,-24.27682,-14.13832
13.030878544,-19.60028,-158.8821,-12.73206,1.121255,-0.1921888,0.4413123,-39.61359,-24.27682,-14.13832
13.040875435,-14.43149,-159.1788,-13.58565,1.142211,-0.1665497,0.4364834,-39.61359,-24.27682,-14.13832
13.050871849,-12.52396,-158.8821,-15.23186,1.140847,-0.1199701,0.431688,-41.13512,-24.24449,-8.989414
13.060869217,-15.41603,-159.3569,-16.63419,1.154415,-0.09088767,0.394328,-41.13512,-24.24449,-8.989414
13.070866108,-22.00008,-160.4252,-17.91458,1.170645,-0.07318716,0.3818521,-41.13512,-24.24449,-8.989414
13.080862522,-28.46107,-161.5529,-17.79264,1.194348,-0.1168133,0.3425788,-41.13512,-24.24449,-8.989414
13.09085989,-32.7684,-162.4432,-17.12196,1.223926,-0.1617329,0.3085599,-41.13512,-24.24449,-8.989414
13.100856781,-34.6144,-163.2742,-16.93905,1.252612,-0.1846317,0.2932014,-41.8777,-25.72414,-3.375337
13.110854149,-35.59893,-163.5116,-17.60972,1.244779,-0.1829129,0.2855574,-41.8777,-25.72414,-3.375337
13.120850563,-37.38339,-163.0368,-17.97555,1.235857,-0.1748106,0.2874852,-41.8777,-25.72414,-3.375337
13.130847454,-38.42945,-162.6213,-17.73167,1.241505,-0.1646653,0.2688082,-41.8777,-25.72414,-3.375337
13.140844345,-38.61406,-161.8497,-18.82914,1.242737,-0.1268779,0.2534819,-41.8777,-25.72414,-3.375337
13.150841236,-38.98325,-160.6033,-20.10953,1.243761,-0.1299312,0.2362522,-41.88454,-26.44127,1.788744
13.160838604,-35.96813,-158.526,-21.75574,1.240027,-0.1388002,0.2309966,-41.88454,-26.44127,1.788744
13.170835018,-30.24553,-156.6861,-22.91418,1.24636,-0.1650826,0.2128065,-41.88454,-26.44127,1.788744
13.180831909,-22.06161,-154.3713,-23.64583,1.241329,-0.1827198,0.208034,-41.88454,-26.44127,1.788744
13.190829277,-11.53943,-151.5817,-23.64583,1.232138,-0.1862898,0.2094867,-41.88454,-26.44127,1.788744
13.200825691,-1.755648,-147.7238,-23.40195,1.233274,-0.1686506,0.2228803,-41.11942,-27.92656,5.414435
13.210823059,5.382206,-142.9756,-22.60933,1.23636,-0.1509686,0.2367491,-41.11942,-27.92656,5.414435
13.22081995,9.935666,-138.3462,-21.38991,1.241942,-0.1367221,0.2415214,-41.11942,-27.92656,5.414435
13.230816364,12.82773,-133.3606,-19.86564,1.244513,-0.117588,0.2558693,-41.11942,-27.92656,5.414435
13.240813732,12.76619,-127.7814,-17.97555,1.251391,-0.09462603,0.2544157,-41.11942,-27.92656,5.414435
13.250810146,9.25880099999997,-121.9056,-16.2074,1.262378,-0.0826674,0.2630078,-40.35907,-29.40258,10.13663
13.260807037,4.643808,-115.3175,-14.56119,1.270866,-0.09374653,0.2553387,-40.35907,-29.40258,10.13663
13.270804405,0.2749484,-109.0261,-13.03692,1.269428,-0.121014,0.2524768,-40.35907,-29.40258,10.13663
13.280800819,-3.540112,-102.4973,-11.57362,1.256857,-0.1268051,0.2309642,-40.35907,-29.40258,10.13663
13.290798187,-5.93990799999998,-96.7995100000002,-10.41517,1.239995,-0.1374922,0.2147248,-40.35907,-29.40258,10.13663
13.300795078,-7.90897099999997,-90.4488099999999,-9.62255399999997,1.237912,-0.1309275,0.1931908,-39.23492,-30.12434,13.76105
13.310791493,-10.7395,-84.3948700000002,-9.31770000000002,1.214421,-0.1255954,0.1894018,-39.23492,-30.12434,13.76105
13.32078886,-14.00076,-78.2815799999998,-8.76896300000003,1.204769,-0.130685,0.1851127,-39.23492,-30.12434,13.76105
13.330785751,-16.83129,-72.4056899999998,-8.15925599999997,1.176264,-0.143944,0.1784657,-39.23492,-30.12434,13.76105
13.340782642,-17.56969,-66.05499,-7.12275300000002,1.159558,-0.1628671,0.164621,-39.23492,-30.12434,13.76105
13.350779533,-17.20049,-59.46687,-6.14722099999998,1.1411,-0.1662439,0.1541254,-38.85489,-30.86208,16.15439
13.360775948,-16.33902,-52.76006,-5.171688,1.138497,-0.1576274,0.1455134,-38.85489,-30.86208,16.15439
13.370773316,-16.33902,-45.51907,-4.622952,1.125891,-0.1350284,0.1464867,-38.85489,-30.86208,16.15439
13.380770207,-18.73882,-37.74391,-4.135185,1.101824,-0.1247474,0.1537046,-38.85489,-30.86208,16.15439
13.390766621,-21.56935,-30.44357,-3.525478,1.088706,-0.127038,0.1441565,-38.85489,-30.86208,16.15439
13.400763989,-22.06161,-23.43999,-2.91577,1.091098,-0.1509116,0.1321941,-38.09476,-31.60736,17.32502
13.41076088,-18.92342,-17.02993,-2.428004,1.088423,-0.1648296,0.1039664,-38.09476,-31.60736,17.32502
13.420758247,-14.61609,-9.848295,-2.428004,1.062255,-0.1470256,0.08821441,-38.09476,-31.60736,17.32502
