Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
111.727283955,-4.770776,1.666064,1.90092,0.9857669,-0.02531412,-0.1993078,-66.59076,-30.51229,-0.5031328
111.737281322,-4.955376,1.369302,1.90092,0.9839843,-0.03404365,-0.1935595,-66.59076,-30.51229,-0.5031328
111.747279167,-4.216978,1.30995,1.657037,0.9826968,-0.04328882,-0.1921192,-66.59076,-30.51229,-0.5031328
111.757277012,-3.601645,1.30995,1.718008,0.9856288,-0.04370806,-0.191167,-66.59076,-30.51229,-0.5031328
111.76727438,-2.863246,1.191245,1.535095,0.9876847,-0.04956453,-0.1983477,-66.60479,-29.75484,-0.8941898
111.777272701,-2.001781,1.250597,1.657037,0.9869788,-0.03790711,-0.1973924,-66.60479,-29.75484,-0.8941898
111.787270546,-2.494047,1.369302,1.596066,0.9882021,-0.02527478,-0.2002692,-66.60479,-29.75484,-0.8941898
111.797267914,-3.293979,1.369302,1.596066,0.9911149,-0.02475322,-0.2026673,-66.60479,-29.75484,-0.8941898
111.807265758,-4.093911,1.428654,1.839949,0.9890555,-0.01901086,-0.2079295,-66.60479,-29.75484,-0.8941898
111.817263126,-4.586177,1.30995,1.718008,0.9893321,-0.03349152,-0.1978762,-66.59692,-30.1352,-0.8921623
111.827260971,-4.586177,1.30995,1.596066,0.9923937,-0.04065437,-0.190701,-66.59692,-30.1352,-0.8921623
111.837258816,-3.663178,1.191245,1.535095,0.9885783,-0.04512516,-0.1930861,-66.59692,-30.1352,-0.8921623
111.847256184,-3.047846,1.131893,1.413154,0.9861165,-0.04368088,-0.1892536,-66.59692,-30.1352,-0.8921623
111.857254505,-2.432514,0.775778400000001,1.413154,0.982744,-0.04566495,-0.1863757,-66.59692,-30.1352,-0.8921623
111.86725235,-2.124848,0.4790165,1.291212,0.9889835,-0.04073929,-0.1926094,-66.59523,-30.13847,-1.279164
111.877249718,-1.878715,0.2416071,1.169271,0.9846547,-0.0437273,-0.1911653,-66.59523,-30.13847,-1.279164
111.887247562,-1.201849,0.004197581,0.864416900000002,0.9847646,-0.04954327,-0.1897283,-66.59523,-30.13847,-1.279164
