Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
20.791881084,5.635276,3.030846,4.14221,0.4723315,-0.4409622,0.7214945,-25.48959,-12.29908,-32.28773
20.801792622,5.263648,2.564831,4.019485,0.4733106,-0.444364,0.7176215,-25.48959,-12.29908,-32.28773
20.811704636,5.75915199999997,1.691051,3.221767,0.4611166,-0.4488917,0.7153033,-25.48959,-12.29908,-32.28773
20.821615696,5.94496599999999,0.1765001,2.055871,0.4498367,-0.4427087,0.7192901,-25.48959,-12.29908,-32.28773
20.831527233,5.94496599999999,-1.512807,0.767250500000003,0.4459071,-0.4432548,0.716922,-25.48959,-12.29908,-32.28773
20.841439247,5.94496599999999,-1.163295,-0.2759189,0.463272,-0.43828,0.6995088,-26.23673,-12.29757,-31.89838
20.851350307,7.49341799999997,-0.1730116,-1.135,0.4626648,-0.4378599,0.6884736,-26.23673,-12.29757,-31.89838
20.861262321,8.85605400000001,-0.813783199999999,-1.871354,0.4559818,-0.4349342,0.7077613,-26.23673,-12.29757,-31.89838
20.871173382,8.36055000000001,-2.969106,-2.055443,0.448922,-0.4290295,0.741477,-26.23673,-12.29757,-31.89838
20.881085396,5.5114,-5.18268,-2.116806,0.4430998,-0.4290794,0.7458519,-26.23673,-12.29757,-31.89838
20.890996933,2.476436,-7.39625499999999,-2.362258,0.4566847,-0.4314021,0.7327465,-26.23997,-11.92115,-31.44982
20.900908947,1.733179,-8.03702600000001,-2.362258,0.471011,-0.4511484,0.7238397,-26.23997,-11.92115,-31.44982
20.910820007,2.538374,-8.38653900000002,-2.178169,0.4789142,-0.4500332,0.732897,-26.23997,-11.92115,-31.44982
20.920732021,3.653259,-8.85255399999999,-2.362258,0.4887792,-0.4523052,0.7385525,-26.23997,-11.92115,-31.44982
20.930643558,5.263648,-8.85255399999999,-2.484983,0.4910477,-0.4599229,0.7600879,-26.23997,-11.92115,-31.44982
20.940555572,5.449462,-8.561295,-2.791798,0.4826367,-0.4661715,0.7908542,-25.87056,-11.54652,-31.45292
20.950466633,3.219692,-8.67779800000001,-2.853161,0.4718786,-0.4672823,0.7895058,-25.87056,-11.54652,-31.45292
20.960378647,3.219692,-9.66808199999998,-2.546346,0.4726796,-0.4698011,0.7693149,-25.87056,-11.54652,-31.45292
20.97276783,4.768144,-8.79430199999998,-1.871354,0.4923161,-0.4714668,0.7748842,-25.87056,-11.54652,-31.45292
