Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
16.323954105,-8.67241400000003,-4.425405,-0.2759189,0.09793835,0.1387461,0.6539143,-18.58952,-25.72568,-17.95435
16.33386755,-17.34374,-8.15353100000001,-0.3372818,0.0920883,0.1645354,0.6858307,-18.58952,-25.72568,-17.95435
16.343780041,-25.70538,-11.06613,-0.3986447,0.09272167,0.1638894,0.7468006,-18.58952,-25.72568,-17.95435
16.353693009,-33.8812,-13.92048,0.828613499999998,0.1038043,0.1042022,0.8039194,-18.58952,-25.72568,-17.95435
16.363605976,-38.34074,-17.93986,3.344493,0.1173853,0.01774429,0.8349083,-18.58952,-25.72568,-17.95435
16.373518944,-37.96911,-23.4738,5.92173499999998,0.1398828,-0.06561662,0.8807203,-18.2088,-26.09841,-17.50543
16.383431912,-33.32376,-28.13395,8.06943700000002,0.17115,-0.1352252,0.939507,-18.2088,-26.09841,-17.50543
16.393344879,-26.82026,-32.4446,8.80579200000003,0.1701031,-0.1369762,0.9783978,-18.2088,-26.09841,-17.50543
16.40325737,-19.3877,-34.83293,5.86037199999999,0.2548207,-0.1497487,1.023144,-18.2088,-26.09841,-17.50543
16.413170815,-13.50358,-34.07565,2.730864,0.2711592,-0.0994455,1.054058,-18.2088,-26.09841,-17.50543
16.423083305,-10.65443,-33.95915,0.1536215,0.2866363,-0.08860611,1.050146,-18.59437,-25.35108,-17.95551
16.43299675,-8.67241400000003,-34.59992,-1.073637,0.2873313,-0.06532646,1.049815,-18.59437,-25.35108,-17.95551
16.442909241,-7.557528,-35.00768,-1.687266,0.301636,-0.02582,1.060509,-18.59437,-25.35108,-17.95551
16.452821732,-6.318768,-33.55138,-1.687266,0.3233597,-0.01447039,1.046459,-18.59437,-25.35108,-17.95551
16.465213299,-2.602484,-30.9883,-1.625903,0.3362573,-0.04689809,1.026437,-19.70446,-26.09697,-17.11218
16.47512579,2.66225,-28.77472,-0.828185100000001,0.3606966,-0.08927505,1.023528,-19.70446,-26.09697,-17.11218
16.485039234,7.30760400000002,-25.74562,0.3377102,0.3558437,-0.1088294,1.004236,-19.70446,-26.09697,-17.11218
16.494951725,10.34257,-24.05632,3.037678,0.3321639,-0.1472812,0.9388979,-19.70446,-26.09697,-17.11218
16.50486517,13.19172,-26.67765,5.124017,0.3001294,-0.09830255,0.9241554,-19.70446,-26.09697,-17.11218
16.51477766,11.82908,-29.18249,6.044461,0.3300079,-0.02913034,0.9147367,-20.453,-25.71694,-15.76031
16.524690151,6.06884200000002,-29.59025,3.160404,0.3400065,0.03280039,0.8656005,-20.453,-25.71694,-15.76031
16.534603596,-1.177909,-32.6776,-2.853161,0.3593888,0.0388073,0.855378,-20.453,-25.71694,-15.76031
16.544516087,-10.40668,-33.37663,-7.27128999999997,0.3589676,0.02396276,0.8922552,-20.453,-25.71694,-15.76031
16.554428577,-17.46762,-32.21159,-9.29626599999999,0.4007535,-0.006131809,0.878704,-20.453,-25.71694,-15.76031
16.564342022,-16.66242,-31.57082,-9.90989499999997,0.4078301,-0.03129169,0.8717487,-21.57253,-26.09346,-16.20303
16.574254513,-11.088,-30.63879,-8.06900800000002,0.484987,-0.07500549,0.8582597,-21.57253,-26.09346,-16.20303
16.584167957,-2.912175,-28.65822,-4.878137,0.4520589,-0.04184444,0.8808724,-21.57253,-26.09346,-16.20303
16.594080448,3.529382,-27.9592,-2.914524,0.4408394,-0.02587384,0.9022096,-21.57253,-26.09346,-16.20303
16.603993416,3.591321,-30.23102,1.012702,0.4406252,-0.0079365,0.9023311,-21.57253,-26.09346,-16.20303
16.613906383,0.1847278,-30.87179,3.099041,0.4471856,-0.0101898,0.9195411,-21.94704,-25.71366,-14.91734
16.623819351,-3.283803,-28.25046,4.75584,0.471676,-0.008886008,0.9250851,-21.94704,-25.71366,-14.91734
16.633732319,-4.64644,-24.63884,5.430832,0.561128,-0.05240977,0.9186863,-21.94704,-25.71366,-14.91734
16.643645286,-6.00907800000001,-19.33791,5.369469,0.5151966,-0.09369653,0.9212368,-21.94704,-25.71366,-14.91734
16.653557777,-4.398688,-17.24084,6.22854899999998,0.5149077,-0.1406673,0.9334106,-21.94704,-25.71366,-14.91734
16.663471222,0.866046300000002,-18.05636,8.86715399999999,0.5203463,-0.1498371,0.9284977,-23.43762,-26.08655,-14.45869
16.673383713,7.05985200000002,-19.1049,10.09441,0.5159319,-0.1345379,0.8974301,-23.43762,-26.08655,-14.45869
16.683296204,10.59032,-19.92043,8.80579200000003,0.4990411,-0.08732796,0.8791746,-23.43762,-26.08655,-14.45869
16.693209648,11.64327,-18.75539,7.27171900000003,0.4931004,-0.03476538,0.8382862,-23.43762,-26.08655,-14.45869
16.703122139,7.30760400000002,-16.30881,5.18538,0.4971787,-0.01439019,0.8307016,-23.43762,-26.08655,-14.45869
16.713035583,0.1847278,-13.39621,2.730864,0.5038345,-0.005134877,0.8230192,-23.81997,-25.33556,-14.00934
16.722948074,-5.637449,-11.00788,0.03089567,0.492538,0.03347419,0.8156984,-23.81997,-25.33556,-14.00934
16.732861042,-8.61047599999998,-10.65837,-2.546346,0.5083469,0.05789639,0.8123538,-23.81997,-25.33556,-14.00934
16.745252132,-8.61047599999998,-10.65837,-3.589516,0.5366224,0.06430974,0.8591905,-23.81997,-25.33556,-14.00934
16.755165577,-6.93814800000003,-9.49332599999999,-2.300895,0.546742,0.06217029,0.8898128,-23.81997,-25.33556,-14.00934
16.765078068,-5.018068,-7.16324699999999,-0.644096300000003,0.5599734,0.02406266,0.8956786,-24.18292,-26.08295,-13.55537
16.774990559,-3.903184,-4.192397,1.074065,0.5608652,-0.005965494,0.8997918,-24.18292,-26.08295,-13.55537
16.784904003,-5.018068,-2.619594,2.424049,0.5304806,-0.04759623,0.8921129,-24.18292,-26.08295,-13.55537
16.794816494,-6.87620999999998,-1.920571,2.23996,0.513732,-0.0846938,0.884338,-24.18292,-26.08295,-13.55537
16.804729462,-7.557528,-0.1147597,1.012702,0.504757,-0.1114753,0.8837625,-24.18292,-26.08295,-13.55537
16.814642429,-6.56652,0.875523700000001,-0.644096300000003,0.4932099,-0.1139635,0.8992178,-24.55718,-26.08298,-13.55342
16.824555397,-5.327759,0.5842639,-1.932717,0.4741485,-0.1005395,0.9158089,-24.55718,-26.08298,-13.55342
16.834468365,-3.965122,-1.221547,-2.239532,0.4404173,-0.08778758,0.9315708,-24.55718,-26.08298,-13.55342
16.844381332,-1.79729,-3.37687,-1.99408,0.4171856,-0.06918135,0.9290287,-24.55718,-26.08298,-13.55342
16.854293823,0.2466658,-4.774917,-0.644096300000003,0.3967847,-0.05351879,0.9129963,-24.55718,-26.08298,-13.55342
16.864206791,1.361551,-5.357436,0.6445247,0.3660206,-0.0438879,0.8806943,-25.30432,-26.08147,-13.16406
16.874119759,1.547365,-6.34771999999997,1.871783,0.3488115,-0.03829821,0.8780097,-25.30432,-26.08147,-13.16406
16.884032726,0.494418,-8.03702600000001,2.546775,0.3285972,-0.03619711,0.864286,-25.30432,-26.08147,-13.16406
16.893945694,-0.2488386,-9.90108999999998,2.976315,0.3202081,-0.02560942,0.8692358,-25.30432,-26.08147,-13.16406
16.903858185,-0.2488386,-12.52243,3.037678,0.3183368,-0.04217527,0.858099,-25.30432,-26.08147,-13.16406
16.913771629,1.237675,-15.84279,3.221767,0.3262388,-0.05374371,0.852187,-24.93491,-25.70684,-13.16716
16.92368412,3.157754,-18.17287,3.528581,0.3322762,-0.06675261,0.853485,-24.93491,-25.70684,-13.16716
16.933596611,5.263648,-20.44469,3.160404,0.3442133,-0.08454929,0.8522957,-24.93491,-25.70684,-13.16716
16.943510056,6.62628499999997,-22.42526,2.792227,0.3520553,-0.09273438,0.8444861,-24.93491,-25.70684,-13.16716
16.953422546,7.369542,-24.34758,3.405856,0.3774396,-0.08853517,0.8452397,-24.93491,-25.70684,-13.16716
16.963335991,8.23667399999998,-26.67765,4.571751,0.3958482,-0.1135095,0.8468237,-25.30432,-26.08147,-13.16406
16.973248482,10.09482,-28.94948,5.79900900000001,0.4247758,-0.1165219,0.8508575,-25.30432,-26.08147,-13.16406
16.983161449,12.26265,-30.81354,7.33308200000001,0.4328767,-0.09555214,0.8547635,-25.30432,-26.08147,-13.16406
16.993074417,13.68722,-32.61935,7.88534800000001,0.4511748,-0.103023,0.8660683,-25.30432,-26.08147,-13.16406
17.002987385,15.29761,-33.95915,8.13079899999997,0.4576391,-0.1116678,0.8664312,-25.30432,-26.08147,-13.16406
17.012900352,16.28862,-34.77468,7.88534800000001,0.4614457,-0.06070222,0.8681759,-26.43842,-24.95411,-12.26226
17.02281332,14.49242,-37.10476,7.82398500000003,0.4588251,-0.04472678,0.8697471,-26.43842,-24.95411,-12.26226
17.035204411,13.12978,-38.21154,8.62170300000002,0.4857859,-0.02825704,0.895536,-26.43842,-24.95411,-12.26226
17.045116901,11.33358,-37.45427,9.66487199999998,0.4949198,-0.01066109,0.9008505,-26.43842,-24.95411,-12.26226
17.055030346,10.03288,-34.71642,10.03305,0.497381,-0.009158513,0.9041989,-26.43842,-24.95411,-12.26226
17.064942837,7.369542,-32.21159,9.72623500000002,0.5016552,0.0005869023,0.9032639,-27.18257,-24.94921,-11.03772
17.074855804,6.006905,-30.46403,9.91032400000003,0.5053445,-0.0221584,0.9025981,-27.18257,-24.94921,-11.03772
17.084768772,5.20171,-29.06598,9.66487199999998,0.5005057,0.003412174,0.8898489,-27.18257,-24.94921,-11.03772
17.09468174,4.706205,-27.37668,8.86715399999999,0.4984862,0.0009155106,0.8807279,-27.18257,-24.94921,-11.03772
17.104594231,4.210701,-25.10485,8.31488799999999,0.5030988,-0.002821551,0.8969858,-27.18257,-24.94921,-11.03772
17.114507675,2.910002,-23.00778,7.76262199999999,0.4858771,0.04104992,0.8902349,-29.03932,-26.07314,-11.02453
17.124420166,0.680232200000002,-20.32819,6.78081600000001,0.4876768,0.01441217,0.8914813,-29.03932,-26.07314,-11.02453
17.134333611,-3.71737,-18.23112,5.369469,0.4772838,0.01665765,0.8819892,-29.03932,-26.07314,-11.02453
17.144246101,-7.61946700000001,-16.36706,4.510388,0.453489,-0.01721546,0.8584559,-29.03932,-26.07314,-11.02453
17.154158592,-8.79629,-15.14377,3.589944,0.4460524,-0.03297025,0.8300904,-29.03932,-26.07314,-11.02453
17.164072037,-9.35373199999999,-14.38649,3.405856,0.4748523,0.07516179,0.856473,-29.81532,-23.8238,-10.57785
17.173984528,-13.93715,-13.39621,5.062654,0.4622352,-0.03079246,0.8371576,-29.81532,-23.8238,-10.57785
