Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
58.350476742,-0.1812532,-0.9643394,-0.4007237,0.4169213,0.1226104,0.8894954,-13.94067,-31.38184,-11.85729
58.360385418,-0.3051293,-0.906087499999999,-0.3393608,0.4145464,0.1221284,0.8957562,-13.94067,-31.38184,-11.85729
58.372771263,-0.862571799999999,-1.139095,-0.2779979,0.4161533,0.1124635,0.8980778,-14.31493,-31.38187,-11.85535
58.382679939,-0.676757600000001,-1.313851,-0.4620866,0.4181573,0.1047082,0.8936861,-14.31493,-31.38187,-11.85535
58.392588616,-0.5528815,-1.022591,-0.216635,0.423134,0.1048148,0.9022837,-14.31493,-31.38187,-11.85535
58.402497768,-0.2431913,-1.022591,-0.4007237,0.4256514,0.1024441,0.906566,-14.31493,-31.38187,-11.85535
58.412406445,-0.3051293,-0.5565757,-0.4007237,0.4240437,0.1125963,0.9047279,-14.31493,-31.38187,-11.85535
58.422315121,-0.4290054,-0.673079599999999,-0.584812499999998,0.4256033,0.1072971,0.9075592,-14.69888,-30.63271,-11.85571
58.432223797,-0.800633699999999,0.5502116,-0.8302642,0.4351353,0.1155836,0.8931214,-14.69888,-30.63271,-11.85571
58.44213295,-1.977457,3.229802,-0.8302642,0.4403285,0.1145789,0.8738604,-14.69888,-30.63271,-11.85571
58.452041626,-4.702731,5.26862,-1.443893,0.4279364,0.1192164,0.8629622,-14.69888,-30.63271,-11.85571
58.461950302,-7.24219100000002,4.860857,-1.934796,0.4111926,0.1296779,0.863667,-14.69888,-30.63271,-11.85571
58.471858978,-7.48994399999999,3.346306,-2.4257,0.409014,0.1317371,0.8920301,-14.69888,-30.63271,-11.85571
58.481768131,-5.631802,2.064763,-2.609788,0.4162288,0.1300638,0.9260435,-14.69888,-30.63271,-11.85571
58.491676808,-2.472961,1.423991,-2.671151,0.4218223,0.1165844,0.9311838,-14.69888,-30.63271,-11.85571
58.501585484,0.3761892,1.365739,-2.302974,0.4262065,0.1171188,0.9301865,-14.69888,-30.63271,-11.85571
58.51149416,1.119446,1.132731,-2.302974,0.4147299,0.1129555,0.9028958,-14.69888,-30.63271,-11.85571
58.521403313,0.2523131,1.016227,-2.241611,0.4057443,0.1073836,0.8784537,-13.93929,-31.38027,-11.47183
58.531311989,-1.420014,1.074479,-2.180248,0.3925521,0.09795504,0.8684296,-13.93929,-31.38027,-11.47183
58.541220665,-3.835598,0.5502116,-2.364337,0.3906274,0.09453211,0.8674642,-13.93929,-31.38027,-11.47183
58.551129341,-5.81761599999998,0.2006998,-2.241611,0.3933032,0.08590245,0.8798662,-13.93929,-31.38027,-11.47183
