Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
163.389864922,0.911537699999999,-2.367369,-0.2988266,0.9976404,0.03243298,-0.07686534,-33.53241,-42.87033,4.851516
163.399724007,1.03577,-3.260003,-0.973159599999999,0.9929006,0.0246214,-0.07255092,-33.53241,-42.87033,4.851516
163.409582615,1.532697,-4.866744,-1.708796,1.004168,0.02437249,-0.03581525,-33.53241,-42.87033,4.851516
163.4194417,2.526551,-6.652012,-2.996159,1.007528,0.008896504,-0.01826337,-33.53241,-42.87033,4.851516
163.429301262,0.849421699999999,-10.04402,-2.934855,0.9815344,0.0301298,-0.004296111,-33.16546,-42.14369,4.457961
163.439160347,-0.641360199999998,-14.50719,-2.934855,0.9888569,0.02593155,0.02671206,-33.16546,-42.14369,4.457961
163.449019909,2.340204,-19.14889,-4.712642,1.010041,-0.001533507,0.04917993,-33.16546,-42.14369,4.457961
163.461342812,1.594813,-26.528,-5.264369,1.007658,0.02287415,0.07529665,-33.16546,-42.14369,4.457961
163.471202374,-1.014056,-34.74023,-6.18391400000002,1.010164,0.04585956,0.09989408,-33.16546,-42.14369,4.457961
163.481061459,-4.865242,-43.25001,-7.59388300000003,1.018007,0.002751737,0.1348792,-33.52919,-42.86409,5.299613
163.490920544,-6.85295199999998,-54.14014,-8.32951900000003,1.015913,-0.01474576,0.1453038,-33.52919,-42.86409,5.299613
163.500779152,-8.77854399999999,-66.10144,-10.84294,1.024016,0.0004020627,0.1429202,-33.52919,-42.86409,5.299613
163.510638714,-13.25089,-78.3602799999999,-14.27591,1.071234,-0.03035543,0.1343204,-33.52919,-42.86409,5.299613
163.520497799,-16.72938,-89.9645200000001,-17.77018,1.116811,-0.08607502,0.09103105,-33.52919,-42.86409,5.299613
163.530357361,-18.03382,-100.5571,-21.01924,1.176064,-0.1071506,0.04065114,-33.14626,-42.85059,6.577958
163.540216446,-18.53074,-108.0552,-23.83918,1.278029,-0.1282937,0.001162691,-33.14626,-42.85059,6.577958
163.550075054,-18.03382,-111.3877,-25.86217,1.436462,-0.1603256,0.03888706,-33.14626,-42.85059,6.577958
163.559934139,-13.18878,-114.1847,-34.07678,1.497095,-0.1973066,-0.103653,-33.14626,-42.85059,6.577958
163.569793701,-2.442722,-115.4939,-40.6362,1.562593,-0.2614051,-0.09266832,-33.14626,-42.85059,6.577958
163.579652786,8.73814300000001,-116.446,-45.47913,1.530154,-0.2271229,-0.2169877,-32.00069,-42.81632,9.964894
163.589511394,20.04324,-113.8276,-49.34122,1.592216,-0.2567261,-0.2123717,-32.00069,-42.81632,9.964894
163.599370956,24.08077,-112.0423,-49.09601,1.626036,-0.1812212,-0.141295,-32.00069,-42.81632,9.964894
163.609230041,30.10602,-111.3282,-49.77034,1.614444,-0.1666362,-0.1175259,-32.00069,-42.81632,9.964894
163.619089126,38.98859,-103.7706,-47.31823,1.535959,-0.05794514,-0.1447212,-32.00069,-42.81632,9.964894
163.628947735,46.00769,-102.8185,-51.36422,1.455929,0.02044076,-0.2042565,-29.78588,-44.26241,13.68151
163.641271591,59.7353099999998,-92.64243,-49.77034,1.417815,-0.009937151,-0.2993304,-29.78588,-44.26241,13.68151
163.651131153,71.5994499999998,-84.2516600000002,-47.99256,1.319244,-0.06303516,-0.4708854,-29.78588,-44.26241,13.68151
163.660990238,83.5878200000002,-77.8842099999998,-43.21092,1.165827,0.07735665,-0.6913002,-29.78588,-44.26241,13.68151
163.6708498,83.8362900000002,-83.59706,-36.6515,1.074119,0.2623905,-0.8317122,-26.75849,-43.85218,19.16747
163.680708408,76.69296,-89.8455000000003,-35.48675,1.164553,0.3713415,-0.669633,-26.75849,-43.85218,19.16747
163.690567493,71.1025200000001,-82.6449199999999,-38.12278,1.141852,0.497837,-0.7521018,-26.75849,-43.85218,19.16747
163.700426578,78.1837399999999,-80.62162,-41.86226,1.016526,0.6413293,-0.9906211,-26.75849,-43.85218,19.16747
163.71028614,74.1462,-87.9412200000001,-46.03086,0.9650836,0.6213232,-1.013537,-26.75849,-43.85218,19.16747
163.720144749,66.1953700000001,-95.4988500000002,-45.90826,0.9996816,0.4875177,-0.9619688,-26.75849,-43.85218,19.16747
163.730003834,50.79062,-95.1417999999999,-42.84311,1.061989,0.2825458,-0.8783308,-23.72958,-42.69495,25.41406
163.739863396,39.48552,-93.9516199999997,-38.6132,1.0401,0.1955345,-0.8020812,-23.72958,-42.69495,25.41406
163.749722481,31.41045,-92.3448799999999,-34.99632,0.9996372,0.1804851,-0.697166,-23.72958,-42.69495,25.41406
163.759581566,22.09306,-87.6436700000001,-28.98863,0.9648528,0.1638333,-0.6436197,-23.72958,-42.69495,25.41406
163.769440174,10.60162,-83.2400099999997,-21.32575,0.9103118,0.148419,-0.6027196,-23.72958,-42.69495,25.41406
163.779299736,-3.312345,-78.8363499999999,-12.49812,0.8512789,0.1113231,-0.6232761,-20.71741,-41.19809,29.60844
163.789158821,-16.29457,-73.7185799999999,-4.406127,0.7928363,0.1063481,-0.6440491,-20.71741,-41.19809,29.60844
163.799018383,-29.02833,-70.9811699999998,2.214596,0.7452158,0.09953261,-0.6621166,-20.71741,-41.19809,29.60844
163.811342239,-42.75595,-66.5180000000001,8.89662299999997,0.7125996,0.1100288,-0.6409577,-20.71741,-41.19809,29.60844
163.821200848,-51.26583,-62.1738500000002,13.92347,0.676824,0.13557,-0.622981,-17.71198,-40.0863,32.59032
163.831059933,-56.66991,-55.56836,15.70126,0.6393638,0.1382249,-0.6051735,-17.71198,-40.0863,32.59032
163.840919018,-56.54568,-48.24876,17.35644,0.5956262,0.1158121,-0.6392416,-17.71198,-40.0863,32.59032
163.85077858,-51.45218,-43.90461,17.66295,0.5473947,0.09409291,-0.6075897,-17.71198,-40.0863,32.59032
163.860637188,-46.54502,-39.44144,18.82771,0.5145282,0.06035939,-0.5719451,-17.71198,-40.0863,32.59032
163.870496273,-41.20305,-35.2163,22.50589,0.4614711,0.08960921,-0.5623165,-16.21108,-40.09198,33.41478
163.880355835,-34.30819,-30.45559,24.59019,0.4189254,0.1354825,-0.556531,-16.21108,-40.09198,33.41478
163.89021492,-27.04062,-25.09978,25.08061,0.3918588,0.1680446,-0.5036377,-16.21108,-40.09198,33.41478
163.900073528,-21.01538,-19.14889,24.34498,0.349177,0.1671446,-0.5131001,-16.21108,-40.09198,33.41478
163.909932613,-15.2386,-15.34032,23.85456,0.2980637,0.1320973,-0.5251266,-16.21108,-40.09198,33.41478
163.919792175,-10.64202,-13.67407,24.28368,0.2545723,0.07850817,-0.5685661,-16.21108,-40.09198,33.41478
163.92965126,-5.548518,-12.78143,26.30667,0.2191937,0.03874024,-0.5789399,-15.83655,-40.83883,32.97229
163.939509869,-2.00791,-11.2342,28.39098,0.2134819,0.008951608,-0.5934858,-15.83655,-40.83883,32.97229
163.949369431,0.600958099999998,-10.40108,28.57489,0.2027129,-0.01018649,-0.6107451,-15.83655,-40.83883,32.97229
163.959228516,1.719045,-11.2342,28.32967,0.1735987,-0.02990789,-0.6104966,-15.83655,-40.83883,32.97229
163.969087601,3.147711,-12.66241,27.10361,0.1643584,-0.0602448,-0.6331433,-15.83655,-40.83883,32.97229
163.981411457,7.74428800000002,-13.49554,24.59019,0.169534,-0.125896,-0.6342503,-16.21229,-40.46637,32.97045
163.991270065,14.20434,-13.49554,22.99631,0.1711947,-0.1997681,-0.6133335,-16.21229,-40.46637,32.97045
164.001129627,20.85075,-14.03112,23.24153,0.1726909,-0.2406227,-0.6113035,-16.21229,-40.46637,32.97045
164.010988712,29.29851,-14.38817,21.58634,0.2153235,-0.2377838,-0.6037409,-16.21229,-40.46637,32.97045
