Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
90.080900192,4.141565,3.643033,0.2529004,0.9978296,0.04943968,-0.08391249,-34.21988,-42.86687,4.534989
90.090758801,3.644638,3.583524,0.3142034,0.9939653,0.05137198,-0.07856993,-34.21988,-42.86687,4.534989
90.100618362,3.209827,3.583524,0.2529004,0.9907095,0.0460192,-0.07090151,-34.21988,-42.86687,4.534989
90.110476971,2.464436,3.583524,0.1915974,0.998535,0.05048213,-0.06714178,-32.78449,-42.87807,4.911667
90.120335102,1.967508,3.28598,0.2529004,0.9972739,0.04466927,-0.05710968,-32.78449,-42.87807,4.911667
90.130194664,1.781161,2.928926,0.3142034,0.9961553,0.04217949,-0.06957392,-32.78449,-42.87807,4.911667
90.140053272,1.905392,2.631382,0.007688423,1.005779,0.04954384,-0.07492013,-32.78449,-42.87807,4.911667
90.149911881,1.967508,2.928926,-0.05361458,0.9970547,0.04607144,-0.0719499,-32.78449,-42.87807,4.911667
90.159770489,1.843277,2.869417,-0.05361458,0.9994088,0.04606697,-0.07869228,-33.84218,-42.49146,5.361465
90.169629097,1.656929,2.869417,0.0689914200000002,1.001398,0.04609348,-0.0763244,-33.84218,-42.49146,5.361465
90.179488182,1.408465,2.988435,-0.05361458,0.9984127,0.04702967,-0.07914916,-33.84218,-42.49146,5.361465
90.191811562,1.03577,2.869417,0.1302944,0.9994009,0.04508825,-0.08013803,-33.84218,-42.49146,5.361465
90.20167017,1.097885,3.107453,0.0689914200000002,0.999011,0.04608866,-0.07197764,-33.84218,-42.49146,5.361465
90.211528778,1.532697,2.988435,0.1302944,1.000147,0.03833058,-0.0672673,-33.53471,-42.87479,4.531447
90.221387863,2.215972,3.166962,-0.05361458,0.9971162,0.0480419,-0.06570455,-33.53471,-42.87479,4.531447
90.231246471,2.029624,2.928926,-0.1762206,0.9932765,0.04900476,-0.05941211,-33.53471,-42.87479,4.531447
90.24110508,1.346349,2.631382,-0.05361458,0.9922101,0.05531795,-0.06030203,-33.53471,-42.87479,4.531447
90.250963688,0.3524944,2.274328,-0.1762206,0.9957509,0.05098744,-0.05559704,-33.53471,-42.87479,4.531447
90.26082325,-0.5171283,1.738747,-0.1149176,0.9957841,0.0470911,-0.0565888,-33.53994,-42.51287,4.07958
90.270681858,-0.579244300000001,1.500712,-0.2988266,0.9978301,0.04176338,-0.05474612,-33.53994,-42.51287,4.07958
90.280540466,-0.4550124,1.084149,-0.05361458,1.002632,0.04324574,-0.06007325,-33.53994,-42.51287,4.07958
90.290399075,0.2903785,1.084149,-0.3601296,1.003665,0.04473451,-0.05480421,-33.53994,-42.51287,4.07958
90.30025816,0.663074000000001,0.9056224,-0.3601296,0.9956641,0.049498,-0.06327557,-33.53994,-42.51287,4.07958
90.310116768,0.787305800000002,0.667586600000001,-0.2375236,1.002475,0.05589492,-0.06044346,-33.16299,-42.51095,4.525745
90.319975376,0.1040308,0.608077699999999,-0.1762206,0.9951665,0.05242059,-0.06132702,-33.16299,-42.51095,4.525745
90.329833984,-0.3307806,0.310533,-0.2375236,0.9971227,0.04804375,-0.06522543,-33.16299,-42.51095,4.525745
90.33969307,-0.4550124,0.1915152,-0.2375236,0.9943197,0.04024381,-0.06237611,-33.16299,-42.51095,4.525745
90.349551678,-0.3307806,0.310533,-0.3601296,0.9957363,0.04121874,-0.06526327,-33.16299,-42.51095,4.525745
90.359410286,-0.3928965,0.07249729,-0.3601296,1.00105,0.04466471,-0.06722672,-33.53994,-42.51287,4.07958
90.371733666,-0.889823900000002,0.1320062,-0.4827355,0.999092,0.04806468,-0.06429493,-33.53994,-42.51287,4.07958
90.381593227,-1.200403,0.370042,-0.5440385,1.003521,0.04908772,-0.06147423,-33.53994,-42.51287,4.07958
90.391451836,-1.014056,0.1915152,-0.6053416,1.002038,0.04711736,-0.06434491,-33.53994,-42.51287,4.07958
90.401310444,-0.579244300000001,0.07249729,-0.6666446,0.9965619,0.04801902,-0.07048884,-33.16019,-43.62163,4.08896
90.411169052,-0.2686647,-0.2250474,-0.6666446,0.9971364,0.04414184,-0.06765455,-33.16019,-43.62163,4.08896
90.421028137,-0.0823169599999999,0.1915152,-0.789250600000002,0.9946534,0.04948011,-0.06565731,-33.16019,-43.62163,4.08896
90.430886746,-0.1444329,0.1915152,-0.789250600000002,0.9956452,0.04119274,-0.07197098,-33.16019,-43.62163,4.08896
90.440745354,0.04191487,0.310533,-0.789250600000002,1.010283,0.04424135,-0.07215388,-33.16019,-43.62163,4.08896
90.450603962,-0.2065488,0.2510241,-0.850553500000001,1.000036,0.05099276,-0.06428366,-33.16019,-43.62163,4.08896
90.460463047,-0.4550124,0.370042,-0.973159599999999,1.000088,0.04710199,-0.06383804,-33.90965,-43.24485,4.089053
90.470321655,-0.3307806,0.1915152,-0.911856500000002,0.9995919,0.04660739,-0.06479354,-33.90965,-43.24485,4.089053
