Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
26.192822933,1.626294,0.729926999999997,-0.04882693,0.2875605,-0.2422906,0.8997091,-9.419346,-20.71431,-26.32329
26.202708721,1.626294,1.024139,-0.3542839,0.2890082,-0.2437328,0.9011608,-9.426443,-20.3279,-25.87462
26.212595463,0.7559403,1.494879,-0.3542839,0.2880409,-0.2457434,0.8968415,-9.426443,-20.3279,-25.87462
26.222481251,0.0720904500000002,1.612564,-0.1710097,0.2831857,-0.25518,0.8838989,-9.426443,-20.3279,-25.87462
26.232367516,0.2585949,0.788769499999999,-0.1710097,0.2831887,-0.2586821,0.8776646,-9.426443,-20.3279,-25.87462
26.24225378,0.9424447,0.3768721,-0.04882693,0.2792973,-0.2631001,0.874797,-9.426443,-20.3279,-25.87462
26.252140045,1.004613,0.2003446,0.01226447,0.2807612,-0.258176,0.8786211,-9.424649,-19.95103,-25.94478
26.262025833,0.5072676,-0.2703952,0.01226447,0.2860845,-0.2600768,0.8824841,-9.424649,-19.95103,-25.94478
26.271911621,-0.05224587,0.3768721,0.1344473,0.2851177,-0.2576113,0.8843942,-9.424649,-19.95103,-25.94478
26.281798363,-0.2387504,0.729926999999997,-0.1710097,0.2841446,-0.2585905,0.8839172,-9.424649,-19.95103,-25.94478
26.291684151,-0.114414,1.259509,-0.4153753,0.2865918,-0.2527519,0.8838905,-9.424649,-19.95103,-25.94478
26.301570416,0.1964268,1.436037,-0.2931925,0.2928893,-0.2546763,0.8863119,-9.047689,-19.95656,-25.9362
26.311456204,0.7559403,1.318352,-0.1710097,0.2856036,-0.2581137,0.8834355,-9.047689,-19.95656,-25.9362
26.323814392,0.9424447,1.259509,-0.2321011,0.2831626,-0.2605076,0.8858495,-9.047689,-19.95656,-25.9362
26.33370018,0.5694358,0.729926999999997,-0.1710097,0.2821823,-0.2649242,0.883466,-9.047689,-19.95656,-25.9362
26.343586922,0.2585949,0.5533996,0.1344473,0.278762,-0.269751,0.8858911,-9.047689,-19.95656,-25.9362
26.35347271,0.0720904500000002,0.0826596800000002,0.1955387,0.2807002,-0.2707287,0.8858983,-9.050166,-20.71148,-25.86074
26.363358498,-0.3009185,-0.03502529,0.1955387,0.2850793,-0.2693124,0.8834915,-9.050166,-20.71148,-25.86074
26.373244763,-0.5495912,0.1415022,0.1344473,0.2802288,-0.2653426,0.8877942,-9.050166,-20.71148,-25.86074
26.383131027,-0.611759299999997,0.4945571,-0.04882693,0.2807608,-0.2606611,0.8752672,-9.050166,-20.71148,-25.86074
26.393017292,-0.5495912,0.5533996,-0.1710097,0.2788085,-0.262082,0.8776768,-9.050166,-20.71148,-25.86074
26.40290308,-0.1765822,0.4357146,-0.2321011,0.2802476,-0.2639681,0.8820162,-9.049055,-20.71268,-25.92559
26.412788868,0.2585949,0.2591871,-0.1710097,0.282176,-0.2633914,0.8882675,-9.049055,-20.71268,-25.92559
26.42267561,0.693772100000003,0.02381719,-0.2321011,0.2807035,-0.2687593,0.8873311,-9.049055,-20.71268,-25.92559
26.432561874,0.9424447,-0.03502529,-0.1710097,0.2826559,-0.2713202,0.8791707,-9.049055,-20.71268,-25.92559
26.442447662,1.066781,-0.3880802,0.01226447,0.2826485,-0.2697802,0.8844529,-9.049055,-20.71268,-25.92559
26.452334404,0.631603899999999,-0.5057651,0.1955387,0.2826858,-0.2640447,0.8772101,-9.049483,-20.33343,-25.86604
26.462220192,-0.2387504,-0.0938677799999998,0.1955387,0.2846279,-0.262559,0.8791286,-9.049483,-20.33343,-25.86604
26.47210598,-0.673927500000001,-0.0938677799999998,0.1955387,0.283648,-0.2624995,0.8829745,-9.049483,-20.33343,-25.86604
26.481992245,-0.736095699999999,-0.03502529,0.0733558600000001,0.282189,-0.2629764,0.8834562,-9.049483,-20.33343,-25.86604
