Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-2.041627,0.3180296,-0.04882693,1.004731,-0.06566357,0.040707,-37.08765,-30.66891,6.483688
0.02965498,-1.730786,-0.85882,0.1955387,1.009616,-0.06437773,0.02964487,-37.0803,-30.29801,6.089268
0.02965498,-1.730786,-0.85882,0.1955387,1.009616,-0.06437773,0.02964487,-37.0803,-30.29801,6.089268
0.039539814,-0.9226002,-1.388402,0.1955387,1.010607,-0.06003308,0.02721944,-37.0803,-30.29801,6.089268
0.049425125,-0.7360957,-1.153032,0.1344473,1.013494,-0.06336116,0.03301059,-37.0803,-30.29801,6.089268
0.059310436,-1.046937,-0.5057651,-0.04882693,1.014983,-0.05013736,0.03823559,-37.0803,-30.29801,6.089268
0.069195747,-1.60645,-0.3880802,-0.1710097,1.017433,-0.04182811,0.04060099,-37.46393,-30.28532,6.469804
0.079080105,-1.668618,-0.5057651,-0.1099183,1.018411,-0.03888677,0.04203001,-37.46393,-30.28532,6.469804
0.088965416,-1.60645,-0.03502529,-0.2931925,1.018416,-0.03593632,0.04393879,-37.46393,-30.28532,6.469804
0.101322174,-1.544282,0.5533996,-0.4153753,0.9999818,-0.04044061,0.03336032,-37.46393,-30.28532,6.469804
0.111207008,-1.855123,0.02381719,0.1344473,0.9606522,-0.05818787,0.01368752,-37.46461,-30.66338,6.475108
0.12109232,-0.1765822,-0.6822926,1.173001,0.9921541,-0.08332901,-0.002500927,-37.46461,-30.66338,6.475108
0.130977154,12.19488,3.613209,3.799931,1.035961,-0.1065865,-0.08649477,-37.46461,-30.66338,6.475108
0.140862465,11.44886,-0.2703952,1.295184,0.9985342,-0.04198487,0.02759543,-37.46461,-30.66338,6.475108
0.150747299,4.48603,-0.5646076,0.6231784,0.9975469,-0.01799103,0.06883227,-37.46461,-30.66338,6.475108
0.16063261,-0.9226002,-0.2115527,0.6842698,1.010092,-0.05735287,0.04355662,-37.45726,-30.29248,6.080688
0.170517921,-2.041627,-0.9176625,1.11191,1.012008,-0.07013958,0.03544776,-37.45726,-30.29248,6.080688
0.180402279,-0.1765822,-2.03567,1.173001,1.020752,-0.07816374,0.02107062,-37.45726,-30.29248,6.080688
0.19028759,1.812799,-2.03567,0.9286354,1.018811,-0.06771109,0.03592414,-37.45726,-30.29248,6.080688
0.200172901,2.434481,-1.8003,0.562087,1.013979,-0.05390157,0.04691005,-37.45726,-30.29248,6.080688
0.210058212,2.310144,-1.623772,0.01226447,1.015464,-0.04413674,0.04878608,-36.71137,-31.0525,6.497572
0.219943047,1.626294,-1.211875,-0.843015,1.015954,-0.03520725,0.05980269,-36.71137,-31.0525,6.497572
0.229828358,0.6937721,-1.153032,-1.698295,1.001404,-0.03425493,0.05641489,-36.71137,-31.0525,6.497572
0.239713669,0.07209045,-2.03567,-2.125934,0.9931511,-0.03423143,0.05688631,-36.71137,-31.0525,6.497572
0.24959898,-0.3630867,-2.918307,-2.125934,0.9994929,-0.03842714,0.03767788,-36.71137,-31.0525,6.497572
0.259483337,-0.3009185,-3.742102,-2.064843,1.0015,-0.02938754,0.02368777,-37.46393,-30.28532,6.469804
0.269368649,0.3829313,-4.330527,-1.698295,1.004434,-0.02405846,0.02222142,-37.46393,-30.28532,6.469804
0.27925396,0.2585949,-4.212842,-1.453929,1.010714,-0.02587488,0.03185616,-37.46393,-30.28532,6.469804
0.289139271,-0.9226002,-2.918307,-1.209563,1.008741,-0.02617101,0.04435936,-37.46393,-30.28532,6.469804
