Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
197.179178715,0.1964268,-0.1527103,0.4399042,0.9770817,-0.07624906,-0.1824183,-50.02976,-21.38497,10.66868
197.189066887,0.2585949,-0.917662500000002,0.4399042,0.9707888,-0.075349,-0.1882011,-50.02976,-21.38497,10.66868
197.198954582,0.2585949,-1.388402,0.4399042,0.9746581,-0.07327943,-0.1795505,-50.02976,-21.38497,10.66868
197.208843231,0.0720904500000002,-1.859142,0.25663,0.9775914,-0.07192503,-0.186287,-50.02976,-21.38497,10.66868
197.218731403,0.2585949,-1.917985,0.25663,0.9829397,-0.07398406,-0.1930034,-50.40672,-21.37944,10.6601
197.228619099,0.5694358,-1.976827,0.3788128,0.9814649,-0.07635119,-0.1886648,-50.40672,-21.37944,10.6601
197.238507748,1.128949,-1.976827,0.4399042,0.9868306,-0.07205112,-0.1934896,-50.40672,-21.37944,10.6601
197.24839592,1.750631,-1.8003,0.5009956,0.9868187,-0.07446429,-0.1920347,-50.40672,-21.37944,10.6601
197.258283615,2.434481,-1.56493,0.3788128,0.9863312,-0.07942629,-0.1982621,-50.40672,-21.37944,10.6601
197.268171787,3.056162,-1.447245,0.25663,0.9829348,-0.08042223,-0.2001847,-50.03045,-21.76303,10.67398
197.28053236,4.113021,-1.682615,0.1955387,0.9799947,-0.08073802,-0.1891252,-50.03045,-21.76303,10.67398
197.290420055,4.361694,-1.976827,0.25663,0.9775871,-0.07986002,-0.1958653,-50.03045,-21.76303,10.67398
197.300308228,4.423862,-2.153355,0.25663,0.9843631,-0.08373305,-0.1934334,-50.03045,-21.76303,10.67398
197.310196877,4.361694,-2.447567,0.562087,0.9843658,-0.07927143,-0.1881658,-50.03045,-21.76303,10.67398
197.320084572,4.361694,-2.447567,0.4399042,0.9848666,-0.07887175,-0.1939383,-50.78232,-20.6178,10.64091
197.329972744,4.175189,-2.27104,0.562087,0.9805196,-0.071036,-0.1915783,-50.78232,-20.6178,10.64091
197.339861393,4.299526,-2.153355,0.562087,0.9805236,-0.07155891,-0.1939802,-50.78232,-20.6178,10.64091
197.349749565,4.237358,-2.27104,0.25663,0.9839341,-0.06517778,-0.1901612,-50.78232,-20.6178,10.64091
