Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
40.167184353,2.558817,-2.977149,-0.1710097,0.9987187,-0.07997507,-0.1030229,-25.48783,16.78709,12.43728
40.177070618,1.501958,-2.682937,-0.598649399999998,0.9904686,-0.07996595,-0.1035133,-25.48783,16.78709,12.43728
40.186956883,1.004613,-2.388725,-0.781923700000001,0.9943178,-0.09468991,-0.1106483,-25.48783,16.78709,12.43728
40.196843147,0.7559403,-2.800622,-0.965197799999999,0.9947913,-0.09610856,-0.1077551,-25.48783,16.78709,12.43728
40.206729412,0.1964268,-2.447567,-1.209563,0.9952548,-0.1044308,-0.110598,-25.0971,16.38799,11.60808
40.216615677,0.1342586,-2.859464,-0.781923700000001,0.9956819,-0.1155092,-0.1023659,-25.0971,16.38799,11.60808
40.226502419,1.066781,-3.035992,-0.843015,1.001021,-0.1195017,-0.1081107,-25.0971,16.38799,11.60808
40.23886013,1.626294,-2.918307,-0.3542839,0.9961564,-0.1129532,-0.0942026,-25.0971,16.38799,11.60808
40.248745918,1.750631,-2.565252,-0.1710097,0.9971112,-0.111859,-0.08603138,-25.0971,16.38799,11.60808
40.25863266,1.315454,-3.212519,-0.659740900000002,0.9908308,-0.1100425,-0.09566613,-25.48116,16.77993,12.04816
40.268518448,0.631603899999999,-3.271362,-0.659740900000002,0.9869734,-0.107708,-0.1028961,-25.48116,16.77993,12.04816
40.27840519,0.631603899999999,-3.624417,-0.781923700000001,0.9899169,-0.1044274,-0.111085,-25.48116,16.77993,12.04816
40.288291454,1.004613,-3.565574,-1.209563,0.9913605,-0.1063421,-0.1086691,-25.48116,16.77993,12.04816
40.298177719,2.061472,-3.742102,-1.026289,0.9928324,-0.09947739,-0.1053357,-25.48116,16.77993,12.04816
40.308063984,2.931826,-3.094834,-0.598649399999998,0.9952693,-0.09556504,-0.1039099,-25.1042,16.77441,12.05674
40.317950249,2.931826,-2.212197,-0.3542839,1.002048,-0.09597191,-0.09764816,-25.1042,16.77441,12.05674
40.327836514,2.745321,-1.56493,0.0733558600000001,0.9996218,-0.09845938,-0.1014857,-25.1042,16.77441,12.05674
40.337723255,2.683153,-1.388402,0.01226447,1.00446,-0.1073275,-0.1076874,-25.1042,16.77441,12.05674
40.347609043,2.931826,-1.09419,0.5009956,1.004447,-0.1157063,-0.1143779,-25.1042,16.77441,12.05674
40.357495785,3.242667,-0.5646076,0.623178399999998,1.002004,-0.1091267,-0.09806266,-24.7339,16.77604,12.45444
40.367381573,2.931826,-0.1527103,0.3177214,0.9961836,-0.107153,-0.0971174,-24.7339,16.77604,12.45444
40.377268314,3.056162,0.02381719,0.01226447,0.9932702,-0.10714,-0.09663986,-24.7339,16.77604,12.45444
40.387154102,3.11833,0.1415022,-0.2321011,0.9966502,-0.109524,-0.0927766,-24.7339,16.77604,12.45444
40.397040844,2.683153,-0.2115527,-0.04882693,0.9864488,-0.1099476,-0.08990054,-24.7339,16.77604,12.45444
40.406926632,2.745321,-0.4469227,-0.04882693,0.991307,-0.1060041,-0.08606757,-25.11155,16.40351,12.45116
40.416813374,2.185808,-0.3880802,0.3788128,1.0015,-0.1050288,-0.08461815,-25.11155,16.40351,12.45116
40.426699162,1.937135,0.3180296,0.3788128,1.002964,-0.1040865,-0.08654492,-25.11155,16.40351,12.45116
40.436585903,1.812799,0.729926999999997,0.4399042,1.003989,-0.09149255,-0.09093569,-25.11155,16.40351,12.45116
40.446471691,1.812799,1.436037,0.562087,1.002041,-0.09393784,-0.09188738,-25.11155,16.40351,12.45116
40.456358433,1.750631,2.200989,0.562087,0.9962328,-0.09900435,-0.1058151,-25.86478,16.79262,12.4287
40.468715668,2.745321,2.730572,0.3177214,0.9874952,-0.1059482,-0.1154084,-25.86478,16.79262,12.4287
40.478602409,3.80218,2.730572,0.0733558600000001,0.9869851,-0.1157437,-0.1192068,-25.86478,16.79262,12.4287
40.488488197,5.107712,1.671407,0.4399042,0.988427,-0.1181453,-0.1167884,-25.86478,16.79262,12.4287
40.498374939,5.480721,0.906454499999998,0.867544000000001,0.9903497,-0.1165373,-0.106695,-25.86478,16.79262,12.4287
40.508260727,5.91589799999997,0.729926999999997,1.356275,0.9990483,-0.1178069,-0.09273202,-25.1042,16.77441,12.05674
