Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
146.83,6.54184499999997,0.845588700000001,3.225362,1.018356,0.009651597,-0.06642257,-54.07246,-29.02173,-7.16109
146.84,4.490296,0.786746100000002,3.530819,1.022674,-0.008453177,-0.07161631,-54.07246,-29.02173,-7.16109
146.85,3.309101,0.845588700000001,3.653002,1.008584,-0.001864922,-0.05627615,-54.07246,-29.02173,-7.16109
146.86,2.625251,2.669706,3.164271,1.016763,-0.02531221,-0.05999573,-54.4501,-29.39427,-7.164366
146.87,2.065738,3.081603,1.209346,1.003631,-0.04004574,-0.07003555,-54.4501,-29.39427,-7.164366
146.88,1.257552,4.729193,0.5373409,0.9934537,-0.06401034,-0.1108043,-54.4501,-29.39427,-7.164366
146.89,2.190074,3.4935,-1.051035,0.9764909,-0.0701078,-0.1300296,-54.4501,-29.39427,-7.164366
146.9,5.73365900000003,1.551698,-1.234309,0.9949731,-0.0853136,-0.1674436,-55.21069,-29.37606,-6.792409
146.91,9.58808499999997,0.845588700000001,-3.372508,1.014704,-0.1136441,-0.1379418,-55.21069,-29.37606,-6.792409
146.92,15.36972,2.846233,-4.594336,1.010188,-0.1540017,-0.1343766,-55.21069,-29.37606,-6.792409
146.93,19.03765,5.023405,-5.144158,1.027038,-0.1790401,-0.1130704,-55.21069,-29.37606,-6.792409
146.94,20.90269,6.08256999999997,-3.555783,1.007538,-0.1914034,-0.0957169,-55.21069,-29.37606,-6.792409
146.95,19.16198,6.49446700000002,-3.4336,1.000749,-0.1929228,-0.1005262,-54.44874,-28.63815,-7.174973
146.96,18.29163,6.20025399999997,-0.684486900000001,0.9910473,-0.189459,-0.09815009,-54.44874,-28.63815,-7.174973
146.97,19.7215,5.199933,1.392621,0.9690271,-0.110738,-0.1125196,-54.44874,-28.63815,-7.174973
146.98,22.89207,2.78739,0.903889300000001,0.9730954,-0.05170289,-0.1046377,-54.44874,-28.63815,-7.174973
146.99,23.07858,1.139801,-0.01248159,0.9731526,-0.02320108,-0.08746848,-54.44874,-28.63815,-7.174973
