Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
192.84,-0.2662498,-0.625031200000001,0.1579641,1.004064,-0.1156868,-0.1313586,-54.64339,-14.63802,21.62909
192.85,-0.2662498,-0.625031200000001,0.2189348,1.001584,-0.1132578,-0.1260906,-54.64339,-14.63802,21.62909
192.86,-0.2047166,-0.625031200000001,0.2189348,1.003532,-0.1132369,-0.1280083,-55.40691,-13.8862,21.23247
192.87,-0.2662498,-0.3876217,0.2189348,1.005865,-0.107898,-0.1337567,-55.40691,-13.8862,21.23247
192.88,-0.2047166,-0.446974,0.0969933000000002,1.005396,-0.1089055,-0.136627,-55.40691,-13.8862,21.23247
192.89,-0.02011689,-0.446974,0.1579641,1.005976,-0.1136877,-0.1294482,-55.40691,-13.8862,21.23247
192.9,0.04141634,-0.446974,0.1579641,1.005542,-0.1166645,-0.1351895,-55.40691,-13.8862,21.23247
192.91,-0.1431834,-0.446974,0.0969933000000002,1.007436,-0.1137159,-0.1356722,-55.38333,-15.02727,21.23855
192.92,-0.2047166,-0.5656788,0.1579641,1.006372,-0.1088116,-0.128493,-55.38333,-15.02727,21.23855
192.93,-0.327783,-0.5656788,0.2189348,1.009349,-0.1116816,-0.1299331,-55.38333,-15.02727,21.23855
192.94,-0.02011689,-0.5063264,-0.02494821,1.001765,-0.1230213,-0.1313527,-55.38333,-15.02727,21.23855
192.95,0.2875493,-0.684383499999999,0.03602254,1.005444,-0.1112597,-0.1284907,-55.38333,-15.02727,21.23855
192.96,0.1644828,-0.684383499999999,0.0969933000000002,1.007264,-0.1044513,-0.1318457,-55.77549,-14.2661,21.61872
192.97,-0.0816501199999999,-0.803088199999999,0.2799056,1.001581,-0.1133631,-0.1375764,-55.77549,-14.2661,21.61872
192.98,0.226016,-0.625031200000001,0.0969933000000002,1.008916,-0.1146322,-0.1328031,-55.77549,-14.2661,21.61872
192.99,0.472149,-0.684383499999999,-0.02494821,1.007489,-0.1166699,-0.1399787,-55.77549,-14.2661,21.61872
193,0.472149,-0.803088199999999,0.03602254,1.004434,-0.1093184,-0.1265752,-55.39288,-14.64364,21.62353
193.01,0.226016,-0.625031200000001,0.2189348,1.002465,-0.1084643,-0.1351863,-55.39288,-14.64364,21.62353
193.02,0.04141634,-0.446974,0.2799056,1.003928,-0.108374,-0.1284888,-55.39288,-14.64364,21.62353
193.03,-0.1431834,-0.5063264,0.2799056,1.000139,-0.1143372,-0.1347022,-55.39288,-14.64364,21.62353
193.04,0.1644828,-0.446974,0.1579641,1.009339,-0.1112222,-0.1328047,-55.39288,-14.64364,21.62353
193.05,-0.02011689,-0.3282693,0.2189348,1.007786,-0.1064286,-0.1366318,-55.77549,-14.2661,21.61872
193.06,-0.2662498,-0.446974,0.2799056,0.9991103,-0.1114199,-0.1323082,-55.77549,-14.2661,21.61872
193.07,0.04141634,-0.446974,0.3408763,1.004063,-0.1156999,-0.1327944,-55.77549,-14.2661,21.61872
193.08,-0.0816501199999999,-0.7437359,0.03602254,1.004478,-0.1117954,-0.1318389,-55.77549,-14.2661,21.61872
193.09,-0.0816501199999999,-0.625031200000001,0.2189348,1.007475,-0.1155623,-0.1251431,-55.77549,-14.2661,21.61872
193.1,0.2875493,-0.8624406,0.4628179,1.002684,-0.1201094,-0.133748,-55.38333,-15.02727,21.23855
193.11,0.595215400000003,-0.5063264,0.2189348,1.008879,-0.1127198,-0.1361535,-55.38333,-15.02727,21.23855
193.12,0.3490825,-0.5656788,0.2799056,1.007877,-0.111295,-0.1375879,-55.38333,-15.02727,21.23855
193.13,-0.2047166,-0.2095646,0.4018471,1.007317,-0.1074053,-0.1361522,-55.38333,-15.02727,21.23855
193.14,-0.327783,-0.2689169,0.4628179,1.003457,-0.1094078,-0.1342306,-55.38333,-15.02727,21.23855
193.15,-0.573916000000001,-0.1502122,0.5237886,1.00503,-0.1151598,-0.1289676,-54.67682,-13.11278,22.07248
193.16,-0.3893163,-0.03150746,0.4628179,1.000589,-0.1124021,-0.1366177,-54.67682,-13.11278,22.07248
193.17,-0.758515700000003,-0.2095646,0.7067009,1.006987,-0.1156027,-0.1284923,-54.67682,-13.11278,22.07248
193.18,-0.820048899999998,-0.09085983,0.584759399999998,1.003071,-0.1147564,-0.13375,-54.67682,-13.11278,22.07248
193.19,-0.696982399999998,-0.3282693,0.584759399999998,1.00057,-0.111435,-0.1370965,-54.67682,-13.11278,22.07248
193.2,-0.327783,-0.2689169,0.5237886,1.004369,-0.1059356,-0.1284902,-55.39288,-14.64364,21.62353
193.21,-0.327783,-0.625031200000001,0.645730099999998,1.00525,-0.1011465,-0.1380645,-55.39288,-14.64364,21.62353
193.22,-0.2047166,-0.3282693,0.4628179,1.009709,-0.1048582,-0.1284998,-55.39288,-14.64364,21.62353
193.23,0.1029496,-0.684383499999999,0.584759399999998,1.007741,-0.1039691,-0.1332824,-55.39288,-14.64364,21.62353
193.24,0.2875493,-0.684383499999999,0.7067009,1.010644,-0.1029793,-0.1375949,-55.39288,-14.64364,21.62353
193.25,0.226016,-0.5063264,0.7067009,1.014659,-0.1092304,-0.139036,-55.39486,-14.63983,22.07503
193.26,0.1644828,-0.446974,0.950584000000001,1.004539,-0.115266,-0.1394954,-55.39486,-14.63983,22.07503
193.27,0.226016,-0.446974,0.950584000000001,1.000129,-0.1138514,-0.1347023,-55.39486,-14.63983,22.07503
193.28,0.4106157,-0.5656788,0.950584000000001,0.9946899,-0.1095591,-0.1318225,-55.39486,-14.63983,22.07503
193.29,0.656748700000001,-0.803088199999999,1.072526,0.9997069,-0.117235,-0.1318292,-55.39486,-14.63983,22.07503
193.3,1.272081,-0.803088199999999,1.011555,1.005571,-0.1180691,-0.1294463,-55.40273,-14.25947,22.073
193.31,1.456681,-0.803088199999999,1.072526,1.001141,-0.1157401,-0.1308749,-55.40273,-14.25947,22.073
193.32,1.333614,-0.981145400000002,1.255438,1.004487,-0.1122724,-0.1308817,-55.40273,-14.25947,22.073
193.33,1.149014,-1.09985,1.316409,1.007289,-0.1059832,-0.1399811,-55.40273,-14.25947,22.073
193.34,1.087481,-0.981145400000002,1.133496,1.002656,-0.1186522,-0.1337483,-55.40273,-14.25947,22.073
193.35,1.087481,-0.803088199999999,1.377379,1.006471,-0.1142252,-0.136149,-55.76762,-14.64646,21.62074
193.36,1.333614,-0.803088199999999,1.43835,1.005893,-0.1093597,-0.1342349,-55.76762,-14.64646,21.62074
193.37,1.456681,-0.803088199999999,1.499321,1.003024,-0.1123496,-0.1361434,-55.76762,-14.64646,21.62074
193.38,1.025948,-0.7437359,1.804175,1.004613,-0.1191345,-0.1375802,-55.76762,-14.64646,21.62074
193.39,0.841348400000002,-0.8624406,1.682233,1.007067,-0.1200535,-0.1371056,-55.76762,-14.64646,21.62074
193.4,0.902881599999998,-0.5656788,1.43835,1.003041,-0.1133562,-0.1399718,-55.40075,-14.26329,21.6215
193.41,0.656748700000001,-0.3282693,1.621262,0.9996411,-0.1138962,-0.13853,-55.40075,-14.26329,21.6215
193.42,0.718281900000002,-0.2689169,1.682233,1.00752,-0.118035,-0.1299283,-55.40075,-14.26329,21.6215
193.43,0.5336822,-0.3282693,1.804175,1.002971,-0.1093999,-0.1323155,-55.40075,-14.26329,21.6215
193.44,0.4106157,-0.2689169,1.804175,1.008512,-0.1189917,-0.1304084,-55.40075,-14.26329,21.6215
193.45,0.595215400000003,-0.2689169,1.743204,1.008383,-0.1122393,-0.1356742,-55.7738,-14.26937,21.23171
193.46,0.3490825,-0.3282693,1.987087,1.005478,-0.1132686,-0.1356689,-55.7738,-14.26937,21.23171
193.47,0.1029496,-0.5063264,1.804175,1.003126,-0.1176403,-0.1303993,-55.7738,-14.26937,21.23171
193.48,-0.0816501199999999,-0.3282693,1.926116,1.000147,-0.1148317,-0.1356592,-55.7738,-14.26937,21.23171
193.49,-0.327783,-0.2689169,1.926116,0.9962764,-0.1164099,-0.1404378,-55.7738,-14.26937,21.23171
