Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
164.991161823,-0.02458905,0.04132219,-0.4652028,1.02078,-0.04362388,-0.04574121,-43.24595,-34.32592,7.8184
165.001158237,0.03693642,0.0412703,-0.586464300000001,1.023171,-0.04110306,-0.04096027,-43.24426,-34.32919,7.431398
165.011155605,-0.08607981,0.2787024,-0.5247378,1.01931,-0.04314943,-0.04382446,-43.24426,-34.32919,7.431398
165.02115202,-0.2091734,0.1596849,-0.5240978,1.013871,-0.03884394,-0.03950891,-43.24426,-34.32919,7.431398
165.031148911,0.0986588199999999,0.1001693,-0.584391200000001,1.017343,-0.0422164,-0.04382128,-43.24426,-34.32919,7.431398
165.041146278,0.1601067,0.2780632,-0.4008981,1.016811,-0.03977088,-0.04094952,-43.23022,-35.08664,7.822456
165.051142693,0.2827788,0.1590652,-0.3394046,1.020266,-0.04214111,-0.04191209,-43.23022,-35.08664,7.822456
165.061139584,0.2824623,-0.137766,-0.278065,1.021646,-0.03774038,-0.04191563,-43.23022,-35.08664,7.822456
165.071136951,0.3436407,-0.2564468,-0.03394759,1.017344,-0.04219885,-0.04190698,-43.23022,-35.08664,7.822456
165.081133366,0.2202199,-0.0782353099999997,0.02712324,1.019725,-0.03923177,-0.04143332,-43.23022,-35.08664,7.822456
165.091130257,0.4045237,-0.1967486,0.0880407900000001,1.021692,-0.04015602,-0.04047935,-43.60497,-35.08945,7.819676
165.101127625,0.4655295,-0.1965947,-0.03391557,1.018364,-0.04461279,-0.04238671,-43.60497,-35.08945,7.819676
165.111124039,0.649409200000002,-0.0777921500000002,-0.1557379,1.018282,-0.04022777,-0.04095197,-43.60497,-35.08945,7.819676
165.12112093,0.4025959,0.218825,-0.2773689,1.017298,-0.03977004,-0.04190752,-43.60497,-35.08945,7.819676
165.131117821,0.2173939,0.3372363,-0.1551748,1.016333,-0.04028382,-0.04286286,-43.60497,-35.08945,7.819676
165.141114712,0.340052,0.811556999999999,-0.1549799,1.018299,-0.04122124,-0.04334462,-43.23022,-35.08664,7.822456
165.151111126,0.2781883,0.751315799999999,-0.0937761800000002,1.023242,-0.0450506,-0.04765944,-43.23022,-35.08664,7.822456
165.161108494,0.2163056,0.809612599999997,0.02812991,1.025588,-0.04009658,-0.04240046,-43.23022,-35.08664,7.822456
165.171105385,0.1544621,0.927169999999999,0.2717862,1.021203,-0.04020076,-0.0443071,-43.23022,-35.08664,7.822456
165.181101799,-0.03029292,1.163396,0.3932331,1.022024,-0.03188846,-0.04048206,-43.23022,-35.08664,7.822456
165.191099167,-0.1533793,1.221343,0.575460000000002,1.017107,-0.02956028,-0.04095267,-43.96399,-35.85297,7.820951
165.201096058,-0.03010088,1.279199,0.818409600000001,1.015752,-0.03550167,-0.05004172,-43.96399,-35.85297,7.820951
165.211092472,-0.3990692,1.099666,1.00016,1.01375,-0.03260366,-0.0476461,-43.96399,-35.85297,7.820951
165.22108984,-0.4601206,0.979616899999998,0.8769812,1.012823,-0.03499904,-0.04190095,-43.96399,-35.85297,7.820951
165.231086731,-0.767247399999998,0.8003665,0.875841400000002,1.016213,-0.03399527,-0.04573573,-43.96399,-35.85297,7.820951
165.241083145,-0.889330800000001,0.3841557,0.4480417,1.021212,-0.0406953,-0.04526414,-43.98757,-34.71191,7.814867
165.251080513,-0.580740899999998,0.0870418300000002,0.1426826,1.019832,-0.04511796,-0.04765348,-43.98757,-34.71191,7.814867
165.261076927,-0.0879968800000001,-0.03169765,-0.3450711,1.013996,-0.04571921,-0.04764315,-43.98757,-34.71191,7.814867
165.271073818,0.2809458,-0.0910474800000002,-0.710213299999998,1.007996,-0.03757237,-0.04715621,-43.98757,-34.71191,7.814867
165.281071186,0.219137,0.02769707,-0.831262700000002,1.004575,-0.0372242,-0.05480755,-43.98757,-34.71191,7.814867
165.2910676,0.0958919900000001,0.0277555,-0.952179299999998,1.025631,-0.04259562,-0.05005712,-43.61282,-34.7091,7.817648
165.301064491,0.587902100000003,-0.5061524,-1.012088,1.023223,-0.04410102,-0.05005253,-43.61282,-34.7091,7.817648
165.311061859,0.956169800000001,-0.8021667,-0.706116299999998,1.020211,-0.03923532,-0.04286989,-43.61282,-34.7091,7.817648
165.321058273,1.139588,-0.979272100000002,-0.4003947,1.022076,-0.03489081,-0.0500529,-43.61282,-34.7091,7.817648
165.331055164,0.646199800000003,-0.9780607,-0.217037,1.015112,-0.02720947,-0.04525698,-43.61282,-34.7091,7.817648
165.341052055,0.0918403299999998,-1.036222,-0.0949377599999999,1.014688,-0.03063698,-0.04716966,-43.23808,-34.70628,7.820428
165.351048946,-0.0312642,-0.856956500000001,-0.09487598,1.014796,-0.03649684,-0.05051837,-43.23808,-34.70628,7.820428
165.361045361,-0.03116696,-0.796527800000001,-0.03380523,1.016791,-0.0388652,-0.04812836,-43.23808,-34.70628,7.820428
165.371042729,0.1532979,-0.6769717,0.02715054,1.018785,-0.04125551,-0.04813122,-43.23808,-34.70628,7.820428
165.38103962,-0.03139769,-0.5575471,0.1489813,1.021637,-0.03725023,-0.04143716,-43.23808,-34.70628,7.820428
165.391036034,-0.4003451,-0.616199199999998,0.1487559,1.026913,-0.03277691,-0.04192609,-43.60328,-35.09272,7.432674
165.401033402,-0.5227541,-0.674721699999999,0.2094632,1.029367,-0.03368714,-0.0404944,-43.60328,-35.09272,7.432674
165.411030293,-0.3375365,-0.792448500000001,0.1483634,1.026031,-0.03760549,-0.03665897,-43.60328,-35.09272,7.432674
165.421026707,-0.0910568999999997,-0.791415900000001,0.08734035,1.017236,-0.03632582,-0.03712254,-43.60328,-35.09272,7.432674
165.431024075,-0.0294093,-0.671828899999998,-0.09545185,1.013852,-0.0378768,-0.0399877,-43.60328,-35.09272,7.432674
165.441020966,0.15515,-0.1370561,-0.3390235,1.004613,-0.0391058,-0.04810707,-43.24595,-34.32592,7.8184
165.45101738,0.4009334,0.04102403,-0.643317400000002,1.010211,-0.05155072,-0.03949926,-43.24595,-34.32592,7.8184
165.461014748,0.708096000000002,0.3969003,-0.7643168,1.018389,-0.04612275,-0.04812928,-43.24595,-34.32592,7.8184
165.471011162,0.830273000000001,0.633680699999998,-0.702309499999999,1.027085,-0.04202832,-0.04431688,-43.24595,-34.32592,7.8184
165.481008053,0.706221699999998,0.5143478,-0.701389,1.038748,-0.04035323,-0.04577337,-43.24595,-34.32592,7.8184
165.491005421,-0.0941915000000001,0.4543494,-0.578547399999998,1.020507,-0.02902471,-0.04287304,-43.99883,-34.32501,8.586843
165.501001835,-0.893695999999997,0.2164997,-0.273101,1.012291,-0.03255352,-0.0390292,-43.99883,-34.32501,8.586843
165.510998726,-1.32292,-0.02116299,-0.2117681,1.019292,-0.04217352,-0.04334611,-43.99883,-34.32501,8.586843
165.520996094,-0.4601019,-0.4958062,-0.0896371299999997,1.011122,-0.04811359,-0.03758742,-43.99883,-34.32501,8.586843
165.530992508,0.1554797,-0.5546104,-0.0894479600000002,1.00719,-0.04622559,-0.03518817,-43.99883,-34.32501,8.586843
165.540989399,1.07778,-0.3166534,-0.2112772,1.010036,-0.04237832,-0.0457228,-43.62069,-34.32874,7.81562
165.550986767,1.076388,-0.1383663,-0.1500793,1.008005,-0.0380713,-0.04859183,-43.62069,-34.32874,7.81562
165.560983181,1.259462,0.1583642,-0.02802587,1.011523,-0.0438594,-0.05146792,-43.62069,-34.32874,7.81562
165.570980072,1.196347,0.3953883,-0.02802896,1.0295,-0.04109207,-0.05341428,-43.62069,-34.32874,7.81562
165.580976963,1.071777,0.276187,0.0939477400000001,1.040226,-0.04135294,-0.05199718,-43.62069,-34.32874,7.81562
165.590973854,0.701463900000003,0.1571354,0.03285899,1.031827,-0.03518409,-0.05006982,-43.61282,-34.7091,7.817648
165.600970268,0.1471509,-0.1988593,0.2764518,1.032325,-0.03560317,-0.0438491,-43.61282,-34.7091,7.817648
165.610967636,-0.4064465,-0.2579432,0.3369796,1.020543,-0.03097653,-0.04382975,-43.61282,-34.7091,7.817648
165.620964527,-0.774845400000002,-0.07948759,0.3365947,1.005047,-0.03613771,-0.04332283,-43.61282,-34.7091,7.817648
165.630961895,-0.773988099999999,0.0986507100000003,0.640834199999997,0.9971516,-0.03098782,-0.04761758,-43.23808,-34.70628,7.820428
165.640958309,-0.650007499999998,0.1578046,0.883759099999999,1.001569,-0.03293204,-0.0571963,-43.23808,-34.70628,7.820428
165.6509552,-0.4645914,0.2761061,0.699832600000002,1.019262,-0.04078207,-0.05052506,-43.23808,-34.70628,7.820428
165.660951614,-0.09490506,0.2756661,0.698915299999999,1.027516,-0.0391568,-0.05006129,-43.23808,-34.70628,7.820428
165.670948982,0.3973254,0.0972441299999998,0.1495303,1.035761,-0.03701942,-0.04672618,-43.23808,-34.70628,7.820428
165.680945873,0.5197189,-0.1996398,0.0883717300000001,1.027462,-0.03621589,-0.04719049,-43.22067,-35.47026,7.437483
165.690942764,0.0884687499999998,-0.5553355,-0.15545,1.01957,-0.03096066,-0.03999945,-43.22067,-35.47026,7.437483
165.700939655,-0.157814,-0.910640400000002,-0.703742599999997,1.012382,-0.03741113,-0.03902811,-43.22067,-35.47026,7.437483
165.710936069,0.1499924,-1.206128,-1.068587,1.00207,-0.03328528,-0.04379695,-43.22067,-35.47026,7.437483
165.720933437,0.1497461,-1.204632,-1.006313,1.001151,-0.03617959,-0.03948742,-43.22067,-35.47026,7.437483
165.730930328,0.3340611,-1.025285,-1.00501,1.005562,-0.03756781,-0.04140905,-43.22854,-35.0899,7.435454
165.740926742,0.764238799999998,-0.846014700000002,-0.759922600000002,1.013317,-0.03552785,-0.04764459,-43.22854,-35.0899,7.435454
165.75092411,0.763259599999999,-0.5485072,-0.637007399999999,1.028499,-0.03961453,-0.04910573,-43.22854,-35.0899,7.435454
165.760921001,1.008356,-0.5478369,-0.758053099999998,1.037709,-0.0369897,-0.04768673,-43.22854,-35.0899,7.435454
165.770917416,0.6380838,-0.428444,-0.6352935,1.043538,-0.03586758,-0.04386858,-43.22854,-35.0899,7.435454
165.780914783,0.6988543,-0.605925600000003,-0.4516407,1.029889,-0.03566885,-0.04575913,-43.619,-34.33201,7.428618
165.790911674,0.1444479,-0.3085704,-0.3901218,1.017547,-0.02715696,-0.04478266,-43.619,-34.33201,7.428618
165.800908089,-0.2861182,0.1664124,-0.1459211,1.008356,-0.03072697,-0.04332999,-43.619,-34.33201,7.428618
165.810905456,-0.900627400000001,0.2848521,0.1589245,1.007417,-0.0327551,-0.05050648,-43.619,-34.33201,7.428618
165.820901871,-1.022524,0.581032500000003,0.402493,1.007058,-0.03953905,-0.04763265,-43.619,-34.33201,7.428618
165.830898762,-1.205781,0.8176003,0.645736500000002,1.014365,-0.0393903,-0.04716685,-43.24764,-34.32266,8.205402
165.84089613,-1.388751,0.4605337,0.766828600000001,1.032977,-0.04431969,-0.04193369,-43.24764,-34.32266,8.205402
165.850892544,-0.833496899999999,0.5192517,0.583106400000002,1.03112,-0.04921141,-0.04145061,-43.24764,-34.32266,8.205402
165.860889435,-0.4020074,-0.0152735,0.1557701,1.021287,-0.04454188,-0.04095609,-43.24764,-34.32266,8.205402
165.870886803,0.2134627,-0.0744575400000001,-0.2710868,1.015801,-0.03783392,-0.03951253,-43.24764,-34.32266,8.205402
165.880883217,0.2747858,-0.3708276,-0.4536394,1.014836,-0.03833454,-0.03903215,-43.98589,-34.71518,7.427866
165.890880108,0.643408099999998,-0.429621,-0.757846800000002,1.009605,-0.04524984,-0.0399784,-43.98589,-34.71518,7.427866
165.900877476,1.196167,-0.488471,-0.878874800000002,1.006166,-0.04392137,-0.04667281,-43.98589,-34.71518,7.427866
165.91087389,1.502195,-0.2506531,-0.694973499999999,1.016495,-0.04907581,-0.04812521,-43.98589,-34.71518,7.427866
165.920870781,1.377339,-0.4283953,-0.4503707,1.026194,-0.04640187,-0.0423999,-43.98589,-34.71518,7.427866
165.930867672,1.006564,-0.2499493,-0.2060752,1.03283,-0.03656946,-0.0443283,-43.61282,-34.7091,7.817648
165.940864563,0.45181,-0.3683028,-0.0840280499999999,1.031379,-0.03706653,-0.04241134,-43.61282,-34.7091,7.817648
165.950860977,-0.1022474,-0.2492286,0.2206824,1.024161,-0.04212117,-0.04814037,-43.61282,-34.7091,7.817648
165.960858345,-0.0405664,-0.01158069,0.3424042,1.014274,-0.03452391,-0.04621078,-43.61282,-34.7091,7.817648
165.970855236,0.02105643,0.4037139,0.4638964,1.013391,-0.03939638,-0.04572942,-43.61282,-34.7091,7.817648
165.98085165,-0.1636277,0.699838299999998,0.8898984,1.011379,-0.03602577,-0.04476962,-43.22236,-35.46699,7.824485
165.990849018,-0.4710883,0.8175707,1.132511,1.014733,-0.03308334,-0.04908341,-43.22236,-35.46699,7.824485
166.000845909,-0.716513599999998,0.935099400000002,1.25303,1.023576,-0.0367172,-0.04048353,-43.22236,-35.46699,7.824485
166.010842323,-0.4695773,0.874553899999998,1.251398,1.025597,-0.04057357,-0.04144321,-43.22236,-35.46699,7.824485
166.020839691,-0.1614566,0.754731999999998,1.066933,1.020691,-0.03867849,-0.03617081,-43.22236,-35.46699,7.824485
166.030836582,-0.1612345,0.813099099999999,0.882719199999998,1.018043,-0.02764626,-0.04621913,-43.62238,-34.32547,8.202621
166.040832996,-0.5299995,0.871504800000001,0.3331034,1.011812,-0.03307964,-0.04237826,-43.62238,-34.32547,8.202621
166.050830364,-0.652361500000001,0.870540599999997,0.1497536,1.012373,-0.03693416,-0.03998536,-43.62238,-34.32547,8.202621
166.060826778,-0.0979749900000001,0.5728344,-0.1550393,1.012471,-0.04234336,-0.04716279,-43.62238,-34.32547,8.202621
166.070823669,0.3327067,0.3941696,-0.3985936,1.014881,-0.04078968,-0.04190305,-43.62238,-34.32547,8.202621
166.080821037,0.639684399999999,0.3342663,-0.2151232,1.017362,-0.04317038,-0.04190676,-43.61282,-34.7091,7.817648
166.090817451,0.7002983,0.1559385,-0.4585254,1.020553,-0.03144034,-0.04143677,-43.61282,-34.7091,7.817648
