Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-3.593493,2.681334,0.8899763,0.94826,0.1227873,0.2997499,-35.21724,-34.54299,9.657429
54.939773083,-1.735352,-13.10495,5.124017,0.9829655,-0.02704531,-0.06744979,-35.4116,-25.68955,22.03017
54.949682236,-2.912175,-12.58068,5.430832,0.9780051,-0.03348478,-0.08185156,-35.4116,-25.68955,22.03017
54.959591389,-3.593493,-11.64865,5.246743,0.9721941,-0.0423094,-0.08665819,-35.4116,-25.68955,22.03017
54.969501019,-4.398688,-9.726334,6.228549,0.9730584,-0.04723436,-0.1035045,-35.4116,-25.68955,22.03017
54.979410172,-5.885201,-7.920523,7.210356,0.9691805,-0.07068039,-0.1276328,-35.39891,-26.43534,22.86766
54.989319324,-7.619467,-7.454507,8.130799,0.9585147,-0.06662567,-0.1615984,-35.39891,-26.43534,22.86766
54.999228477,-10.03505,-8.153531,8.437614,0.9411903,-0.03890525,-0.1972653,-35.39891,-26.43534,22.86766
55.009138107,-13.25583,-10.36711,8.56034,0.9164827,-0.002521608,-0.2275246,-35.39891,-26.43534,22.86766
55.01904726,-15.85723,-14.15348,8.130799,0.8915465,0.0388695,-0.226538,-35.39891,-26.43534,22.86766
55.028956413,-18.45863,-18.46413,6.596727,0.8870451,0.07290831,-0.1964998,-35.02813,-26.05915,23.25003
55.038866043,-19.51157,-20.5612,5.308106,0.9561946,0.072176,-0.1299221,-35.02813,-26.05915,23.25003
55.048775196,-17.96312,-17.7651,2.669501,1.047729,0.06093784,-0.08618876,-35.02813,-26.05915,23.25003
55.058684349,-15.9811,-11.53214,0.03089567,1.031346,0.00890852,-0.07582039,-35.02813,-26.05915,23.25003
55.068593979,-18.64444,-8.736051,0.6445247,0.9694199,-0.01007678,-0.1286717,-35.02813,-26.05915,23.25003
55.078503132,-26.51057,-14.85251,1.994509,0.9289567,-0.003701874,-0.2046002,-34.65872,-25.68452,23.24693
55.088412285,-34.81027,-24.63884,1.442243,0.9349763,-0.007700008,-0.2421348,-34.65872,-25.68452,23.24693
55.098321438,-38.89818,-31.62907,0.460436,0.9552602,-0.02635031,-0.2410062,-34.65872,-25.68452,23.24693
