Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
121.131843567,14.17856,-3.370228,-4.410271,0.9728722,-0.09806303,-0.1811469,-38.77361,-15.12568,9.871792
121.141754627,15.5412,-3.311976,-4.901175,0.9815515,-0.08582115,-0.1787448,-39.15111,-14.74929,10.32229
121.151666641,16.40833,-2.729456,-5.514804,0.9833915,-0.06829591,-0.1695221,-39.15111,-14.74929,10.32229
121.161578178,16.77996,-2.205189,-6.12843300000002,0.9848474,-0.06242961,-0.1637346,-39.15111,-14.74929,10.32229
121.171490192,16.65609,-1.680921,-6.37388399999999,0.9832748,-0.05274687,-0.1626952,-39.15111,-14.74929,10.32229
121.181401253,15.97477,-1.331409,-6.37388399999999,0.9919345,-0.03514935,-0.1559358,-39.15111,-14.74929,10.32229
121.191313267,14.73601,-1.273157,-6.12843300000002,0.9953107,-0.02878925,-0.1530437,-38.40121,-14.74766,10.70387
121.201224327,13.49724,-1.273157,-6.37388399999999,0.9994763,-0.0132467,-0.1577803,-38.40121,-14.74766,10.70387
121.211136341,11.94879,-0.748889500000002,-6.742062,0.9958877,-0.008009991,-0.1677956,-38.40121,-14.74766,10.70387
121.221047878,10.40034,-0.2828739,-6.557973,0.9858238,-0.001451353,-0.1878254,-38.40121,-14.74766,10.70387
121.230958939,8.29444800000002,-0.108118,-6.43524700000003,0.9790049,-0.00201097,-0.1858454,-38.40121,-14.74766,10.70387
121.240870953,6.18855500000002,-0.2828739,-6.00570699999999,0.9667603,-0.005589458,-0.1919981,-39.15458,-14.37312,10.70661
121.25078249,4.392352,-0.3411258,-5.330715,0.9576201,-0.01440818,-0.1876509,-39.15458,-14.37312,10.70661
121.260694504,2.781962,-0.981897400000002,-4.287546,0.9610774,-0.02556686,-0.1973604,-39.15458,-14.37312,10.70661
121.270605564,2.162582,-1.506165,-3.919369,0.9631495,-0.04109161,-0.2042052,-39.15458,-14.37312,10.70661
121.280517578,2.348396,-2.088685,-3.612554,0.968462,-0.03764401,-0.2066321,-39.15458,-14.37312,10.70661
121.290429115,3.091653,-2.438197,-3.796643,0.9793439,-0.04524926,-0.2034223,-38.01886,-15.49865,10.25452
121.300340176,3.772971,-1.855677,-4.226182,0.9809316,-0.0524851,-0.2001241,-38.01886,-15.49865,10.25452
121.31025219,4.949794,-1.040149,-4.655723,0.9888822,-0.06110147,-0.1978543,-38.01886,-15.49865,10.25452
121.32016325,6.12661699999997,-0.574133599999999,-4.655723,0.9879392,-0.06402238,-0.197865,-38.01886,-15.49865,10.25452
121.330075264,7.42731700000002,-0.8653934,-4.655723,0.9885292,-0.06835396,-0.1930977,-38.01886,-15.49865,10.25452
121.339986801,8.54220000000002,-1.040149,-4.778449,0.9880394,-0.06250685,-0.186332,-38.77547,-14.74769,10.70582
121.352375984,9.28545699999999,-0.807141499999999,-4.471634,0.9807063,-0.0572321,-0.179987,-38.77547,-14.74769,10.70582
121.362287998,9.34739499999998,-0.690637499999998,-4.042094,0.9826096,-0.04747882,-0.1736976,-38.77547,-14.74769,10.70582
121.372199059,8.85189099999998,-0.748889500000002,-3.673917,0.9869529,-0.04062433,-0.1712913,-38.77547,-14.74769,10.70582
121.382111073,7.79894499999999,-0.807141499999999,-3.489828,0.9824836,-0.02949562,-0.1649338,-38.77547,-14.74769,10.70582
121.39202261,5.81692699999999,-0.690637499999998,-3.367102,0.9902257,-0.0260253,-0.1688235,-38.77547,-14.74769,10.70582
121.401934624,3.834909,-0.690637499999998,-3.183014,0.9875584,-0.0139766,-0.1764011,-38.77547,-14.74769,10.70582
121.411845684,2.162582,-0.923645399999998,-3.367102,0.9842107,-0.02519992,-0.1822068,-38.77547,-14.74769,10.70582
121.421757698,1.047697,-0.632385600000003,-3.551191,0.9769788,-0.03499451,-0.1836457,-38.77547,-14.74769,10.70582
121.431669235,-0.0671879099999998,0.3578977,-3.367102,0.9864516,-0.04990516,-0.1833525,-38.39152,-15.49685,10.70618
121.441580296,-0.810444500000001,1.289929,-3.305739,0.9865184,-0.05426066,-0.1819416,-38.39152,-15.49685,10.70618
121.45149231,-1.491763,1.697693,-2.998925,0.9835171,-0.05189351,-0.1857393,-38.39152,-15.49685,10.70618
121.461403847,-2.668586,2.338464,-2.876199,0.9821306,-0.05284564,-0.1790106,-38.39152,-15.49685,10.70618
121.471315384,-3.845409,2.396716,-3.060288,0.9787232,-0.04751467,-0.1712611,-38.39152,-15.49685,10.70618
121.481226921,-5.517736,2.862732,-2.937562,0.9786738,-0.03924771,-0.166404,-38.76901,-15.12046,11.15668
121.491138935,-6.88037300000001,2.80448,-2.814836,0.9879543,-0.0401121,-0.1684162,-38.76901,-15.12046,11.15668
121.501049996,-8.24301099999998,2.979236,-2.508022,0.9896371,-0.03510328,-0.1415095,-38.76901,-15.12046,11.15668
121.510961533,-10.28697,3.037488,-2.139844,0.990065,-0.0312265,-0.1429281,-38.76901,-15.12046,11.15668
121.520873547,-12.57868,2.979236,-1.648941,0.9974406,-0.02769855,-0.1348101,-38.76901,-15.12046,11.15668
121.530784607,-15.11814,3.09574,-1.035312,0.9972434,-0.01902069,-0.1438735,-39.14812,-14.74589,11.15747
121.540696621,-17.10015,2.80448,-0.789860199999999,0.9864678,-0.01331129,-0.1389343,-39.14812,-14.74589,11.15747
121.550608158,-18.58667,2.22196,-0.8512232,0.9854314,-0.007988167,-0.138409,-39.14812,-14.74589,11.15747
121.560520172,-19.51574,1.930701,-0.8512232,0.982861,-0.006132866,-0.1484562,-39.14812,-14.74589,11.15747
121.570431232,-19.76349,1.755945,-0.605771499999998,0.9912006,-0.008453596,-0.1485488,-39.14812,-14.74589,11.15747
121.58034277,-19.39186,1.348181,-0.3603199,0.9911134,0.001744889,-0.145119,-38.01863,-15.49839,10.31876
121.590254307,-18.89636,1.639441,-0.8512232,0.9994134,0.007696214,-0.1393942,-38.01863,-15.49839,10.31876
121.600165844,-18.71054,1.755945,-1.648941,1.003421,0.005843841,-0.1322412,-38.01863,-15.49839,10.31876
121.610077858,-18.83442,2.22196,-1.83303,1.007439,0.006435816,-0.1212308,-38.01863,-15.49839,10.31876
121.622467041,-18.6486,2.920984,-2.385296,1.003207,0.0001272639,-0.1121107,-38.01863,-15.49839,10.31876
121.632379055,-17.65759,2.920984,-2.814836,1.007678,-0.003683686,-0.1097766,-38.3945,-15.50025,9.870998
