Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,0.3705419,-0.3477675,-0.1531931,1.003284,-0.08760213,0.1739586,-42.28885,-24.13195,6.063618
0.09659338,0.3086039,-0.2895156,-0.09183015,1.003339,-0.09586654,0.1695816,-42.65963,-24.50814,5.681252
0.104023457,0.2466658,-0.5807754,-0.1531931,1.006743,-0.0968089,0.1666629,-42.65963,-24.50814,5.681252
0.113930702,0.3705419,-0.4642715,-0.09183015,1.008239,-0.09433615,0.1724275,-42.65963,-24.50814,5.681252
0.123837471,0.3705419,-0.2312636,-0.1531931,1.009653,-0.09239405,0.1695464,-42.65963,-24.50814,5.681252
0.133744717,0.43248,-0.2312636,-0.214556,1.00877,-0.09284513,0.1781944,-42.65963,-24.50814,5.681252
0.143651485,0.5563561,-0.2312636,-0.214556,1.014125,-0.09132649,0.1776748,-42.65963,-24.50814,5.681252
0.153558731,0.494418,-0.1147597,-0.09183015,1.008267,-0.09090693,0.1791723,-42.28538,-24.50811,5.679304
0.1634655,0.3086039,-0.1147597,0.03089567,1.007276,-0.08897481,0.1801546,-42.28538,-24.50811,5.679304
0.173372746,0.1847278,0.001744238,-0.1531931,1.006308,-0.0914211,0.1782266,-42.28538,-24.50811,5.679304
0.183279991,0.1227897,-0.05650773,-0.1531931,1.005732,-0.09196038,0.1691054,-42.28538,-24.50811,5.679304
0.19318676,0.06085166,-0.05650773,-0.1531931,1.005838,-0.09629549,0.1743573,-42.28538,-24.50811,5.679304
0.205570698,-0.06302445,-0.05650773,-0.214556,1.006759,-0.09484935,0.1705171,-42.65802,-24.50631,6.130964
0.21547699,-0.1249625,0.001744238,-0.03046724,1.006254,-0.09681498,0.1666674,-42.65802,-24.50631,6.130964
0.225384235,-0.001086392,0.0599962,0.03089567,1.004284,-0.09440766,0.1681421,-42.65802,-24.50631,6.130964
0.235291958,0.1847278,-0.1730116,-0.09183015,1.00725,-0.09581796,0.1695458,-42.65802,-24.50631,6.130964
0.24519825,0.2466658,0.001744238,-0.03046724,1.005316,-0.09436749,0.1734146,-43.02744,-24.88094,6.134064
0.255105496,0.2466658,0.001744238,-0.03046724,1.002971,-0.1006874,0.175795,-43.02744,-24.88094,6.134064
0.265012264,0.5563561,0.001744238,-0.09183015,1.008768,-0.09723629,0.1728834,-43.02744,-24.88094,6.134064
0.27491951,0.3086039,-0.2895156,-0.214556,1.006302,-0.09337557,0.1753327,-43.02744,-24.88094,6.134064
0.284826279,0.1847278,-0.1730116,-0.214556,1.010185,-0.09187771,0.1743465,-43.02744,-24.88094,6.134064
0.294733524,0.1227897,0.001744238,-0.214556,1.006809,-0.09287196,0.1777322,-43.03228,-24.50634,6.13291
0.30464077,0.1847278,-0.1147597,-0.09183015,1.006845,-0.09626806,0.1772291,-43.03228,-24.50634,6.13291
