Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-2.132142,0.7866045,1.47896,1.002626,0.00903792,0.1605491,-43.97251,-20.87096,7.3058,957.0931
0.027100563,-5.424286,1.084149,3.134141,1.001704,0.02404513,0.1420001,-43.60125,-20.50802,7.236084,957.0974
0.034491062,-4.678895,0.9056224,3.563262,1.000323,0.01673354,0.1419581,-43.60125,-20.50802,7.236084,957.0974
0.044345856,-3.747156,0.9056224,3.256747,0.9929884,0.01325179,0.139158,-43.60125,-20.50802,7.236084,957.0974
0.054200172,-1.510983,0.2510241,2.153293,0.9938245,-0.002756432,0.1505118,-43.60125,-20.50802,7.236084,957.0974
0.064054966,0.1040308,-0.6416099,1.356354,0.9958285,-0.005654971,0.1514172,-43.60125,-20.50802,7.236084,957.0959
0.073910236,2.029624,-1.117681,0.7433244,1.000242,-0.006589387,0.1513464,-43.97942,-20.20226,6.850791,957.0959
0.083765030,3.893102,-0.6416099,0.6820214,1.002024,0.003142687,0.1470903,-43.97942,-20.20226,6.850791,957.0959
0.093619347,3.955218,-0.4630831,0.8659304,0.9998756,0.02259974,0.1501603,-43.97942,-20.20226,6.850791,957.0959
0.103474140,1.408465,-0.582101,0.9272334,1.000167,0.03377679,0.1454585,-43.97942,-20.20226,6.850791,957.097
0.113328457,-1.821563,-1.058172,1.172445,0.9967011,0.04496395,0.1523111,-43.97942,-20.20226,6.850791,957.097
0.123183250,-5.113706,-1.653262,1.417657,1.006364,0.05282787,0.150323,-44.35147,-20.50473,6.855865,957.097
0.133038044,-7.908923,-1.534244,1.785475,1.011257,0.05384778,0.1512203,-44.35147,-20.50473,6.855865,957.097
0.142892361,-10.26933,-1.296208,1.785475,1.00933,0.04749205,0.1478397,-44.35147,-20.50473,6.855865,957.0939
0.152747154,-9.958747,-1.593753,1.295051,1.00132,0.01577085,0.142415,-44.35147,-20.50473,6.855865,957.0939
0.162601471,-6.41814,-1.891297,0.3142034,1.009067,-0.02261727,0.1386262,-44.35147,-20.50473,6.855865,957.0939
0.174920082,0.7251899,-2.188842,-1.218372,1.006318,-0.04651329,0.1312757,-44.35314,-20.19794,6.852722,957.0939
0.184774876,6.688318,-2.367369,-2.137917,1.01043,-0.05228066,0.1407524,-44.35314,-20.19794,6.852722,957.0967
0.194629669,10.85008,-1.950806,-2.260523,1.010171,-0.02550214,0.1452949,-44.35314,-20.19794,6.852722,957.0967
0.204483986,11.78182,-1.534244,-2.260523,1.012779,0.004212399,0.1474253,-44.35314,-20.19794,6.852722,957.0967
0.214338779,10.16681,-1.355717,-2.62834,1.013431,0.02561003,0.1423254,-44.35314,-20.19794,6.852722,957.0967
0.224193096,7.123129,-1.117681,-2.873553,1.004091,0.03283806,0.1453947,-44.03894,-20.1962,7.235195,957.0975
0.234047890,4.079449,-1.17719,-2.689644,0.994692,0.03565532,0.1402812,-44.03894,-20.1962,7.235195,957.0975
0.243902683,1.408465,-1.891297,-2.444432,0.9922876,0.02832213,0.1368992,-44.03894,-20.1962,7.235195,957.0975
0.253757000,-0.765592,-2.129333,-2.260523,0.9899399,0.03272251,0.1479914,-44.03894,-20.1962,7.235195,957.0975
0.263611794,-1.759447,-2.605405,-2.015311,0.9891431,0.01909528,0.1493253,-44.03894,-20.1962,7.235195,957.0964
0.273466110,-1.510983,-3.319512,-1.954008,0.9966435,0.01139502,0.1544247,-43.66521,-20.20051,7.233264,957.0964
0.283320904,-1.014056,-3.498039,-1.892705,1.007121,-0.002614217,0.1570323,-43.66521,-20.20051,7.233264,957.0964
0.293175697,-0.08231696,-3.498039,-1.524887,1.019982,-0.01466676,0.1567473,-43.66521,-20.20051,7.233264,957.0964
0.303030014,1.222117,-2.724423,-1.157069,1.029804,-0.01847516,0.156096,-43.66521,-20.20051,7.233264,957.0933
0.312884808,2.650783,-2.069824,-0.9118565,1.018882,-0.01373378,0.1486244,-43.66521,-20.20051,7.233264,957.0933
0.322739124,3.830986,-2.069824,-0.7279475,1.009357,-0.00362898,0.1406991,-44.03894,-20.1962,7.235195,957.0933
0.335057736,4.017333,-2.010315,-0.1149176,1.011232,0.007594394,0.1446007,-44.03894,-20.1962,7.235195,957.0933
0.344912529,3.830986,-1.77228,0.06899142,1.015087,0.01200618,0.1441038,-44.03894,-20.1962,7.235195,957.0941
0.354767323,3.45829,-1.296208,0.1302944,1.016581,0.008609329,0.1430954,-44.03894,-20.1962,7.235195,957.0941
0.364621639,3.271943,-0.7606278,0.4368094,1.008848,0.004660828,0.1465267,-44.03894,-20.1962,7.235195,957.0941
0.374476433,3.396174,-0.582101,0.8046274,1.000008,0.002131888,0.1418394,-44.78271,-20.8625,7.245972,957.0941
