Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
14.318314552,7.49582399999998,-9.74647699999998,-9.12645800000002,0.09719039,0.8933542,0.5182733,-12.76422,-59.17794,-12.12155
14.328174591,-2.629069,-6.41397600000001,-1.340978,0.07141839,0.8559808,0.6045811,-12.76422,-59.17794,-12.12155
14.338033676,-9.46182000000001,-3.914601,3.501959,0.06092986,0.7776293,0.6275501,-12.76422,-59.17794,-12.12155
14.347893238,-9.64816799999999,-2.486387,5.89277599999998,0.08665165,0.757295,0.5944263,-12.76422,-59.17794,-12.12155
14.3577528,-7.47411100000001,-0.4035742,6.99623000000001,0.1212281,0.7668344,0.5911388,-12.38526,-59.54417,-11.67161
14.367612362,-8.90277699999999,-0.1060295,8.83531999999998,0.1249201,0.7635234,0.6078303,-12.38526,-59.54417,-11.67161
14.377471447,-11.57376,-0.939154599999998,11.10353,0.1364176,0.7339115,0.5997493,-12.38526,-59.54417,-11.67161
14.389796257,-15.17648,-2.486387,10.00008,0.1224323,0.7401901,0.620128,-12.38526,-59.54417,-11.67161
14.399655342,-16.10822,-2.962458,6.751019,0.1239598,0.7593962,0.6772931,-12.39647,-59.19384,-12.95566
14.409514427,-15.92188,-2.664914,2.521111,0.1680639,0.757014,0.7164179,-12.39647,-59.19384,-12.95566
14.419374466,-15.98399,-2.486387,-0.2375236,0.1878495,0.7489496,0.7251727,-12.39647,-59.19384,-12.95566
14.429234028,-13.80993,-2.843441,-3.8544,0.1874359,0.7261554,0.7465501,-12.39647,-59.19384,-12.95566
14.439093113,-9.08912500000002,-2.248351,-6.67433799999998,0.1900124,0.6460623,0.7932783,-12.39647,-59.19384,-12.95566
14.448953152,-5.113706,-1.712771,-8.57473199999998,0.1763748,0.5895942,0.8198312,-12.39647,-59.19384,-12.95566
14.458812237,-7.03929899999998,-0.939154599999998,-8.45212599999999,0.1475795,0.6040043,0.8376144,-12.7722,-58.82138,-12.9575
14.468671799,-9.02700799999998,1.61973,-9.49427599999999,0.1223091,0.6587261,0.8264564,-12.7722,-58.82138,-12.9575
14.478530884,-11.51165,3.82156,-6.24521700000002,0.1388639,0.6266283,0.7924056,-12.7722,-58.82138,-12.9575
14.488390923,-13.99628,5.428301,-2.076613,0.1363007,0.6386437,0.7585204,-12.7722,-58.82138,-12.9575
14.498250008,-11.44953,7.51111399999998,-2.567038,0.1402691,0.6789465,0.7262185,-12.7722,-58.82138,-12.9575
14.50810957,-8.09526999999998,7.74915000000002,-2.996159,0.117094,0.7301723,0.6862491,-12.77944,-58.09131,-13.41313
14.517969132,-8.77854399999999,6.85651600000003,-3.057462,0.1088186,0.7773331,0.6949114,-12.77944,-58.09131,-13.41313
14.527828694,-12.00857,7.39209699999998,-2.076613,0.1182304,0.8085602,0.6950408,-12.77944,-58.09131,-13.41313
14.537687779,-15.11437,7.51111399999998,-2.260523,0.1195418,0.8298755,0.66645,-12.77944,-58.09131,-13.41313
14.547546864,-20.14576,6.737498,-2.444432,0.1162782,0.8361028,0.6478603,-12.77944,-58.09131,-13.41313
14.557406902,-24.74234,4.178614,-2.750947,0.08326986,0.8833219,0.6008093,-12.03796,-58.11153,-14.24918
14.569730759,-30.76758,1.857765,-6.79694399999997,0.06834272,0.8958141,0.5934603,-12.03796,-58.11153,-14.24918
14.579590797,-36.04743,2.036292,-7.71648900000002,0.1180108,0.8264267,0.6587756,-12.03796,-58.11153,-14.24918
14.589450359,-36.73071,3.524015,-5.448278,0.1133152,0.7748225,0.6636782,-12.03796,-58.11153,-14.24918
14.599309444,-34.30819,4.178614,-4.528733,0.08604044,0.7298324,0.6689584,-11.29695,-58.13263,-15.14924
14.609168529,-30.02219,5.428301,-4.344824,0.09067321,0.6978492,0.6935409,-11.29695,-58.13263,-15.14924
14.619028568,-24.9908,5.368793,-3.731794,0.07901044,0.7039792,0.6688403,-11.29695,-58.13263,-15.14924
14.62888813,-21.57442,5.428301,-4.651339,0.07487316,0.7321978,0.6772839,-11.29695,-58.13263,-15.14924
14.638747215,-17.90959,7.630132,-4.406127,0.1231837,0.7770215,0.7076424,-11.29695,-58.13263,-15.14924
14.648607254,-15.54918,8.82031100000003,-5.141763,0.1012939,0.8029556,0.6679205,-10.93999,-56.68129,-16.38251
14.658466339,-13.6857,8.403749,-8.51342899999998,0.07969385,0.7710087,0.6344148,-10.93999,-56.68129,-16.38251
14.668325901,-8.96489200000003,6.14240899999998,-13.47897,0.07674037,0.7204722,0.6603863,-10.93999,-56.68129,-16.38251
14.678184986,-1.697331,4.714194,-18.56712,0.0675184,0.6689289,0.6921892,-10.93999,-56.68129,-16.38251
14.688045025,5.073304,5.130757,-22.73572,0.06932432,0.6306037,0.7191543,-10.93999,-56.68129,-16.38251
14.69790411,9.297187,6.61847999999998,-23.83918,0.0975691,0.6236302,0.7392986,-10.93999,-56.68129,-16.38251
14.707763195,10.10469,8.46325700000001,-22.12269,0.1145403,0.6641266,0.7278976,-10.205,-55.59795,-17.29388
14.717623234,7.30947700000003,9.47490899999998,-19.48666,0.1086855,0.6947021,0.7200927,-10.205,-55.59795,-17.29388
14.727482796,3.830986,9.23687400000002,-18.44451,0.08747394,0.70423,0.7156835,-10.205,-55.59795,-17.29388
14.739807129,0.911537699999999,8.998837,-17.89279,0.05652839,0.6773388,0.7547128,-10.205,-55.59795,-17.29388
14.749666691,0.4767263,8.93932899999999,-17.89279,0.03655231,0.6718137,0.7559092,-9.829262,-55.97041,-17.29204
14.759525776,1.03577,9.47490899999998,-17.34106,0.05817953,0.6821513,0.7365202,-9.829262,-55.97041,-17.29204
14.769384861,1.03577,11.08165,-14.82764,0.07847467,0.7299728,0.7241753,-9.829262,-55.97041,-17.29204
14.7792449,-1.076172,13.52152,-12.31421,0.08905479,0.7490571,0.7275401,-9.829262,-55.97041,-17.29204
14.789104462,-3.747156,16.0804,-9.31036799999998,0.08518951,0.7285306,0.7130459,-9.829262,-55.97041,-17.29204
14.798963547,-5.05159,17.86567,-6.67433799999998,0.06292969,0.7005716,0.7064184,-8.706068,-56.35151,-17.29406
14.808823585,-4.803127,17.92518,-4.099612,0.05632447,0.6795866,0.7058563,-8.706068,-56.35151,-17.29406
14.818682671,-3.68504,17.09205,-2.015311,0.03961596,0.6872293,0.7071173,-8.706068,-56.35151,-17.29406
14.828542232,-1.697331,16.61598,-1.402281,0.04980284,0.7262186,0.6991547,-8.706068,-56.35151,-17.29406
14.838401318,-1.573099,16.19942,-3.118764,0.05784929,0.7472091,0.6977796,-8.706068,-56.35151,-17.29406
14.848261356,-3.37446,14.94973,-4.46743,0.05613315,0.7461488,0.6786271,-7.955387,-56.35391,-16.84983
14.858120441,-4.616779,13.70004,-5.264369,0.05859289,0.7339687,0.6689053,-7.955387,-56.35391,-16.84983
14.867979526,-5.486402,12.50986,-5.93870199999998,0.05736034,0.7081468,0.6634338,-7.955387,-56.35391,-16.84983
14.877839565,-5.73486500000002,11.26018,-7.53257999999997,0.04394152,0.7089461,0.6487765,-7.955387,-56.35391,-16.84983
14.887699127,-6.04544500000002,9.772454,-9.80079199999999,0.033057,0.704557,0.6718963,-7.955387,-56.35391,-16.84983
14.897558212,-7.72257499999999,7.630132,-11.39467,0.008442616,0.7068725,0.6986226,-6.464445,-56.7509,-17.68597
14.907417297,-10.64202,6.0829,-13.23376,0.007451613,0.7200423,0.7092903,-6.464445,-56.7509,-17.68597
14.919742107,-14.12051,5.487811,-16.85064,0.008657895,0.6904694,0.7358586,-6.464445,-56.7509,-17.68597
14.929601192,-15.48706,6.02339100000001,-20.03839,0.01459018,0.6638217,0.7528004,-6.464445,-56.7509,-17.68597
14.939461231,-16.97785,5.90437299999999,-22.00009,0.007528111,0.6258888,0.7755824,-6.464445,-56.7509,-17.68597
14.949320793,-19.5246,4.119105,-21.93878,0.01284839,0.6040842,0.7877818,-6.470469,-55.64646,-17.69728
14.959179878,-21.69866,2.036292,-21.08054,0.0288197,0.6008958,0.8081328,-6.470469,-55.64646,-17.69728
14.969039917,-24.18329,1.262676,-20.2836,0.05202091,0.5918828,0.8153933,-6.470469,-55.64646,-17.69728
14.978899002,-27.10274,0.4890598,-20.161,0.06387568,0.5574903,0.8293101,-6.470469,-55.64646,-17.69728
14.988758564,-29.83584,0.608077699999999,-19.11885,0.08640415,0.5140269,0.8645621,-6.470469,-55.64646,-17.69728
14.998617649,-33.31433,2.512363,-17.40236,0.1008746,0.493375,0.9029968,-5.724222,-56.02948,-18.14547
15.008477688,-38.40784,4.357141,-15.68588,0.0889162,0.5200613,0.9105804,-5.724222,-56.02948,-18.14547
15.018336773,-42.19691,7.630132,-15.44067,0.08965854,0.6090779,0.8998203,-5.724222,-56.02948,-18.14547
