Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
61.72,-0.4550124,-0.820136700000001,-1.524887,0.9298137,0.3283984,-0.01877214,-42.71784,-23.78776,23.52755
61.73,-0.1444329,-0.998663500000001,-1.831402,0.9331318,0.331816,-0.02358258,-42.71784,-23.78776,23.52755
61.74,-0.1444329,-1.058172,-1.892705,0.9357147,0.3323649,-0.01307237,-42.34211,-24.16022,23.52939
61.75,-0.0823169599999999,-1.236699,-2.137917,0.9390717,0.3313996,-0.01887876,-42.34211,-24.16022,23.52939
61.76,-0.02020105,-1.117681,-2.260523,0.9379163,0.3347581,-0.02889714,-42.34211,-24.16022,23.52939
61.77,-0.2065488,-1.17719,-2.199219,0.9394798,0.333822,-0.02269773,-42.34211,-24.16022,23.52939
61.78,-0.2686647,-1.236699,-2.260523,0.9415166,0.3353268,-0.01552607,-42.34211,-24.16022,23.52939
61.79,-0.2065488,-1.415226,-2.076613,0.9385364,0.335288,-0.01883832,-42.34211,-24.16022,23.52939
61.8,-0.0823169599999999,-1.534244,-2.260523,0.9385616,0.3304129,-0.02127581,-42.34211,-24.16022,23.52939
61.81,-0.02020105,-1.653262,-2.199219,0.9360099,0.3332904,-0.02648636,-42.34211,-24.16022,23.52939
61.82,-0.2065488,-1.593753,-2.260523,0.9326637,0.3327941,-0.02117166,-42.34211,-24.16022,23.52939
61.83,-0.2065488,-1.950806,-2.321826,0.9282858,0.3356916,-0.01677201,-42.34211,-24.16022,23.52939
61.84,-0.3928965,-1.950806,-2.260523,0.9306951,0.3376557,-0.01774818,-42.71462,-23.78152,23.97565
61.85,-0.765591999999998,-1.950806,-2.260523,0.9321753,0.3332783,-0.02068141,-42.71462,-23.78152,23.97565
61.86,-0.579244300000001,-2.069824,-2.260523,0.9330978,0.3352239,-0.02307414,-42.71462,-23.78152,23.97565
61.87,-0.3307806,-2.188842,-2.260523,0.9356444,0.3289273,-0.02124677,-42.71462,-23.78152,23.97565
61.88,-0.1444329,-2.367369,-2.321826,0.9434966,0.325098,-0.0228286,-42.71462,-23.78152,23.97565
61.89,0.04191487,-2.248351,-2.505734,0.938647,0.3309255,-0.01456391,-42.34286,-24.53371,23.14907
61.9,0.2282626,-2.069824,-2.505734,0.9371002,0.3343075,-0.01738852,-42.34286,-24.53371,23.14907
61.91,0.2282626,-1.831789,-2.567038,0.9412211,0.3256132,-0.009853438,-42.34286,-24.53371,23.14907
61.92,-0.02020105,-1.712771,-2.444432,0.9391866,0.3255737,-0.01557517,-42.34286,-24.53371,23.14907
61.93,-0.1444329,-1.950806,-2.321826,0.9336895,0.3254929,-0.02412309,-42.34286,-24.53371,23.14907
61.94,-0.0823169599999999,-1.831789,-2.199219,0.9351972,0.3264939,-0.02030254,-42.71262,-24.14967,23.97942
61.95,-0.4550124,-2.010315,-2.137917,0.9421704,0.3280547,-0.009846364,-42.71262,-24.14967,23.97942
61.96,-0.579244300000001,-1.950806,-1.770099,0.9397299,0.3226641,-0.01416987,-42.71262,-24.14967,23.97942
61.97,-0.641360199999998,-1.77228,-1.463584,0.9391851,0.3245969,-0.01654179,-42.71262,-24.14967,23.97942
61.98,-0.889823900000002,-2.010315,-1.034463,0.9407406,0.322682,-0.01178813,-42.71262,-24.14967,23.97942
61.99,-1.200403,-1.891297,-0.5440385,0.9450564,0.3261138,-0.01517507,-41.96315,-24.52645,23.97932
62,-1.138287,-1.831789,-0.1762206,0.9446577,0.321253,-0.01281441,-41.96315,-24.52645,23.97932
62.01,-1.324635,-1.653262,0.2529004,0.9426226,0.3251191,-0.01514878,-41.96315,-24.52645,23.97932
62.02,-1.510983,-1.474735,0.743324399999998,0.9455405,0.3270931,-0.01469451,-41.96315,-24.52645,23.97932
62.03,-1.262519,-1.593753,1.049839,0.9446954,0.3202873,-0.0109063,-41.96315,-24.52645,23.97932
62.04,-1.014056,-1.296208,1.47896,0.9422622,0.3241751,-0.006526018,-42.33412,-24.51679,24.36534
62.05,-0.703476100000001,-1.236699,1.846778,0.9378639,0.3177904,-0.01178841,-42.33412,-24.51679,24.36534
62.06,-0.827707900000002,-1.117681,2.09199,0.9427086,0.3217261,-0.01182424,-42.33412,-24.51679,24.36534
