Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
18.16,3.653259,0.2347521,3.344493,1.003079,-0.006271966,-0.03676728,-45.27484,-3.642615,-21.80414
18.17,3.529382,0.351256,2.976315,0.9967889,-0.009731721,-0.03433136,-45.27484,-3.642615,-21.80414
18.18,3.467444,0.46776,2.485412,1.004072,-0.00673952,-0.03581926,-45.27484,-3.642615,-21.80414
18.19,3.28163,0.409508,1.81042,1.00852,-0.008611296,-0.03347208,-44.91028,-2.893394,-21.8084
18.2,3.033878,0.5260119,0.828613499999998,1.008437,-0.0008495139,-0.03245928,-44.91028,-2.893394,-21.8084
18.21,3.157754,0.759019800000003,0.2149844,1.005539,-0.003794708,-0.0324521,-44.91028,-2.893394,-21.8084
18.22,3.405506,0.817271699999998,-0.214556,1.000064,-0.001473213,-0.03910821,-44.91028,-2.893394,-21.8084
18.23,3.343568,0.46776,-0.582733500000001,0.9945912,0.004752105,-0.04093676,-44.91028,-2.893394,-21.8084
18.24,2.414498,-0.1730116,-0.889547900000002,0.9901206,0.008563056,-0.04327082,-44.90356,-3.645984,-22.64127
18.25,1.485427,-0.639027300000002,-0.889547900000002,0.9944594,0.01248841,-0.04472527,-44.90356,-3.645984,-22.64127
18.26,0.494418,-0.8720351,-0.828185100000001,0.9925209,0.008570487,-0.0476144,-44.90356,-3.645984,-22.64127
18.27,-0.3727147,-0.755531299999998,-1.012274,0.9983984,0.01060037,-0.04429412,-44.90356,-3.645984,-22.64127
18.28,-0.9301572,-0.6972793,-0.950910899999997,0.9999358,0.001387135,-0.04821099,-44.90356,-3.645984,-22.64127
18.29,-0.806281,-0.4642715,-0.889547900000002,0.9955658,-0.001578824,-0.04867049,-44.15691,-3.26793,-21.81114
18.3,-0.4346527,-0.4642715,-0.889547900000002,0.9946491,-0.005461669,-0.0472474,-44.15691,-3.26793,-21.81114
18.31,-0.1869005,-0.580775400000001,-0.950910899999997,0.9980111,-0.0020358,-0.04917631,-44.15691,-3.26793,-21.81114
18.32,-0.1869005,-0.755531299999998,-1.135,0.9907646,-0.006472189,-0.04577774,-44.15691,-3.26793,-21.81114
18.33,-0.2488386,-0.930287099999998,-1.135,0.9927413,-0.00741239,-0.04484196,-44.15691,-3.26793,-21.81114
18.34,-0.1869005,-1.105043,-0.828185100000001,0.9877583,-0.004107592,-0.0500556,-45.28753,-2.896823,-22.64163
18.35,-0.06302445,-1.046791,-1.073637,0.9891737,-0.0002135804,-0.05052291,-45.28753,-2.896823,-22.64163
18.36,-0.001086392,-1.163295,-0.950910899999997,0.9827912,0.006522603,-0.04513727,-45.28753,-2.896823,-22.64163
18.37,-0.1249625,-1.338051,-0.766822200000002,0.9915792,0.007601495,-0.04521135,-45.28753,-2.896823,-22.64163
18.38,-0.3107767,-1.396303,-0.705459200000001,0.9964412,0.006184912,-0.04958718,-45.28753,-2.896823,-22.64163
18.39,-0.3107767,-1.221547,-0.5213705,0.9944719,0.005665638,-0.05149306,-45.27969,-3.26802,-21.8053
18.4,-0.6204669,-1.046791,-0.5213705,0.9944879,0.007625192,-0.04763889,-45.27969,-3.26802,-21.8053
18.41,-0.3727147,-0.8720351,-0.4600076,0.9955075,0.006195697,-0.04525705,-45.27969,-3.26802,-21.8053
18.42,-0.4965908,-0.6972793,-0.705459200000001,0.9969643,0.00620882,-0.04623075,-45.27969,-3.26802,-21.8053
18.43,-0.806281,-0.4642715,-0.644096300000003,0.9984901,0.003331019,-0.04386324,-45.27969,-3.26802,-21.8053
18.44,-0.9301572,-0.5225234,-0.4600076,1.000382,0.005761439,-0.04722565,-44.53763,-2.895194,-22.26006
18.45,-1.4876,-0.3477675,-0.3986447,0.9988877,0.007679846,-0.04767921,-44.53763,-2.895194,-22.26006
18.46,-1.79729,-0.6972793,-0.2759189,0.9990458,-0.001018399,-0.04245688,-44.53763,-2.895194,-22.26006
18.47,-1.79729,-0.580775400000001,-0.09183015,0.9990146,-5.900618e-05,-0.04437083,-44.53763,-2.895194,-22.26006
18.48,-1.79729,-0.639027300000002,-0.1531931,1.002423,-0.0005114809,-0.046326,-44.53763,-2.895194,-22.26006
18.49,-1.921166,-0.755531299999998,-0.03046724,1.002915,0.0004718199,-0.04488353,-44.5298,-3.266392,-21.42372
18.5,-2.168918,-0.813783199999999,-0.09183015,1.003397,0.001450027,-0.04440131,-44.5298,-3.266392,-21.42372
18.51,-2.540546,-0.580775400000001,-0.214556,1.002027,-0.005834989,-0.04347686,-44.5298,-3.266392,-21.42372
18.52,-2.664423,-0.5225234,0.0922585699999997,0.9985142,-0.004461336,-0.05063759,-44.5298,-3.266392,-21.42372
18.53,-2.602484,-0.3477675,0.2763473,0.9962155,-0.01173302,-0.04490288,-44.5298,-3.266392,-21.42372
18.54,-2.230856,-0.4642715,0.2149844,0.9947715,-0.01612966,-0.04779976,-44.91028,-2.893394,-21.8084
18.55,-1.549538,-0.580775400000001,0.1536215,0.9967194,-0.00928005,-0.04056977,-44.91028,-2.893394,-21.8084
18.56,-1.4876,-0.813783199999999,-0.03046724,0.9981402,-0.008310082,-0.04393756,-44.91028,-2.893394,-21.8084
18.57,-1.4876,-0.639027300000002,0.0922585699999997,0.9967461,-0.01316859,-0.04251656,-44.91028,-2.893394,-21.8084
18.58,-1.177909,-0.4642715,0.2149844,0.9957573,-0.01513774,-0.04588164,-44.91028,-2.893394,-21.8084
18.59,-0.4965908,-0.2895156,0.3990731,0.999568,-0.01123884,-0.05117265,-45.28614,-2.895254,-22.25616
18.6,-0.1249625,-0.2312636,0.705887599999999,0.9985579,-0.006877659,-0.04921362,-45.28614,-2.895254,-22.25616
18.61,-0.1249625,-0.05650773,0.5217989,0.9984465,0.0003814961,-0.05156502,-45.28614,-2.895254,-22.25616
18.62,-0.3107767,-0.05650773,0.5217989,1.004339,0.002419019,-0.04680435,-45.28614,-2.895254,-22.25616
18.63,-0.1869005,-0.1147597,0.460436,1.002959,0.0004947508,-0.04056235,-45.28614,-2.895254,-22.25616
18.64,-0.4346527,0.1765001,0.1536215,1.000523,0.0009568239,-0.03909628,-44.53278,-3.26979,-22.2589
18.65,-0.4965908,0.1182482,-0.09183015,0.9951718,-0.007877013,-0.04678817,-44.53278,-3.26979,-22.2589
18.66,-0.3727147,-0.05650773,-0.3986447,0.998625,-0.008793898,-0.04490558,-44.53278,-3.26979,-22.2589
18.67,0.3086039,-0.1730116,-0.09183015,1.000581,-0.01462279,-0.05168472,-44.53278,-3.26979,-22.2589
18.68,1.113798,-0.2895156,0.0922585699999997,0.9931972,-0.01083808,-0.05207137,-44.53278,-3.26979,-22.2589
18.69,1.175737,-0.05650773,-0.1531931,0.9917417,-0.003533454,-0.04240609,-44.53602,-2.893364,-21.81034
18.7,0.742170199999999,-0.4060195,0.0922585699999997,0.9964865,0.002793909,-0.04913003,-44.53602,-2.893364,-21.81034
18.71,0.494418,-0.2895156,0.3377102,1.002369,0.001899743,-0.04871023,-44.53602,-2.893364,-21.81034
18.72,0.3705419,0.001744238,0.705887599999999,1.005392,-0.001431892,-0.0439588,-44.53602,-2.893364,-21.81034
18.73,0.5563561,0.293004,1.012702,1.005919,-0.003357348,-0.04253602,-44.53602,-2.893364,-21.81034
18.74,0.989922399999999,0.293004,1.503605,1.001484,-0.00830834,-0.051651,-45.27969,-3.26802,-21.8053
