Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
9.629322052,25.26964,27.61317,26.90785,1.034554,-0.1972008,0.281455,-44.04377,-18.96199,-12.18958
9.639234066,26.5084,31.63256,30.28281,1.052932,-0.1312198,0.3388635,-44.04377,-18.96199,-12.18958
9.64914608,24.52638,38.15678,34.21003,1.08185,-0.1025295,0.3791205,-44.04377,-18.96199,-12.18958
9.659058094,20.0049,45.43827,38.5668,1.100836,-0.1064759,0.4139701,-44.04377,-18.96199,-12.18958
9.668970108,15.29761,53.6518,42.73948,1.087564,-0.1220396,0.4365566,-43.6822,-18.21617,-13.02901
9.678882122,10.90001,59.4770000000002,45.62354,1.060176,-0.1665273,0.4317119,-43.6822,-18.21617,-13.02901
9.688793182,7.30760400000002,62.0983400000003,47.09624,1.052053,-0.1467811,0.4256766,-43.6822,-18.21617,-13.02901
9.698705196,2.166745,64.0788999999997,46.97352,1.042378,-0.1066103,0.4351567,-43.6822,-18.21617,-13.02901
9.70861721,-1.177909,64.5449099999998,47.77124,1.069072,-0.1261283,0.4405417,-43.6822,-18.21617,-13.02901
9.718529224,-1.859228,66.1759699999999,50.22575,1.09078,-0.1611195,0.4660363,-44.08205,-16.72488,-14.76628
9.728441238,-0.06302445,68.1565400000002,54.82797,1.097259,-0.1929232,0.4883319,-44.08205,-16.72488,-14.76628
9.738353252,5.015896,71.7681599999998,59.9210900000001,1.108014,-0.2349803,0.4865119,-44.08205,-16.72488,-14.76628
9.748264313,10.90001,76.9525800000001,63.7256000000001,1.110411,-0.2727749,0.4852776,-44.08205,-16.72488,-14.76628
9.758176327,17.03188,82.6612800000001,65.1369400000003,1.089033,-0.2944367,0.473327,-44.08205,-16.72488,-14.76628
9.768088341,23.59731,88.2534599999997,64.8914900000003,1.06149,-0.2997419,0.4514592,-42.98924,-15.23843,-17.73199
9.778000355,26.38452,91.98159,64.5846799999999,1.013037,-0.2340391,0.4288172,-42.98924,-15.23843,-17.73199
9.787912369,24.21669,94.7194299999999,62.62106,0.9851857,-0.1470697,0.4373367,-42.98924,-15.23843,-17.73199
9.797824383,16.35056,95.8844700000002,60.1665499999998,1.003407,-0.08897529,0.470206,-42.98924,-15.23843,-17.73199
9.810214043,3.28163,99.5543399999999,59.9210900000001,1.033563,-0.1135475,0.5211403,-42.98924,-15.23843,-17.73199
9.82012558,-7.681405,102.4669,61.3937999999997,1.028107,-0.1736465,0.5385562,-43.40962,-12.63015,-21.14309
9.830037594,-14.24684,105.03,63.9096899999997,1.00256,-0.2220724,0.5178231,-43.40962,-12.63015,-21.14309
9.839949608,-16.72436,107.6514,65.8733,0.9611598,-0.2527528,0.4978349,-43.40962,-12.63015,-21.14309
9.849861145,-17.21987,109.8649,66.6710099999997,0.9356592,-0.2496954,0.4942498,-43.40962,-12.63015,-21.14309
9.859773159,-17.09599,111.6125,66.6096499999999,0.9333456,-0.2408772,0.5173777,-43.40962,-12.63015,-21.14309
9.869685173,-17.40568,113.3601,65.9346599999997,0.9290984,-0.2359743,0.5380964,-42.32189,-10.76937,-24.17419
9.87959671,-18.21087,115.1076,65.3210299999999,0.9232107,-0.2504442,0.5668639,-42.32189,-10.76937,-24.17419
9.889508724,-19.3877,115.7484,65.6892099999997,0.9080006,-0.262608,0.5952529,-42.32189,-10.76937,-24.17419
9.899420738,-18.83025,113.3601,66.5482900000002,0.8851647,-0.3069621,0.6052519,-42.32189,-10.76937,-24.17419
9.909332275,-17.52956,111.6125,68.5118999999998,0.8684051,-0.3406509,0.6003808,-42.32189,-10.76937,-24.17419
9.919244289,-15.4856,111.729,69.2482600000001,0.8533149,-0.3573909,0.5874446,-40.11897,-8.91713,-29.33121
9.929156303,-13.25583,112.7775,69.3096199999999,0.840214,-0.3343373,0.5766758,-40.11897,-8.91713,-29.33121
9.939068317,-12.57451,113.7678,69.4937100000001,0.8084465,-0.2920489,0.5801322,-40.11897,-8.91713,-29.33121
9.948979855,-13.87521,114.5834,68.14372,0.7530138,-0.2660052,0.5933025,-40.11897,-8.91713,-29.33121
9.958891869,-15.54754,114.6416,65.8733,0.7156816,-0.2619212,0.6292067,-40.11897,-8.91713,-29.33121
9.968803406,-17.40568,113.1271,64.4005899999997,0.7031117,-0.2900502,0.657945,-38.68235,-5.564735,-34.03924
9.97871542,-18.39669,110.8552,63.66423,0.7003732,-0.3341273,0.6730417,-38.68235,-5.564735,-34.03924
9.988627434,-16.97211,109.6902,63.3574200000002,0.7049556,-0.3903148,0.672625,-38.68235,-5.564735,-34.03924
9.998539448,-13.81327,110.0397,63.4801399999998,0.697429,-0.4151363,0.6725293,-38.68235,-5.564735,-34.03924
10.008451462,-10.2828,110.564,61.7006100000001,0.6557313,-0.4118251,0.6633338,-38.68235,-5.564735,-34.03924
10.018362999,-7.309776,110.0397,60.2279100000001,0.616765,-0.3812654,0.6662986,-35.74086,-2.583419,-37.91872
10.028274536,-6.75233400000001,108.3504,59.6142800000003,0.5851193,-0.3491576,0.6696861,-35.74086,-2.583419,-37.91872
10.03818655,-8.176909,104.3893,59.0006499999999,0.5790503,-0.3529901,0.6932444,-35.74086,-2.583419,-37.91872
10.048098564,-9.97311299999999,101.3019,58.6938400000001,0.567485,-0.3957272,0.7074714,-35.74086,-2.583419,-37.91872
