Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
8.903735638,-13.99909,-23.53205,-22.48929,-0.1988405,-0.4988056,0.5304515,-1.507831,27.25502,-55.28026
8.913647652,-13.00808,-26.85241,-26.1097,-0.2208557,-0.5249411,0.4987905,-1.51268,27.62961,-55.28141
8.923560142,-13.13195,-31.74557,-30.28238,-0.2202213,-0.5214446,0.5170539,-1.51268,27.62961,-55.28141
8.933472633,-14.12296,-35.4737,-34.70051,-0.1924435,-0.5155298,0.5624514,-1.51268,27.62961,-55.28141
8.943384647,-16.41467,-39.60959,-38.38229,-0.2112186,-0.5112251,0.5962648,-1.51268,27.62961,-55.28141
8.953297615,-20.25483,-42.81345,-42.37087,-0.1996769,-0.4897154,0.6025435,-1.51268,27.62961,-55.28141
8.963209152,-24.90018,-45.49304,-46.35946,-0.1654537,-0.4907523,0.6007795,-2.648394,28.75514,-54.82932
8.97312212,-29.73135,-46.83283,-50.1026,-0.1526096,-0.5207688,0.5783736,-2.648394,28.75514,-54.82932
8.983034611,-32.14693,-48.34738,-53.60028,-0.1346328,-0.5662073,0.5615791,-2.648394,28.75514,-54.82932
8.992946625,-32.82825,-49.51242,-56.97525,-0.09550304,-0.6191211,0.5483807,-2.648394,28.75514,-54.82932
9.005337238,-31.09399,-49.68718,-60.16612,-0.04301358,-0.6230069,0.6078891,-6.02343,29.50746,-53.97893
9.015249729,-30.59848,-49.22116,-63.4183500000002,-0.02866311,-0.5944478,0.6578831,-6.02343,29.50746,-53.97893
9.025161743,-31.40368,-48.34738,-67.8978400000002,-0.02391183,-0.5722589,0.7180068,-6.02343,29.50746,-53.97893
9.035074234,-35.42965,-51.959,-73.1750500000002,-0.07424247,-0.6165269,0.717217,-6.02343,29.50746,-53.97893
9.044986248,-43.23384,-57.3764400000003,-75.6909299999999,-0.08620689,-0.7309397,0.5609942,-6.02343,29.50746,-53.97893
9.054899216,-41.3757,-60.2890399999999,-75.3841200000001,-0.02475391,-0.8429237,0.5097434,-9.328024,29.88885,-52.22829
9.064811707,-31.7753,-59.7647699999999,-76.1818299999999,0.07437199,-0.8727212,0.5091082,-9.328024,29.88885,-52.22829
9.074723721,-20.19289,-57.6094399999999,-78.02272,0.134141,-0.801191,0.5085519,-9.328024,29.88885,-52.22829
9.084636211,-12.8842,-56.3279,-81.1522300000001,0.1744452,-0.6564468,0.5552387,-9.328024,29.88885,-52.22829
9.094548702,-13.56552,-54.69685,-84.4658299999999,0.1966928,-0.5411702,0.6662372,-9.328024,29.88885,-52.22829
9.104460716,-20.37871,-54.69685,-85.6317200000001,0.1613336,-0.5092477,0.7363998,-13.0741,30.6448,-50.47653
9.114373684,-34.06701,-61.04631,-85.2021799999999,0.04381458,-0.5686055,0.6986786,-13.0741,30.6448,-50.47653
9.124285698,-52.15292,-66.40549,-84.2817400000002,0.05941905,-0.7235537,0.5131213,-13.0741,30.6448,-50.47653
9.134198189,-53.02006,-69.4928499999999,-81.9499399999999,0.135341,-0.8857018,0.3836168,-13.0741,30.6448,-50.47653
9.14411068,-43.23384,-70.2501200000001,-81.8272199999998,0.2680232,-0.9524843,0.3694607,-13.0741,30.6448,-50.47653
9.154022694,-27.62546,-70.0753700000001,-84.2817400000002,0.2980125,-0.9030061,0.3954416,-17.93002,30.27504,-49.16518
9.163935185,-15.29979,-70.4248799999998,-90.3566699999997,0.3811416,-0.7629465,0.4642684,-17.93002,30.27504,-49.16518
9.173847199,-12.26482,-67.8617899999998,-93.85435,0.3417172,-0.6267713,0.5462069,-17.93002,30.27504,-49.16518
9.183760166,-17.77731,-66.92976,-95.38842,0.2977234,-0.5231738,0.6212482,-17.93002,30.27504,-49.16518
9.193672657,-26.8822,-67.2210200000001,-96.3088699999999,0.257409,-0.4984243,0.6289883,-17.93002,30.27504,-49.16518
9.203584671,-40.81826,-75.2598000000001,-95.3270600000002,0.2294092,-0.5510356,0.5549524,-22.40708,29.91054,-46.57089
9.213497162,-52.58649,-81.0849900000002,-93.85435,0.2821226,-0.6650578,0.4120586,-22.40708,29.91054,-46.57089
9.223409176,-54.63045,-82.8325500000001,-92.7498200000002,0.3868393,-0.8005313,0.3083941,-22.40708,29.91054,-46.57089
9.233321667,-47.50757,-82.9490499999999,-92.1361800000001,0.4729833,-0.8581845,0.2966498,-22.40708,29.91054,-46.57089
9.243234158,-37.47361,-82.01702,-93.7929799999999,0.5038145,-0.8221751,0.3412593,-22.40708,29.91054,-46.57089
9.253146172,-30.04104,-79.7451900000002,-98.2111100000001,0.5102297,-0.7110936,0.4293288,-27.24522,28.42066,-44.35666
9.263059139,-29.85523,-76.8326000000003,-102.4452,0.5096003,-0.6162991,0.4789423,-27.24522,28.42066,-44.35666
9.27297163,-35.30577,-75.3180500000003,-104.3474,0.52855,-0.5688055,0.5227779,-27.24522,28.42066,-44.35666
9.285361767,-46.45462,-73.7452399999998,-103.3656,0.5972291,-0.5775875,0.5340881,-27.24522,28.42066,-44.35666
9.295274258,-56.86021,-74.8520299999999,-101.3406,0.5969968,-0.5845377,0.5033139,-27.24522,28.42066,-44.35666
9.305186749,-68.2568200000002,-77.35686,-103.0588,0.5898389,-0.6433227,0.4040758,-33.19831,26.55949,-41.30025
9.315098763,-74.45062,-80.4442100000001,-104.8383,0.6349834,-0.7163346,0.3340291,-33.19831,26.55949,-41.30025
9.325011253,-74.38869,-79.5704299999999,-106.3724,0.7053244,-0.8096266,0.3130706,-33.19831,26.55949,-41.30025
9.334923267,-68.8142599999998,-78.3471500000003,-106.311,0.7544826,-0.9078936,0.3186836,-33.19831,26.55949,-41.30025
9.344836235,-59.7093700000002,-78.3471500000003,-105.6974,0.7606197,-0.9640169,0.3268957,-33.19831,26.55949,-41.30025
9.354748726,-49.1799,-77.2403600000002,-105.5747,0.7695532,-0.9540818,0.3513674,-36.92065,26.20211,-36.97524
9.36466074,-39.45562,-74.44427,-106.8019,0.7671183,-0.8850871,0.3854606,-36.92065,26.20211,-36.97524
9.374573231,-32.39468,-72.2306899999998,-109.5019,0.7588628,-0.8095608,0.3841195,-36.92065,26.20211,-36.97524
9.384485245,-27.12995,-71.1821499999999,-111.036,0.7782093,-0.7526011,0.3823994,-36.92065,26.20211,-36.97524
