Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-2.494047,0.7757784,-1.147618,0.9620386,-0.3135136,0.007074054,-59.85944,1.633972,-21.39005
0.034989834,-2.678647,0.5977212,-0.8427644,0.9620271,-0.3131024,-0.001061825,-59.85497,1.260155,-20.61402
0.039988518,-2.494047,0.716426,-0.7817937,0.9602061,-0.3199503,-0.002014039,-59.85497,1.260155,-20.61402
0.049985409,-2.001781,0.5977212,-0.9037352,0.9654472,-0.3134813,0.003239495,-59.85497,1.260155,-20.61402
0.059982777,-1.694115,0.716426,-0.7817937,0.9616054,-0.3164597,0.004682688,-59.85497,1.260155,-20.61402
0.069980145,-1.940248,0.5977212,-0.6598521,0.962046,-0.314052,0.001331267,-59.85497,1.260155,-20.61402
0.079977512,-2.063314,0.4196641,-0.2940276,0.9551995,-0.3127162,0.002778586,-60.22775,1.253529,-21.0683
0.089974403,-2.370981,0.3603118,-0.2940276,0.9590486,-0.3102807,-0.004885967,-60.22775,1.253529,-21.0683
0.099971294,-2.678647,0.3603118,-0.1720861,0.9610607,-0.3136469,-0.005367184,-60.22775,1.253529,-21.0683
0.109968662,-2.494047,0.06354995,-0.1111153,0.9606654,-0.3184966,-0.003450942,-60.22775,1.253529,-21.0683
0.11996603,-2.494047,-0.05515479,0.1937385,0.964039,-0.316473,-0.002021616,-60.22775,1.253529,-21.0683
0.129963398,-2.309447,-0.2925643,0.2547093,0.9620093,-0.3121133,0.0008522557,-60.22157,0.876442,-20.67927
0.139959812,-2.186381,-0.3519166,0.4376215,0.9600399,-0.3112681,-0.00871605,-60.22157,0.876442,-20.67927
0.14995718,-2.432514,-0.5299737,0.4985923,0.9595985,-0.3137021,-0.008236078,-60.22157,0.876442,-20.67927
0.159954548,-2.432514,-0.7673832,0.5595631,0.9596067,-0.3142186,-0.01158599,-60.22157,0.876442,-20.67927
0.169951916,-2.309447,-0.6486785,0.5595631,0.9654821,-0.3154726,-0.00202439,-60.23113,1.260066,-20.2943
0.17994833,-2.124848,-0.886088,0.6205339,0.9645079,-0.3154919,-0.002022686,-60.23113,1.260066,-20.2943
0.189945698,-2.124848,-0.7673832,0.3766508,0.9604723,-0.3083439,-0.008717556,-60.23113,1.260066,-20.2943
0.199943066,-2.370981,-0.9454404,0.6815046,0.962945,-0.3102125,-0.00584993,-60.23113,1.260066,-20.2943
0.209940434,-2.801713,-1.004793,0.4985923,0.9629281,-0.3092014,-0.001542976,-60.23113,1.260066,-20.2943
0.219937801,-2.986313,-0.9454404,0.4376215,0.9619981,-0.3116934,-0.006326474,-59.55785,2.02212,-20.74476
0.229934216,-3.109379,-1.18285,0.4376215,0.9648486,-0.3077232,-0.003461009,-59.55785,2.02212,-20.74476
0.239931583,-2.92478,-1.301555,0.6815046,0.9644793,-0.3140741,-0.006330187,-59.55785,2.02212,-20.74476
0.249928951,-2.494047,-1.420259,0.6205339,0.9610899,-0.3150471,0.000854614,-59.55785,2.02212,-20.74476
0.259926319,-2.247914,-1.479612,0.7424754,0.9610788,-0.3146228,-0.005845541,-59.55785,2.02212,-20.74476
0.269922733,-1.694115,-1.657669,0.5595631,0.9615577,-0.3140967,-0.002496479,-59.54213,1.261409,-20.7407
0.279920101,-1.694115,-1.835726,0.5595631,0.960466,-0.3077703,0.0008538279,-59.54213,1.261409,-20.7407
0.289917469,-1.755648,-1.95443,0.6205339,0.9625139,-0.3131016,-0.002019826,-59.54213,1.261409,-20.7407
