Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
11.837278843,-13.6931,-4.862697,-7.54954800000001,-0.5655195,-0.1801966,0.3518845,14.95642,29.28949,-48.38992
11.847277164,-16.46209,-6.761972,-12.06138,-0.5479158,-0.2087684,0.3777043,14.95642,29.28949,-48.38992
11.857275009,-20.21562,-8.00837199999998,-14.92701,-0.5345965,-0.243572,0.3690757,14.95642,29.28949,-48.38992
11.867272377,-21.63088,-8.77995300000002,-17.73167,-0.5428343,-0.2718886,0.3724474,15.71824,28.54094,-47.6063
11.877270222,-22.98461,-9.49218100000001,-20.84118,-0.5493342,-0.2890162,0.3734203,15.71824,28.54094,-47.6063
11.887268066,-25.81514,-9.43282899999999,-24.80427,-0.5428916,-0.3203392,0.388253,15.71824,28.54094,-47.6063
11.897266388,-29.69173,-10.14506,-27.91378,-0.53996,-0.3464169,0.3997404,15.71824,28.54094,-47.6063
11.907263756,-32.2146,-10.85729,-30.90135,-0.5425113,-0.3921194,0.4026281,15.71824,28.54094,-47.6063
11.9172616,-31.8454,-12.10369,-33.27921,-0.5496873,-0.4510338,0.4055272,15.69268,29.68583,-47.16088
11.927259445,-29.13794,-13.46879,-35.04736,-0.5342983,-0.491255,0.4375753,15.69268,29.68583,-47.16088
11.937256813,-26.98427,-14.35908,-36.75454,-0.5285701,-0.4847763,0.442828,15.69268,29.68583,-47.16088
11.947254658,-26.36894,-16.0803,-38.33978,-0.5347862,-0.491291,0.4347048,15.69268,29.68583,-47.16088
11.957252979,-26.86121,-17.14864,-39.74211,-0.5162086,-0.5206277,0.4279799,15.69268,29.68583,-47.16088
11.96724987,-26.61507,-18.8105,-40.5957,-0.5234475,-0.5240495,0.4413935,13.40741,31.20072,-45.96017
11.977248192,-26.43047,-19.52273,-41.44929,-0.4937733,-0.5208406,0.4623983,13.40741,31.20072,-45.96017
11.987246037,-27.47654,-19.81949,-41.75415,-0.4610226,-0.526638,0.448464,13.40741,31.20072,-45.96017
11.997243404,-29.6302,-20.70978,-41.75415,-0.4482824,-0.5309703,0.4254712,13.40741,31.20072,-45.96017
12.007241249,-31.96847,-22.60905,-42.48579,-0.4584668,-0.5336232,0.4230968,13.40741,31.20072,-45.96017
12.017239571,-32.7684,-24.68639,-43.70521,-0.4544297,-0.5407272,0.4345774,12.64051,31.95908,-45.58279
12.027236462,-33.75293,-26.88243,-45.16851,-0.4573971,-0.5383298,0.4374534,12.64051,31.95908,-45.58279
12.037234783,-33.1376,-29.37523,-47.4854,-0.4557429,-0.6005196,0.4350737,12.64051,31.95908,-45.58279
