Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
5.005297661,16.36015,-6.566541,4.960668,-0.2097924,0.2240021,0.2961169,6.164037,-51.48758,-14.24715
5.015183926,18.47387,-14.21606,15.65166,-0.2126802,0.2601806,0.3377709,6.164037,-51.48758,-14.24715
5.025071144,20.33891,-20.218,26.15938,-0.2101772,0.3014964,0.3654584,6.164037,-51.48758,-14.24715
5.034958839,22.5148,-25.45498,35.81182,-0.2126503,0.3042812,0.3885257,6.164037,-51.48758,-14.24715
5.044845104,27.9856,-30.57427,44.85335,-0.2058053,0.3149015,0.3831897,6.164037,-51.48758,-14.24715
5.0547328,33.8294,-34.92862,52.36759,-0.184812,0.3389702,0.3672215,6.917958,-51.49863,-14.22999
5.064620018,40.17056,-38.81222,59.51528,-0.15564,0.3595011,0.3762885,6.917958,-51.49863,-14.22999
5.074506283,48.99844,-43.04888,64.8302400000001,-0.1705394,0.3999043,0.3731818,6.917958,-51.49863,-14.22999
5.084393978,57.20463,-48.7566,68.7400799999998,-0.1728671,0.4311312,0.3768687,6.917958,-51.49863,-14.22999
5.094280243,62.9862700000001,-53.69937,71.9779299999999,-0.1460274,0.4625143,0.362313,6.917958,-51.49863,-14.22999
5.104167461,67.5867100000002,-55.4058,75.4601399999998,-0.1080602,0.5249577,0.4072472,5.059734,-51.8118,-12.19087
5.114055157,67.4623700000002,-56.64149,77.4761499999997,-0.09621727,0.5998475,0.4342948,5.059734,-51.8118,-12.19087
5.126413345,70.3842799999997,-60.3485699999998,79.91981,-0.09494527,0.6651232,0.4031874,5.059734,-51.8118,-12.19087
5.136301041,71.5654799999999,-62.9376399999998,83.1576499999998,-0.06814695,0.7116971,0.4275095,5.059734,-51.8118,-12.19087
5.146187305,68.8300800000001,-64.0556500000002,85.5402100000001,-0.01948268,0.754095,0.4360071,1.678107,-52.08615,-9.278122
5.156074524,66.34335,-64.87944,86.7620500000002,0.0213106,0.769304,0.4489616,1.678107,-52.08615,-9.278122
5.165962219,67.2136999999998,-64.7617599999998,88.0449699999999,0.04701019,0.7783706,0.4725101,1.678107,-52.08615,-9.278122
5.175848484,69.5139200000002,-65.4678599999997,87.4951399999999,0.05918841,0.7785675,0.4547288,1.678107,-52.08615,-9.278122
5.185736179,71.6276399999999,-67.3508200000002,88.5947900000002,0.07868044,0.7909811,0.4407416,1.678107,-52.08615,-9.278122
5.195623398,73.99003,-67.7627300000002,90.1831699999997,0.1108899,0.8465449,0.4481921,-2.456214,-52.28764,-6.448275
5.205509663,74.6117199999998,-64.87944,92.6879100000001,0.1168508,0.9058853,0.4767543,-2.456214,-52.28764,-6.448275
5.215397358,72.24932,-62.3492099999998,92.93227,0.0908869,0.9765372,0.4758869,-2.456214,-52.28764,-6.448275
5.225284576,72.12498,-64.9971200000002,89.6333399999997,0.1346656,0.982321,0.4451285,-2.456214,-52.28764,-6.448275
5.235170841,72.4979899999998,-67.3508200000002,86.7620500000002,0.2088112,0.9709694,0.4774919,-2.456214,-52.28764,-6.448275
5.245058537,72.7466699999998,-66.1739699999999,84.1962099999997,0.2708569,0.9330497,0.4575553,-6.534237,-51.78859,-3.172753
5.254944801,70.6329500000001,-64.9971200000002,83.4631099999997,0.3067015,0.8911423,0.4279908,-6.534237,-51.78859,-3.172753
5.26483202,67.0893599999998,-61.4665800000002,84.56276,0.3604869,0.8647407,0.4281853,-6.534237,-51.78859,-3.172753
5.274719715,64.60264,-54.28779,87.18968,0.3641326,0.9039732,0.3818228,-6.534237,-51.78859,-3.172753
5.28460598,61.8050800000002,-51.16914,87.3118699999999,0.329422,0.9657479,0.3723336,-6.534237,-51.78859,-3.172753
5.294493198,56.33428,-51.16914,85.1125800000003,0.3054038,1.030896,0.3618778,-11.7577,-51.32045,0.9209998
5.304380894,48.31458,-53.8759,81.3249099999999,0.3336199,1.046358,0.3575034,-11.7577,-51.32045,0.9209998
5.314267159,40.97874,-55.22927,79.1256200000003,0.3795364,0.9987257,0.3698194,-11.7577,-51.32045,0.9209998
5.324154854,38.24334,-52.69905,77.7816100000002,0.4080381,0.946278,0.35088,-11.7577,-51.32045,0.9209998
5.334042072,39.54887,-48.93313,76.2543300000001,0.408933,0.9009736,0.3174455,-11.7577,-51.32045,0.9209998
