Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
133.692188263,4.771521,0.3511015,0.698571599999999,0.9700187,0.05064508,0.2521499,-51.08797,-8.501352,5.380552
133.702319622,4.211487,0.3511015,0.5153941,0.9691209,0.04241971,0.2530949,-51.09113,-8.145014,4.995613
133.712451458,4.087035,0.5278211,0.9428082,0.9720636,0.03813545,0.2584014,-51.09113,-8.145014,4.995613
133.722582817,3.962583,0.645634099999999,1.064927,0.9710935,0.04093495,0.2477888,-51.09113,-8.145014,4.995613
133.73271513,3.838131,0.704540600000002,1.309163,0.9715495,0.04291383,0.2521372,-51.09113,-8.145014,4.995613
133.742846012,3.527002,0.940166700000002,1.431281,0.9696123,0.04240598,0.251166,-51.09113,-8.145014,4.995613
133.752978325,3.340324,0.704540600000002,1.614459,0.971053,0.04388225,0.2526205,-51.09367,-7.789705,4.547493
133.763110161,2.593612,0.8223537,1.309163,0.9695569,0.04915449,0.248285,-51.09367,-7.789705,4.547493
133.77324152,1.909127,0.3511015,1.309163,0.9691091,0.04574139,0.2458638,-51.09367,-7.789705,4.547493
133.783373356,1.597997,0.292195,1.5534,0.9638059,0.04086489,0.2463222,-51.09367,-7.789705,4.547493
133.793504715,1.597997,0.2332885,1.370222,0.964272,0.04327949,0.2453635,-51.09367,-7.789705,4.547493
133.803636551,1.349093,0.2332885,1.309163,0.967728,0.03844062,0.2424667,-51.76523,-7.785351,4.541113
133.81376791,1.411319,0.3511015,1.309163,0.9686936,0.03847012,0.244882,-51.76523,-7.785351,4.541113
133.823900223,1.660223,0.586727600000001,1.431281,0.9691237,0.04334811,0.248754,-51.76523,-7.785351,4.541113
133.834031105,1.784675,0.645634099999999,1.187045,0.9686882,0.03848764,0.2468122,-51.76523,-7.785351,4.541113
133.844163418,1.846901,0.940166700000002,1.187045,0.9676955,0.04136163,0.2444031,-51.40673,-7.774332,5.365984
133.854295254,2.033579,0.881260199999998,1.064927,0.9725158,0.0457548,0.244425,-51.40673,-7.774332,5.365984
133.864426613,1.846901,0.940166700000002,1.003867,0.971526,0.0472121,0.2458732,-51.40673,-7.774332,5.365984
133.872025013,1.846901,0.940166700000002,0.6375124,0.9681358,0.04667534,0.242968,-51.40673,-7.774332,5.365984
133.882157326,1.535771,1.05798,0.698571599999999,0.9735067,0.04335596,0.24587,-51.40673,-7.774332,5.365984
133.892288685,1.224641,0.940166700000002,0.5153941,0.9729803,0.04723663,0.2473247,-51.39998,-8.136852,5.371819
133.902420521,0.851285599999998,1.234699,0.3322166,0.9701332,0.04088793,0.2434433,-51.39998,-8.136852,5.371819
133.912552357,0.4779299,1.234699,0.3932757,0.9725975,0.03563643,0.2492289,-51.39998,-8.136852,5.371819
133.922683716,0.4779299,1.293606,0.1490391,0.9706609,0.0346578,0.2497044,-51.39998,-8.136852,5.371819
133.932815552,0.4779299,1.293606,0.4543349,0.9697103,0.03317218,0.2468034,-51.39998,-8.136852,5.371819
133.942946911,0.353478,1.529232,0.2711574,0.96923,0.03268009,0.2463186,-51.39998,-8.136852,5.371819
133.953079224,0.602381800000001,1.411419,0.2711574,0.9673207,0.02973514,0.243412,-51.39998,-8.136852,5.371819
133.963210106,0.789059599999997,1.647045,0.3322166,0.9673644,0.02630831,0.2390618,-51.39998,-8.136852,5.371819
133.973342419,1.100189,1.588138,0.3322166,0.9663177,0.03123626,0.2496858,-51.39998,-8.136852,5.371819
133.983473778,1.162415,1.588138,0.3932757,0.9629008,0.03313221,0.2482334,-51.39998,-8.136852,5.371819
133.993605614,0.975737500000002,1.352512,0.2100982,0.9663419,0.02974946,0.2458223,-51.09473,-8.138832,5.374718
134.00373745,0.4779299,1.293606,0.3322166,0.9634449,0.02872381,0.2419522,-51.09473,-8.138832,5.374718
134.013868809,0.5401558,1.470325,0.3932757,0.9726924,0.02688215,0.2443849,-51.09473,-8.138832,5.374718
134.024000645,0.913511500000001,1.764858,0.4543349,0.9683568,0.02249716,0.2448468,-51.09473,-8.138832,5.374718
134.034132004,2.095805,1.823764,0.881749099999998,0.9659732,0.01857183,0.2409718,-51.09473,-8.138832,5.374718
134.044264317,3.589228,1.647045,0.6375124,0.9678282,0.02732375,0.2438907,-52.13259,-8.132103,5.364857
