Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
3.788348198,-1.138287,-8.02071800000003,15.33344,-0.2451411,-0.4348405,-0.03051055,11.54344,-53.72708,2.675891
3.79820776,8.551796,-13.97161,30.41397,-0.2452385,-0.3656752,-0.01267428,11.54344,-53.72708,2.675891
3.808066845,18.49034,-20.63661,44.02324,-0.2321341,-0.2604012,0.0004865882,14.89178,-52.6793,1.366919
3.817925453,24.63982,-26.40898,56.71296,-0.2282995,-0.07966246,0.04604361,14.89178,-52.6793,1.366919
3.827785015,23.14903,-30.51509,68.2379200000001,-0.2483598,0.1262733,0.1194682,14.89178,-52.6793,1.366919
3.8376441,16.06782,-33.25251,78.7207300000002,-0.2525288,0.2500401,0.1737633,14.89178,-52.6793,1.366919
3.847503185,12.71356,-36.28746,87.4257600000001,-0.2563656,0.2957855,0.183788,14.89178,-52.6793,1.366919
3.857361793,16.93744,-38.48929,93.9238700000002,-0.2577606,0.377545,0.1892899,14.52604,-53.03156,2.2048
3.869686127,24.32924,-41.04818,98.3989900000003,-0.2349574,0.501434,0.2125328,14.52604,-53.03156,2.2048
3.879545212,31.78315,-42.23835,100.7285,-0.2162672,0.5789852,0.2162753,14.52604,-53.03156,2.2048
3.889404297,39.67187,-41.16719,102.6902,-0.2156967,0.6073298,0.2471752,14.52604,-53.03156,2.2048
3.899263859,48.3681,-39.97702,104.2228,-0.2155909,0.6121071,0.223254,14.52604,-53.03156,2.2048
3.909122467,63.6486100000001,-39.14389,105.1423,-0.1940154,0.6437768,0.182961,9.668356,-53.71798,1.789356
3.918981552,78.74278,-37.8942,104.5906,-0.2106602,0.7921295,0.2050558,9.668356,-53.71798,1.789356
3.928841114,83.5878200000002,-37.41813,103.3032,-0.2387645,0.943876,0.2508234,9.668356,-53.71798,1.789356
3.938700199,81.4758800000001,-36.10894,102.445,-0.2337708,1.038041,0.3052172,9.668356,-53.71798,1.789356
3.948558807,73.2765800000002,-34.44268,102.1998,-0.2019477,1.115823,0.3394433,9.668356,-53.71798,1.789356
3.958417892,61.2260899999997,-33.193,101.4028,-0.1157674,1.071339,0.3416732,4.840286,-54.71909,5.218511
3.968277454,56.94009,-33.13349,99.3185400000001,-0.03525101,0.9979218,0.2977365,4.840286,-54.71909,5.218511
3.978136539,57.9960599999999,-32.12184,97.66336,0.02466182,1.089898,0.2875956,4.840286,-54.71909,5.218511
3.987995148,49.42407,-32.06233,96.00818,0.08676147,1.209785,0.3188703,4.840286,-54.71909,5.218511
3.997854233,39.4234,-31.16969,94.4755999999997,0.1104783,1.230919,0.3187106,4.840286,-54.71909,5.218511
4.007713795,29.73332,-29.2059,92.6978099999997,0.04622808,1.228486,0.3406906,0.4310017,-54.27046,7.350053
4.01757288,19.17362,-30.03902,91.3491500000001,0.02235894,1.141669,0.3436525,0.4310017,-54.27046,7.350053
4.027431488,17.37226,-30.33657,90.79742,0.04725881,1.073524,0.2799473,0.4310017,-54.27046,7.350053
4.03729105,21.65825,-29.92001,89.4487599999998,0.05161964,1.131868,0.2564176,0.4310017,-54.27046,7.350053
4.049614906,20.78863,-29.8605,85.83188,0.08973774,1.146354,0.2660598,0.4310017,-54.27046,7.350053
4.059473991,21.22344,-28.5513,83.44106,0.0860835,1.067435,0.251549,-4.414301,-53.8168,9.48385
4.069333553,24.63982,-27.42063,82.5828199999998,0.04568597,1.076899,0.2752062,-4.414301,-53.8168,9.48385
4.079192162,23.52173,-26.528,81.29546,0.07637328,1.067993,0.2933825,-4.414301,-53.8168,9.48385
4.089051247,25.38521,-25.39733,79.8241899999999,0.1219362,0.9860402,0.2618519,-4.414301,-53.8168,9.48385
4.098910332,32.52854,-23.73108,78.1690099999998,0.1280299,1.005062,0.2590504,-4.414301,-53.8168,9.48385
4.108769894,36.00703,-23.49304,76.6364300000001,0.152348,1.031602,0.2718662,-7.783884,-52.67352,9.489923
4.118628502,38.18109,-23.96911,75.5329699999999,0.1539108,1.072383,0.2429569,-7.783884,-52.67352,9.489923
4.128487587,39.11283,-25.57585,74.4295300000003,0.1600285,1.145334,0.2176086,-7.783884,-52.67352,9.489923
4.138347149,36.37973,-26.40898,72.65173,0.1720394,1.187232,0.2024566,-7.783884,-52.67352,9.489923
4.148206234,32.15585,-26.28996,70.2609199999998,0.1646791,1.179838,0.1943527,-7.783884,-52.67352,9.489923
4.158064842,28.491,-25.93291,67.2570699999999,0.1617704,1.123808,0.1828997,-11.51524,-51.50274,11.16229
4.167923927,27.93196,-25.27831,64.2532300000002,0.1679093,1.031444,0.1930543,-11.51524,-51.50274,11.16229
4.177783489,32.03161,-24.68322,62.5367499999998,0.182358,0.961475,0.1865075,-11.51524,-51.50274,11.16229
4.187642574,38.2432,-22.42188,62.5367499999998,0.2230528,0.9462376,0.1795693,-11.51524,-51.50274,11.16229
4.197501659,43.7094,-20.16054,63.27238,0.2376182,0.9740299,0.1599491,-11.51524,-51.50274,11.16229
4.207360268,47.93329,-19.68447,63.39499,0.2585984,1.017383,0.1221592,-13.68738,-50.71811,12.83037
