Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
58.90033865,-15.30072,-1.712771,20.17637,0.9667571,0.2271619,0.01818291,-53.86843,-17.08562,19.74017
58.910197258,-13.43724,-1.17719,19.19553,0.9713725,0.2004092,0.01022416,-53.86843,-17.08562,19.74017
58.920055389,-9.58605199999997,-1.058172,17.35644,0.9764693,0.177076,0.004683406,-53.86843,-17.08562,19.74017
58.929913044,-3.312345,-0.3440652,14.5978,0.9833836,0.1610439,-0.004655232,-53.87245,-16.34932,19.73263
58.939771652,3.085595,-0.04652058,12.14568,0.9797859,0.1707287,-0.008835015,-53.87245,-16.34932,19.73263
58.949629784,7.86851999999999,-0.5225921,9.69356200000002,0.9806246,0.1863208,-0.005360985,-53.87245,-16.34932,19.73263
58.961952209,10.85008,-0.582100999999999,6.32189799999997,0.9745,0.2198839,0.005551944,-53.87245,-16.34932,19.73263
58.971810341,10.04258,-0.641609900000002,3.256747,0.9789489,0.2297006,0.01755137,-53.87245,-16.34932,19.73263
58.981668949,8.241216,-0.1060295,0.682021400000003,0.984941,0.2336931,0.02995885,-54.6279,-15.98412,18.90054
58.991527081,5.94292600000003,0.846113400000001,-1.279675,0.9856151,0.2181269,0.02981787,-54.6279,-15.98412,18.90054
59.001384735,5.011188,2.214819,-4.099612,0.9877672,0.196718,0.02529372,-54.6279,-15.98412,18.90054
59.011243343,5.94292600000003,2.095801,-6.36782300000001,0.9793947,0.1883284,0.01384147,-54.6279,-15.98412,18.90054
59.021101475,8.11698399999998,1.441203,-8.636034,0.9722958,0.1984492,0.004444066,-54.6279,-15.98412,18.90054
59.030959129,9.42141799999999,0.846113400000001,-10.53643,0.9732466,0.2106557,0.01315912,-54.62593,-15.23625,19.72518
59.040817261,8.80025999999999,0.5485688,-12.19161,0.9627851,0.2310164,0.01731365,-54.62593,-15.23625,19.72518
59.050675869,6.37773799999999,0.4890598,-13.29506,0.9587851,0.2421863,0.02081933,-54.62593,-15.23625,19.72518
59.060533524,3.334059,0.370042,-14.33721,0.947981,0.2518436,0.026326,-54.62593,-15.23625,19.72518
59.070391655,-0.4550124,0.07249729,-15.01155,0.9465346,0.2396309,0.01713876,-54.62593,-15.23625,19.72518
59.080250263,-3.498692,-0.1060295,-15.31806,0.9509415,0.2386947,0.01658885,-54.24818,-15.97686,19.73079
59.090108395,-4.803127,-0.04652058,-14.88894,0.9683247,0.2159743,0.01567015,-54.24818,-15.97686,19.73079
59.099966049,-4.865242,0.1915152,-13.78549,0.9786076,0.1936097,-0.003353926,-54.24818,-15.97686,19.73079
59.109824657,-2.00791,0.667586600000001,-12.25291,0.9996975,0.1811177,-0.01046873,-54.24818,-15.97686,19.73079
59.119682789,2.09174,0.2510241,-10.47512,1.001845,0.1947245,-0.02044768,-54.24818,-15.97686,19.73079
59.132005215,6.00504300000001,-0.3440652,-6.18391400000002,1.016238,0.2299262,-0.01029255,-54.62392,-15.60439,19.72895
59.141863346,7.06101299999998,-0.2250474,-1.647493,1.016472,0.255734,-0.006244501,-54.62392,-15.60439,19.72895
59.151721954,6.25350600000003,-0.2250474,2.459808,1.00626,0.289701,-0.007729087,-54.62392,-15.60439,19.72895
59.161579609,3.76887,0.4295509,6.44450299999999,0.9860876,0.3095076,0.001351167,-54.62392,-15.60439,19.72895
59.17143774,0.663074000000001,0.608077699999999,9.632258,0.971779,0.3171588,-0.0007763244,-54.62392,-15.60439,19.72895
59.181296349,-2.380606,0.4890598,12.20698,0.960215,0.3117347,0.007489103,-54.24011,-18.56547,18.925
59.19115448,-5.237938,0.4295509,14.10738,0.9531106,0.2926954,0.007908879,-54.24011,-18.56547,18.925
59.201012135,-7.22564700000002,0.1915152,15.63995,0.9479849,0.2668446,0.003930173,-54.24011,-18.56547,18.925
59.210870743,-7.41199499999999,0.01298836,16.43689,0.9523001,0.2313532,0.002131548,-54.24011,-18.56547,18.925
59.220728874,-6.666604,-0.04652058,16.74341,0.95754,0.2080609,0.007131487,-54.24011,-18.56547,18.925
59.230586529,-5.424286,-0.04652058,16.19168,0.9623939,0.20077,-0.002104013,-54.24216,-17.0813,19.7421
59.24044466,-3.747156,0.4890598,15.51735,0.9743647,0.182387,-0.00147137,-54.24216,-17.0813,19.7421
59.250303268,-2.256374,1.203167,14.5365,0.97647,0.1731704,0.00129604,-54.24216,-17.0813,19.7421
59.2601614,-0.2686647,0.9056224,12.08438,0.9726177,0.1910824,-0.01431147,-54.24216,-17.0813,19.7421
59.270019054,0.849421699999999,-0.1060295,9.08053200000002,0.966128,0.2031946,-0.01315836,-54.24216,-17.0813,19.7421
59.279877663,0.3524944,-0.760627799999999,5.647564,0.9777108,0.216924,-0.01272838,-54.2522,-15.24056,19.72325
59.289735794,-1.573099,-1.415226,2.398505,0.9772602,0.2252305,-0.002588664,-54.2522,-15.24056,19.72325
59.299593449,-4.678895,-1.77228,-1.157069,0.9778802,0.2213663,0.003599484,-54.2522,-15.24056,19.72325
59.311916351,-6.60448799999999,-1.712771,-5.08046,0.9819242,0.2004445,-0.005260312,-54.2522,-15.24056,19.72325
59.32177496,-5.98332900000001,-1.415226,-7.47127699999998,0.9810079,0.1765304,-0.02174185,-54.2522,-15.24056,19.72325
59.331632614,-2.504838,-1.355717,-10.29121,0.983558,0.1594938,-0.02910997,-54.62112,-16.71507,19.29216
59.341490746,2.650783,-1.415226,-12.74334,0.9899332,0.1405138,-0.04469539,-54.62112,-16.71507,19.29216
59.351349354,8.36544800000002,-2.486387,-14.76633,0.9934653,0.1347161,-0.04191947,-54.62112,-16.71507,19.29216
59.361207008,13.70742,-3.557548,-15.50197,0.9888229,0.156579,-0.04023119,-54.62112,-16.71507,19.29216
59.37106514,16.3784,-4.033619,-15.25676,0.9872592,0.183391,-0.02368985,-54.62112,-16.71507,19.29216
59.380923748,16.3784,-4.212146,-14.0307,0.9909884,0.2087609,-0.0149033,-54.24337,-17.45568,19.29777
59.39078188,14.45281,-4.926253,-12.55943,0.9814293,0.2437555,-0.003450142,-54.24337,-17.45568,19.29777
59.400639534,10.72585,-5.461833,-10.41382,0.9776331,0.2817008,0.002674592,-54.24337,-17.45568,19.29777
59.410497666,4.514261,-5.93790500000001,-7.71648900000002,0.97312,0.2987183,0.009591323,-54.24337,-17.45568,19.29777
59.420356274,-2.691185,-6.47348499999999,-4.957854,0.9652643,0.3044995,0.01262727,-54.24337,-17.45568,19.29777
59.430213928,-9.52393499999999,-6.652012,-2.260523,0.9579743,0.3049363,0.01656846,-54.2522,-15.24056,19.72325
59.44007206,-14.67956,-6.77103000000002,0.4981124,0.9551415,0.2902927,0.01121405,-54.2522,-15.24056,19.72325
59.449930668,-18.15805,-6.94955700000003,3.134141,0.9495167,0.2707817,0.01208796,-54.2522,-15.24056,19.72325
59.459788799,-20.58057,-6.71152099999998,5.218443,0.9525712,0.2596125,0.01099177,-54.2522,-15.24056,19.72325
59.469646454,-21.32596,-4.331164,7.54795700000002,0.9810063,0.2146116,0.01164431,-54.2522,-15.24056,19.72325
59.481969357,-16.66727,-1.474735,10.06138,0.984642,0.1692971,-0.0127499,-54.60912,-17.80793,20.13565
59.491827965,-9.58605199999997,-0.879645599999998,10.85832,0.9587483,0.1617536,-0.01675731,-54.60912,-17.80793,20.13565
59.501685619,-3.001765,-1.474735,11.47135,0.9511142,0.1801567,-0.02224359,-54.60912,-17.80793,20.13565
59.511543751,1.097885,-1.891297,11.59396,0.9714733,0.2017674,-0.01708018,-54.60912,-17.80793,20.13565
59.521402359,2.464436,-2.010315,11.65526,0.9827839,0.212625,-0.003252973,-54.60912,-17.80793,20.13565
59.531260014,2.278088,-2.664914,10.98092,0.9989622,0.2166838,0.002780293,-54.23137,-18.54854,20.14127
59.541118145,0.2282626,-3.319512,9.75486500000002,1.021487,0.2256773,0.01211915,-54.23137,-18.54854,20.14127
59.550976753,-3.498692,-3.676566,8.467502,1.038804,0.2283259,0.02866668,-54.23137,-18.54854,20.14127
59.560834408,-9.27547199999997,-3.43853,7.24144199999999,1.036094,0.2176232,0.03580296,-54.23137,-18.54854,20.14127
59.570692539,-14.0584,-3.200494,4.973231,1.021505,0.2082416,0.03401492,-54.23137,-18.54854,20.14127
59.580551147,-16.35669,-3.557548,2.398505,1.013915,0.178458,0.02524615,-54.61514,-16.70349,20.12434
59.590409279,-16.54304,-4.152637,0.2529004,0.9952564,0.1685091,0.01153133,-54.61514,-16.70349,20.12434
59.600266933,-16.48092,-5.283307,-1.954008,0.9676499,0.1838292,0.009658092,-54.61514,-16.70349,20.12434
59.610125542,-17.16419,-6.35446700000003,-4.283521,0.9599269,0.2080657,0.002784714,-54.61514,-16.70349,20.12434
59.619983673,-18.65498,-6.35446700000003,-5.754793,0.9676758,0.2178773,0.005632272,-54.61514,-16.70349,20.12434
59.629841328,-20.7048,-5.699869,-6.24521700000002,0.9651088,0.2148917,-0.005857124,-54.24743,-15.60336,20.1111
59.639699459,-21.885,-5.342815,-6.30652000000001,0.9572203,0.2118756,-0.01295814,-54.24743,-15.60336,20.1111
59.652022839,-21.51231,-4.688217,-5.570884,0.9521841,0.2191145,-0.01713806,-54.24743,-15.60336,20.1111
59.661880493,-19.27613,-2.069824,-4.099612,0.9630394,0.2045895,-0.02316575,-54.24743,-15.60336,20.1111
59.671738624,-13.31301,-0.2250474,-2.076613,0.9707208,0.1613004,-0.03609975,-54.24743,-15.60336,20.1111
59.681597233,-1.635215,1.61973,-0.2988266,0.9727275,0.1339912,-0.05648521,-53.86647,-16.33774,20.56481
59.691455364,10.41527,1.61973,1.47896,0.9515505,0.1405997,-0.0609196,-53.86647,-16.33774,20.56481
59.701313019,19.23573,0.310533,2.582414,0.9575723,0.1854765,-0.04625071,-53.86647,-16.33774,20.56481
59.71117115,23.52173,-0.1060295,3.379353,0.9719157,0.2221287,-0.03847863,-53.86647,-16.33774,20.56481
59.721029758,23.21115,-0.5225921,4.053687,0.9612181,0.2376751,-0.01998538,-53.86647,-16.33774,20.56481
59.730887413,19.73266,-2.248351,4.053687,0.9770375,0.2373727,-0.008233411,-54.24141,-16.70781,20.12241
59.740745544,14.70127,-2.843441,3.869777,0.977542,0.2476341,0.001909189,-54.24141,-16.70781,20.12241
59.750604153,7.24736100000001,-3.617057,3.808474,0.9688433,0.2524688,0.01405395,-54.24141,-16.70781,20.12241
59.760462284,-0.2065488,-4.628708,3.563262,0.9609037,0.2587143,0.01134462,-54.24141,-16.70781,20.12241
59.770319939,-6.54237199999997,-5.699869,2.643717,0.9598597,0.2625928,0.009954637,-54.24141,-16.70781,20.12241
59.780178547,-12.75396,-6.23544999999998,1.908081,0.9577833,0.2649825,0.003295608,-53.8617,-16.70054,20.95266
59.790036678,-17.78535,-5.699869,1.295051,0.9649569,0.2650006,-0.008786469,-53.8617,-16.70054,20.95266
59.799894333,-21.01538,-4.390673,1.172445,0.9630983,0.2215591,-0.03979536,-53.8617,-16.70054,20.95266
59.809752941,-18.59286,-3.914601,1.295051,0.9810014,0.1759051,-0.0586454,-53.8617,-16.70054,20.95266
59.819611072,-11.76011,-3.200494,1.417657,0.9759885,0.1471571,-0.05689977,-53.8617,-16.70054,20.95266
59.831933498,-3.250229,-5.164289,1.417657,0.932675,0.180741,-0.08235499,-53.86049,-16.32616,21.39699
59.84179163,-0.765591999999998,-9.50844099999999,0.4368094,0.9374526,0.2392037,-0.07522089,-53.86049,-16.32616,21.39699
59.851650238,-4.430431,-12.90045,0.1915974,0.9627695,0.2926113,-0.03727424,-53.86049,-16.32616,21.39699
59.861507893,-14.0584,-14.80474,0.988536299999999,0.9853352,0.3074753,-0.01974003,-53.86049,-16.32616,21.39699
59.871366024,-24.6181,-15.51884,1.969384,0.9903976,0.313426,-0.002031589,-53.86049,-16.32616,21.39699
59.881224632,-35.98531,-15.2213,2.337202,0.9730248,0.3177319,0.01933713,-54.23543,-16.69622,20.95459
59.891082764,-48.65696,-15.81639,2.09199,0.9520464,0.3389086,0.006397261,-54.23543,-16.69622,20.95459
59.900940418,-62.6330400000001,-16.94706,1.111142,0.9582492,0.3481966,0.003032844,-54.23543,-16.69622,20.95459
59.910799026,-76.9196999999999,-17.8992,0.0689914200000002,0.9585091,0.3559472,-0.006968638,-54.23543,-16.69622,20.95459
59.920657158,-90.2746300000001,-18.49429,-0.911856500000002,0.9557701,0.325707,-0.0191648,-54.23543,-16.69622,20.95459
59.930514812,-99.71624,-17.18509,-2.137917,0.9637032,0.2634487,-0.03034567,-53.48399,-16.32513,21.77914
59.940373421,-102.3251,-13.9121,-4.099612,0.9941143,0.1794126,-0.06263628,-53.48399,-16.32513,21.77914
59.950231552,-91.5790600000001,-9.03236999999999,-7.47127699999998,1.013951,0.07580556,-0.09829574,-53.48399,-16.32513,21.77914
59.960089684,-68.6582900000001,-5.759378,-10.65903,1.000001,-0.007116163,-0.1179647,-53.48399,-16.32513,21.77914
59.969948292,-35.17781,-4.5692,-12.68203,0.9835887,-0.05358215,-0.1425621,-53.48399,-16.32513,21.77914
59.979805946,-1.262519,-4.331164,-12.0077,0.9858305,-0.07092453,-0.1010501,-52.73849,-17.08164,20.95064
59.989664078,28.67735,-2.129333,-9.61688199999998,0.988519,-0.03093428,-0.0839789,-52.73849,-17.08164,20.95064
60.001986504,54.89027,-1.355717,-7.47127699999998,0.9572786,0.09485293,-0.0757633,-52.73849,-17.08164,20.95064
60.011845112,65.8226700000002,-2.605405,-6.79694399999997,0.9484168,0.17274,-0.04718611,-52.73849,-17.08164,20.95064
60.021703243,68.9284700000002,-3.081476,-5.264369,0.9706664,0.2417071,-0.005230831,-52.73849,-17.08164,20.95064
60.031560898,64.08343,-2.605405,-3.486583,0.992332,0.3038076,0.02373644,-53.84644,-18.90319,21.42338
60.041419506,54.39334,-1.296208,-1.831402,0.9952552,0.3608176,0.03711429,-53.84644,-18.90319,21.42338
60.051277637,39.54764,-0.998663500000001,-0.789250600000002,1.005664,0.4091466,0.05366659,-53.84644,-18.90319,21.42338
60.061135292,18.92515,0.310533,0.0689914200000002,1.022621,0.4361036,0.0651532,-53.84644,-18.90319,21.42338
60.0709939,-2.132142,2.333837,-0.3601296,1.04922,0.3930728,0.07639093,-53.84644,-18.90319,21.42338
60.080852032,-16.91573,4.238123,0.1302944,1.076373,0.28136,0.06787315,-53.08818,-20.37907,21.81868
60.090710163,-20.33211,5.428301,1.417657,1.065296,0.1964937,0.04191723,-53.08818,-20.37907,21.81868
60.100568771,-18.77921,4.41665,1.846778,1.018471,0.172682,0.03136206,-53.08818,-20.37907,21.81868
60.110426426,-15.92188,2.631382,0.988536299999999,0.9959511,0.1754072,0.03266443,-53.08818,-20.37907,21.81868
60.120284557,-12.38127,2.333837,0.682021400000003,1.004734,0.1574144,0.01513622,-53.08818,-20.37907,21.81868
60.130143166,-8.77854399999999,2.274328,1.049839,0.9983875,0.1519912,0.01134731,-52.72649,-18.1745,21.79413
60.14000082,-4.554663,2.15531,0.4981124,0.9701999,0.1623986,-0.0015807,-52.72649,-18.1745,21.79413
60.149858952,-1.448867,2.036292,-0.1149176,0.9522327,0.1782524,-0.01365001,-52.72649,-18.1745,21.79413
60.159717083,1.843277,2.452855,-1.279675,0.9548946,0.1874768,-0.02559009,-52.72649,-18.1745,21.79413
60.169575691,8.92449099999999,6.61847999999998,-1.770099,0.9910722,0.1472683,-0.0628642,-52.72649,-18.1745,21.79413
60.181898117,26.56541,12.86692,-2.750947,1.018335,0.0597278,-0.1138283,-53.09822,-18.53833,21.79983
60.191756249,48.43021,15.36629,-4.590036,0.9896435,0.02143903,-0.1348273,-53.09822,-18.53833,21.79983
60.201614857,70.1086699999998,14.0571,-5.264369,0.9519839,0.03806044,-0.155235,-53.09822,-18.53833,21.79983
60.211472511,86.3830399999999,11.08165,-5.08046,0.9230474,0.08793578,-0.1524849,-53.09822,-18.53833,21.79983
60.221330643,96.3215899999997,7.98718600000001,-4.835248,0.9224356,0.1531837,-0.1399456,-53.09822,-18.53833,21.79983
60.231189251,97.1290900000001,4.892721,-4.773945,0.9490616,0.2182765,-0.1033565,-53.47471,-18.53936,21.41768
60.241046906,87.1905400000002,2.988435,-4.222218,0.9531753,0.2997669,-0.05289069,-53.47471,-18.53936,21.41768
