Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
16.439855099,7.65893599999998,-2.547954,1.169271,-0.6687,0.1227905,0.2830715,36.49417,-3.570607,-46.76903
16.449852467,0.02881546,-6.10909600000003,-2.367033,-0.6593879,0.1201334,0.2911917,37.26358,-4.698967,-45.91888
16.459849358,-7.232106,-9.43282899999999,-5.90333699999997,-0.6618893,0.07213366,0.3084372,37.26358,-4.698967,-45.91888
16.469846726,-12.27783,-12.40045,-10.04935,-0.659325,0.01412575,0.336205,37.26358,-4.698967,-45.91888
16.47984314,-14.49303,-16.199,-14.92701,-0.6709098,-0.04333457,0.3482044,37.26358,-4.698967,-45.91888
16.489840031,-14.49303,-19.52273,-19.37788,-0.664076,-0.06994388,0.3462851,37.26358,-4.698967,-45.91888
16.499837399,-14.24689,-22.90582,-22.91418,-0.6558035,-0.06926819,0.349142,37.66557,-5.844304,-46.74852
16.509833813,-15.90829,-26.64502,-25.90175,-0.6531886,-0.05261556,0.3577475,37.66557,-5.844304,-46.74852
16.519831181,-18.00042,-30.91838,-29.19417,-0.6548859,-0.06562038,0.3740253,37.66557,-5.844304,-46.74852
16.529827595,-19.41569,-34.59823,-32.54756,-0.6335494,-0.08536713,0.4003149,37.66557,-5.844304,-46.74852
16.539824963,-19.72335,-37.6252,-35.71804,-0.614109,-0.1081459,0.4179942,37.66557,-5.844304,-46.74852
16.549821854,-19.23109,-39.34642,-38.33978,-0.5801193,-0.1015905,0.4236762,37.28297,-5.466761,-46.75333
16.559819222,-20.33868,-40.77088,-40.22988,-0.5530126,-0.09176063,0.4303264,37.28297,-5.466761,-46.75333
16.569815636,-22.30775,-43.08562,-41.93706,-0.5439896,-0.07955664,0.4169075,37.28297,-5.466761,-46.75333
16.579812527,-23.96914,-46.52806,-43.76618,-0.5693103,-0.08054723,0.4164732,37.28297,-5.466761,-46.75333
