Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
10.68170023,-65.3909900000002,47.62739,-58.20783,-0.1526908,0.309499,0.2894978,0.2730536,-53.37051,-11.75774
10.691588879,-58.3038100000003,42.68462,-50.32705,-0.1722431,0.2934846,0.3232209,0.2730536,-53.37051,-11.75774
10.701476574,-49.3516,39.09523,-42.99608,-0.1616588,0.2791284,0.3415805,0.2730536,-53.37051,-11.75774
10.713837147,-36.10978,32.85793,-33.16036,-0.1417595,0.2955178,0.3655664,0.2730536,-53.37051,-11.75774
10.723725319,-25.9142,27.03252,-24.85193,-0.1650949,0.3042591,0.3933891,0.2730536,-53.37051,-11.75774
10.733613014,-17.77017,20.38332,-15.56604,-0.1781692,0.3205124,0.4038723,4.023177,-53.47139,-14.20263
10.743501663,-11.67769,14.38138,-5.302687,-0.1893658,0.3177567,0.413492,4.023177,-53.47139,-14.20263
10.753389835,-7.63676199999999,8.55597700000001,3.983205,-0.2064197,0.3092481,0.4284241,4.023177,-53.47139,-14.20263
10.763278484,-4.839194,1.965619,11.92509,-0.2209277,0.3149117,0.4144323,4.023177,-53.47139,-14.20263
10.77316618,0.3207631,-4.801267,17.78986,-0.2223255,0.3249967,0.4047613,4.023177,-53.47139,-14.20263
10.783054352,7.097093,-9.62634999999999,22.73826,-0.2270406,0.3485142,0.381072,5.476654,-53.12287,-14.62901
10.792943001,16.48449,-15.0987,27.86994,-0.2454146,0.3590549,0.3670511,5.476654,-53.12287,-14.62901
10.802830696,28.1721,-21.7479,33.1238,-0.2439144,0.3667354,0.3598002,5.476654,-53.12287,-14.62901
10.812719345,39.85971,-30.22122,38.13329,-0.2429702,0.3624229,0.3646323,5.476654,-53.12287,-14.62901
10.822607517,49.0606,-37.98843,43.57043,-0.2308365,0.3658866,0.3699187,5.476654,-53.12287,-14.62901
10.832495213,53.59888,-45.16721,50.22939,-0.2030942,0.3967037,0.3827794,4.708967,-52.71824,-13.80839
10.842383862,56.45861,-50.75724,57.8047200000002,-0.173949,0.4159104,0.4009905,4.708967,-52.71824,-13.80839
10.852272034,60.62388,-53.99358,63.9749599999999,-0.1588911,0.4382032,0.4283075,4.708967,-52.71824,-13.80839
10.862160683,65.7838400000002,-55.58233,69.0455400000003,-0.1413706,0.4637488,0.4455114,4.708967,-52.71824,-13.80839
10.872048378,70.50861,-57.3476,73.4441200000001,-0.1194836,0.4773546,0.4464294,4.708967,-52.71824,-13.80839
10.88193655,75.0468900000002,-59.93667,77.8427,-0.08732454,0.490938,0.4146565,2.472671,-53.02469,-11.71299
10.891825199,78.5283100000001,-64.64407,82.8522000000002,-0.07057882,0.5286838,0.3683164,2.472671,-53.02469,-11.71299
