Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
11.14,-5.869117,9.06926500000003,-13.58927,1.005063,-0.03029539,0.1555564,-48.69438,4.383027,10.88647
11.15,-6.491377,8.24457499999997,-13.03974,0.9894267,-0.02405144,0.1637329,-48.69438,4.383027,10.88647
11.16,-8.10925100000002,7.24316400000003,-12.67339,0.9820831,-0.0192473,0.166137,-48.69438,4.383027,10.88647
11.17,-9.41599700000003,6.94863099999999,-12.67339,0.9801135,-0.01917923,0.1753005,-48.69438,4.383027,10.88647
11.18,-9.540448,6.77191199999999,-12.49021,0.9807429,-0.03559346,0.1791272,-48.69438,4.383027,10.88647
11.19,-8.85596300000002,7.41988299999998,-11.57432,0.982115,-0.02966994,0.1907247,-48.66737,2.932943,10.90981
11.2,-8.10925100000002,7.77332200000002,-9.98678199999998,0.982099,-0.0249272,0.1801188,-48.66737,2.932943,10.90981
11.21,-7.36253999999998,6.65409899999999,-8.39924299999999,0.9572496,-0.01039104,0.1501679,-48.66737,2.932943,10.90981
11.22,-5.806891,4.76909,-7.971829,0.9546282,0.01179307,0.1439357,-48.66737,2.932943,10.90981
11.23,-5.557987,3.178614,-8.03288799999999,0.9511511,0.01763921,0.1511775,-48.66737,2.932943,10.90981
11.24,-6.92695900000001,1.705951,-8.765598,0.95208,0.0196657,0.1603527,-49.39638,2.931511,10.52375
11.25,-9.29154500000003,0.8223537,-9.25407200000002,0.9584295,0.01304978,0.1724186,-49.39638,2.931511,10.52375
11.26,-12.15394,0.8223537,-10.1089,0.9715528,0.01221945,0.176311,-49.39638,2.931511,10.52375
11.27,-13.58514,1.352512,-11.02479,0.9741485,-0.009410646,0.1902651,-49.39638,2.931511,10.52375
11.28,-14.02072,1.647045,-11.51326,0.9668814,-0.0100172,0.1830069,-49.39638,2.931511,10.52375
11.29,-12.71397,2.589549,-13.28398,0.980629,-0.02630707,0.1892804,-49.01094,1.901995,10.54376
11.3,-14.95411,1.647045,-10.04784,0.9679627,-0.01974924,0.176233,-49.01094,1.901995,10.54376
11.31,-14.02072,0.704540600000002,-8.948776,0.9855666,-0.03074266,0.1762548,-49.01094,1.901995,10.54376
11.32,-13.46068,-0.1790571,-7.91077000000001,0.9947686,-0.02633725,0.1738753,-49.01094,1.901995,10.54376
11.33,-12.83842,-0.944841800000002,-6.14005499999998,1.012852,-0.03965006,0.1845094,-49.29955,0.8225927,10.93746
11.34,-12.02949,-1.298281,-4.857812,1.029516,-0.05498002,0.1874147,-49.29955,0.8225927,10.93746
11.35,-10.84719,-0.4146832,-4.247221,1.044341,-0.08145517,0.1902913,-49.29955,0.8225927,10.93746
11.36,-7.67366999999998,0.410008,-3.087097,1.039751,-0.1081829,0.1820186,-49.29955,0.8225927,10.93746
11.37,-3.131175,1.293606,-0.8279076,1.024724,-0.1089071,0.168467,-49.29955,0.8225927,10.93746
11.38,0.975737500000002,1.647045,1.309163,1.00939,-0.08189047,0.1723459,-49.29594,0.816411,10.55836
11.39,3.340324,1.470325,2.896702,1.002132,-0.03214427,0.1676086,-49.29594,0.816411,10.55836
11.4,3.838131,1.116886,3.75153,1.000723,0.01008888,0.1831374,-49.29594,0.816411,10.55836
11.41,3.527002,1.293606,4.117885,0.9971568,0.02795399,0.1817189,-49.29594,0.816411,10.55836
11.42,2.158031,1.705951,4.606358,0.99413,0.0362673,0.1937927,-49.29594,0.816411,10.55836
11.43,1.100189,1.529232,4.850595,0.9995047,0.03527987,0.1870488,-49.65804,0.8115735,10.11259
11.44,0.913511500000001,1.352512,4.362122,0.9777584,0.02249231,0.1831048,-49.65804,0.8115735,10.11259
11.45,1.971353,1.175793,3.568352,0.9773743,0.01558665,0.169095,-49.65804,0.8115735,10.11259
11.46,2.842516,1.352512,3.140938,0.9734588,0.01798901,0.1705378,-49.65804,0.8115735,10.11259
11.47,3.153646,1.411419,2.225051,0.9694144,0.03347896,0.174421,-49.65804,0.8115735,10.11259
11.48,1.597997,1.234699,1.858696,0.9615475,0.04309215,0.1739388,-49.35699,0.8168068,10.55778
11.49,-0.704363199999999,1.05798,1.248104,0.9677988,0.04711795,0.1855448,-49.35699,0.8168068,10.55778
11.5,-2.44669,1.116886,1.248104,0.9747249,0.03317261,0.1893931,-49.35699,0.8168068,10.55778
11.51,-2.322238,1.05798,1.431281,0.9875785,0.01098931,0.1869658,-49.35699,0.8168068,10.55778
11.52,-0.642137300000001,0.704540600000002,1.797637,0.9863036,-0.002289306,0.1647367,-49.35699,0.8168068,10.55778
11.53,0.291252,0.174382,1.309163,0.9854813,-0.01639175,0.1579486,-49.35699,0.8168068,10.55778
11.54,0.4779299,-0.3557767,0.881749099999998,0.9888393,-0.01434189,0.1676126,-49.35699,0.8168068,10.55778
11.55,0.291252,-0.5324962,0.1490391,0.9844272,-0.01190828,0.1729145,-49.35699,0.8168068,10.55778
11.56,0.2290261,-0.1790571,-0.3394342,0.9882277,-0.006427798,0.18693,-49.35699,0.8168068,10.55778
11.57,0.913511500000001,0.292195,-0.4615526,0.9843671,-0.01030318,0.189807,-49.35699,0.8168068,10.55778
11.58,2.158031,0.410008,-0.3394342,0.9766227,-0.01516359,0.1941195,-49.35699,0.8168068,10.55778
11.59,2.966968,0.704540600000002,-0.644730100000001,0.9838472,-0.007381578,0.1922247,-49.35699,0.8168068,10.55778
11.6,3.215872,1.116886,-1.133204,0.9794573,-0.001269438,0.1763024,-49.35699,0.8168068,10.55778
11.61,2.78029,0.8223537,-1.865914,0.981384,0.004900789,0.1613616,-49.35699,0.8168068,10.55778
11.62,0.726833699999999,-0.002337579,-2.232268,0.9668109,0.002877595,0.164215,-49.35699,0.8168068,10.55778
11.63,-1.077719,-0.4735897,-1.865914,0.9639194,-0.002855742,0.1748113,-48.99744,1.176952,10.55543
11.64,-1.077719,-0.5324962,-1.37744,0.9679479,-0.02063819,0.184917,-48.99744,1.176952,10.55543
11.65,1.411319,-1.062655,-0.9500259,0.9599125,-0.03974623,0.1660358,-48.99744,1.176952,10.55543
11.66,7.322785,-2.064066,-1.743795,0.9673511,-0.05471256,0.16361,-48.99744,1.176952,10.55543
11.67,13.85651,-2.122972,-3.392393,0.9909955,-0.03612914,0.164676,-48.99744,1.176952,10.55543
11.68,17.03003,-1.828439,-5.468404,1.004783,-0.006390809,0.1768393,-49.30269,1.178932,10.55253
11.69,15.53661,-0.3557767,-6.75064700000002,1.014667,0.0205539,0.204428,-49.30269,1.178932,10.55253
11.7,10.68299,1.764858,-7.72759299999999,1.012492,0.04240249,0.2141203,-49.30269,1.178932,10.55253
11.71,5.76713600000002,3.885493,-9.19301299999997,0.9962149,0.06744081,0.2141321,-49.30269,1.178932,10.55253
11.72,3.029194,4.94581,-11.02479,0.9762675,0.07296953,0.2005812,-49.30269,1.178932,10.55253
11.73,1.722449,4.94581,-12.24597,0.9635463,0.08815018,0.1779013,-49.00105,1.183134,10.93453
11.74,-0.2065556,4.474558,-13.03974,0.9666513,0.07066879,0.1687032,-49.00105,1.183134,10.93453
11.75,-2.322238,3.944399,-12.49021,0.958073,0.05033744,0.1753931,-49.00105,1.183134,10.93453
11.76,-4.064565,2.884082,-11.4522,0.9569018,0.02264657,0.1647145,-49.00105,1.183134,10.93453
11.77,-4.997954,2.05939,-9.86466400000001,0.9526596,0.006229448,0.172389,-49.00105,1.183134,10.93453
11.78,-5.806891,1.529232,-8.093948,0.9473807,-0.002478925,0.1771822,-49.65549,0.456265,10.56071
11.79,-5.869117,0.881260199999998,-6.50640999999998,0.9629788,-0.009532967,0.1863757,-49.65549,0.456265,10.56071
11.8,-4.686824,0.4689145,-5.285227,0.9717827,-0.01620879,0.1897619,-49.65549,0.456265,10.56071
11.81,-3.380079,0.410008,-3.57557,0.9814861,-0.0113814,0.1801463,-49.65549,0.456265,10.56071
11.82,-3.691209,0.586727600000001,-1.621677,0.9839417,-0.01238284,0.1743599,-49.65549,0.456265,10.56071
11.83,-6.180247,0.2332885,-0.0951975900000001,0.9781509,-0.01491367,0.1671013,-48.96683,-0.2793121,10.19966
11.84,-8.980414,-0.944841800000002,1.431281,0.9801233,-0.01733559,0.165171,-48.96683,-0.2793121,10.19966
11.85,-8.79373700000002,-1.65172,2.28611,0.9924379,-0.03841026,0.1786688,-48.96683,-0.2793121,10.19966
11.86,-4.686824,-1.533907,3.324116,1.000813,-0.05090562,0.1810763,-48.96683,-0.2793121,10.19966
11.87,-0.0821036699999998,-1.533907,4.606358,0.9792976,-0.03424073,0.1694754,-48.96683,-0.2793121,10.19966
11.88,1.909127,-2.476411,5.94966000000001,0.945033,-0.008867651,0.1684765,-50.00829,-0.2664013,10.5689
11.89,1.162415,-4.243607,7.59825700000001,0.9312137,0.01328616,0.1684885,-50.00829,-0.2664013,10.5689
11.9,0.415704,-5.775176,9.61321,0.9373084,0.03142871,0.1892928,-50.00829,-0.2664013,10.5689
