Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
11.290908814,19.35996,-0.3440652,58.5520500000002,-0.4143568,0.2457033,0.1779499,29.79802,-45.74506,9.220059
11.300768375,23.27327,0.4295509,64.3758299999999,-0.3820828,0.2376859,0.1697551,29.79802,-45.74506,9.220059
11.310626984,29.42274,0.965131299999997,70.2609199999998,-0.3681349,0.2405377,0.1187852,29.79802,-45.74506,9.220059
11.320486069,35.63433,0.9056224,76.7590400000001,-0.3611001,0.2950625,0.1086027,28.31235,-46.826,9.687195
11.330344677,39.05071,1.203167,84.3606099999998,-0.3563137,0.3681746,0.1292779,28.31235,-46.826,9.687195
11.340203762,40.1688,1.441203,91.4717600000001,-0.3621192,0.4055993,0.1311141,28.31235,-46.826,9.687195
11.35006237,42.34285,0.786604499999998,97.4794500000002,-0.3476436,0.4305718,0.1383065,28.31235,-46.826,9.687195
11.359921932,44.0821,0.9056224,102.8741,-0.3209724,0.4693132,0.1550253,28.31235,-46.826,9.687195
11.372245312,43.21248,0.4295509,107.0427,-0.2800919,0.4899873,0.1215524,25.3385,-47.5046,11.37455
11.382104397,43.02613,0.1320062,109.5561,-0.2296107,0.4903254,0.092563,25.3385,-47.5046,11.37455
11.391963005,42.21862,-0.04652058,112.6213,-0.1731236,0.4907541,0.07355195,25.3385,-47.5046,11.37455
11.40182209,44.82749,0.01298836,117.7707,-0.1532992,0.5117241,0.03894402,25.3385,-47.5046,11.37455
11.411681652,47.56059,-0.820136700000001,124.8206,-0.161518,0.5706185,0.06208057,25.3385,-47.5046,11.37455
11.42154026,48.49233,0.1915152,130.767,-0.1591425,0.5891727,0.07322488,20.93356,-48.53569,13.00906
11.431399345,52.77833,0.370042,135.8551,-0.1403105,0.5795069,0.04651894,20.93356,-48.53569,13.00906
11.441257954,58.3066400000002,0.667586600000001,140.3916,-0.08791159,0.601198,-0.002443966,20.93356,-48.53569,13.00906
11.451117516,63.1516900000001,1.322185,142.2919,-0.02622738,0.6187099,-0.01994731,20.93356,-48.53569,13.00906
11.460976124,68.6178899999999,2.274328,144.3149,0.0405043,0.6532622,-0.04696277,20.93356,-48.53569,13.00906
11.470835209,71.5994499999998,2.571872,148.1157,0.07419838,0.7261547,-0.02334705,15.72181,-49.92381,14.77956
11.480693817,70.72983,2.988435,151.7939,0.08373473,0.8051284,-0.007961299,15.72181,-49.92381,14.77956
11.490552902,67.9967299999998,2.69089,156.3303,0.08110595,0.8776652,0.006585117,15.72181,-49.92381,14.77956
11.500411511,60.72916,1.262676,160.315,0.08474445,0.919962,-0.01227776,15.72181,-49.92381,14.77956
11.510271073,53.4616,0.01298836,161.1733,0.1135817,0.8981051,-0.06941875,15.72181,-49.92381,14.77956
11.520129681,50.23158,-1.355717,161.0507,0.1737595,0.8683702,-0.09544575,9.018612,-49.79979,18.14305
11.529988766,50.23158,-0.939154599999998,161.6637,0.2581443,0.8350092,-0.1074724,9.018612,-49.79979,18.14305
11.542312622,55.75989,0.310533,163.3802,0.307538,0.8325133,-0.1110726,9.018612,-49.79979,18.14305
11.55217123,61.2882099999998,0.370042,164.0545,0.3202774,0.8735077,-0.1094706,9.018612,-49.79979,18.14305
11.562030792,65.5742000000002,-0.3440652,166.3227,0.3472936,0.9929876,-0.1040553,9.018612,-49.79979,18.14305
11.5718894,59.3626099999999,0.07249729,169.0201,0.3749792,1.081412,-0.07686851,1.240995,-48.94951,19.90412
11.581748485,49.67253,2.512363,168.3457,0.3889725,1.102642,-0.2877365,1.240995,-48.94951,19.90412
11.591607094,45.82135,-0.879645599999998,170.3687,0.4240763,1.07075,-0.1811653,1.240995,-48.94951,19.90412
11.601466179,43.95787,-2.129333,169.204,0.4333524,1.034968,-0.1423052,1.240995,-48.94951,19.90412
11.611324787,48.61656,-3.140985,166.6905,0.4571901,1.006337,-0.1773889,1.240995,-48.94951,19.90412
11.621184349,56.50528,-2.188842,164.9128,0.4824138,1.062024,-0.1801536,-5.863956,-45.89915,21.57502
11.631042957,58.4929900000001,-0.4630831,162.5832,0.5072359,1.153102,-0.2171163,-5.863956,-45.89915,21.57502
11.640902042,57.6854899999998,1.203167,161.1733,0.5651907,1.226507,-0.2436788,-5.863956,-45.89915,21.57502
11.650760651,52.65409,2.869417,162.8898,0.6022635,1.252683,-0.2286519,-5.863956,-45.89915,21.57502
11.660620212,48.67868,4.654685,166.0162,0.6319494,1.236927,-0.2181864,-5.863956,-45.89915,21.57502
11.670479298,49.85888,6.67798900000002,170.1235,0.6298624,1.215525,-0.2106701,-12.52089,-43.9467,24.08715
11.680337906,54.70392,7.630132,171.0431,0.5910246,1.212199,-0.2273958,-12.52089,-43.9467,24.08715
11.690196991,63.3380299999998,8.10620399999998,168.407,0.5878403,1.245301,-0.2165286,-12.52089,-43.9467,24.08715
11.700055599,67.0649899999999,9.83196299999999,166.1388,0.6244731,1.307968,-0.2016667,-12.52089,-43.9467,24.08715
11.709915161,63.83496,11.20067,164.9741,0.6614408,1.362648,-0.2410265,-12.52089,-43.9467,24.08715
11.722238064,58.86569,11.55772,162.1541,0.6826071,1.365666,-0.2647834,-18.89038,-39.81212,24.91069
11.732097626,56.13259,11.49821,157.4338,0.6771089,1.352538,-0.2490023,-18.89038,-39.81212,24.91069
11.741956234,54.82815,11.49821,152.2843,0.6594238,1.374955,-0.1987243,-18.89038,-39.81212,24.91069
11.751815319,49.79676,11.67674,145.9088,0.6331294,1.417719,-0.1519855,-18.89038,-39.81212,24.91069
11.761673927,41.03842,10.90312,136.7134,0.6201465,1.392279,-0.1577655,-18.89038,-39.81212,24.91069
11.771533489,35.57222,9.29638199999997,126.4145,0.6328754,1.327595,-0.17814,-25.63884,-34.62925,25.78949
11.781392574,34.3299,7.74915000000002,115.5025,0.6510332,1.278108,-0.1816917,-25.63884,-34.62925,25.78949
11.791251183,33.46028,6.79700699999999,104.7132,0.6602292,1.253398,-0.1748433,-25.63884,-34.62925,25.78949
11.801110268,32.09373,5.90437299999999,94.7821200000001,0.6844281,1.240005,-0.17003,-25.63884,-34.62925,25.78949
11.810968876,29.73332,5.071248,85.6479700000001,0.6958944,1.249795,-0.1816116,-25.63884,-34.62925,25.78949
11.820828438,28.55312,4.41665,77.9851,0.695041,1.271657,-0.1890821,-30.45837,-29.78259,26.14935
11.830687046,25.94425,4.41665,69.8318000000002,0.6644836,1.305853,-0.2113596,-30.45837,-29.78259,26.14935
11.840546131,24.26712,3.940578,60.3298400000002,0.6420948,1.304086,-0.2402866,-30.45837,-29.78259,26.14935
11.850404739,22.65211,3.345489,50.15354,0.6346861,1.299119,-0.2498069,-30.45837,-29.78259,26.14935
11.860264301,19.4842,2.809908,39.97724,0.6535116,1.260428,-0.2307545,-30.45837,-29.78259,26.14935
11.87012291,16.62686,2.571872,29.98485,0.6509362,1.226328,-0.23436,-32.71083,-26.79993,26.96295
11.879981995,13.58318,2.095801,20.78941,0.6539273,1.190865,-0.2255971,-32.71083,-26.79993,26.96295
11.892305851,8.80025999999999,1.143658,10.18399,0.6550877,1.143703,-0.2178653,-32.71083,-26.79993,26.96295
11.902164459,5.073304,-0.1060295,2.030687,0.6482514,1.103746,-0.2161883,-32.71083,-26.79993,26.96295
11.912023544,2.464436,-1.415226,-5.570884,0.6540106,1.06582,-0.2218616,-32.71083,-26.79993,26.96295
11.921882153,0.3524944,-2.486387,-12.25291,0.6466867,1.035624,-0.2114697,-34.21135,-24.5613,27.84425
11.931741714,-1.759447,-3.557548,-18.32191,0.6454805,1.022992,-0.2034127,-34.21135,-24.5613,27.84425
11.941600323,-4.927359,-3.97411,-23.77787,0.6465373,1.010329,-0.2088058,-34.21135,-24.5613,27.84425
11.951459408,-9.02700799999998,-4.093128,-28.3756,0.6478435,0.9816257,-0.2100251,-34.21135,-24.5613,27.84425
11.961318016,-13.43724,-4.450181,-32.4216,0.6547319,0.9315455,-0.2153379,-34.21135,-24.5613,27.84425
11.971177578,-15.2386,-4.271655,-35.97717,0.6618451,0.8663943,-0.2174267,-33.09217,-24.2061,27.83468
11.981036186,-15.17648,-4.093128,-38.30668,0.6691293,0.8236153,-0.2231628,-33.09217,-24.2061,27.83468
11.990895271,-13.93417,-3.795583,-40.02317,0.6628433,0.806492,-0.2328017,-33.09217,-24.2061,27.83468
12.000754356,-13.12666,-3.914601,-41.37183,0.6543845,0.7933307,-0.2188954,-33.09217,-24.2061,27.83468
12.010612965,-14.30686,-3.021967,-42.04617,0.6458854,0.7923636,-0.1972185,-33.09217,-24.2061,27.83468
12.020472527,-17.53689,0.07249729,-41.37183,0.6242127,0.7763723,-0.2579029,-32.71564,-25.3211,27.39597
12.030331135,-18.90344,-4.390673,-42.29138,0.6331174,0.7669843,-0.1871875,-32.71564,-25.3211,27.39597
12.04019022,-21.45019,-4.5692,-41.80096,0.6208224,0.7440459,-0.1761842,-32.71564,-25.3211,27.39597
12.050048828,-23.87271,-3.379021,-41.24923,0.5983713,0.7404437,-0.1754155,-32.71564,-25.3211,27.39597
12.05990839,-27.3512,-3.140985,-39.59405,0.6281727,0.7105619,-0.1689044,-32.71564,-25.3211,27.39597
12.072231293,-30.82969,-2.486387,-36.95802,0.6193104,0.7060737,-0.1769624,-31.58838,-27.55452,26.58061
12.082090855,-33.81126,-1.236699,-33.89287,0.6352713,0.6878824,-0.1346946,-31.58838,-27.55452,26.58061
12.09194994,-37.53821,1.143658,-29.41775,0.6335776,0.6937988,-0.1101814,-31.58838,-27.55452,26.58061
12.101808548,-40.95459,3.702542,-27.27214,0.6120303,0.7020367,-0.06859359,-31.58838,-27.55452,26.58061
12.111667633,-47.29041,5.428301,-23.77787,0.6255226,0.6857702,-0.02627442,-31.58838,-27.55452,26.58061
12.121526241,-52.63238,6.79700699999999,-20.59012,0.6743,0.6473752,0.0009791199,-30.46239,-29.04629,26.1418
12.131385803,-56.35933,7.86816799999999,-14.64373,0.6545722,0.6555913,0.03247759,-30.46239,-29.04629,26.1418
12.141244412,-59.3408999999998,11.91478,-13.60158,0.6483112,0.6776685,0.09504908,-30.46239,-29.04629,26.1418
12.151103497,-65.8630699999999,14.29513,-12.80464,0.6262828,0.6862574,0.1016651,-30.46239,-29.04629,26.1418
12.160962105,-75.6773800000002,14.11661,-11.33337,0.6430463,0.6856008,0.1464654,-30.46239,-29.04629,26.1418
12.170821667,-88.4732699999998,14.23562,-10.22991,0.6219919,0.752296,0.2038739,-30.46753,-30.91643,24.0482
12.180680275,-109.4063,12.45036,-9.67818499999998,0.6049007,0.8130462,0.2237981,-30.46753,-30.91643,24.0482
12.19053936,-138.725,6.91602500000001,-7.59388300000003,0.610403,0.8599982,0.2739527,-30.46753,-30.91643,24.0482
12.200397968,-169.783,3.28598,-8.206914,0.5989707,0.8896288,0.2868249,-30.46753,-30.91643,24.0482
12.210257053,-201.959,-2.248351,-8.32951900000003,0.5976298,0.8828167,0.2901409,-30.46753,-30.91643,24.0482
12.220116615,-234.9426,-6.94955700000003,-8.39082200000002,0.6030193,0.8375968,0.2868073,-29.35948,-32.44295,21.11285
12.229975224,-262.6463,-11.53174,-8.14561100000001,0.6219305,0.774166,0.3262552,-29.35948,-32.44295,21.11285
12.24229908,-286.623,-18.97036,-10.96555,0.6051741,0.6708323,0.1904877,-29.35948,-32.44295,21.11285
12.252157688,-297.9281,-26.28996,-12.25291,0.620604,0.6028256,0.1858602,-29.35948,-32.44295,21.11285
12.262016773,-306.6865,-30.63411,-13.47897,0.6803402,0.5141597,0.1473622,-29.35948,-32.44295,21.11285
12.271875382,-312.4633,-34.97826,-11.39467,0.6791461,0.4922544,0.1481528,-29.02394,-36.61361,12.76659
12.281734943,-314.5752,-37.2396,-14.64373,0.7196279,0.3808281,0.1844922,-29.02394,-36.61361,12.76659
12.291593552,-311.9042,-43.07148,-11.76249,0.732303,0.4116341,0.06477165,-29.02394,-36.61361,12.76659
12.301452637,-298.7978,-48.66532,-9.80079199999999,0.7960343,0.3184141,0.09997495,-29.02394,-36.61361,12.76659
12.311311722,-284.0142,-50.62912,-5.69349,0.8095605,0.3321569,0.09941895,-29.02394,-36.61361,12.76659
12.32117033,-264.1992,-51.28371,-1.892705,0.8321816,0.2506383,0.1079926,-27.20503,-40.38984,3.127926
12.331029892,-241.8375,-51.8788,3.93108,0.8392004,0.2049894,0.1161329,-27.20503,-40.38984,3.127926
12.3408885,-216.6805,-53.12849,11.47135,0.8327805,0.1904041,0.1347901,-27.20503,-40.38984,3.127926
12.350747585,-190.4055,-55.03278,17.35644,0.8253983,0.1815384,0.1237989,-27.20503,-40.38984,3.127926
12.360606194,-164.441,-58.5438000000002,24.65149,0.8266208,0.2049164,0.1263747,-27.20503,-40.38984,3.127926
12.370465756,-137.7933,-62.3523799999999,32.06916,0.8225268,0.2701175,0.1346505,-28.00474,-41.97051,-5.238938
12.380324364,-113.4439,-65.74438,40.22245,0.8211082,0.3324763,0.1572402,-28.00474,-41.97051,-5.238938
12.390183449,-94.6848499999998,-69.0173700000001,48.43706,0.8030304,0.4049329,0.1868613,-28.00474,-41.97051,-5.238938
12.400042057,-81.0814700000002,-72.4093900000002,56.40645,0.7963141,0.4444563,0.2313769,-28.00474,-41.97051,-5.238938
12.412365913,-69.7763700000002,-75.1467999999997,66.8892500000002,0.7936239,0.4853761,0.249491,-28.00474,-41.97051,-5.238938
12.422224999,-61.9497700000001,-77.0510799999999,74.67474,0.7946365,0.5127352,0.2760634,-27.28446,-40.91568,-8.198749
12.432083607,-54.86855,-78.2412600000001,82.2763100000003,0.7970995,0.5244792,0.2876282,-27.28446,-40.91568,-8.198749
12.441943169,-49.71293,-78.4792899999999,88.8357299999999,0.7956456,0.5464404,0.3079607,-27.28446,-40.91568,-8.198749
12.451801777,-44.61943,-77.4081300000001,94.353,0.78661,0.5653375,0.3077697,-27.28446,-40.91568,-8.198749
12.461660862,-39.33957,-75.2658200000001,98.7055100000001,0.7906631,0.563459,0.3163217,-27.28446,-40.91568,-8.198749
12.47151947,-35.79897,-72.2308599999999,102.9354,0.8012697,0.5610688,0.3027328,-30.28158,-39.03506,-7.818067
12.481379032,-31.69932,-68.5413099999997,107.104,0.8070353,0.5571852,0.2915962,-30.28158,-39.03506,-7.818067
12.49123764,-26.10889,-66.10144,111.0274,0.8115673,0.5566376,0.2646918,-30.28158,-39.03506,-7.818067
12.501096726,-20.58057,-64.9707700000002,115.196,0.8211546,0.5615506,0.2545335,-30.28158,-39.03506,-7.818067
12.510955811,-15.36283,-65.26831,118.3225,0.8297839,0.5669488,0.2463096,-30.28158,-39.03506,-7.818067
12.520814419,-10.57991,-65.26831,120.1616,0.8483599,0.5695509,0.2475045,-33.64447,-35.70861,-5.273437
12.530673981,-7.10141600000002,-64.7327300000001,120.7746,0.8626099,0.561883,0.2453199,-33.64447,-35.70861,-5.273437
12.540532589,-2.691185,-62.7094300000001,120.7746,0.8853947,0.5659334,0.2335285,-33.64447,-35.70861,-5.273437
12.550391674,2.09174,-59.67447,118.6903,0.8981196,0.5587244,0.2275359,-33.64447,-35.70861,-5.273437
12.560250282,7.12312899999999,-56.10394,116.5447,0.9179202,0.5389468,0.2270868,-33.64447,-35.70861,-5.273437
12.570109844,13.39684,-52.41438,114.9508,0.9307192,0.5073476,0.2050737,-37.39389,-31.22451,-3.635009
12.579968452,22.58999,-48.48679,113.1117,0.9411169,0.4747629,0.1854826,-37.39389,-31.22451,-3.635009
12.592292309,38.6159,-43.01197,110.1079,0.9535292,0.4158479,0.1469517,-37.39389,-31.22451,-3.635009
12.602151394,55.82201,-39.73898,108.2075,0.9442201,0.3874443,0.1209679,-37.39389,-31.22451,-3.635009
12.612010002,74.7673600000001,-37.71568,105.6941,0.9494278,0.3767015,0.09875983,-37.39389,-31.22451,-3.635009
12.621869087,93.46425,-36.16845,102.9967,0.9561421,0.383559,0.09488841,-40.02213,-26.75337,-2.002376
12.631727695,110.1113,-34.62121,100.422,0.9629636,0.4055822,0.1122282,-40.02213,-26.75337,-2.002376
12.641587257,123.4041,-32.71693,97.9698700000002,0.9656375,0.4401977,0.1235038,-40.02213,-26.75337,-2.002376
