Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
48.01,-7.59834299999997,-3.795583,3.256747,0.9637135,0.214734,0.2145932,-54.69186,-20.20035,6.971435
48.02,-7.03929899999998,-3.260003,2.459808,0.9676986,0.2152773,0.2202914,-54.69186,-20.20035,6.971435
48.03,-6.54237199999997,-2.30786,1.662869,0.9672752,0.2069918,0.2178315,-54.69186,-20.20035,6.971435
48.04,-5.36217,-1.296208,0.620718400000002,0.9698139,0.2041106,0.2220838,-54.30412,-21.66568,7.816765
48.05,-3.99562,-0.04652058,0.007688423,0.977146,0.2056386,0.2229506,-54.30412,-21.66568,7.816765
48.06,-2.566953,1.441203,-0.727947499999999,0.9747157,0.202692,0.2215227,-54.30412,-21.66568,7.816765
48.07,-1.510983,2.512363,-2.076613,0.971428,0.2022125,0.2311495,-54.30412,-21.66568,7.816765
48.08,-0.3928965,3.702542,-2.505734,0.9630361,0.2026054,0.2260013,-54.30412,-21.66568,7.816765
48.09,0.849421699999999,5.071248,-3.24137,0.9542881,0.1961969,0.2246343,-54.69587,-19.46406,6.963893
48.1,2.153856,6.02339100000001,-4.038309,0.9425166,0.1912018,0.2180511,-54.69587,-19.46406,6.963893
48.11,3.644638,6.737498,-4.528733,0.9370844,0.1911396,0.2142944,-54.69587,-19.46406,6.963893
48.12,5.011188,7.39209699999998,-4.896551,0.9290992,0.192978,0.2043605,-54.69587,-19.46406,6.963893
48.13,6.31562199999998,7.451605,-5.203066,0.9261408,0.1944101,0.2039356,-54.69587,-19.46406,6.963893
48.14,7.24736100000001,7.51111399999998,-5.325672,0.9225797,0.1938525,0.1934392,-54.69587,-19.46406,6.963893
48.15,7.74428800000002,7.39209699999998,-5.203066,0.9211018,0.2040893,0.2016931,-54.69587,-19.46406,6.963893
48.16,7.86851999999999,6.91602500000001,-4.773945,0.9292102,0.2099625,0.1915639,-54.69587,-19.46406,6.963893
48.17,7.68217200000001,6.38044500000002,-3.915704,0.9322641,0.211487,0.2015964,-54.69587,-19.46406,6.963893
48.18,7.24736100000001,5.78535500000003,-3.057462,0.9370134,0.2212542,0.1996944,-54.69587,-19.46406,6.963893
48.19,6.31562199999998,5.249775,-2.383129,0.9379431,0.2192961,0.1943934,-54.31812,-20.20467,6.969503
48.2,5.197536,4.892721,-1.647493,0.9383584,0.2222087,0.1915369,-54.31812,-20.20467,6.969503
48.21,4.079449,3.82156,-1.340978,0.9388496,0.2192843,0.1891092,-54.31812,-20.20467,6.969503
48.22,3.334059,3.226471,-0.911856500000002,0.9383518,0.2178128,0.1871871,-54.31812,-20.20467,6.969503
48.23,2.526551,1.917274,-0.789250600000002,0.9378201,0.2197492,0.1857734,-54.31812,-20.20467,6.969503
48.24,1.905392,0.846113400000001,-0.5440385,0.9428186,0.213476,0.1880452,-54.69508,-20.20659,6.523338
48.25,1.346349,0.07249729,-0.789250600000002,0.9452706,0.2091054,0.184619,-54.69508,-20.20659,6.523338
48.26,0.911537699999999,-0.879645599999998,-0.727947499999999,0.9486603,0.2125434,0.1850789,-54.69508,-20.20659,6.523338
48.27,0.1661467,-1.77228,-0.5440385,0.9535751,0.2155226,0.1893468,-54.69508,-20.20659,6.523338
48.28,-0.579244300000001,-2.069824,-0.4214326,0.9559815,0.2199271,0.190308,-54.69508,-20.20659,6.523338
48.29,-1.138287,-2.724423,-0.2988266,0.9530998,0.2204045,0.1946659,-54.31612,-20.57282,6.973274
48.3,-1.697331,-3.140985,0.1302944,0.9531866,0.221894,0.2023445,-54.31612,-20.57282,6.973274
48.31,-2.132142,-3.200494,0.1302944,0.9477835,0.2193989,0.1985668,-54.31612,-20.57282,6.973274
48.32,-2.877533,-3.43853,0.2529004,0.9484555,0.2199436,0.2124586,-54.31612,-20.57282,6.973274
48.33,-3.001765,-3.200494,0.4981124,0.9440458,0.2189261,0.2110753,-54.31612,-20.57282,6.973274
48.34,-2.629069,-2.783932,0.682021400000003,0.9440507,0.209163,0.2028464,-54.69307,-20.57474,6.527109
48.35,-1.821563,-2.843441,0.4981124,0.9426008,0.2076904,0.2028547,-54.69307,-20.57474,6.527109
48.36,-1.510983,-2.367369,0.4368094,0.9416942,0.2077022,0.2081389,-54.69307,-20.57474,6.527109
48.37,-0.951939799999999,-2.010315,0.2529004,0.9467002,0.2063133,0.2152438,-54.69307,-20.57474,6.527109
48.38,-0.5171283,-1.593753,0.007688423,0.9510426,0.2058469,0.210386,-54.69307,-20.57474,6.527109
48.39,-0.1444329,-1.355717,-0.1149176,0.9535662,0.2058907,0.2161008,-54.69508,-20.20659,6.523338
48.4,0.1040308,-0.820136700000001,-0.2988266,0.9524744,0.2082909,0.209907,-54.69508,-20.20659,6.523338
48.41,0.663074000000001,-0.820136700000001,-0.3601296,0.9593282,0.208353,0.210289,-54.69508,-20.20659,6.523338
48.42,0.849421699999999,-0.701118900000002,0.007688423,0.965334,0.2084436,0.2202674,-54.69508,-20.20659,6.523338
48.43,1.03577,-0.5225921,0.1302944,0.9657025,0.2191545,0.2208317,-54.69508,-20.20659,6.523338
48.44,0.787305800000002,-0.2250474,0.8659304,0.9633358,0.2152497,0.2232285,-54.68985,-20.5685,6.975205
48.45,0.04191487,0.07249729,1.540263,0.9599081,0.2254711,0.2319892,-54.68985,-20.5685,6.975205
48.46,-0.827707900000002,0.667586600000001,1.846778,0.9603429,0.2327833,0.2344407,-54.68985,-20.5685,6.975205
48.47,-1.635215,1.02464,1.846778,0.9583373,0.2303109,0.228698,-54.68985,-20.5685,6.975205
48.48,-2.566953,1.441203,2.459808,0.9525862,0.2307812,0.2378888,-54.68985,-20.5685,6.975205
48.49,-3.747156,2.095801,2.337202,0.9516267,0.2215016,0.2311153,-55.06278,-21.30672,6.536582
48.5,-3.68504,2.631382,1.846778,0.9501246,0.21562,0.2234199,-55.06278,-21.30672,6.536582
48.51,-2.877533,2.631382,1.540263,0.9556158,0.2030052,0.22036,-55.06278,-21.30672,6.536582
48.52,-1.324635,2.809908,1.47896,0.9615014,0.1967146,0.2159102,-55.06278,-21.30672,6.536582
48.53,0.4767263,3.28598,1.295051,0.9625794,0.1982163,0.2245331,-55.06278,-21.30672,6.536582
48.54,2.029624,3.881069,0.988536299999999,0.9619488,0.2079362,0.2227074,-55.06558,-20.19604,6.973366
48.55,2.40232,4.178614,1.049839,0.9623569,0.2191467,0.2266297,-55.06558,-20.19604,6.973366
48.56,1.719045,4.119105,1.356354,0.9642506,0.2293987,0.2310021,-55.06558,-20.19604,6.973366
48.57,-0.1444329,4.238123,1.785475,0.9666151,0.2406264,0.2348967,-55.06558,-20.19604,6.973366
48.58,-2.256374,4.654685,2.459808,0.9622358,0.242547,0.2383298,-55.06558,-20.19604,6.973366
48.59,-4.181968,5.011739,2.766323,0.9559615,0.2376327,0.2402945,-54.32335,-19.84276,6.517636
48.6,-5.73486500000002,5.071248,3.134141,0.9496176,0.2297692,0.2345681,-54.32335,-19.84276,6.517636
48.61,-6.72872000000001,5.78535500000003,3.440656,0.9462938,0.2268381,0.2393828,-54.32335,-19.84276,6.517636
48.62,-7.03929899999998,6.0829,3.31805,0.9430544,0.2151431,0.2426846,-54.32335,-19.84276,6.517636
48.63,-6.10756099999998,6.79700699999999,3.072838,0.9371823,0.2043496,0.2330932,-54.32335,-19.84276,6.517636
48.64,-4.368315,7.57062300000002,2.70502,0.9254274,0.1930123,0.2221435,-54.31532,-21.31535,6.532718
48.65,-1.759447,8.34423899999999,1.724172,0.9064554,0.1787151,0.2175013,-54.31532,-21.31535,6.532718
48.66,1.594813,8.93932899999999,0.1915974,0.8828154,0.1647914,0.1937607,-54.31532,-21.31535,6.532718
48.67,6.00504300000001,9.05834700000001,-1.463584,0.861239,0.1572625,0.1834623,-54.31532,-21.31535,6.532718
48.68,10.66374,8.403749,-2.996159,0.8528304,0.1552096,0.1749392,-54.31532,-21.31535,6.532718
48.69,14.63916,7.39209699999998,-4.406127,0.8551429,0.1664224,0.1750009,-55.07478,-20.21385,5.69309
48.7,17.43437,6.02339100000001,-4.896551,0.8637753,0.1869566,0.1803224,-55.07478,-20.21385,5.69309
48.71,18.30399,4.773703,-5.08046,0.8798454,0.2056314,0.1912725,-55.07478,-20.21385,5.69309
48.72,17.37226,3.107453,-4.773945,0.8937906,0.2335171,0.1980179,-55.07478,-20.21385,5.69309
48.73,14.39069,1.738747,-3.915704,0.9039149,0.2487008,0.2003977,-55.07478,-20.21385,5.69309
48.74,10.78797,0.01298836,-3.180068,0.9185842,0.2595699,0.2093852,-55.43927,-21.30774,6.15443
48.75,6.56408599999997,-1.831789,-2.260523,0.9308149,0.2533316,0.203887,-55.43927,-21.30774,6.15443
48.76,4.079449,-3.081476,-2.015311,0.9367787,0.2470633,0.2051867,-55.43927,-21.30774,6.15443
48.77,2.029624,-4.271655,-1.708796,0.9416969,0.2393025,0.2002591,-55.43927,-21.30774,6.15443
48.78,0.3524944,-5.402325,-1.892705,0.9393453,0.2236845,0.193452,-55.43927,-21.30774,6.15443
48.79,-0.5171283,-6.41397600000001,-2.015311,0.9403428,0.2149105,0.1871342,-55.07679,-19.84571,5.68932
48.8,-0.5171283,-7.48513700000001,-2.383129,0.9360957,0.2051514,0.1899876,-55.07679,-19.84571,5.68932
48.81,0.3524944,-8.199244,-2.750947,0.9429697,0.2013134,0.1884196,-55.07679,-19.84571,5.68932
48.82,1.222117,-8.67531599999998,-3.363976,0.9478491,0.2023296,0.1883586,-55.07679,-19.84571,5.68932
48.83,1.843277,-9.21089600000002,-3.609189,0.9576533,0.2087691,0.1954612,-55.07679,-19.84571,5.68932
48.84,2.029624,-9.270405,-3.731794,0.9724043,0.2177086,0.208744,-55.07156,-20.20762,6.141187
48.85,1.967508,-9.32991399999999,-3.057462,0.9735048,0.2255637,0.2246082,-55.07156,-20.20762,6.141187
48.86,1.470581,-8.97285999999998,-2.567038,0.9764467,0.2304739,0.2293997,-55.07156,-20.20762,6.141187
48.87,0.600958099999998,-8.25875400000001,-1.647493,0.9759873,0.2329192,0.2337397,-55.07156,-20.20762,6.141187
48.88,-0.579244300000001,-7.84219100000002,-0.727947499999999,0.9795166,0.2339559,0.2423237,-55.07156,-20.20762,6.141187
48.89,-1.573099,-7.48513700000001,0.3755064,0.9736583,0.2324427,0.2419153,-54.67905,-22.03575,7.374371
48.9,-2.504838,-7.24710100000002,1.540263,0.969399,0.2275623,0.2481644,-54.67905,-22.03575,7.374371
48.91,-3.809272,-7.00906600000001,2.459808,0.9658922,0.232879,0.2468216,-54.67905,-22.03575,7.374371
48.92,-4.803127,-6.53299399999998,3.624565,0.9649922,0.2328926,0.2525849,-54.67905,-22.03575,7.374371
48.93,-6.60448799999999,-5.81888699999998,4.421504,0.9615309,0.2338282,0.2507254,-54.68709,-20.56315,7.359288
48.94,-7.84680700000002,-5.342815,5.647564,0.9626032,0.2358166,0.2593525,-54.68709,-20.56315,7.359288
48.95,-8.90277699999999,-4.5692,6.44450299999999,0.9669451,0.2392558,0.257882,-54.68709,-20.56315,7.359288
48.96,-10.14509,-3.557548,7.24144199999999,0.967406,0.2421814,0.2583793,-54.68709,-20.56315,7.359288
48.97,-10.82837,-2.486387,7.54795700000002,0.9690373,0.2344295,0.2635619,-54.68709,-20.56315,7.359288
48.98,-11.26318,-1.415226,8.34489499999999,0.9686197,0.2256575,0.2610978,-55.43855,-19.81823,7.35561
48.99,-10.64202,-0.1655384,8.467502,0.9652856,0.2158884,0.2591461,-55.43855,-19.81823,7.35561
49,-9.27547199999997,1.441203,8.16098699999997,0.9642518,0.2178168,0.2567811,-55.43855,-19.81823,7.35561
49.01,-7.28776300000003,3.047944,7.54795700000002,0.9598195,0.21484,0.2520272,-55.43855,-19.81823,7.35561
49.02,-5.486402,3.940578,6.87362400000002,0.9652161,0.2085452,0.2475843,-55.43855,-19.81823,7.35561
49.03,-3.809272,5.547319,5.83147299999998,0.955427,0.2035747,0.2428899,-55.43855,-19.81823,7.35561
49.04,-2.00791,6.43995299999998,4.666717,0.9529757,0.2040398,0.2429288,-55.43855,-19.81823,7.35561
49.05,-0.3928965,7.51111399999998,3.072838,0.9490984,0.2015743,0.2434424,-55.43855,-19.81823,7.35561
49.06,0.911537699999999,8.403749,1.295051,0.943495,0.2043926,0.2296493,-55.43855,-19.81823,7.35561
49.07,1.594813,8.998837,-0.4214326,0.9405518,0.2072936,0.2316325,-55.43855,-19.81823,7.35561
49.08,2.029624,9.35589100000001,-1.954008,0.934148,0.2072247,0.2283688,-55.43855,-19.81823,7.35561
49.09,2.464436,9.593927,-3.118764,0.9243381,0.2100599,0.2290117,-55.06683,-19.4544,7.349908
49.1,2.775015,9.29638199999997,-4.712642,0.9236906,0.2129398,0.2199405,-55.06683,-19.4544,7.349908
49.11,3.209827,9.35589100000001,-5.81609599999999,0.9218202,0.2051355,0.2194221,-55.06683,-19.4544,7.349908
49.12,3.582522,8.87982000000001,-6.73564099999998,0.9221979,0.2046198,0.2107867,-55.06683,-19.4544,7.349908
49.13,3.955218,8.701293,-7.34867099999999,0.9235255,0.207034,0.2026418,-55.07281,-19.46598,6.517728
49.14,3.955218,7.74915000000002,-7.65518600000002,0.9313713,0.2032029,0.2005809,-55.07281,-19.46598,6.517728
49.15,3.955218,7.09455200000001,-7.59388300000003,0.9288664,0.2026762,0.1958201,-55.07281,-19.46598,6.517728
49.16,3.830986,6.02339100000001,-7.47127699999998,0.9327163,0.2085514,0.196294,-55.07281,-19.46598,6.517728
49.17,2.837131,5.071248,-7.34867099999999,0.9336229,0.2129337,0.1948805,-55.07281,-19.46598,6.517728
49.18,2.278088,4.119105,-6.85824700000003,0.9354569,0.2094984,0.1828454,-55.07357,-19.83947,6.137416
49.19,1.594813,2.869417,-6.30652000000001,0.9375499,0.2051606,0.1890085,-55.07357,-19.83947,6.137416
49.2,0.787305800000002,1.917274,-6.00000499999998,0.9360712,0.2061208,0.1890377,-55.07357,-19.83947,6.137416
49.21,0.1040308,0.846113400000001,-5.448278,0.9341385,0.2002517,0.1856613,-55.07357,-19.83947,6.137416
49.22,-0.3307806,-0.2845563,-4.712642,0.9356984,0.2012675,0.1933148,-55.07357,-19.83947,6.137416
49.23,-0.641360199999998,-1.296208,-4.038309,0.9293598,0.201217,0.1948424,-55.07357,-19.83947,6.137416
49.24,-1.138287,-2.248351,-3.057462,0.93088,0.2017332,0.1991378,-54.70106,-20.21817,5.691158
49.25,-1.759447,-3.140985,-1.831402,0.9293331,0.2051152,0.1963132,-54.70106,-20.21817,5.691158
49.26,-2.504838,-3.914601,-0.789250600000002,0.9309191,0.2061384,0.2058832,-54.70106,-20.21817,5.691158
49.27,-3.622924,-4.450181,0.682021400000003,0.9357796,0.2076375,0.2048682,-54.70106,-20.21817,5.691158
49.28,-4.244083,-4.688217,1.47896,0.9339057,0.2061791,0.2096746,-55.45052,-19.84139,5.691251
49.29,-4.181968,-4.747726,2.459808,0.9373617,0.1974304,0.2042803,-55.45052,-19.84139,5.691251
49.3,-4.119852,-5.10478,3.011535,0.9432872,0.1960335,0.2070593,-55.45052,-19.84139,5.691251
49.31,-3.560808,-5.164289,3.563262,0.9403338,0.1964905,0.2061469,-55.45052,-19.84139,5.691251
49.32,-3.063881,-5.283307,4.053687,0.9407832,0.2003893,0.2066526,-55.45052,-19.84139,5.691251
49.33,-2.31849,-5.223798,4.360201,0.9428769,0.1921458,0.2094283,-54.3221,-20.5844,6.141094
49.34,-1.697331,-5.164289,4.666717,0.9482179,0.1965761,0.210348,-54.3221,-20.5844,6.141094
49.35,-1.138287,-5.10478,4.850626,0.9481688,0.202909,0.2123189,-54.3221,-20.5844,6.141094
49.36,-0.4550124,-5.283307,4.973231,0.950178,0.2034296,0.2166075,-54.3221,-20.5844,6.141094
49.37,-0.0823169599999999,-5.402325,4.666717,0.9511794,0.21028,0.2243182,-54.3221,-20.5844,6.141094
49.38,0.2903785,-5.164289,4.482807,0.9496622,0.2117175,0.221956,-54.69307,-20.57474,6.527109
49.39,0.04191487,-4.866744,4.421504,0.9511881,0.2117471,0.2262473,-54.69307,-20.57474,6.527109
49.4,-0.641360199999998,-4.688217,4.176292,0.9453068,0.2165743,0.2297262,-54.69307,-20.57474,6.527109
49.41,-1.386751,-4.450181,3.808474,0.9437665,0.2199581,0.2273808,-54.69307,-20.57474,6.527109
49.42,-2.070026,-4.390673,3.379353,0.9409158,0.2150739,0.229297,-54.69307,-20.57474,6.527109
49.43,-2.629069,-4.152637,2.950232,0.9432831,0.2150732,0.2235128,-55.0688,-20.20227,6.52527
49.44,-3.001765,-4.093128,2.521111,0.9389551,0.2121261,0.2264248,-55.0688,-20.20227,6.52527
49.45,-2.939649,-3.43853,1.846778,0.9403739,0.2101723,0.2211169,-55.0688,-20.20227,6.52527
49.46,-2.566953,-2.90295,1.233748,0.9399781,0.2072652,0.2254108,-55.0688,-20.20227,6.52527
49.47,-1.945794,-2.248351,0.743324399999998,0.938081,0.2077531,0.230234,-55.0688,-20.20227,6.52527
49.48,-1.448867,-1.593753,0.5594154,0.937139,0.210196,0.23506,-55.44453,-19.82981,6.523431
49.49,-0.827707900000002,-0.998663500000001,0.007688423,0.9369915,0.2116186,0.2254901,-55.44453,-19.82981,6.523431
49.5,-0.5171283,-0.1655384,-0.4827355,0.9413261,0.2145675,0.2230572,-55.44453,-19.82981,6.523431
49.51,-0.1444329,0.310533,-0.727947499999999,0.9437723,0.2194715,0.2273766,-55.44453,-19.82981,6.523431
49.52,-0.0823169599999999,0.727095499999998,-0.973159599999999,0.9462387,0.2160814,0.2258752,-55.44453,-19.82981,6.523431
49.53,0.04191487,1.560221,-1.218372,0.9520587,0.222466,0.2277629,-55.07081,-19.83413,6.521499
49.54,-0.2065488,2.274328,-1.58619,0.9564004,0.2215112,0.2224218,-55.07081,-19.83413,6.521499
49.55,-0.1444329,3.047944,-2.321826,0.9585671,0.214265,0.2314346,-55.07081,-19.83413,6.521499
49.56,0.1661467,3.702542,-3.425279,0.9598579,0.2137394,0.2179941,-55.07081,-19.83413,6.521499
49.57,1.03577,4.059596,-4.46743,0.9618257,0.2039953,0.2102167,-55.07081,-19.83413,6.521499
49.58,2.650783,4.535667,-5.509581,0.960833,0.198612,0.204435,-55.07558,-19.47132,6.133646
49.59,4.390029,4.535667,-6.55173199999999,0.9560446,0.1844397,0.1995916,-55.07558,-19.47132,6.133646
49.6,6.06715799999999,4.535667,-7.226065,0.9574511,0.1829706,0.1938088,-55.07558,-19.47132,6.133646
49.61,7.49582399999998,4.178614,-7.71648900000002,0.9569159,0.195647,0.2015906,-55.07558,-19.47132,6.133646
49.62,8.42756399999998,3.762051,-8.08430800000001,0.9431187,0.2008677,0.1989561,-55.07558,-19.47132,6.133646
49.63,8.17909999999999,3.226471,-8.08430800000001,0.9385275,0.2090748,0.192382,-55.4493,-19.46701,6.135577
49.64,7.30947700000003,2.393346,-7.77779200000001,0.9370834,0.2115096,0.1962567,-55.4493,-19.46701,6.135577
49.65,6.129274,1.560221,-7.226065,0.9386396,0.2100832,0.2014937,-55.4493,-19.46701,6.135577
49.66,5.259652,0.310533,-6.12261100000003,0.9351676,0.2124804,0.2001258,-55.4493,-19.46701,6.135577
49.67,4.203681,-0.582100999999999,-4.712642,0.9400201,0.2086067,0.1937944,-55.4493,-19.46701,6.135577
49.68,3.085595,-1.831789,-3.180068,0.9385724,0.2129934,0.1991232,-54.69382,-20.94823,6.146796
49.69,2.153856,-2.724423,-1.279675,0.9376267,0.2129941,0.2015327,-54.69382,-20.94823,6.146796
49.7,1.284233,-3.617057,0.4981124,0.9312447,0.2056079,0.193415,-54.69382,-20.94823,6.146796
49.71,0.4767263,-4.50969,2.337202,0.9347854,0.2056714,0.2019906,-54.69382,-20.94823,6.146796
49.72,-0.1444329,-5.402325,3.869777,0.9346979,0.2036936,0.1938288,-54.69382,-20.94823,6.146796
49.73,-0.579244300000001,-6.17594099999999,5.218443,0.9318082,0.2031923,0.1967409,-54.3093,-22.41979,6.54403
49.74,-0.951939799999999,-6.53299399999998,6.26059400000001,0.9343071,0.1998115,0.1976352,-54.3093,-22.41979,6.54403
49.75,-1.448867,-7.00906600000001,6.99623000000001,0.9367916,0.1998442,0.2004752,-54.3093,-22.41979,6.54403
49.76,-1.262519,-7.12808399999997,7.60926000000002,0.941626,0.1969417,0.193673,-54.3093,-22.41979,6.54403
49.77,-1.200403,-7.60415499999998,8.09968399999998,0.9500028,0.1994738,0.2002838,-54.3093,-22.41979,6.54403
49.78,-0.827707900000002,-7.723173,8.467502,0.9481087,0.1975214,0.2031695,-55.05756,-21.66863,6.988449
49.79,-0.4550124,-7.66366400000002,8.528805,0.9481362,0.1985057,0.2060527,-55.05756,-21.66863,6.988449
49.8,0.04191487,-7.54464599999999,8.528805,0.9524194,0.2063223,0.2041408,-55.05756,-21.66863,6.988449
49.81,0.4767263,-7.12808399999997,8.467502,0.955547,0.2005444,0.2131522,-55.05756,-21.66863,6.988449
49.82,0.5388422,-6.77103000000002,8.22229000000003,0.9548273,0.2073095,0.202198,-55.05756,-21.66863,6.988449
49.83,0.4767263,-6.47348499999999,7.854472,0.9554315,0.210276,0.213236,-54.30934,-21.30376,7.364898
49.84,0.2903785,-5.93790500000001,7.36404799999998,0.9519203,0.212662,0.2089934,-54.30934,-21.30376,7.364898
49.85,0.1661467,-5.461833,7.118836,0.9505507,0.212677,0.216201,-54.30934,-21.30376,7.364898
49.86,0.2282626,-5.045271,6.44450299999999,0.946523,0.2140744,0.2090822,-54.30934,-21.30376,7.364898
49.87,0.1040308,-4.212146,5.708868,0.944594,0.2106474,0.2081224,-54.30934,-21.30376,7.364898
49.88,0.3524944,-3.557548,4.850626,0.9402393,0.2115986,0.2125053,-55.44131,-19.82357,6.971528
49.89,0.787305800000002,-3.021967,3.93108,0.9387496,0.2052323,0.2052848,-55.44131,-19.82357,6.971528
49.9,1.781161,-1.950806,3.072838,0.9422708,0.2052903,0.2124231,-55.44131,-19.82357,6.971528
49.91,2.278088,-1.117681,1.724172,0.9421335,0.213551,0.2096196,-55.44131,-19.82357,6.971528
49.92,3.334059,-0.2845563,0.743324399999998,0.9503641,0.2140885,0.2037564,-55.44131,-19.82357,6.971528
49.93,3.955218,0.370042,-0.2988266,0.9615814,0.2190607,0.2055553,-55.06287,-19.07467,8.178317
49.94,4.700608,1.381694,-1.647493,0.9683455,0.2200737,0.2001963,-55.06287,-19.07467,8.178317
49.95,5.508115,2.036292,-2.750947,0.9718154,0.2206052,0.2039849,-55.06287,-19.07467,8.178317
49.96,5.75657900000002,2.869417,-3.609189,0.9796329,0.2196954,0.2024282,-55.06287,-19.07467,8.178317
49.97,5.88081099999999,3.583524,-5.019157,0.97279,0.2225657,0.2054251,-55.06287,-19.07467,8.178317
49.98,5.632347,3.881069,-5.632187,0.972709,0.2249837,0.2016131,-55.43132,-20.54828,7.811248
49.99,5.81869499999997,4.357141,-6.67433799999998,0.9625595,0.2146752,0.2016707,-55.43132,-20.54828,7.811248
50,5.81869499999997,4.654685,-7.34867099999999,0.9561579,0.2072834,0.1921156,-55.43132,-20.54828,7.811248
50.01,6.19139099999999,4.357141,-7.77779200000001,0.9508364,0.2028587,0.1926333,-55.43132,-20.54828,7.811248
50.02,6.75043299999998,3.524015,-7.90039899999997,0.9501867,0.2042733,0.1821121,-55.43132,-20.54828,7.811248
50.03,6.75043299999998,2.809908,-7.90039899999997,0.9531307,0.2062548,0.1844829,-55.43734,-19.44384,7.799936
50.04,6.19139099999999,1.560221,-7.10345900000001,0.9547217,0.2063029,0.1935654,-55.43734,-19.44384,7.799936
50.05,5.321767,0.310533,-5.509581,0.9551241,0.218,0.197492,-55.43734,-19.44384,7.799936
50.06,3.893102,-1.058172,-3.425279,0.9469016,0.2228353,0.2086716,-55.43734,-19.44384,7.799936
50.07,2.153856,-2.188842,-0.789250600000002,0.9418864,0.2354507,0.2107663,-55.43734,-19.44384,7.799936
50.08,0.4767263,-3.200494,2.153293,0.9300933,0.2421669,0.2129079,-55.06483,-19.82254,7.353679
50.09,-1.697331,-4.093128,5.034534,0.9208152,0.2430657,0.2149645,-55.06483,-19.82254,7.353679
50.1,-3.871388,-4.331164,7.54795700000002,0.902266,0.2453536,0.2200402,-55.06483,-19.82254,7.353679
50.11,-6.04544500000002,-4.688217,9.08053200000002,0.9021358,0.2453165,0.2104577,-55.06483,-19.82254,7.353679
50.12,-8.46796500000002,-4.985762,10.18399,0.8987301,0.239921,0.2071063,-55.06483,-19.82254,7.353679
50.13,-9.95874700000001,-4.985762,11.16483,0.9038703,0.2195296,0.2073402,-54.6911,-19.82686,7.351747
50.14,-10.39356,-4.628708,11.04223,0.9076961,0.2136805,0.1957355,-54.6911,-19.82686,7.351747
50.15,-8.654313,-3.795583,9.81616800000001,0.9199666,0.2035477,0.1897247,-54.6911,-19.82686,7.351747
50.16,-6.41814000000001,-3.260003,7.97707799999999,0.9347765,0.1866281,0.1845788,-54.6911,-19.82686,7.351747
50.17,-4.119852,-2.30786,5.586261,0.9465971,0.1852902,0.1891911,-54.6911,-19.82686,7.351747
50.18,-0.827707900000002,-1.653262,2.827626,0.9645604,0.1922467,0.1851602,-55.06885,-19.08625,7.346137
50.19,2.153856,-0.3440652,0.007688423,0.9764056,0.1899394,0.1907223,-55.06885,-19.08625,7.346137
50.2,5.13542,0.9056224,-2.689644,0.9871135,0.1944133,0.1906074,-55.06885,-19.08625,7.346137
50.21,7.06101299999998,1.679239,-5.386975,0.9987918,0.2023111,0.1929036,-55.06885,-19.08625,7.346137
50.22,8.92449099999999,2.571872,-7.83909500000001,0.9973028,0.2052214,0.1939078,-55.06885,-19.08625,7.346137
50.23,9.73199700000002,2.750399,-9.31036799999998,0.9971582,0.2129918,0.1901418,-54.6919,-19.08433,7.792302
50.24,9.794114,3.107453,-10.65903,0.9937874,0.213465,0.1945067,-54.6919,-19.08433,7.792302
50.25,9.04872300000001,3.226471,-11.57858,0.985934,0.2251055,0.2028632,-54.6919,-19.08433,7.792302
50.26,7.30947700000003,3.583524,-12.37552,0.9765141,0.2357285,0.2030871,-54.6919,-19.08433,7.792302
50.27,5.13542,3.583524,-12.62073,0.9643121,0.2263517,0.1969523,-54.6919,-19.08433,7.792302
50.28,3.45829,3.345489,-12.43682,0.9527033,0.217009,0.1984765,-55.06161,-19.81631,7.801775
50.29,2.215972,2.928926,-11.88509,0.9467748,0.2120582,0.1898936,-55.06161,-19.81631,7.801775
