Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
88.74,1.868816,-1.568058,0.05082826,0.8133541,0.2567749,0.4907139,-33.28419,-30.95648,-29.33367
88.75,1.121351,-2.101407,0.0508222,0.8133702,0.2631264,0.497476,-33.28419,-30.95648,-29.33367
88.76,0.623171499999998,-2.217804,-0.0717513499999998,0.8252442,0.2583862,0.5030172,-33.28419,-30.95648,-29.33367
88.77,-0.0607106799999999,-2.155472,0.05092553,0.825716,0.2598502,0.5030228,-33.28419,-30.95648,-29.33367
88.78,-0.929789499999999,-2.033089,0.1121486,0.8252175,0.2578903,0.5006174,-33.28419,-30.95648,-29.33367
88.79,-1.114755,-1.733047,0.05076252,0.8262071,0.2525317,0.4967245,-32.90725,-30.95456,-28.8875
88.8,-1.485777,-1.73074,0.1119825,0.8325449,0.2476996,0.4908429,-32.90725,-30.95456,-28.8875
88.81,-1.359601,-1.847527,0.1732604,0.8302131,0.2408753,0.4932146,-32.90725,-30.95456,-28.8875
88.82,-1.2337,-1.785922,-0.0720537200000001,0.8389978,0.2414356,0.4921358,-32.90725,-30.95456,-28.8875
88.83,-1.480497,-2.140695,-0.2558145,0.8394681,0.2463169,0.4950454,-32.90725,-30.95456,-28.8875
88.84,-2.223775,-2.018933,-0.0715071299999998,0.8425084,0.2473492,0.5036364,-32.90725,-30.95456,-28.8875
88.85,-3.090215,-1.718927,-0.1325663,0.844841,0.250268,0.4978774,-32.90725,-30.95456,-28.8875
88.86,-3.76914,-1.121884,-0.1937028,0.8496987,0.2542074,0.4987998,-32.90725,-30.95456,-28.8875
88.87,-4.074752,-0.4661195,-0.1321565,0.8459305,0.2464025,0.5026212,-32.90725,-30.95456,-28.8875
88.88,-3.510863,0.2481246,-0.0705527399999998,0.8448467,0.2453873,0.4940025,-32.90725,-30.95456,-28.8875
88.89,-2.388874,1.140036,-0.1317094,0.8346184,0.2389621,0.4916981,-33.28098,-30.95024,-28.88557
88.9,-1.33041,1.673941,0.174817,0.835067,0.2379784,0.4878498,-33.28098,-30.95024,-28.88557
88.91,-0.583718899999998,2.385572,0.2971457,0.835967,0.2379647,0.4820864,-33.28098,-30.95024,-28.88557
88.92,-0.3345221,3.036875,0.5418304,0.8274921,0.2480986,0.4794175,-33.28098,-30.95024,-28.88557
88.93,-0.3962374,3.746756,0.5411498,0.8245509,0.2436768,0.4751093,-33.28098,-30.95024,-28.88557
88.94,-0.3336628,4.336859,0.2342247,0.8245494,0.2427,0.4741428,-33.28298,-30.5821,-28.88934
88.95,0.2876619,4.509902,0.295349,0.8255665,0.2339316,0.4692623,-33.28298,-30.5821,-28.88934
88.96,1.094405,4.443462,0.1111689,0.8260802,0.2329665,0.4702052,-33.28298,-30.5821,-28.88934
88.97,1.838012,3.902544,0.4786739,0.832005,0.2354752,0.4763715,-33.28298,-30.5821,-28.88934
88.98,2.270105,3.838058,0.4168275,0.8354535,0.243324,0.4850142,-33.28298,-30.5821,-28.88934
88.99,2.080945,3.535712,0.1099045,0.8353414,0.2511036,0.4836438,-33.65872,-30.20963,-28.89119
89,1.705753,3.471687,0.1709154,0.8286142,0.2486365,0.4904277,-33.65872,-30.20963,-28.89119
89.01,1.269072,3.586307,-0.0131312,0.8213603,0.2427367,0.4914397,-33.65872,-30.20963,-28.89119
89.02,1.143265,3.284369,-0.0744176799999998,0.8179682,0.2334393,0.4856592,-33.65872,-30.20963,-28.89119
89.03,1.514388,3.220736,-0.0743434500000001,0.8101681,0.2284953,0.4833326,-33.65872,-30.20963,-28.89119
89.04,2.195488,2.681427,0.04824043,0.8102286,0.2167952,0.4774826,-32.91248,-30.59265,-29.33937
89.05,3.000003,1.72629,0.04827611,0.8076365,0.2230788,0.4723014,-32.91248,-30.59265,-29.33937
89.06,3.058273,0.5344106,0.1707637,0.8041392,0.230351,0.473371,-32.91248,-30.59265,-29.33937
89.07,3.178586,-0.3585021,0.04798174,0.8036119,0.2396121,0.4787279,-32.91248,-30.59265,-29.33937
89.08,2.739957,-1.369236,-0.0746267399999998,0.808427,0.2498863,0.4821004,-32.91248,-30.59265,-29.33937
89.09,1.991437,-2.378589,-0.0743789799999999,0.8025552,0.2610631,0.4918624,-33.66395,-29.84772,-29.34305
89.1,0.871414800000001,-3.208259,-0.2580598,0.8029489,0.2668989,0.4899892,-33.66395,-29.84772,-29.34305
89.11,-0.1230271,-4.096377,-0.1964326,0.8133276,0.2650671,0.4960554,-33.66395,-29.84772,-29.34305
89.12,-1.178414,-4.447987,-0.1961089,0.8114609,0.2684931,0.5056949,-33.66395,-29.84772,-29.34305
89.13,-2.231598,-4.619381,-0.1957432,0.8153844,0.2626719,0.5012771,-33.66395,-29.84772,-29.34305
89.14,-2.973874,-4.316203,-0.2567426,0.8208148,0.2529691,0.4963258,-33.65793,-30.95216,-29.33174
89.15,-2.970139,-3.953709,-0.0726844099999999,0.8301437,0.2467142,0.4932649,-33.65793,-30.95216,-29.33174
89.16,-2.469578,-4.067761,0.04989736,0.8326541,0.2423602,0.4941507,-33.65793,-30.95216,-29.33174
89.17,-2.218032,-3.46788,-0.01135281,0.829755,0.2399034,0.4946505,-33.65793,-30.95216,-29.33174
89.18,-1.656496,-3.166167,-0.1339638,0.8316273,0.2315968,0.4811361,-33.65793,-30.95216,-29.33174
89.19,-0.971530300000002,-2.983869,-0.133834,0.8371375,0.2272872,0.4867716,-33.2862,-30.58833,-29.33744
