Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
5.649712562,-12.69839,2.914342,-13.16213,-0.2523581,-0.5583729,0.3917838,-7.137269,36.98548,-42.0468
5.6596241,-15.67141,-2.386586,-19.72796,-0.2710669,-0.6223266,0.3521578,-5.320035,36.23486,-42.43937
5.669536114,-16.7863,-8.61954700000002,-26.41652,-0.2824976,-0.6696323,0.3265,-5.320035,36.23486,-42.43937
5.679447651,-18.5825,-15.26027,-32.55281,-0.281011,-0.6725304,0.3250264,-5.320035,36.23486,-42.43937
5.689359665,-22.42266,-21.49323,-37.95274,-0.2692605,-0.6553022,0.3466397,-5.320035,36.23486,-42.43937
5.699271679,-28.30678,-25.86213,-42.4936,-0.2457783,-0.6320752,0.3749066,-5.320035,36.23486,-42.43937
5.709183693,-34.87221,-28.54172,-46.66628,-0.2402557,-0.6255915,0.3965058,-4.941181,36.24012,-41.15643
5.71909523,-40.50857,-31.04655,-51.7594,-0.2183628,-0.6470762,0.4081641,-4.941181,36.24012,-41.15643
5.729006767,-43.54353,-33.95915,-56.72979,-0.2008682,-0.6881272,0.3971654,-4.941181,36.24012,-41.15643
5.738918781,-43.85323,-37.51252,-62.6206300000002,-0.1857053,-0.7030566,0.3801202,-4.941181,36.24012,-41.15643
5.748830795,-43.29578,-41.70666,-68.8182799999998,-0.1676854,-0.7111601,0.3635741,-4.941181,36.24012,-41.15643
5.758742809,-42.05702,-45.72604,-75.0159400000003,-0.1499086,-0.6935363,0.3534438,-7.506932,36.99068,-40.75996
5.76865387,-42.24284,-48.8134,-80.5386000000003,-0.1297339,-0.6927313,0.3667071,-7.506932,36.99068,-40.75996
5.778565884,-44.16291,-50.32795,-85.7544499999999,-0.1108032,-0.6750037,0.3738524,-7.506932,36.99068,-40.75996
5.788477898,-47.38369,-50.79396,-90.4793899999999,-0.0954761,-0.6859453,0.3774791,-7.506932,36.99068,-40.75996
5.798389912,-51.34773,-52.30852,-94.7747999999999,-0.07216782,-0.6720771,0.377836,-7.506932,36.99068,-40.75996
5.808300972,-56.24084,-55.10461,-99.1929199999998,-0.03737916,-0.6620968,0.3487713,-10.49804,37.37392,-38.56123
5.818212986,-61.1339399999999,-58.5997300000002,-103.9179,0.01369746,-0.6698841,0.3136757,-10.49804,37.37392,-38.56123
5.828125,-66.2128700000001,-62.6773700000001,-107.7224,0.06180394,-0.6762636,0.2766963,-10.49804,37.37392,-38.56123
5.838037014,-70.8582200000002,-65.8812299999998,-112.1405,0.1106602,-0.6912819,0.2550174,-10.49804,37.37392,-38.56123
5.847949028,-73.8931799999998,-69.3763399999998,-115.6995,0.1416626,-0.7166469,0.2444784,-10.49804,37.37392,-38.56123
5.860338211,-77.2997700000002,-70.5413800000001,-120.3018,0.1686922,-0.7377024,0.2330445,-14.98827,38.13477,-35.58493
5.870250225,-79.46761,-70.3666300000002,-121.8972,0.2042302,-0.7648932,0.233495,-14.98827,38.13477,-35.58493
5.880162239,-82.4406400000001,-69.25984,-123.0631,0.2227332,-0.7985989,0.2340596,-14.98827,38.13477,-35.58493
5.890074253,-84.05103,-67.2792700000003,-123.6767,0.2630462,-0.8460276,0.2472955,-14.98827,38.13477,-35.58493
5.899985313,-84.9181600000001,-64.5996900000003,-126.4381,0.2779179,-0.8725677,0.2359375,-20.20925,37.77544,-31.70185
5.909897327,-83.3697099999999,-62.6191199999999,-128.8926,0.3919862,-0.8905802,0.2280403,-20.20925,37.77544,-31.70185
5.919809341,-79.34373,-61.6870799999998,-133.0653,0.4137065,-0.8987446,0.1908129,-20.20925,37.77544,-31.70185
5.929721355,-73.08799,-62.56086,-137.7288,0.4353079,-0.8874587,0.1647598,-20.20925,37.77544,-31.70185
5.939633369,-67.5135700000001,-64.4831800000002,-141.8401,0.4482364,-0.8679233,0.1609291,-20.20925,37.77544,-31.70185
5.94954443,-65.7793000000002,-67.1627699999999,-142.9447,0.4803853,-0.8602659,0.1578018,-24.68033,37.41775,-27.4372
5.959456444,-68.6284499999999,-67.6870300000002,-140.7356,0.5067345,-0.8938618,0.1606954,-24.68033,37.41775,-27.4372
5.969368458,-74.3267500000003,-67.2210200000001,-136.5016,0.5350669,-0.9264433,0.1674187,-24.68033,37.41775,-27.4372
5.979280472,-79.8392299999999,-65.5899700000003,-133.6175,0.5646264,-0.967424,0.1409438,-24.68033,37.41775,-27.4372
5.989192486,-82.6264500000001,-64.0754199999997,-133.7402,0.5737725,-0.9859192,0.1052042,-24.68033,37.41775,-27.4372
5.999104023,-83.4935800000002,-63.2016400000001,-136.9311,0.5914131,-0.942761,0.06403503,-30.5713,35.9364,-23.09738
6.00901556,-82.9980800000003,-63.4929000000001,-141.9629,0.5927113,-0.8942982,0.05666335,-30.5713,35.9364,-23.09738
6.018927574,-84.5465299999999,-63.5511499999998,-145.4606,0.6235614,-0.7656048,0.1162949,-30.5713,35.9364,-23.09738
6.028839588,-87.2098599999999,-69.3763399999998,-147.1174,0.6687478,-0.9237037,0.09369674,-30.5713,35.9364,-23.09738
6.038751125,-93.3417300000002,-74.3860199999999,-144.6015,0.7314993,-1.057699,0.09558482,-30.5713,35.9364,-23.09738
6.048663139,-98.9781,-72.5219499999999,-137.9129,0.8094535,-1.16271,0.04038659,-36.13147,33.33627,-17.53507
6.058575153,-100.2169,-66.4637499999999,-130.2426,0.8235765,-1.212558,0.02407867,-36.13147,33.33627,-17.53507
6.068486691,-91.48359,-56.15314,-123.0017,0.7894185,-1.226369,-0.03283627,-36.13147,33.33627,-17.53507
6.078398705,-79.5295500000002,-53.99782,-119.9949,0.7275292,-1.152422,-0.1162791,-36.13147,33.33627,-17.53507
6.088310242,-67.9471299999997,-61.2210699999997,-120.4858,0.7174535,-1.086605,-0.1157475,-36.13147,33.33627,-17.53507
6.098222256,-60.3906899999998,-58.5997300000002,-118.8904,0.7980714,-1.035143,-0.109428,-40.17311,28.86014,-12.74571
6.10813427,-51.53354,-58.54148,-118.3382,0.8353,-0.9297733,-0.07497907,-40.17311,28.86014,-12.74571
6.118046284,-52.40068,-47.76486,-113.92,0.8706779,-0.8782713,-0.04567349,-40.17311,28.86014,-12.74571
6.127957344,-54.25882,-42.28918,-107.8451,0.8609314,-0.9132504,-0.03573306,-40.17311,28.86014,-12.74571
6.140347481,-55.06401,-39.08532,-99.3156500000002,0.8536394,-0.9142958,-0.03279164,-40.17311,28.86014,-12.74571
6.150259495,-55.49758,-36.93,-93.4861799999998,0.8823103,-0.9818232,-0.03398682,-43.481,25.12751,-9.375934
6.160171032,-54.073,-33.20187,-87.2271600000002,0.8989451,-1.021122,-0.07905719,-43.481,25.12751,-9.375934
6.170083046,-49.30377,-28.48347,-80.9681399999999,0.8901547,-1.016109,-0.1197559,-43.481,25.12751,-9.375934
6.179994583,-41.31377,-24.75534,-74.4023099999999,0.8831854,-0.9833367,-0.1410803,-43.481,25.12751,-9.375934
6.189906597,-32.20887,-21.60973,-67.6523900000002,0.8715621,-0.9268489,-0.1593226,-43.481,25.12751,-9.375934
6.199818611,-24.40468,-18.28937,-61.8229100000001,0.8752667,-0.8549609,-0.1430328,-46.04394,21.45424,-6.781178
6.209730625,-19.51157,-15.31852,-53.47756,0.8787158,-0.8034452,-0.1278366,-46.04394,21.45424,-6.781178
6.219641686,-17.34374,-13.2797,-44.94812,0.8947285,-0.7779413,-0.1100489,-46.04394,21.45424,-6.781178
6.2295537,-17.52956,-10.77487,-36.97094,0.8985618,-0.7569574,-0.09313899,-46.04394,21.45424,-6.781178
6.239465714,-17.65343,-7.39625499999999,-29.48466,0.8942614,-0.7711068,-0.09991571,-46.04394,21.45424,-6.781178
6.249377728,-16.47661,-4.541909,-23.34837,0.8823519,-0.7684176,-0.1137122,-46.73799,17.71502,-5.095387
6.259289742,-14.1849,-1.862319,-18.13253,0.8751352,-0.755038,-0.1342032,-46.73799,17.71502,-5.095387
6.269200802,-10.90218,0.46776,-13.46894,0.8684197,-0.7323776,-0.1426329,-46.73799,17.71502,-5.095387
6.279112816,-7.74334299999998,2.331823,-9.05081500000002,0.8662723,-0.7159163,-0.1420233,-46.73799,17.71502,-5.095387
6.28902483,-5.76132499999998,4.079382,-4.816774,0.8640876,-0.6950844,-0.1399436,-46.73799,17.71502,-5.095387
6.298936844,-5.018068,5.535681,-1.135,0.8673983,-0.6877828,-0.1423264,-47.10255,16.9658,-5.091133
6.308848858,-4.212874,6.99197999999999,1.994509,0.8624285,-0.6810563,-0.1422356,-47.10255,16.9658,-5.091133
6.318759918,-3.469617,8.15701899999998,4.571751,0.847671,-0.679335,-0.1488099,-47.10255,16.9658,-5.091133
6.328671932,-2.230856,9.205554,7.21035599999999,0.8472716,-0.688075,-0.1503049,-47.10255,16.9658,-5.091133
6.338583946,0.0608516599999998,10.19584,9.787598,0.8389022,-0.6935746,-0.1622681,-47.10255,16.9658,-5.091133
6.34849596,2.290622,10.54535,12.11939,0.8246304,-0.6874586,-0.164016,-47.8476,16.58958,-5.471554
6.358407021,4.644268,10.89486,13.89891,0.8163281,-0.6787769,-0.1528377,-47.8476,16.58958,-5.471554
6.368319035,6.254657,11.06962,15.00345,0.8108552,-0.669625,-0.1512857,-47.8476,16.58958,-5.471554
6.378231049,7.617294,11.36088,15.67844,0.7961965,-0.6629742,-0.142463,-47.8476,16.58958,-5.471554
6.388143063,8.48442599999998,11.82689,15.12617,0.7928334,-0.6498153,-0.1212172,-47.8476,16.58958,-5.471554
6.398055077,10.59032,12.64242,13.77619,0.7913353,-0.6459475,-0.1197371,-47.8573,17.33877,-5.473862
6.407966614,12.32458,13.57445,12.36484,0.782355,-0.6276143,-0.1156907,-47.8573,17.33877,-5.473862
6.420356274,13.12978,14.68124,10.33986,0.7836803,-0.5959622,-0.09244448,-47.8573,17.33877,-5.473862
6.430268288,17.46544,16.72006,8.49897699999999,0.7999662,-0.58056,-0.05984172,-47.8573,17.33877,-5.473862
6.440180302,16.96994,17.76859,6.96490399999999,0.7866026,-0.5371554,-0.07239324,-47.8573,17.33877,-5.473862
6.450091362,17.96095,19.39965,3.467218,0.8081236,-0.5610243,-0.05210448,-46.74396,17.70823,-6.765748
6.460003376,21.11979,23.12777,-0.03046724,0.8024384,-0.5080805,-0.02000875,-46.74396,17.70823,-6.765748
6.46991539,20.99591,25.92387,-4.203145,0.8127204,-0.4791642,0.01514035,-46.74396,17.70823,-6.765748
6.479827404,19.44746,29.47724,-8.31446000000002,0.818193,-0.4614869,0.04497731,-46.74396,17.70823,-6.765748
6.489739418,18.45645,33.67138,-12.60986,0.8290163,-0.5113134,0.04070401,-46.74396,17.70823,-6.765748
6.499650955,20.0049,40.66161,-16.90527,0.83708,-0.4827977,0.09747808,-47.12144,17.70454,-7.663226
6.509562492,20.93398,47.12758,-20.40295,0.857676,-0.5193343,0.1080878,-47.12144,17.70454,-7.663226
6.519474506,22.23467,55.16636,-23.59382,0.8885179,-0.520632,0.1577304,-47.12144,17.70454,-7.663226
6.529386521,24.7122,62.8556099999998,-27.45969,0.8959046,-0.5097812,0.1755002,-47.12144,17.70454,-7.663226
6.539298535,26.26065,71.3021499999997,-31.01874,0.8837983,-0.5113364,0.185205,-47.12144,17.70454,-7.663226
6.549210071,38.83407,81.3214800000001,-36.29595,0.9139298,-0.7181039,0.1633822,-47.12417,17.32131,-9.782145
6.559121609,61.9369699999999,94.6611800000002,-43.10723,0.8773734,-0.5255892,0.2571932,-47.12417,17.32131,-9.782145
6.569033623,63.6092899999998,101.8262,-47.52536,0.8637367,-0.4113553,0.2532788,-47.12417,17.32131,-9.782145
6.578945637,57.6013,106.7776,-53.17075,0.889603,-0.6120142,0.2041671,-47.12417,17.32131,-9.782145
6.588857651,74.0768200000002,118.0785,-59.7365799999998,0.8828728,-0.4227892,0.2463034,-47.12417,17.32131,-9.782145
6.598769188,90.9239700000001,117.4959,-70.96599,0.8982699,-0.677331,0.2098939,-47.50367,16.5551,-13.95379
6.608681202,109.0718,121.1658,-78.0840799999998,0.8509775,-0.5949445,0.1292532,-47.50367,16.5551,-13.95379
6.618592739,126.6003,121.2823,-85.3249099999997,0.8241954,-0.4969441,0.1119077,-47.50367,16.5551,-13.95379
6.628504753,134.4045,117.962,-91.3384700000003,0.8327314,-0.4552691,0.08713821,-47.50367,16.5551,-13.95379
6.63841629,131.7411,114.9911,-96.6770400000001,0.8887476,-0.3978515,0.0855622,-47.50367,16.5551,-13.95379
6.648328304,120.6542,117.2047,-104.4088,1.022018,-0.2828818,0.1508773,-46.36023,13.15769,-20.37371
6.658240318,116.0089,115.4571,-109.9314,1.130356,-0.6367108,0.1921729,-46.36023,13.15769,-20.37371
6.668152332,111.0538,118.3697,-115.8836,1.106828,-0.4992341,0.2999015,-46.36023,13.15769,-20.37371
6.678063869,92.7821100000002,111.03,-121.2836,0.9542587,-0.382872,0.2924845,-46.36023,13.15769,-20.37371
6.687975407,68.8740200000003,96.4087400000001,-126.8062,0.8338427,-0.2827526,0.254412,-46.36023,13.15769,-20.37371
6.700365543,42.55036,79.1079100000001,-129.1994,0.8081227,-0.2595699,0.205348,-45.1847,7.516101,-25.95152
6.71027708,28.98592,68.1565400000002,-128.5244,0.853351,-0.3040061,0.1292489,-45.1847,7.516101,-25.95152
6.720189094,19.32359,64.0788999999997,-125.0267,0.9318971,-0.405782,0.1355269,-45.1847,7.516101,-25.95152
6.730101108,17.52738,59.1857400000001,-120.179,0.9575499,-0.489248,0.05982894,-45.1847,7.516101,-25.95152
6.740012646,23.65925,50.68095,-118.0927,0.965368,-0.5693924,0.01312753,-45.1847,7.516101,-25.95152
6.74992466,36.29461,40.02084,-116.3745,0.9260498,-0.6155924,-0.01274517,-43.99087,1.198476,-28.89319
6.759836674,52.46045,27.14716,-114.595,0.8513747,-0.5869507,-0.01330423,-43.99087,1.198476,-28.89319
6.769748211,67.2636299999998,13.92396,-112.2632,0.7823752,-0.4815105,0.009643462,-43.99087,1.198476,-28.89319
6.779660225,75.8110900000001,-0.2312636,-111.1587,0.7460386,-0.3581497,0.04393225,-43.99087,1.198476,-28.89319
6.789571762,76.9879100000001,-12.98844,-109.2564,0.7539692,-0.2555657,0.07911372,-43.99087,1.198476,-28.89319
6.799483776,71.22767,-22.42526,-105.8815,0.7775394,-0.1740045,0.1365779,-41.68039,-4.429163,-31.07188
6.80939579,60.1407599999997,-29.29899,-101.5861,0.8091038,-0.1249394,0.1726248,-41.68039,-4.429163,-31.07188
6.819307804,46.14276,-33.9009,-96.3088699999999,0.8396208,-0.1146989,0.2041012,-41.68039,-4.429163,-31.07188
6.829218864,32.33058,-37.80378,-91.9521000000001,0.8714935,-0.1476641,0.2218328,-41.68039,-4.429163,-31.07188
6.839130878,20.31459,-41.5319,-87.5953299999997,0.9100431,-0.1747778,0.2299385,-41.68039,-4.429163,-31.07188
6.849042892,11.39551,-46.30856,-83.6067399999998,0.9393091,-0.2181018,0.2197761,-40.85618,-9.664549,-28.8753
6.858954906,6.06884200000002,-50.67746,-80.1704199999999,0.9521123,-0.2310665,0.2133292,-40.85618,-9.664549,-28.8753
6.86886692,2.724188,-54.92986,-76.1204700000001,0.9528741,-0.222874,0.201853,-40.85618,-9.664549,-28.8753
