Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
58.824188709,-0.3403839,-0.2925643,0.803446099999999,0.9194365,-0.2958979,0.2713178,-57.03763,-5.181924,-20.10811
58.834187031,-0.2173175,-0.1738595,0.925387699999998,0.922276,-0.2915034,0.2674831,-57.03763,-5.181924,-20.10811
58.844184875,-0.03271778,-0.2332119,0.986358399999998,0.91937,-0.292581,0.2622241,-57.03763,-5.181924,-20.10811
58.85418272,0.2134152,-0.2925643,0.7424754,0.9232831,-0.2935369,0.2555175,-57.0219,-5.942636,-20.10406
58.866680145,0.5210813,-0.1145072,1.047329,0.923341,-0.2963505,0.2665253,-57.0219,-5.942636,-20.10406
58.87667799,0.767214200000001,0.004197581,1.1083,0.9237914,-0.2944067,0.2655669,-57.0219,-5.942636,-20.10406
58.884176731,0.8287475,-0.1738595,1.230241,0.9218512,-0.2949572,0.2626989,-57.0219,-5.942636,-20.10406
58.894174576,0.644147799999998,-0.05515479,1.169271,0.9183879,-0.2920749,0.2665329,-57.0219,-5.942636,-20.10406
58.904172897,0.5826145,-0.1738595,1.169271,0.917468,-0.2950219,0.2650995,-56.27831,-5.560468,-20.55203
58.914170742,0.705681,-0.2332119,1.291212,0.9233683,-0.2978122,0.2660471,-56.27831,-5.560468,-20.55203
58.924168587,1.013347,-0.2332119,1.230241,0.9238088,-0.2954045,0.2626956,-56.27831,-5.560468,-20.55203
58.934166908,1.321013,-0.1738595,1.291212,0.9214271,-0.2983979,0.2593505,-56.27831,-5.560468,-20.55203
58.946663856,1.690213,-0.2925643,0.986358399999998,0.9218243,-0.2934867,0.2641343,-56.27831,-5.560468,-20.55203
58.954162598,1.505613,-0.5299737,0.986358399999998,0.9213455,-0.2940085,0.2612638,-57.03931,-5.178655,-19.72111
58.964160442,1.567146,-0.2925643,1.047329,0.9223648,-0.2964356,0.2593484,-57.03931,-5.178655,-19.72111
58.974158764,1.813279,-0.3519166,0.803446099999999,0.9233568,-0.297401,0.2579112,-57.03931,-5.178655,-19.72111
58.986655712,1.813279,-0.5299737,0.681504599999997,0.9223565,-0.2959235,0.2622197,-57.03931,-5.178655,-19.72111
58.994154453,1.567146,-0.5299737,0.681504599999997,0.9233685,-0.2978078,0.2665257,-57.03931,-5.178655,-19.72111
59.004152775,1.567146,-0.767383199999997,0.5595631,0.918981,-0.2980042,0.254569,-56.65672,-5.556198,-19.7163
59.01415062,1.628679,-0.589326100000003,0.620533899999998,0.926152,-0.2905339,0.2588617,-56.65672,-5.556198,-19.7163
59.026648045,1.321013,-0.411269,0.681504599999997,0.9295807,-0.2914161,0.2612488,-56.65672,-5.556198,-19.7163
59.036645889,1.25948,-0.411269,0.681504599999997,0.9227341,-0.2900847,0.2622176,-56.65672,-5.556198,-19.7163
59.046643734,1.25948,-0.2332119,0.681504599999997,0.9276037,-0.2900324,0.2574233,-57.03931,-5.178655,-19.72111
59.054142475,1.07488,-0.3519166,0.681504599999997,0.9217961,-0.2920558,0.2612626,-57.03931,-5.178655,-19.72111
59.06414032,1.013347,-0.1145072,0.803446099999999,0.9251249,-0.2875815,0.2650842,-57.03931,-5.178655,-19.72111
59.074138641,0.644147799999998,-0.2332119,0.864416900000002,0.9247084,-0.2915519,0.2569502,-57.03931,-5.178655,-19.72111
59.08663559,0.4595481,0.004197581,0.986358399999998,0.9212903,-0.2911071,0.2598275,-57.03931,-5.178655,-19.72111
59.096633911,0.2749484,0.06354995,0.925387699999998,0.9232309,-0.2905433,0.2641311,-56.65475,-5.560012,-20.16781
59.106631756,0.3364816,-0.05515479,0.864416900000002,0.925178,-0.2905487,0.259342,-56.65475,-5.560012,-20.16781
59.116629601,0.2749484,0.004197581,0.864416900000002,0.9218142,-0.2930317,0.2607842,-56.65475,-5.560012,-20.16781
59.126627445,0.3364816,-0.05515479,0.5595631,0.9203698,-0.2940716,0.2564798,-56.65475,-5.560012,-20.16781
59.136625767,0.3980148,0.06354995,0.4376215,0.9194145,-0.2950449,0.258396,-56.65475,-5.560012,-20.16781
59.146623611,0.0903486900000002,-0.1145072,0.31568,0.9188734,-0.2921136,0.2612677,-57.41406,-5.181467,-19.72389
59.156621456,-0.4019172,-0.1145072,0.31568,0.9183946,-0.2926353,0.2583972,-57.41406,-5.181467,-19.72389
59.166619778,-0.5249836,0.06354995,0.31568,0.9197741,-0.2882258,0.2593508,-57.41406,-5.181467,-19.72389
59.176617622,-0.709583300000001,0.1229023,0.31568,0.9267136,-0.2943621,0.264126,-57.41406,-5.181467,-19.72389
59.186615467,-0.894183000000003,0.06354995,0.31568,0.9257766,-0.2963024,0.2665211,-57.41406,-5.181467,-19.72389
59.196613789,-0.709583300000001,0.004197581,0.0717969800000001,0.9282375,-0.2977774,0.2593385,-57.42193,-4.801111,-19.72592
59.206611633,-0.4634504,-0.1738595,-0.1720861,0.9312144,-0.3006474,0.2578983,-57.42193,-4.801111,-19.72592
59.216609001,-0.4019172,0.06354995,-0.1720861,0.9297357,-0.2996784,0.2607721,-57.42193,-4.801111,-19.72592
59.226606846,-0.4019172,-0.1738595,-0.1720861,0.9302232,-0.2996556,0.262207,-57.42193,-4.801111,-19.72592
59.236604691,-0.2173175,-0.1145072,0.01082622,0.926272,-0.2968049,0.2636489,-57.42193,-4.801111,-19.72592
59.246603012,-0.03271778,-0.05515479,0.01082622,0.918991,-0.2984592,0.2579191,-57.80453,-4.423568,-19.73073
59.256600857,0.1518819,0.004197581,0.1937385,0.915518,-0.2951087,0.2598386,-57.80453,-4.423568,-19.73073
59.266598702,0.2749484,0.06354995,0.4985923,0.9120721,-0.2932242,0.2608013,-57.80453,-4.423568,-19.73073
59.276596546,-0.03271778,-0.05515479,0.5595631,0.9164726,-0.2941618,0.2550509,-57.80453,-4.423568,-19.73073
59.286594868,0.5210813,0.004197581,0.4985923,0.9154815,-0.2931656,0.2598381,-57.80453,-4.423568,-19.73073
59.296592712,-0.0942510000000003,-0.2332119,0.4985923,0.9178711,-0.2907019,0.2583976,-57.04549,-4.801568,-20.11014
