Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
27.526771069,1.997879,-1.538964,0.925387699999998,0.9352143,-0.3438169,-0.2192378,-41.82648,34.23423,1.34601
27.536768913,2.674744,-1.657669,1.169271,0.9302355,-0.338027,-0.2130092,-41.82648,34.23423,1.34601
27.546766758,2.367078,-1.479612,1.352183,0.9358609,-0.3262796,-0.2158935,-41.82648,34.23423,1.34601
27.556765556,0.644147799999998,-1.360907,1.230241,0.9411674,-0.323167,-0.2058534,-41.82648,34.23423,1.34601
27.566763401,-0.3403839,-1.18285,1.291212,0.9375864,-0.340351,-0.2173286,-41.82648,34.23423,1.34601
27.576761723,0.02881546,-1.242202,1.047329,0.9349005,-0.353056,-0.2192349,-42.19335,33.85106,1.345257
27.586759567,1.936346,-1.242202,0.803446099999999,0.9369375,-0.3579586,-0.2283302,-42.19335,33.85106,1.345257
27.596757412,3.720809,-1.123497,0.620533899999998,0.9454182,-0.3420917,-0.2120774,-42.19335,33.85106,1.345257
27.606755734,4.459208,-0.589326100000003,0.4376215,0.9441426,-0.3260897,-0.2130365,-42.19335,33.85106,1.345257
27.616753578,2.859344,-0.4706214,0.2547093,0.9428787,-0.3104943,-0.2053811,-42.19335,33.85106,1.345257
27.626752376,0.2134152,-0.4706214,0.1937385,0.9390002,-0.3115384,-0.2048955,-42.21694,34.99213,1.339173
27.636750221,-1.386449,-0.3519166,-0.1111153,0.9339414,-0.327727,-0.2106254,-42.21694,34.99213,1.339173
27.646748066,-0.7711166,-0.1738595,-0.4159691,0.9352515,-0.345738,-0.2168445,-42.21694,34.99213,1.339173
27.656745911,1.25948,0.06354995,-0.964705900000002,0.930481,-0.3511688,-0.2158777,-42.21694,34.99213,1.339173
27.666744232,2.428612,0.3009594,-1.147618,0.9243345,-0.3352586,-0.2163496,-42.21694,34.99213,1.339173
27.676742077,2.551678,0.597721199999998,-1.391501,0.9353128,-0.3228011,-0.2063219,-41.82648,34.23423,1.34601
27.686739921,1.505613,1.131893,-1.635384,0.9410842,-0.3188258,-0.2092044,-41.82648,34.23423,1.34601
27.69673872,0.767214200000001,1.488007,-2.06218,0.9416633,-0.3236519,-0.2068113,-41.82648,34.23423,1.34601
27.706736565,0.5826145,2.022178,-2.610917,0.9360629,-0.3369268,-0.2115839,-41.82648,34.23423,1.34601
