Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-14.72393,1.730249,-7.746342,0.9755795,0.1857994,0.2115729,-56.19935,-9.861106,4.981121
0.027185917,-13.29406,4.554688,-6.891063,0.9291419,0.2301749,0.2093721,-56.19935,-9.861106,4.981121
0.034599781,-13.66707,4.907743,-7.318703,0.922876,0.2428479,0.209301,-56.19935,-9.861106,4.981121
0.044486046,-15.59429,4.907743,-7.807434,0.9166309,0.262854,0.2111165,-56.57756,-10.54869,4.982265
0.054371357,-18.57836,5.143113,-8.479439,0.9258988,0.2729969,0.2067475,-56.57756,-10.54869,4.982265
0.064257145,-22.37062,4.495846,-8.96817,0.9224849,0.2656419,0.2029334,-56.57756,-10.54869,4.982265
0.074142456,-25.47902,3.201311,-9.212536,0.9229925,0.2659984,0.1942756,-56.57756,-10.54869,4.982265
0.086499691,-27.71708,1.906777,-9.701267,0.9312145,0.2582054,0.1952861,-56.57756,-10.54869,4.982265
0.096385002,-27.77925,1.671407,-9.517993,0.9340991,0.2538962,0.2006013,-56.93476,-11.32195,3.752089
0.10627079,-27.53057,1.730249,-10.67873,0.9335797,0.2461492,0.2035254,-56.93476,-11.32195,3.752089
0.116156101,-26.53588,1.436037,-11.90056,0.9379731,0.2499642,0.1987019,-56.93476,-11.32195,3.752089
0.126041889,-25.29252,0.4357146,-12.26711,0.9380206,0.2596168,0.1928822,-56.93476,-11.32195,3.752089
0.135928154,-23.86265,-0.09386778,-13.12239,0.9448317,0.2624891,0.1904708,-56.93476,-11.32195,3.752089
0.145813465,-24.04916,-0.09386778,-13.0002,0.9433411,0.2552453,0.194353,-56.57226,-11.31196,4.603755
0.155699253,-24.36,-0.7411351,-12.26711,0.9127936,0.2566012,0.1832503,-56.57226,-11.31196,4.603755
0.165584564,-24.17349,-1.741457,-12.75584,0.9175916,0.2375359,0.1790238,-56.57226,-11.31196,4.603755
0.175470352,-23.80048,-3.447889,-12.02274,0.9282088,0.2259576,0.1877509,-56.57226,-11.31196,4.603755
0.185355663,-23.80048,-4.448212,-11.22855,0.9330518,0.226514,0.1930438,-56.57226,-11.31196,4.603755
0.195241928,-23.42747,-4.918952,-11.35073,0.9330143,0.221774,0.2017243,-56.18332,-12.08793,3.84471
0.205127239,-22.9923,-3.742102,-10.31218,0.9378086,0.2156714,0.2176309,-56.18332,-12.08793,3.84471
0.215013027,-21.87327,-3.035992,-10.19,0.9169878,0.2218632,0.205553,-56.18332,-12.08793,3.84471
