Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
72.047791004,1.564126,0.4945571,2.211555,0.9232106,0.2219032,0.2416289,-56.11904,-14.36317,3.5537
72.057679176,1.128949,0.5533996,2.211555,0.9188564,0.225306,0.2406449,-56.11904,-14.36317,3.5537
72.067566872,0.1342586,0.3768721,2.089372,0.9237045,0.2233415,0.2401794,-56.11904,-14.36317,3.5537
72.07745409,-0.3009185,0.3180296,2.089372,0.9197995,0.2170188,0.2402069,-56.11904,-14.36317,3.5537
72.087342262,0.00992228700000002,0.612241999999999,1.906098,0.9197906,0.2111036,0.2354276,-55.74208,-14.3687,3.56228
72.097229958,0.693772100000003,0.5533996,1.600641,0.9207688,0.2105571,0.2315841,-55.74208,-14.3687,3.56228
72.10711813,1.43979,0.671084500000001,1.295184,0.9202964,0.2119686,0.22821,-55.74208,-14.3687,3.56228
72.117005825,2.12364,0.729926999999997,0.928635399999997,0.9222135,0.2116217,0.2378324,-55.74208,-14.3687,3.56228
72.12689352,2.496649,1.141824,0.928635399999997,0.9280261,0.2101925,0.2407317,-55.74208,-14.3687,3.56228
72.136781216,2.80749,0.965297,0.623178399999998,0.9164184,0.2164235,0.2325114,-55.72694,-14.00615,2.713889
72.146669388,2.683153,1.082982,0.745361200000002,0.9241791,0.2209202,0.241154,-55.72694,-14.00615,2.713889
72.156557083,2.372312,1.024139,0.867544000000001,0.9217454,0.2219636,0.2454743,-55.72694,-14.00615,2.713889
72.166445255,2.061472,0.965297,0.745361200000002,0.9212726,0.2218854,0.240184,-55.72694,-14.00615,2.713889
72.176332474,1.128949,1.082982,0.806452599999999,0.9285462,0.225896,0.2488286,-55.72694,-14.00615,2.713889
72.186220169,0.693772100000003,1.141824,0.745361200000002,0.9246508,0.2229964,0.2498007,-55.37153,-13.60975,4.014221
72.198580265,0.0720904500000002,1.259509,0.867544000000001,0.9256035,0.2171368,0.2488695,-55.37153,-13.60975,4.014221
72.208468437,-0.1765822,1.377194,0.806452599999999,0.9231569,0.2107969,0.2479369,-55.37153,-13.60975,4.014221
72.218355656,-0.114414,1.318352,0.5009956,0.9236333,0.2058761,0.2445959,-55.37153,-13.60975,4.014221
72.228243351,0.5072676,1.553722,0.3177214,0.9231571,0.2048241,0.2393106,-55.37153,-13.60975,4.014221
72.238131523,0.9424447,1.553722,0.25663,0.9226847,0.2082265,0.2388119,-55.35733,-14.38258,3.11689
72.248019219,1.501958,1.553722,0.0733558600000001,0.9226809,0.2027766,0.2325874,-55.35733,-14.38258,3.11689
72.257907391,2.061472,1.671407,-0.1710097,0.9202493,0.2097784,0.2445723,-55.35733,-14.38258,3.11689
72.267794609,2.683153,1.436037,-0.4153753,0.9197469,0.2059053,0.2460341,-55.35733,-14.38258,3.11689
72.277682781,2.558817,1.259509,-0.5375581,0.9187965,0.2117506,0.2460035,-55.35733,-14.38258,3.11689
72.287570477,2.247976,1.082982,-0.4764667,0.9168675,0.2136663,0.243587,-55.73566,-15.13317,3.118918
72.297458649,1.688463,1.024139,-0.659740900000002,0.9197876,0.2175921,0.2459751,-55.73566,-15.13317,3.118918
72.307345867,1.066781,1.024139,-0.659740900000002,0.9144433,0.2171372,0.2474141,-55.73566,-15.13317,3.118918
72.317233563,0.693772100000003,1.259509,-0.720832200000002,0.9158775,0.2098086,0.24601,-55.73566,-15.13317,3.118918
72.327121735,0.693772100000003,0.965297,-0.659740900000002,0.9119769,0.2074391,0.2498649,-55.73566,-15.13317,3.118918
72.33700943,0.880276599999999,1.200667,-0.5375581,0.920243,0.2093202,0.2464983,-56.12613,-13.97676,4.002365
72.346897602,1.066781,1.141824,-0.720832200000002,0.9144173,0.2103344,0.2484103,-56.12613,-13.97676,4.002365
72.356784821,1.191117,0.906454499999998,-0.843015,0.9153948,0.2132757,0.2498393,-56.12613,-13.97676,4.002365
72.366672993,1.564126,1.141824,-0.781923700000001,0.9202764,0.2155786,0.2416575,-56.12613,-13.97676,4.002365
72.376560688,1.564126,1.200667,-0.781923700000001,0.914919,0.2157042,0.2493455,-56.12613,-13.97676,4.002365
72.38644886,1.688463,1.024139,-1.026289,0.917825,0.2142448,0.2498371,-56.10989,-13.61541,3.089122
72.396336556,1.750631,0.788769499999999,-1.026289,0.9168538,0.2137526,0.2493576,-56.10989,-13.61541,3.089122
72.406223774,1.874967,0.788769499999999,-1.209563,0.9173594,0.2185995,0.2478909,-56.10989,-13.61541,3.089122
72.41858387,2.12364,0.729926999999997,-1.270655,0.9193,0.214621,0.2426231,-56.10989,-13.61541,3.089122
72.428472042,2.061472,0.5533996,-1.209563,0.9178431,0.2181116,0.2478939,-56.10989,-13.61541,3.089122
72.438359737,2.061472,0.5533996,-1.209563,0.9115462,0.222521,0.2488263,-54.66692,-14.77077,3.137924
72.448246956,1.937135,0.4945571,-1.209563,0.9130182,0.2244084,0.2449711,-54.66692,-14.77077,3.137924
72.458135128,1.501958,0.3180296,-1.331746,0.9120208,0.2230861,0.2541142,-54.66692,-14.77077,3.137924
72.468022823,1.315454,0.1415022,-1.148472,0.9129928,0.2200906,0.2493212,-54.66692,-14.77077,3.137924
72.477910996,1.066781,0.0826596800000002,-1.148472,0.9086113,0.2196842,0.2541274,-54.66692,-14.77077,3.137924
72.487798691,0.7559403,0.0826596800000002,-1.331746,0.9125057,0.2196046,0.2493231,-56.49532,-13.97959,3.539816
72.497686386,0.7559403,-0.03502529,-1.148472,0.9096065,0.2200254,0.2445084,-56.49532,-13.97959,3.539816
72.507574082,1.253286,0.02381719,-1.148472,0.9130126,0.2214579,0.2430623,-56.49532,-13.97959,3.539816
72.517462254,1.377622,-0.1527103,-1.209563,0.9149524,0.2229581,0.2459425,-56.49532,-13.97959,3.539816
72.527349949,1.626294,-0.1527103,-1.209563,0.9154474,0.2243892,0.2440121,-56.49532,-13.97959,3.539816
72.537238121,1.564126,-0.3292377,-0.904106400000002,0.910589,0.2264185,0.2488055,-56.11194,-14.74959,3.105034
72.547125339,1.253286,-0.4469227,-0.659740900000002,0.9125521,0.2302599,0.2454219,-56.11194,-14.74959,3.105034
72.557013035,0.7559403,-0.5057651,-0.4764667,0.9140142,0.2337016,0.2478108,-56.11194,-14.74959,3.105034
72.566901207,0.3207631,-0.5646076,-0.598649399999998,0.9140064,0.231761,0.2483015,-56.11194,-14.74959,3.105034
72.576789379,-0.05224587,-0.5646076,-0.659740900000002,0.9154485,0.2263729,0.2464067,-56.11194,-14.74959,3.105034
72.586677074,-0.1765822,-0.917662500000002,-0.659740900000002,0.915439,0.2239454,0.2468999,-55.35802,-14.76064,3.122194
72.596564293,0.3207631,-0.682292600000002,-0.5375581,0.9212793,0.2258241,0.2430497,-55.35802,-14.76064,3.122194
72.606452465,1.066781,-0.4469227,-0.659740900000002,0.9207786,0.222438,0.244509,-55.35802,-14.76064,3.122194
72.61634016,1.128949,-0.5646076,-0.659740900000002,0.9212804,0.2268124,0.2440065,-55.35802,-14.76064,3.122194
72.628700256,1.004613,-0.3880802,-0.4764667,0.9203,0.2233913,0.2430608,-55.35802,-14.76064,3.122194
72.638587475,1.191117,-0.5057651,-0.5375581,0.9212893,0.2327277,0.2487858,-55.35135,-14.7678,2.733077
72.648475647,0.9424447,-0.2115527,-0.4764667,0.9256508,0.2327622,0.2516761,-55.35135,-14.7678,2.733077
72.658363342,-0.05224587,-0.4469227,-0.904106400000002,0.9251803,0.2336652,0.2468618,-55.35135,-14.7678,2.733077
72.668251514,-0.736095699999999,-0.3292377,-0.4764667,0.9251667,0.2287741,0.2454438,-55.35135,-14.7678,2.733077
72.67813921,-0.860432000000003,0.0826596800000002,-0.2321011,0.9237089,0.22829,0.2454446,-55.35135,-14.7678,2.733077
72.688026428,-0.673927500000001,0.02381719,-0.1710097,0.9198,0.2204994,0.2449986,-55.73429,-14.37705,3.10831
72.6979146,-0.1765822,0.02381719,-0.1099183,0.9163747,0.2132163,0.2459933,-55.73429,-14.37705,3.10831
