Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
4.794333935,-14.18263,3.82156,4.360201,-0.9698819,-0.1589989,0.2346849,46.41962,-27.09741,-3.928454
4.804193973,-10.57991,0.01298836,7.48665400000003,-0.979153,-0.2092267,0.2281635,47.15904,-25.63346,-3.9474
4.814054012,-2.566953,-4.271655,10.61311,-0.9773977,-0.2037611,0.2540614,47.15904,-25.63346,-3.9474
4.823914051,3.830986,-6.77103000000002,13.92347,-0.9750272,-0.1363857,0.3077873,47.15904,-25.63346,-3.9474
4.833773136,5.632347,-7.90170000000001,15.82386,-0.9610667,-0.06420214,0.3187399,47.15904,-25.63346,-3.9474
4.843633175,4.265797,-8.55629800000001,16.92732,-0.9467151,-0.01840647,0.2992747,47.15904,-25.63346,-3.9474
4.853493214,2.588667,-9.38942300000003,18.09207,-0.9498006,0.001895041,0.2702588,47.16105,-26.0016,-3.943629
4.863352776,2.650783,-10.69862,18.45989,-0.9535406,-0.01384856,0.2332809,47.16105,-26.0016,-3.943629
4.873212814,6.19139099999999,-13.01947,18.95032,-0.9582041,-0.04458504,0.2230248,47.16105,-26.0016,-3.943629
4.883072853,13.14837,-16.11393,19.37944,-0.9578863,-0.03668281,0.2532765,47.16105,-26.0016,-3.943629
4.892932892,19.73266,-17.36362,19.25683,-0.9527676,0.006877376,0.3081999,47.16105,-26.0016,-3.943629
4.902791977,22.09306,-17.8992,19.07292,-0.9545649,0.04791656,0.3560126,47.15787,-27.12386,-5.212594
4.912652016,21.34767,-18.31576,19.13422,-0.9430677,0.09579739,0.3802128,47.15787,-27.12386,-5.212594
4.922512054,16.87533,-17.60166,19.19553,-0.925446,0.09253887,0.3780174,47.15787,-27.12386,-5.212594
4.932371616,13.14837,-16.17344,20.7281,-0.9166465,0.06380981,0.3522519,47.15787,-27.12386,-5.212594
4.944696426,11.65759,-14.80474,24.34498,-0.916643,0.009617656,0.304833,47.15787,-27.12386,-5.212594
4.954556465,13.58318,-15.34032,27.53273,-0.9167151,-0.02493185,0.3050216,46.41719,-27.84618,-4.817107
4.964416504,18.11765,-17.30411,30.16876,-0.9396949,-0.002673576,0.3256634,46.41719,-27.84618,-4.817107
4.974276066,20.35382,-19.68447,31.94655,-0.9383762,0.02916687,0.3786252,46.41719,-27.84618,-4.817107
4.984136105,20.6644,-21.29121,32.74349,-0.9186196,0.06197009,0.3853293,46.41719,-27.84618,-4.817107
4.993996143,19.1115,-22.00532,34.27607,-0.9002041,0.07038508,0.3798667,46.41719,-27.84618,-4.817107
5.003856182,16.3784,-21.05317,37.34121,-0.8684662,0.05697939,0.3634876,45.29282,-28.95549,-6.080276
5.013715267,13.2726,-19.26791,40.22245,-0.852359,0.03891254,0.308956,45.29282,-28.95549,-6.080276
5.023575306,11.40913,-19.32742,43.28761,-0.8696102,-0.006681154,0.2594596,45.29282,-28.95549,-6.080276
5.033435345,13.76953,-24.08813,47.51751,-0.8987846,-0.03116681,0.2869831,45.29282,-28.95549,-6.080276
5.043295383,19.17362,-30.15804,51.4409,-0.8976387,0.05481752,0.3749067,45.29282,-28.95549,-6.080276
5.053154945,18.61457,-32.12184,52.66697,-0.8680503,0.1000619,0.4318916,44.5534,-30.41945,-6.06133
5.063014984,16.25417,-32.5384,54.50605,-0.8597276,0.114296,0.4448315,44.5534,-30.41945,-6.06133
5.072875023,12.65145,-32.35987,58.0616300000003,-0.861971,0.1268908,0.4349065,44.5534,-30.41945,-6.06133
5.082735062,6.439854,-32.41938,61.8011099999998,-0.8381928,0.1361895,0.3929558,44.5534,-30.41945,-6.06133
5.092594147,-0.02020105,-32.59791,63.8240999999998,-0.8219569,0.1127889,0.3431694,44.5534,-30.41945,-6.06133
5.102454186,-1.448867,-33.43103,65.9084100000002,-0.8317641,0.06094352,0.29591,43.43748,-31.88444,-6.424537
5.112314224,4.514261,-37.83469,70.3222200000002,-0.8569424,0.08213902,0.2978854,43.43748,-31.88444,-6.424537
5.124639511,14.20434,-44.73773,73.5099799999999,-0.8497732,0.179313,0.3709624,43.43748,-31.88444,-6.424537
5.134498596,16.75109,-47.53465,73.1421600000002,-0.8087932,0.2620202,0.3993491,43.43748,-31.88444,-6.424537
5.144358635,17.24802,-48.36777,73.0808599999998,-0.7734387,0.2900638,0.3976443,43.43748,-31.88444,-6.424537
5.154218674,17.24802,-46.99907,74.6134299999999,-0.7340127,0.2937758,0.3860921,41.20197,-34.82154,-7.663058
5.164078236,16.12994,-44.14264,75.9620999999997,-0.7019374,0.2964427,0.3727191,41.20197,-34.82154,-7.663058
5.173938274,15.50878,-40.92916,75.1038600000001,-0.6650873,0.2825198,0.3361364,41.20197,-34.82154,-7.663058
5.183798313,15.88147,-38.01322,73.5099799999999,-0.6440926,0.2368013,0.2928026,41.20197,-34.82154,-7.663058
5.193658352,20.78863,-39.50094,73.8164900000001,-0.665948,0.2044284,0.2760689,41.20197,-34.82154,-7.663058
5.203518391,28.8637,-44.91626,73.9391,-0.6677333,0.2318007,0.3127445,40.08638,-37.02995,-8.530831
5.213377476,35.07529,-49.26041,73.4486800000001,-0.6235896,0.2123418,0.3397447,40.08638,-37.02995,-8.530831
5.223237515,43.21248,-50.62912,74.6134299999999,-0.5847687,0.2000401,0.3414836,40.08638,-37.02995,-8.530831
5.233097076,50.7285,-49.55795,77.0042499999998,-0.5543226,0.2119241,0.324378,40.08638,-37.02995,-8.530831
5.242957115,54.26911,-48.24876,79.4563700000002,-0.5398454,0.2460382,0.3038539,40.08638,-37.02995,-8.530831
5.252817154,55.88412,-50.68863,81.78588,-0.5734,0.3048716,0.370479,36.7329,-39.94786,-9.315463
5.262677193,58.3687600000003,-55.98492,84.7284199999998,-0.6037552,0.4183525,0.4686677,36.7329,-39.94786,-9.315463
5.272537232,51.1012,-57.1751,85.5866700000003,-0.5692021,0.4607316,0.5284328,36.7329,-39.94786,-9.315463
5.282396317,44.01999,-57.1751,86.1383999999998,-0.5221406,0.4338352,0.5117214,36.7329,-39.94786,-9.315463
5.292256355,41.97016,-57.7106799999999,86.4449099999999,-0.4998019,0.3754006,0.4481348,36.7329,-39.94786,-9.315463
5.304581642,42.77766,-57.5916600000001,86.87403,-0.4612192,0.3423902,0.3783016,34.13486,-43.23098,-9.268006
5.314441681,45.94558,-58.1272400000001,88.2226999999999,-0.4530773,0.3569258,0.3423683,34.13486,-43.23098,-9.268006
5.324300766,54.33123,-61.5787599999998,91.4717600000001,-0.4975246,0.4350205,0.3805592,34.13486,-43.23098,-9.268006
5.334160805,57.9960599999999,-65.8038899999999,93.8012699999999,-0.5326267,0.5489877,0.4898411,34.13486,-43.23098,-9.268006
5.344020844,54.14488,-68.2437600000003,95.9468800000002,-0.515331,0.6628106,0.566748,34.13486,-43.23098,-9.268006
5.353880406,43.27459,-68.06523,97.1729400000001,-0.4607983,0.6993515,0.5796967,31.16553,-46.44308,-8.835162
5.363740444,33.46028,-65.8038899999999,98.4602999999998,-0.4047915,0.6665792,0.5321395,31.16553,-46.44308,-8.835162
5.373600483,26.87599,-61.9358100000001,100.6059,-0.3568884,0.6049882,0.4748707,31.16553,-46.44308,-8.835162
5.383460522,24.9504,-57.8892100000002,103.6711,-0.3353079,0.58846,0.4284205,31.16553,-46.44308,-8.835162
5.393320084,25.44732,-56.69903,104.5906,-0.3426907,0.6219347,0.418745,31.16553,-46.44308,-8.835162
5.403179646,28.55312,-58.6033100000001,102.8128,-0.3581029,0.6632291,0.4370435,25.94461,-48.96503,-9.165809
5.413039684,30.54083,-60.7456299999998,98.0924800000002,-0.3361878,0.6702312,0.4358319,25.94461,-48.96503,-9.165809
5.422899246,31.34834,-62.2333600000001,94.0464899999999,-0.2972297,0.6364866,0.4287623,25.94461,-48.96503,-9.165809
5.432759285,33.64663,-63.1855000000002,92.1460899999999,-0.2670141,0.5870588,0.4125801,25.94461,-48.96503,-9.165809
