Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
10.968588352,-9.16791799999997,-19.57092,-10.4008,-0.4469737,-0.2578963,0.6481487,7.70156,4.77844,-55.64288
10.978498936,-9.16791799999997,-27.08542,-12.67123,-0.4534981,-0.2612297,0.6755558,7.70156,4.77844,-55.64288
10.988409519,-10.46862,-33.72614,-13.34622,-0.4753453,-0.2506922,0.7031971,7.70156,4.77844,-55.64288
10.998320103,-14.1849,-40.89113,-14.81893,-0.4880603,-0.2376817,0.7182862,7.70156,4.77844,-55.64288
11.008230686,-18.95413,-48.34738,-16.53709,-0.4699776,-0.2452647,0.7084653,8.464369,4.034538,-54.35957
11.01814127,-23.35173,-55.80363,-18.13253,-0.4299023,-0.2652605,0.6829932,8.464369,4.034538,-54.35957
11.028051853,-26.32476,-62.91038,-20.09614,-0.3917423,-0.2803818,0.6671745,8.464369,4.034538,-54.35957
11.03796339,-27.12995,-70.3083700000003,-21.56885,-0.3480575,-0.2929206,0.6686077,8.464369,4.034538,-54.35957
11.050351143,-27.43964,-76.9491000000001,-21.50749,-0.3388146,-0.2733166,0.6868988,6.578531,5.158174,-54.3533
11.060261726,-30.41267,-82.5995400000002,-21.63021,-0.364172,-0.2467701,0.7247624,6.578531,5.158174,-54.3533
11.070172787,-36.11097,-87.7839700000002,-23.22565,-0.3500325,-0.246853,0.7683256,6.578531,5.158174,-54.3533
11.080083847,-42.80028,-92.8518799999999,-26.84606,-0.3242772,-0.2712412,0.7717661,6.578531,5.158174,-54.3533
11.089994431,-47.01207,-98.9100900000001,-32.49145,-0.2786581,-0.3203521,0.728283,6.578531,5.158174,-54.3533
11.099905014,-46.5785,-105.8421,-39.18,-0.2135593,-0.3919376,0.6983945,2.527307,4.781424,-54.78078
11.109815598,-42.61446,-112.4245,-44.33449,-0.1929477,-0.3974949,0.6991273,2.527307,4.781424,-54.78078
11.119726181,-38.03105,-117.9002,-47.27991,-0.1640221,-0.3519761,0.7121272,2.527307,4.781424,-54.78078
11.129637241,-35.6774,-119.1235,-48.81398,-0.1525389,-0.2958626,0.7532083,2.527307,4.781424,-54.78078
11.139547825,-39.33175,-119.939,-50.34805,-0.1700318,-0.265782,0.7991855,2.527307,4.781424,-54.78078
11.149458408,-47.8792,-123.0846,-50.1026,-0.1354738,-0.2837178,0.8102702,-1.976731,5.90668,-54.31117
11.159368992,-57.3557199999999,-126.871,-50.5935,-0.06442014,-0.3420136,0.8044232,-1.976731,5.90668,-54.31117
