Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-0.4019172,-0.411269,-0.2330568,0.9873674,-0.1801913,0.1304682,-54.73282,-4.057291,-24.09607
0.022492409,0.1518819,-0.6486785,-1.086647,0.9962883,-0.1883418,0.1232761,-54.32832,-5.572633,-23.69818
0.027490616,0.6441478,-0.5299737,-1.086647,0.9996801,-0.1872941,0.1242271,-54.32832,-5.572633,-23.69818
0.03748703,1.197947,-0.411269,-1.330531,0.9953499,-0.1903261,0.1208854,-54.32832,-5.572633,-23.69818
0.047483444,1.567146,-0.4706214,-1.757326,0.9973178,-0.1912196,0.1251893,-54.32832,-5.572633,-23.69818
0.057480335,1.690213,-0.411269,-1.757326,0.9967678,-0.1877982,0.1285395,-54.32832,-5.572633,-23.69818
0.067476749,1.997879,-0.2332119,-1.574414,0.9958125,-0.188767,0.1309343,-54.32832,-5.572633,-23.69818
0.07747364,1.628679,-0.5299737,-1.391501,0.9913287,-0.1834926,0.132855,-55.07244,-5.588609,-24.92924
0.087469578,1.07488,-0.2925643,-1.391501,0.9937007,-0.1800354,0.1338071,-55.07244,-5.588609,-24.92924
0.097465992,0.4595481,0.06354995,-1.391501,0.9919149,-0.1888703,0.1280696,-55.07244,-5.588609,-24.92924
0.107462883,-0.2788507,-0.1145072,-1.452472,0.9948094,-0.1873772,0.1256713,-55.07244,-5.588609,-24.92924
0.117459297,-0.7095833,-0.1145072,-1.147618,0.9924561,-0.1917928,0.1261551,-55.07244,-5.588609,-24.92924
0.127456188,-0.7095833,-0.2332119,-1.208589,0.9963782,-0.1932433,0.1184914,-55.07583,-5.582071,-24.15524
0.137452126,-0.4019172,-0.05515479,-1.086647,0.9939259,-0.1922716,0.1237598,-55.07583,-5.582071,-24.15524
0.14744854,-0.094251,0.004197581,-1.086647,0.9933568,-0.187905,0.1242382,-55.07583,-5.582071,-24.15524
0.157445431,0.1518819,0.06354995,-0.9647059,0.9943753,-0.1903541,0.1199299,-55.07583,-5.582071,-24.15524
0.167441845,0.705681,-0.1145072,-0.4769399,1.002106,-0.1867691,0.1232656,-54.75539,-5.960629,-24.21539
0.177438736,1.321013,-0.05515479,-0.3549984,0.9913324,-0.1841496,0.1141907,-54.75539,-5.960629,-24.21539
0.187434673,1.07488,0.06354995,-0.6598521,0.9930347,-0.1709912,0.1146629,-54.75539,-5.960629,-24.21539
0.197431088,0.3364816,0.1822547,-0.5379106,0.9904346,-0.1623043,0.1137081,-54.75539,-5.960629,-24.21539
0.207427979,-1.571049,0.06354995,-0.5988814,0.9901835,-0.148567,0.1285408,-54.75539,-5.960629,-24.21539
0.217424393,-5.078443,0.1822547,-0.9647059,0.9925256,-0.1693723,0.1333279,-55.1161,-6.720883,-23.82712
0.227421284,-6.616774,0.5977212,-0.5988814,1.006557,-0.1900081,0.1313944,-55.1161,-6.720883,-23.82712
0.237417221,-6.309107,0.7757784,-0.2330568,1.000265,-0.1926937,0.1170488,-55.1161,-6.720883,-23.82712
0.247413635,-4.64771,0.5383689,-0.4769399,0.981305,-0.1950033,0.1180396,-55.1161,-6.720883,-23.82712
0.257410526,-2.92478,0.2416071,-0.9647059,0.9903346,-0.2090093,0.1079774,-55.1161,-6.720883,-23.82712
0.267406941,-0.6480501,-0.1738595,-1.574414,0.9894521,-0.2138731,0.1094159,-55.12985,-5.963985,-24.28267
0.277403832,1.44408,-0.2925643,-1.696355,0.9928455,-0.2127727,0.1161098,-55.12985,-5.963985,-24.28267
0.287400246,2.428612,-0.1738595,-1.696355,0.992142,-0.2010451,0.1247223,-55.12985,-5.963985,-24.28267
0.297396183,1.874812,-0.1738595,-1.696355,0.9914829,-0.1917813,0.1295069,-55.12985,-5.963985,-24.28267
0.307393074,0.5826145,0.1822547,-1.513443,0.9786913,-0.1852002,0.1328775,-55.12985,-5.963985,-24.28267
0.317389488,-0.5865169,0.06354995,-1.452472,0.9845161,-0.1841834,0.1252099,-54.75511,-5.961173,-24.27989
0.327386379,-1.940248,-0.05515479,-1.025677,0.9874588,-0.1850401,0.1314264,-54.75511,-5.961173,-24.27989
0.337382794,-3.170913,0.004197581,-0.4159691,0.9865825,-0.1904817,0.122815,-54.75511,-5.961173,-24.27989
0.347378731,-3.786245,-0.1145072,0.1937385,0.9997883,-0.1931628,0.1199212,-54.75511,-5.961173,-24.27989
0.357375622,-4.155444,-0.2925643,0.6815046,1.002667,-0.1906236,0.1256585,-54.75511,-5.961173,-24.27989
0.367372036,-3.109379,-0.2925643,0.7424754,0.9964807,-0.1985165,0.1261498,-55.14558,-5.203274,-24.28673
0.377368927,-1.324916,-0.05515479,0.07179698,0.9962141,-0.2101361,0.1314176,-55.14558,-5.203274,-24.28673
0.387365341,0.3364816,0.3009594,-0.4159691,0.9907019,-0.2019533,0.1347752,-55.14558,-5.203274,-24.28673
0.397361279,1.628679,0.716426,-0.8427644,0.9889235,-0.2113222,0.1237734,-55.14558,-5.203274,-24.28673
0.40735817,2.736278,0.5977212,-0.9037352,0.9903385,-0.2088865,0.1213775,-55.14558,-5.203274,-24.28673
0.417354584,3.659276,0.1822547,-0.9647059,0.9920523,-0.1961392,0.1299856,-54.74894,-6.33826,-23.89087
0.427351475,2.859344,0.5383689,-0.4769399,0.9876185,-0.1675123,0.1347717,-54.74894,-6.33826,-23.89087
0.437347889,-0.03271778,0.716426,-0.2330568,0.9863342,-0.1510113,0.1352482,-54.74894,-6.33826,-23.89087
0.44734478,-3.293979,0.7757784,0.07179698,0.985498,-0.1582819,0.1390802,-54.74894,-6.33826,-23.89087
0.457340717,-4.709243,0.8351307,0.1327677,0.9928554,-0.1868202,0.137639,-54.74894,-6.33826,-23.89087
0.467337608,-4.155444,0.8944831,0.1937385,0.9896714,-0.1991019,0.1299905,-54.76439,-5.578093,-23.95942
0.477334023,-3.232446,1.07254,0.2547093,0.9897965,-0.2059859,0.1208991,-54.76439,-5.578093,-23.95942
0.487330914,-2.432514,1.250597,0.4376215,0.9886172,-0.1954544,0.1060626,-54.76439,-5.578093,-23.95942
0.497327328,-0.2788507,1.131893,0.07179698,0.9883571,-0.2076432,0.1022376,-54.76439,-5.578093,-23.95942
0.507323742,1.936346,0.716426,-0.5379106,0.9916137,-0.1992565,0.1089298,-54.76439,-5.578093,-23.95942
0.517320156,2.613211,0.4196641,-0.6598521,0.9921533,-0.1758154,0.1204086,-54.38626,-5.581819,-24.73065
0.52731657,0.8287475,0.5977212,-0.8427644,0.9909724,-0.1645655,0.1309365,-54.38626,-5.581819,-24.73065
0.537313461,-1.140316,0.5977212,-0.9647059,0.9900405,-0.1671189,0.1194529,-54.38626,-5.581819,-24.73065
0.547309876,-1.694115,0.3603118,-1.452472,0.9935009,-0.1957343,0.1180185,-54.38626,-5.581819,-24.73065
0.557306767,-0.2173175,-0.1145072,-1.818297,0.9933306,-0.2128245,0.1094089,-54.38626,-5.581819,-24.73065
0.567303181,2.182479,-0.5299737,-1.513443,0.9968416,-0.2180742,0.1122755,-55.13126,-5.961261,-23.96017
0.577299118,3.905409,-0.3519166,-1.086647,0.9936206,-0.2020184,0.12137,-55.13126,-5.961261,-23.96017
