Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
17.490301132,-2.986313,0.004197581,-0.598881400000002,0.8730319,-0.1813191,0.4661496,-60.14897,4.38604,-10.63409
17.5002985,-2.617113,0.06354995,-0.3549984,0.8802472,-0.1763171,0.4661357,-60.14897,4.38604,-10.63409
17.510295868,-1.817181,-0.1738595,0.01082622,0.8798164,-0.179193,0.4714016,-60.14897,4.38604,-10.63409
17.520293713,-1.078783,0.06354995,-0.2330568,0.8776104,-0.1656961,0.4642233,-60.15684,4.766396,-10.63612
17.530291081,-1.201849,0.06354995,-0.3549984,0.8736383,-0.1619572,0.456572,-60.15684,4.766396,-10.63612
17.540288448,-1.755648,0.2416071,-0.598881400000002,0.874712,-0.1673076,0.4537001,-60.15684,4.766396,-10.63612
17.550285816,-1.940248,0.004197581,-0.3549984,0.8876317,-0.1806763,0.4517667,-60.15684,4.766396,-10.63612
17.560283184,-1.571049,0.06354995,-0.2940276,0.8945816,-0.1872588,0.4608492,-60.15684,4.766396,-10.63612
17.570280552,-2.001781,-0.05515479,0.1327677,0.8955536,-0.1873098,0.4531903,-59.40904,4.77529,-10.24355
17.580278397,-1.817181,-0.1738595,0.31568,0.8916132,-0.1848921,0.4603752,-59.40904,4.77529,-10.24355
17.590275765,-1.509515,-0.1145072,0.4985923,0.8898203,-0.1931754,0.4618162,-59.40904,4.77529,-10.24355
17.600273132,-0.6480501,-0.411269,0.620533899999998,0.8906394,-0.1848982,0.4618126,-59.40904,4.77529,-10.24355
17.6102705,-0.2788507,-0.5299737,0.620533899999998,0.8797852,-0.1778543,0.4584797,-59.40904,4.77529,-10.24355
17.620267868,-0.0942510000000003,-0.886087999999999,0.7424754,0.8800719,-0.1671491,0.4594336,-60.47698,5.144408,-10.64046
17.630264759,0.02881546,-0.826735599999998,0.681504599999997,0.8820018,-0.1661479,0.4584728,-60.47698,5.144408,-10.64046
17.640263081,-0.0942510000000003,-0.5299737,0.803446099999999,0.8772131,-0.1706116,0.4589609,-60.47698,5.144408,-10.64046
17.650260448,-0.03271778,-0.4706214,0.620533899999998,0.8792163,-0.1734833,0.4594367,-60.47698,5.144408,-10.64046
17.660257816,0.0903486900000002,-0.2925643,0.681504599999997,0.8791519,-0.1701005,0.4575216,-60.47698,5.144408,-10.64046
17.670254707,0.4595481,-0.1738595,0.4376215,0.8777544,-0.1735297,0.457525,-60.15853,4.769665,-10.24911
17.680252075,0.5826145,-0.3519166,-0.05014454,0.8757161,-0.1686667,0.4623131,-60.15853,4.769665,-10.24911
17.690249443,-0.03271778,-0.3519166,-0.2330568,0.8717808,-0.1668621,0.4556194,-60.15853,4.769665,-10.24911
17.700247765,-0.2173175,-0.2925643,-0.4159691,0.8794075,-0.1836974,0.4580033,-60.15853,4.769665,-10.24911
17.710244656,0.1518819,-0.2925643,-0.4769399,0.8755277,-0.184781,0.4541818,-60.15853,4.769665,-10.24911
17.720242023,0.4595481,-0.2332119,-0.1720861,0.8828359,-0.1845884,0.4594333,-59.78548,4.775745,-9.859331
17.730239391,0.4595481,0.1229023,-0.1111153,0.8870643,-0.176257,0.4579881,-59.78548,4.775745,-9.859331
17.740236759,-0.1557842,0.5383689,-0.05014454,0.8886724,-0.183974,0.4608587,-59.78548,4.775745,-9.859331
17.750234604,-0.2788507,0.657073599999999,0.4376215,0.8911873,-0.1883855,0.4512839,-59.78548,4.775745,-9.859331
17.760231972,-0.2173175,0.597721199999998,0.3766508,0.8833673,-0.1870471,0.4551258,-59.78548,4.775745,-9.859331
17.77022934,-0.5249836,0.597721199999998,0.2547093,0.879913,-0.1846549,0.4584813,-59.41521,5.152376,-10.63258
17.780226707,-0.955716300000001,0.4196641,0.31568,0.8818597,-0.1846691,0.4527349,-59.41521,5.152376,-10.63258
17.790224075,-0.832649800000001,0.3603118,0.4376215,0.8715561,-0.181029,0.4479662,-59.41521,5.152376,-10.63258
17.800221443,-0.832649800000001,0.3009594,0.5595631,0.8720255,-0.1800303,0.4498795,-59.41521,5.152376,-10.63258
17.810219288,-1.201849,0.1822547,0.925387699999998,0.8743614,-0.1746169,0.4522669,-59.41521,5.152376,-10.63258
17.820216656,-1.817181,0.2416071,1.169271,0.880298,-0.1793546,0.4527363,-59.78548,4.775745,-9.859331
17.830214024,-1.878715,0.4790165,1.230241,0.8855749,-0.1748505,0.4555974,-59.78548,4.775745,-9.859331
17.840211391,-2.309447,0.657073599999999,1.047329,0.878828,-0.1788845,0.4541745,-59.78548,4.775745,-9.859331
17.850208759,-1.509515,0.775778400000001,0.5595631,0.8788735,-0.1813177,0.4536965,-59.78548,4.775745,-9.859331
17.860206127,-1.201849,0.953835399999999,0.1327677,0.8777457,-0.1730307,0.4589606,-59.78548,4.775745,-9.859331
17.870203972,-1.755648,0.953835399999999,-0.05014454,0.8762577,-0.1715804,0.4613557,-60.1647,5.146751,-10.63814
17.88020134,-1.755648,1.07254,-0.2330568,0.8808057,-0.1802463,0.4603929,-60.1647,5.146751,-10.63814
17.890198708,-1.324916,1.07254,-0.4159691,0.8784429,-0.1841849,0.4599194,-60.1647,5.146751,-10.63814
