Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
98.1205163,-0.851168999999999,-0.5498326,-1.00814,0.8428168,-0.4162417,0.4021336,-57.59741,3.936719,-20.99807
98.130514622,-0.4819697,-0.4904802,-0.886198199999999,0.8368682,-0.411106,0.3920926,-57.59741,3.936719,-20.99807
98.140512466,-0.29737,-0.3717754,-0.825227400000003,0.8378439,-0.4110429,0.3968766,-58.35645,4.314719,-20.61866
98.150510311,-0.29737,-0.3717754,-0.764256699999997,0.8365013,-0.4173823,0.3973592,-58.35645,4.314719,-20.61866
98.16050911,-0.1127703,-0.3717754,-0.764256699999997,0.8355079,-0.4164607,0.3940106,-58.35645,4.314719,-20.61866
98.170506954,0.3179623,-0.3717754,-0.825227400000003,0.8374395,-0.4154024,0.3992713,-58.35645,4.314719,-20.61866
98.180505276,0.3794956,-0.1937183,-1.00814,0.837909,-0.4144037,0.4011845,-58.35645,4.314719,-20.61866
98.19050312,0.1948959,-0.134366,-1.00814,0.8388281,-0.4114786,0.400225,-57.98001,4.314262,-21.00288
98.200500965,0.1333626,0.2217482,-1.130081,0.8412636,-0.4114349,0.3997422,-57.98001,4.314262,-21.00288
98.21049881,-0.29737,0.4591577,-1.130081,0.8363004,-0.4066999,0.3968782,-57.98001,4.314262,-21.00288
98.220497131,-0.29737,0.696567199999997,-0.703285900000001,0.8428345,-0.4172308,0.4002195,-57.98001,4.314262,-21.00288
98.230494976,-0.29737,0.993329000000003,-0.581344399999999,0.8422562,-0.4123828,0.4002193,-57.98001,4.314262,-21.00288
98.240492821,-0.2358367,0.874624299999998,-0.4594028,0.8383672,-0.4129851,0.3959191,-57.96259,3.550282,-21.38583
98.250491142,-0.1127703,0.933976699999999,-0.154549,0.8364008,-0.4120433,0.3968794,-57.96259,3.550282,-21.38583
98.260488987,0.2564291,0.933976699999999,0.2112755,0.8310418,-0.4121755,0.3940173,-57.96259,3.550282,-21.38583
98.270486832,0.687161699999999,0.993329000000003,0.0893339999999997,0.8354089,-0.4110734,0.3987951,-57.96259,3.550282,-21.38583
98.280484676,0.9948279,0.993329000000003,-0.09357828,0.8305821,-0.4136424,0.3940185,-57.96259,3.550282,-21.38583
98.290482998,0.9948279,0.933976699999999,-0.3984321,0.8386802,-0.4037679,0.3935232,-57.97046,3.930638,-21.38785
98.300481319,0.625628499999997,0.933976699999999,-0.3374613,0.8362001,-0.4013565,0.396877,-57.97046,3.930638,-21.38785
98.310479641,-0.2358367,0.755919500000001,-0.3984321,0.8402322,-0.4086142,0.3916075,-57.97046,3.930638,-21.38785
98.320477486,-0.2358367,0.51851,-0.3374613,0.8365902,-0.4223101,0.389703,-57.97046,3.930638,-21.38785
98.33047533,0.1948959,0.51851,-0.09357828,0.8453048,-0.4191828,0.3939942,-57.97215,3.933907,-21.00085
98.340473652,0.687161699999999,0.3998053,-0.09357828,0.8414147,-0.4198158,0.386344,-57.97215,3.933907,-21.00085
98.350471497,1.302494,0.577862400000001,0.02836324,0.8413782,-0.4178771,0.3858649,-57.97215,3.933907,-21.00085
98.360469341,1.42556,0.51851,0.1503047,0.8407105,-0.4081101,0.3925636,-57.97215,3.933907,-21.00085
98.370467186,1.487094,0.637214800000002,0.3332171,0.8437139,-0.412468,0.3877738,-57.97215,3.933907,-21.00085
98.380465508,1.302494,0.933976699999999,0.577100099999998,0.8441281,-0.408568,0.3882506,-57.96429,3.553551,-20.99883
98.390463352,0.748694999999997,0.993329000000003,0.638070900000001,0.8455374,-0.4055411,0.3973404,-57.96429,3.553551,-20.99883
98.400461197,0.625628499999997,0.874624299999998,0.881953899999999,0.8407285,-0.4090904,0.3916067,-57.96429,3.553551,-20.99883
98.410459519,0.3794956,0.696567199999997,1.186808,0.8489386,-0.4049705,0.3992485,-57.96429,3.553551,-20.99883
98.420457363,0.4410288,0.874624299999998,1.125837,0.8493249,-0.3996306,0.3978108,-57.96429,3.553551,-20.99883
98.430455208,0.2564291,0.874624299999998,1.247778,0.8419257,-0.3949569,0.3935153,-57.97046,3.930638,-21.38785
98.440453053,0.1333626,0.696567199999997,1.125837,0.8415294,-0.3998373,0.3920815,-57.97046,3.930638,-21.38785
98.450451851,0.810228199999999,0.340453,1.003895,0.8470331,-0.4075212,0.3901596,-57.97046,3.930638,-21.38785
98.460449696,1.487094,0.1030435,0.6990416,0.8426681,-0.4085573,0.3925604,-57.97046,3.930638,-21.38785
98.470448017,1.917826,0.1030435,0.577100099999998,0.8460128,-0.4051248,0.388725,-57.97046,3.930638,-21.38785
98.480445862,2.225493,-0.01566124,0.3941878,0.8416485,-0.406139,0.3935187,-58.3452,3.927826,-21.39063
98.490443707,2.410092,0.04369113,0.3332171,0.839147,-0.4028526,0.3863435,-58.3452,3.927826,-21.39063
98.500442028,2.348559,-0.0750136099999998,0.3332171,0.8383012,-0.4096506,0.3887396,-58.3452,3.927826,-21.39063
98.510439873,1.917826,-0.3124231,0.4551586,0.8410408,-0.3998952,0.386818,-58.3452,3.927826,-21.39063
98.520437718,1.733227,-0.2530707,0.2722463,0.8366691,-0.4003666,0.397833,-58.3452,3.927826,-21.39063
98.530435562,1.487094,-0.4311278,0.1503047,0.8365968,-0.3964629,0.3997464,-57.22097,3.936263,-21.38229
98.540433884,1.240961,-0.4311278,0.0893339999999997,0.8362088,-0.4018555,0.3954414,-57.22097,3.936263,-21.38229
98.550431728,1.548627,-0.4904802,-0.03260752,0.8373033,-0.408094,0.4016625,-57.22097,3.936263,-21.38229
98.560429573,1.487094,-0.3717754,-0.154549,0.8386919,-0.4041747,0.4021377,-57.22097,3.936263,-21.38229
98.570427895,1.364027,-0.4904802,-0.03260752,0.8362284,-0.4027831,0.4002273,-57.22097,3.936263,-21.38229
98.580425739,1.364027,-0.2530707,-0.3374613,0.8338304,-0.4047435,0.403582,-57.20327,3.171738,-21.82974
98.590424538,1.117894,-0.134366,-0.2764906,0.8308621,-0.4023724,0.4035866,-57.20327,3.171738,-21.82974
98.600422382,0.8717614,0.1030435,-0.2155198,0.8366982,-0.4017712,0.4035763,-57.20327,3.171738,-21.82974
98.610420227,1.056361,0.1030435,-0.03260752,0.8350233,-0.4163913,0.4026258,-57.20327,3.171738,-21.82974
98.620418072,1.79476,0.2217482,-0.154549,0.840443,-0.419756,0.39496,-57.20327,3.171738,-21.82974
98.630416393,2.348559,0.3998053,-0.154549,0.8354271,-0.412045,0.3987954,-57.96259,3.550282,-21.38583
98.640414238,2.287026,0.2217482,-0.03260752,0.8368237,-0.4086421,0.3959206,-57.96259,3.550282,-21.38583
98.650412083,2.102426,0.2217482,0.2112755,0.8411996,-0.408039,0.3992628,-57.96259,3.550282,-21.38583
98.660410404,1.917826,0.4591577,0.4551586,0.8417071,-0.4089307,0.4069194,-57.96259,3.550282,-21.38583
98.670408249,1.671693,0.637214800000002,0.3332171,0.8422576,-0.4123389,0.405005,-57.96259,3.550282,-21.38583
98.680406094,1.302494,0.815271900000002,0.3941878,0.8413479,-0.4157366,0.4074004,-57.62717,5.454874,-21.39318
98.690403938,1.79476,0.696567199999997,0.3332171,0.835482,-0.4149551,0.3992746,-57.62717,5.454874,-21.39318
98.70040226,1.364027,0.577862400000001,0.3941878,0.8364279,-0.4135093,0.3959226,-57.62717,5.454874,-21.39318
98.710400104,1.117894,1.171386,0.2722463,0.839811,-0.4119627,0.3983091,-57.62717,5.454874,-21.39318
98.720397949,1.302494,1.052681,0.577100099999998,0.8412822,-0.4123933,0.4011781,-57.62717,5.454874,-21.39318
98.730396748,1.733227,1.290091,0.638070900000001,0.8335707,-0.4169191,0.4011927,-57.60527,4.317075,-21.0001
98.740394592,1.733227,1.230739,0.6990416,0.8333705,-0.4062148,0.4031046,-57.60527,4.317075,-21.0001
98.750392914,1.548627,1.171386,0.881953899999999,0.8354374,-0.4124956,0.402624,-57.60527,4.317075,-21.0001
98.760390758,1.364027,1.408796,1.064866,0.8310453,-0.4120657,0.4059817,-57.60527,4.317075,-21.0001
98.770388603,1.364027,1.408796,1.36972,0.8333902,-0.4071424,0.4078906,-57.60527,4.317075,-21.0001
98.780386448,0.9948279,1.171386,1.36972,0.8338596,-0.4061437,0.4098038,-57.22266,3.939531,-20.99529
