Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
152.72267437,2.203024,-1.045766,0.5542966,0.9784276,0.09264388,0.1048015,-51.70395,-25.24171,1.664821
152.732562542,1.954351,-0.869238299999998,0.615388000000002,0.976959,0.08973947,0.1057763,-51.70395,-25.24171,1.664821
152.742450237,1.954351,-0.5161834,0.7986621,0.9827778,0.09175485,0.1110629,-51.70395,-25.24171,1.664821
152.752338409,2.389529,-0.221971,0.7375708,0.9813438,0.09410616,0.1052783,-51.70395,-25.24171,1.664821
152.762226105,2.451697,-0.2808135,0.5542966,0.9842906,0.1003516,0.09995996,-52.08023,-24.85813,1.650937
152.772114277,1.954351,-0.4573409,0.4932052,0.9856998,0.0891993,0.1033844,-52.08023,-24.85813,1.650937
152.782002926,2.203024,-0.04544353,0.2488396,0.9881585,0.09397047,0.09711108,-52.08023,-24.85813,1.650937
152.791890621,2.140856,0.1310839,-0.0566174,0.9881161,0.08279227,0.09861028,-52.08023,-24.85813,1.650937
152.801778793,2.01652,0.1899264,0.309931,0.9851779,0.0749997,0.0981654,-52.08023,-24.85813,1.650937
152.811666489,2.576033,0.4841388,0.1266568,0.9798348,0.07652862,0.101999,-52.45719,-24.8526,1.642357
152.821554661,3.322051,0.1899264,0.2488396,0.9750115,0.08331231,0.09907367,-52.45719,-24.8526,1.642357
152.831442356,3.508555,-0.221971,0.5542966,0.9745294,0.08727358,0.1033814,-52.45719,-24.8526,1.642357
152.841330528,3.943733,-0.575025900000002,0.676479300000001,0.9745548,0.09656871,0.10622,-52.45719,-24.8526,1.642357
152.8512187,3.446387,-0.4573409,0.9819363,0.9687403,0.09950189,0.1061985,-52.45719,-24.8526,1.642357
152.861106396,3.135546,-0.633868300000002,1.043028,0.964889,0.1042855,0.09991802,-52.08091,-25.23619,1.656241
152.870994568,2.389529,-1.104608,1.16521,0.9644076,0.1047591,0.09895324,-52.08091,-25.23619,1.656241
152.880882263,1.892183,-1.634191,1.104119,0.9692428,0.101384,0.1018613,-52.08091,-25.23619,1.656241
152.893242359,1.581342,-1.457663,0.5542966,0.9731141,0.09299036,0.09469432,-52.08091,-25.23619,1.656241
152.903130054,1.581342,-1.457663,0.3710223,0.984749,0.09255949,0.09999986,-52.08091,-25.23619,1.656241
152.913018227,1.954351,-1.163451,0.1877482,0.9900575,0.08477938,0.101488,-51.71173,-25.23336,2.118791
152.922905922,2.451697,-0.986923300000003,0.2488396,0.9958933,0.08668689,0.09956128,-51.71173,-25.23336,2.118791
152.932794094,2.638201,-0.633868300000002,0.3710223,0.9944201,0.08480671,0.1038974,-51.71173,-25.23336,2.118791
152.942682266,2.762537,-0.692710799999998,0.859753500000002,0.9876296,0.0837959,0.1005283,-51.71173,-25.23336,2.118791
152.952569962,3.259883,-0.339656,1.226302,0.9827842,0.08922662,0.1048237,-51.71173,-25.23336,2.118791
152.962458611,2.824706,-0.5161834,1.531759,0.9798675,0.08527927,0.1009929,-52.46497,-24.84425,2.096327
152.972346783,3.322051,-0.2808135,1.837216,0.9783925,0.08689402,0.1110824,-52.46497,-24.84425,2.096327
152.982234478,4.565414,-0.221971,1.837216,0.9716326,0.0866845,0.09616726,-52.46497,-24.84425,2.096327
152.99212265,4.938424,-0.633868300000002,1.715033,0.9619555,0.09347779,0.09323641,-52.46497,-24.84425,2.096327
153.002010345,5.124928,-1.163451,1.898307,0.9581075,0.1022217,0.09126417,-52.46497,-24.84425,2.096327
153.011898518,4.627583,-1.86956,1.959399,0.9634413,0.1097096,0.1042173,-51.71772,-24.84814,2.502604
153.021786213,3.819396,-2.399143,2.02049,0.9697675,0.1170588,0.1080347,-51.71772,-24.84814,2.502604
