Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
58.84,-2.073334,0.881260199999998,-0.705789299999999,0.9931469,-0.1499514,-0.06043085,-35.08421,19.37482,20.50944
58.85,-2.571142,1.411419,-0.9500259,0.9873931,-0.1582322,-0.06142859,-35.08736,19.73116,20.1245
58.86,-2.13556,1.352512,-0.888966700000001,0.9771656,-0.1540268,-0.06916671,-35.08736,19.73116,20.1245
58.87,-1.077719,1.175793,-0.9500259,0.9728929,-0.1647158,-0.0701658,-35.08736,19.73116,20.1245
58.88,-0.766589199999999,1.293606,-0.705789299999999,0.9762884,-0.1641965,-0.06919084,-35.08736,19.73116,20.1245
58.89,-0.3932334,0.940166700000002,-0.644730100000001,0.9757818,-0.1613188,-0.0715987,-35.08782,19.381,20.88854
58.9,0.291252,0.5278211,-0.644730100000001,0.9772409,-0.1584959,-0.08172239,-35.08782,19.381,20.88854
58.91,1.535771,-0.1790571,-0.583670900000002,0.980068,-0.1497364,-0.07880098,-35.08782,19.381,20.88854
58.92,1.971353,-1.003748,-0.888966700000001,0.9842906,-0.1346615,-0.07441474,-35.08782,19.381,20.88854
58.93,1.722449,-1.357187,-0.705789299999999,0.9915303,-0.1320886,-0.06377446,-35.08782,19.381,20.88854
58.94,1.349093,-1.003748,-0.4004934,0.9987367,-0.1270611,-0.0492686,-35.44377,19.01468,20.51179
58.95,-0.01987772,-0.944841800000002,-0.2173159,0.9977208,-0.1212968,-0.05311922,-35.44377,19.01468,20.51179
58.96,-0.953267000000001,-0.591402700000002,-0.2783751,0.9913602,-0.1165201,-0.054573,-35.44377,19.01468,20.51179
58.97,-1.451075,-1.062655,-0.0951975900000001,0.9865316,-0.117134,-0.0647203,-35.44377,19.01468,20.51179
58.98,-2.073334,-0.944841800000002,0.1490391,0.9841629,-0.1248605,-0.06088263,-35.44377,19.01468,20.51179
58.99,-2.384464,-0.827028800000001,0.6375124,0.9867076,-0.1378809,-0.05800877,-34.71116,19.00993,20.51875
59,-2.073334,-0.827028800000001,1.248104,0.9891896,-0.1445973,-0.05367387,-34.71116,19.00993,20.51875
