Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
88.306305885,-10.90218,5.652184,9.787598,0.9421614,0.01673987,0.1531318,-49.39996,-14.15359,-27.14633
88.316217423,-12.8842,4.894909,9.235332,0.9492353,0.003773693,0.1601823,-49.39996,-14.15359,-27.14633
88.326129437,-14.6804,4.02113,8.56033999999998,0.960074,-0.004341832,0.1585875,-49.39996,-14.15359,-27.14633
88.336040974,-15.60948,3.263854,7.88534800000001,0.9720975,-0.02111798,0.1670074,-49.40294,-14.15699,-27.98151
88.345952988,-16.22886,2.623082,6.84217800000002,0.9958043,-0.04021312,0.1676213,-49.40294,-14.15699,-27.98151
88.355865002,-16.04304,1.924059,6.10582399999999,1.016105,-0.05446462,0.1755013,-49.40294,-14.15699,-27.98151
88.365777016,-15.73335,1.05028,5.18538,1.032993,-0.06875352,0.1843729,-49.40294,-14.15699,-27.98151
88.375688553,-14.9901,0.1765001,4.019485,1.05669,-0.0824879,0.1903043,-49.40294,-14.15699,-27.98151
88.38560009,-13.31777,-0.580775400000001,2.853589,1.069421,-0.08817302,0.1853471,-49.73583,-12.66046,-28.43421
88.395512104,-11.27381,-1.279799,1.687694,1.066608,-0.09253692,0.1920663,-49.73583,-12.66046,-28.43421
88.405424118,-9.16791799999997,-1.512807,0.583161800000002,1.060258,-0.08480822,0.2017797,-49.73583,-12.66046,-28.43421
88.415336132,-7.12396199999998,-1.571059,-0.766822200000002,1.034159,-0.07254583,0.1982615,-49.73583,-12.66046,-28.43421
88.425248146,-5.265821,-1.687563,-1.871354,1.007201,-0.06120912,0.2053085,-49.73583,-12.66046,-28.43421
88.435159206,-3.593493,-1.862319,-3.098613,0.9854392,-0.04989988,0.1945415,-49.73907,-12.28403,-27.98565
88.447549343,-1.921166,-1.571059,-4.509959,0.9486311,-0.04164945,0.1910956,-49.73907,-12.28403,-27.98565
88.457461357,-0.744343000000003,-0.8720351,-5.430403,0.9270694,-0.0404801,0.1879417,-49.73907,-12.28403,-27.98565
88.467372894,0.618294100000002,-0.4642715,-6.10539499999999,0.910436,-0.04752207,0.1789256,-49.73907,-12.28403,-27.98565
88.477284908,2.104807,0.001744238,-6.53493500000002,0.9011517,-0.05251341,0.1736965,-49.73907,-12.28403,-27.98565
88.487196446,3.653259,0.409508,-6.90311299999998,0.8972079,-0.05599376,0.1665074,-49.74068,-12.28586,-28.43537
88.49710846,4.830081,0.46776,-7.27128999999997,0.9083129,-0.05495075,0.1539275,-49.74068,-12.28586,-28.43537
88.507020474,5.88302899999997,0.409508,-7.394016,0.9097852,-0.06078317,0.147633,-49.74068,-12.28586,-28.43537
88.516932488,6.37853299999997,0.351256,-7.63946799999999,0.917632,-0.0689657,0.1403035,-49.74068,-12.28586,-28.43537
88.526844025,6.87403699999997,0.1182482,-7.82355600000003,0.9215083,-0.07137421,0.1340096,-49.74068,-12.28586,-28.43537
88.536755562,7.24566599999997,-0.2895156,-7.63946799999999,0.9235296,-0.08058391,0.1296081,-48.61144,-12.65854,-27.99034
88.546667576,7.55535600000002,-0.5225234,-7.88491900000001,0.9254714,-0.08642045,0.1213886,-48.61144,-12.65854,-27.99034
88.55657959,7.18372799999999,-0.8720351,-8.25309699999997,0.9235444,-0.0859421,0.1247707,-48.61144,-12.65854,-27.99034
88.566491604,7.24566599999997,-1.571059,-8.68263700000001,0.9186824,-0.08452553,0.1291465,-48.61144,-12.65854,-27.99034
88.576403618,7.05985200000002,-1.920571,-9.29626599999999,0.9260452,-0.08734574,0.1285795,-48.61144,-12.65854,-27.99034
88.586314678,7.30760400000002,-2.386586,-9.72580600000002,0.9319855,-0.0955271,0.1260692,-49.35672,-13.03502,-28.43501
88.596226692,7.98892199999997,-2.736098,-10.4008,0.9399071,-0.1017195,0.1283555,-49.35672,-13.03502,-28.43501
88.606138706,9.28962000000002,-3.435122,-10.52352,0.9538171,-0.1209463,0.1271385,-49.35672,-13.03502,-28.43501
88.61605072,11.7052,-4.075893,-10.52352,0.9715065,-0.1245831,0.1312721,-49.35672,-13.03502,-28.43501
88.625962734,14.67823,-5.18268,-10.03262,0.9891355,-0.1272758,0.1306109,-49.35672,-13.03502,-28.43501
88.635873794,17.83707,-6.63897900000002,-9.23490300000001,1.004661,-0.1159236,0.1319835,-48.95985,-14.52972,-27.53291
88.645785808,20.99591,-7.92052300000001,-8.31446000000002,1.022728,-0.1098559,0.1366584,-48.95985,-14.52972,-27.53291
88.655697822,23.72119,-9.085562,-7.148564,1.02847,-0.0927745,0.1444016,-48.95985,-14.52972,-27.53291
88.665609837,26.07483,-10.54186,-5.98266900000002,1.027245,-0.06706205,0.1503461,-48.95985,-14.52972,-27.53291
88.675521851,27.43747,-11.41564,-5.000863,1.021096,-0.046794,0.1466967,-48.95985,-14.52972,-27.53291
88.685433865,28.18073,-12.34767,-4.264508,1.015017,-0.01917253,0.1584608,-48.58906,-14.15352,-27.15054
88.695344925,28.42848,-12.87194,-3.773605,1.002116,0.001546254,0.16448,-48.58906,-14.15352,-27.15054
88.705256939,27.93297,-12.93019,-3.650879,0.9911369,0.02227149,0.1671204,-48.58906,-14.15352,-27.15054
