Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
15.754891872,1.733179,0.1182482,-0.766822200000002,-0.04755189,-0.3970313,0.9066545,-3.84859,4.005318,-61.23409
15.764803886,0.804108299999999,0.001744238,-0.766822200000002,-0.04991876,-0.3965336,0.9148424,-3.84859,4.005318,-61.23409
15.7747159,-0.1869005,0.0599961999999999,-1.073637,-0.04441702,-0.4081094,0.9132739,-3.84859,4.005318,-61.23409
15.784627914,-0.2488386,0.0599961999999999,-1.012274,-0.04775047,-0.4110327,0.918567,-3.84859,4.005318,-61.23409
15.794539928,-0.001086392,-0.1147597,-0.582733500000001,-0.04432707,-0.4144041,0.9146716,-4.227697,4.379883,-61.2333
15.804451942,0.2466658,-0.2895156,-0.582733500000001,-0.0467705,-0.4149218,0.9142106,-4.227697,4.379883,-61.2333
15.814363956,0.1847278,0.1182482,-0.582733500000001,-0.03705243,-0.4119043,0.9117401,-4.227697,4.379883,-61.2333
15.82427597,0.618294100000002,0.293004,-0.828185100000001,-0.04297134,-0.4100533,0.9089262,-4.227697,4.379883,-61.2333
15.834187508,0.866046300000002,0.5842639,-0.828185100000001,-0.04206397,-0.4037363,0.90944,-4.227697,4.379883,-61.2333
15.844099522,0.2466658,0.1182482,-0.828185100000001,-0.04348828,-0.4027569,0.9147414,-3.47594,4.003518,-61.68575
15.854011536,0.1227897,0.001744238,-1.012274,-0.05029274,-0.4057482,0.9152645,-3.47594,4.003518,-61.68575
15.86392355,0.1847278,0.2347521,-1.257725,-0.04205507,-0.4032439,0.9108837,-3.47594,4.003518,-61.68575
15.873835564,-0.001086392,0.293004,-1.196362,-0.04889783,-0.401377,0.9133602,-3.47594,4.003518,-61.68575
15.883747578,-0.5585288,0.1182482,-1.135,-0.0473373,-0.4071636,0.915708,-3.47594,4.003518,-61.68575
15.893659592,-1.054033,-0.1730116,-1.135,-0.04334934,-0.414392,0.9146626,-3.855047,4.378083,-61.68496
15.903570652,-0.9301572,-0.1730116,-1.135,-0.04137917,-0.4197259,0.9098074,-3.855047,4.378083,-61.68496
15.913482666,-0.806281,-0.05650773,-1.073637,-0.05165778,-0.4183965,0.9103914,-3.855047,4.378083,-61.68496
15.92339468,-0.4346527,-0.2312636,-1.012274,-0.05022725,-0.4174214,0.9079839,-3.855047,4.378083,-61.68496
15.933306694,0.0608516599999998,-0.1147597,-0.950910899999997,-0.05036661,-0.4082256,0.9051655,-3.855047,4.378083,-61.68496
15.943218708,0.1847278,-0.1147597,-1.012274,-0.04886932,-0.4062402,0.9104466,-3.864745,5.127274,-61.68726
15.953130722,0.43248,-0.1147597,-1.012274,-0.04996862,-0.3960717,0.9105245,-3.864745,5.127274,-61.68726
15.963042736,0.1847278,-0.4060195,-0.950910899999997,-0.0542059,-0.4018955,0.9196479,-3.864745,5.127274,-61.68726
15.97295475,-0.3107767,-0.639027300000002,-0.950910899999997,-0.04675803,-0.4163787,0.9137206,-3.864745,5.127274,-61.68726
15.982866764,-0.1869005,-0.930287099999998,-0.582733500000001,-0.04859591,-0.4270736,0.912706,-3.864745,5.127274,-61.68726
15.995256424,0.494418,-1.338051,-0.4600076,-0.05448144,-0.4247173,0.9137365,-4.613262,5.127213,-61.68337
16.005168438,0.927984400000002,-1.338051,-0.5213705,-0.04765385,-0.4182995,0.919478,-4.613262,5.127213,-61.68337
16.015080452,1.237675,-1.279799,-0.582733500000001,-0.04874109,-0.4120272,0.9161687,-4.613262,5.127213,-61.68337
16.024992466,1.113798,-1.105043,-0.828185100000001,-0.0489544,-0.3945771,0.9158068,-4.613262,5.127213,-61.68337
16.03490448,1.05186,-1.046791,-0.889547900000002,-0.04945173,-0.3926364,0.9172648,-4.613262,5.127213,-61.68337
16.044816494,0.494418,-1.105043,-0.889547900000002,-0.05637103,-0.3971508,0.9048147,-4.977822,4.377993,-61.67912
16.054728508,-0.06302445,-1.396303,-1.073637,-0.05970269,-0.4010487,0.9091409,-4.977822,4.377993,-61.67912
16.064640045,0.1847278,-1.163295,-1.196362,-0.05133457,-0.4028668,0.9124125,-4.977822,4.377993,-61.67912
16.074552059,0.3086039,-1.279799,-1.073637,-0.04973666,-0.4076583,0.9195682,-4.977822,4.377993,-61.67912
16.084464073,0.3705419,-1.338051,-0.950910899999997,-0.04376299,-0.4153345,0.9209022,-4.977822,4.377993,-61.67912
16.094376087,0.1227897,-1.396303,-1.012274,-0.04763737,-0.4192665,0.9199516,-3.855047,4.378083,-61.68496
16.104288101,-0.001086392,-1.396303,-1.135,-0.0404638,-0.4124291,0.9122483,-3.855047,4.378083,-61.68496
16.114200115,0.1847278,-1.338051,-1.196362,-0.0389941,-0.4114337,0.9136817,-3.855047,4.378083,-61.68496
16.124112129,0.0608516599999998,-1.338051,-1.012274,-0.03619717,-0.4012242,0.9122834,-3.855047,4.378083,-61.68496
16.134024143,-0.001086392,-1.221547,-1.073637,-0.03958898,-0.3963729,0.9209899,-3.855047,4.378083,-61.68496
16.143935204,-0.1869005,-1.105043,-1.257725,-0.03364871,-0.3991884,0.9247575,-3.859896,4.752679,-61.68611
16.153847218,-0.3107767,-0.988539100000001,-1.196362,-0.03844784,-0.407983,0.9233028,-3.859896,4.752679,-61.68611
16.163759232,-0.4346527,-1.046791,-1.257725,-0.03832584,-0.4157245,0.9261311,-3.859896,4.752679,-61.68611
16.173671246,-0.2488386,-0.813783199999999,-1.441814,-0.03798431,-0.4128682,0.9151033,-3.859896,4.752679,-61.68611
16.18358326,0.2466658,-0.813783199999999,-1.135,-0.03750521,-0.4182331,0.9078609,-3.859896,4.752679,-61.68611
16.193495274,0.5563561,-0.988539100000001,-1.135,-0.0389972,-0.4124109,0.9122348,-4.9792,4.376425,-62.06458
