Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
24.74354744,-0.1249625,-1.920571,1.074065,0.9796779,-0.05845032,0.2425536,-44.3889,-18.17628,-18.55067
24.7534585,-0.682404900000003,-1.571059,0.3990731,0.9723266,-0.05659968,0.2431141,-44.3889,-18.17628,-18.55067
24.763370514,-0.992095199999997,-0.930287099999998,-0.09183015,0.9668703,-0.0591465,0.2325841,-44.3889,-18.17628,-18.55067
24.773282051,-0.992095199999997,-0.1147597,-0.2759189,0.9580458,-0.0617078,0.2273669,-44.3889,-18.17628,-18.55067
24.783193111,-1.054033,0.409508,-0.705459200000001,0.9545597,-0.05885684,0.2245372,-44.3889,-18.17628,-18.55067
24.793104649,-2.045042,0.409508,-1.012274,0.9581113,-0.07338105,0.2200862,-45.12611,-18.92369,-18.09476
24.803015709,-2.045042,-0.1730116,-1.257725,0.9670432,-0.08930048,0.2141356,-45.12611,-18.92369,-18.09476
24.812927246,-2.540546,-1.454555,-1.380451,0.9719554,-0.08873968,0.2169749,-45.12611,-18.92369,-18.09476
24.825316429,-2.10698,-1.978823,-1.56454,0.9713797,-0.07610802,0.2233064,-45.12611,-18.92369,-18.09476
24.835228443,-0.8682191,-2.386586,-1.319088,0.9669675,-0.06933989,0.2301145,-45.12611,-18.92369,-18.09476
24.845139503,-1.611476,-2.677846,-1.012274,0.9761811,-0.0658488,0.2266915,-44.39375,-17.80168,-18.55183
24.855051041,-4.088998,-2.095326,-0.5213705,0.9855233,-0.06570539,0.2318877,-44.39375,-17.80168,-18.55183
24.864962101,-6.69039600000003,-2.153579,-0.1531931,0.9890527,-0.06804609,0.2395221,-44.39375,-17.80168,-18.55183
24.874873638,-6.93814800000003,-1.629311,-0.5213705,0.9843456,-0.08167082,0.2413954,-44.39375,-17.80168,-18.55183
24.884784698,-5.88520100000001,-1.629311,-0.582733500000001,0.9746187,-0.09054656,0.2361445,-44.39375,-17.80168,-18.55183
24.894696236,-5.203883,-1.920571,-0.705459200000001,0.9771665,-0.104121,0.2302686,-44.76801,-17.80171,-18.54988
24.90460825,-3.841246,-1.454555,-0.766822200000002,0.9820505,-0.1069894,0.2263631,-44.76801,-17.80171,-18.54988
24.91451931,-2.354732,-1.046791,-0.4600076,0.9786708,-0.1060343,0.2316824,-44.76801,-17.80171,-18.54988
24.924430847,-1.549538,-0.813783199999999,-0.3986447,0.96917,-0.09455286,0.2246445,-44.76801,-17.80171,-18.54988
24.934341907,-1.425662,-1.804067,-0.644096300000003,0.9572049,-0.08018539,0.2190889,-44.76801,-17.80171,-18.54988
24.944253445,-1.4876,-2.095326,-0.3986447,0.9563385,-0.08745669,0.2214493,-45.51653,-17.80177,-18.54599
24.954165459,-1.4876,-2.21183,0.1536215,0.9522846,-0.08172598,0.2143226,-45.51653,-17.80177,-18.54599
24.964076519,-2.602484,-2.328334,0.583161800000002,0.9569502,-0.0588545,0.2192334,-45.51653,-17.80177,-18.54599
24.973988056,-2.788299,-2.444838,0.583161800000002,0.96952,-0.0460869,0.2201625,-45.51653,-17.80177,-18.54599
24.983899117,-4.02706,-2.444838,0.3377102,0.9729437,-0.04165323,0.2254421,-45.51653,-17.80177,-18.54599
24.993810654,-4.956131,-2.328334,-0.09183015,0.9734879,-0.05039891,0.2205772,-45.51306,-18.17793,-18.9303
25.003721714,-5.637449,-2.561342,-0.4600076,0.9798908,-0.05761224,0.2166287,-45.51306,-18.17793,-18.9303
25.013633728,-6.50458200000001,-2.736098,-0.705459200000001,0.9850153,-0.0740141,0.2203133,-45.51306,-18.17793,-18.9303
25.023544788,-5.88520100000001,-2.50309,-1.135,0.9841685,-0.0812752,0.2245942,-45.51306,-18.17793,-18.9303
25.033456326,-5.265821,-2.619594,-1.257725,0.9882259,-0.09432112,0.2235094,-45.51306,-18.17793,-18.9303
25.043367386,-4.398688,-2.736098,-1.380451,0.9829295,-0.1065409,0.217235,-44.76801,-17.80171,-18.54988
25.053278923,-2.850237,-2.677846,-1.871354,0.9793058,-0.09546881,0.21062,-44.76801,-17.80171,-18.54988
25.063189983,-2.292794,-2.095326,-1.99408,0.9805934,-0.07261692,0.2198833,-44.76801,-17.80171,-18.54988
25.073101997,-3.221865,-1.862319,-2.116806,0.9633393,-0.06119698,0.2196388,-44.76801,-17.80171,-18.54988
25.083013535,-3.593493,-1.920571,-1.871354,0.9632984,-0.06024268,0.2167646,-44.76801,-17.80171,-18.54988
25.092924595,-4.02706,-2.095326,-1.809992,0.9648441,-0.06603688,0.217672,-44.77125,-17.42528,-18.10132
25.105314255,-4.956131,-1.571059,-1.871354,0.9751094,-0.06542201,0.2180614,-44.77125,-17.42528,-18.10132
25.115225315,-5.080007,-1.163295,-2.055443,0.9856119,-0.07931781,0.2245939,-44.77125,-17.42528,-18.10132
25.125136852,-4.460626,-1.163295,-2.178169,0.9861338,-0.08661166,0.2192587,-44.77125,-17.42528,-18.10132
25.135047913,-3.097989,-0.755531299999998,-2.239532,0.9925002,-0.08994154,0.2162967,-44.76155,-18.17447,-18.09901
25.144959927,-2.045042,-0.1730116,-1.932717,0.9890622,-0.09194361,0.2124739,-44.76155,-18.17447,-18.09901
25.154870987,-1.115971,0.2347521,-1.503177,0.9861837,-0.09243937,0.2172988,-44.76155,-18.17447,-18.09901
25.164782524,-0.5585288,0.46776,-1.012274,0.9851735,-0.08807819,0.2192578,-44.76155,-18.17447,-18.09901
25.174693584,-1.115971,0.700767799999999,-0.5213705,0.9955637,-0.09422749,0.2239223,-44.76155,-18.17447,-18.09901
25.184605122,-1.301785,0.875523700000001,-0.3986447,0.9818306,-0.08856727,0.2264878,-45.51168,-18.17636,-18.54483
25.194516182,-1.673414,0.759019800000003,-0.582733500000001,0.9792296,-0.07794748,0.2237017,-45.51168,-18.17636,-18.54483
