Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
18.595030785,1.25948,1.784769,-0.5379106,0.03514151,0.05171712,0.9777123,2.320835,-26.20108,-53.55079
18.605028153,1.382547,1.666064,-0.4769399,0.03610842,0.05227919,0.983932,2.328697,-26.58144,-53.54877
18.61502552,1.690213,1.903473,-0.659852100000001,0.03763263,0.04887701,0.9805802,2.328697,-26.58144,-53.54877
18.625023365,2.059412,1.903473,-0.903735200000002,0.02876391,0.05403399,0.9791586,2.328697,-26.58144,-53.54877
18.635020733,2.674744,1.725416,-1.086647,0.03126205,0.05064227,0.9748479,2.328697,-26.58144,-53.54877
18.645018101,2.674744,1.903473,-0.903735200000002,0.03405795,0.0575314,0.9781913,2.328697,-26.58144,-53.54877
18.655014992,2.859344,1.725416,-0.903735200000002,0.03404068,0.05853365,0.9815412,2.70933,-26.95517,-53.09245
18.66501236,2.613211,1.725416,-1.086647,0.03642204,0.06151389,0.9834505,2.70933,-26.95517,-53.09245
18.675010681,2.551678,1.784769,-1.025677,0.02915023,0.05937382,0.9777207,2.70933,-26.95517,-53.09245
18.685008049,2.490145,1.844121,-0.720822899999998,0.03387477,0.06722468,0.9757962,2.70933,-26.95517,-53.09245
18.69500494,2.120945,1.725416,-0.7817937,0.03232979,0.07151937,0.9705335,2.70933,-26.95517,-53.09245
18.705002308,1.628679,1.784769,-0.3549984,0.030474,0.06666716,0.9753237,3.086046,-26.95617,-53.54118
18.714999676,1.505613,1.962826,-0.2940276,0.02707351,0.06611842,0.9758084,3.086046,-26.95617,-53.54118
18.72499752,1.44408,2.140883,-0.5379106,0.02620709,0.06021737,0.9700686,3.086046,-26.95617,-53.54118
18.734994888,1.751746,2.200235,-0.598881400000002,0.03060959,0.05934124,0.9710183,3.086046,-26.95617,-53.54118
18.744992256,1.997879,1.844121,-0.4159691,0.03055626,0.0622997,0.9758033,3.086046,-26.95617,-53.54118
18.754989624,1.936346,1.784769,-0.4769399,0.02672255,0.05880044,0.973418,2.711304,-26.95898,-53.54395
18.764987469,1.874812,1.725416,-0.1111153,0.02767796,0.05977365,0.9715018,2.711304,-26.95898,-53.54395
18.774984837,1.813279,1.428654,0.1937385,0.02376987,0.06011659,0.96433,2.711304,-26.95898,-53.54395
18.784982204,2.059412,1.725416,-0.3549984,0.02128956,0.0625236,0.9672051,2.711304,-26.95898,-53.54395
18.794979572,2.428612,1.250597,-0.598881400000002,0.02323967,0.06261477,0.9729445,2.712996,-26.96225,-53.93095
18.80497694,3.16701,1.30995,-0.8427644,0.02661349,0.06464273,0.9748523,2.712996,-26.96225,-53.93095
18.814974785,3.659276,1.547359,-0.7817937,0.02560292,0.06657092,0.9753323,2.712996,-26.96225,-53.93095
18.824972153,4.274609,1.547359,-0.8427644,0.02023617,0.06696838,0.9772558,2.712996,-26.96225,-53.93095
18.834969521,4.766874,1.369302,-1.147618,0.02455516,0.07042021,0.9734188,2.712996,-26.96225,-53.93095
18.844966888,4.213075,1.547359,-1.086647,0.02162408,0.07087018,0.9758166,3.086046,-26.95617,-53.54118
18.854964256,3.597743,1.488007,-0.964705900000002,0.02340885,0.07966993,0.9777255,3.086046,-26.95617,-53.54118
18.864962101,3.105477,1.606712,-0.964705900000002,0.02115593,0.06991098,0.9782106,3.086046,-26.95617,-53.54118
18.874959469,2.736278,1.428654,-1.086647,0.02454645,0.07091913,0.9748544,3.086046,-26.95617,-53.54118
18.884956837,2.920877,1.547359,-0.964705900000002,0.02220285,0.06603535,0.9772526,3.086046,-26.95617,-53.54118
18.894954205,3.53621,1.725416,-1.086647,0.02707505,0.06616671,0.9810727,3.084072,-26.95236,-53.08967
18.904951572,4.090009,1.606712,-1.208589,0.02260854,0.07043878,0.9796436,3.084072,-26.95236,-53.08967
18.914949417,4.397675,1.666064,-1.574414,0.01659664,0.07899237,0.9715161,3.084072,-26.95236,-53.08967
18.924946785,3.966942,1.547359,-1.757326,0.02029189,0.06408454,0.9806066,3.084072,-26.95236,-53.08967
18.934944153,3.720809,1.666064,-0.4769399,0.0208628,0.05977498,0.9863496,3.084072,-26.95236,-53.08967
18.944941521,3.413143,1.606712,-0.05014454,0.02307825,0.07144625,0.9825141,3.091934,-27.33271,-53.08765
18.954938889,3.043944,1.844121,0.1327677,0.02294041,0.07870194,0.9791624,3.091934,-27.33271,-53.08765
18.964936733,2.428612,1.666064,0.31568,0.01659832,0.07904504,0.977259,3.091934,-27.33271,-53.08765
18.974934101,2.305545,1.784769,0.1327677,0.01856528,0.0781208,0.978213,3.091934,-27.33271,-53.08765
18.984931469,2.305545,1.666064,0.3766508,0.02068692,0.06892543,0.977733,3.091934,-27.33271,-53.08765
18.99492836,2.551678,1.784769,0.803446099999999,0.01809488,0.07709137,0.9729497,3.105965,-28.09016,-52.69659
19.004925728,2.613211,2.022178,1.047329,0.01663608,0.07714151,0.9815667,3.105965,-28.09016,-52.69659
19.014924049,2.182479,1.784769,1.169271,0.02049673,0.07917032,0.9825166,3.105965,-28.09016,-52.69659
19.024921417,1.874812,1.903473,1.230241,0.01951171,0.07958416,0.9767752,3.105965,-28.09016,-52.69659
19.034918308,1.136414,1.962826,1.169271,0.01895989,0.08294854,0.9739038,3.105965,-28.09016,-52.69659
19.044915676,0.5826145,1.844121,0.803446099999999,0.01861792,0.07514039,0.9710351,3.107658,-28.09343,-53.08359
19.054913044,0.5826145,1.903473,0.7424754,0.01713007,0.07659514,0.9739087,3.107658,-28.09343,-53.08359
19.064910889,0.2749484,1.606712,0.7424754,0.01368312,0.07844887,0.9715214,3.107658,-28.09343,-53.08359
19.074908257,0.3364816,1.369302,0.7424754,0.01841846,0.08586664,0.9753398,3.107658,-28.09343,-53.08359
19.084905624,-0.0942510000000003,1.07254,0.5595631,0.01303909,0.08664013,0.965299,3.107658,-28.09343,-53.08359
19.094902992,-0.3403839,1.131893,0.4376215,0.01653179,0.08236198,0.9681654,3.474539,-27.71025,-53.08283
19.104900837,0.1518819,1.30995,0.31568,0.0233332,0.08347263,0.9686318,3.474539,-27.71025,-53.08283
19.114898205,0.2134152,1.488007,0.3766508,0.01985157,0.08732647,0.9724655,3.474539,-27.71025,-53.08283
19.124895573,0.3364816,1.369302,0.1937385,0.0101643,0.08422381,0.9729617,3.474539,-27.71025,-53.08283
19.134892941,0.5210813,1.013188,0.3766508,0.01301452,0.0881852,0.97487,3.474539,-27.71025,-53.08283
19.144890308,0.3980148,1.013188,0.4985923,0.007354832,0.1040963,0.9734401,3.091934,-27.33271,-53.08765
19.154888153,-0.6480501,0.716426,0.1327677,0.00169117,0.09423924,0.9705811,3.091934,-27.33271,-53.08765
19.164885521,-0.709583300000001,0.716426,0.31568,0.01258187,0.08525223,0.9739144,3.091934,-27.33271,-53.08765
19.174882889,-1.078783,0.597721199999998,0.5595631,0.007855932,0.07735749,0.9710533,3.091934,-27.33271,-53.08765
19.184880257,-0.955716300000001,0.657073599999999,0.2547093,0.01574834,0.07211541,0.9652979,3.091934,-27.33271,-53.08765
19.194877625,-0.5249836,0.4196641,0.01082622,0.02054923,0.07618552,0.97486,3.105965,-28.09016,-52.69659
19.204875469,-0.709583300000001,0.1822547,-0.05014454,0.01752594,0.08146238,0.9739067,3.105965,-28.09016,-52.69659
19.214872837,-1.447982,-0.05515479,-0.1111153,0.01993383,0.082959,0.972945,3.105965,-28.09016,-52.69659
19.224870205,-1.694115,-0.2332119,-0.1720861,0.0131612,0.08043496,0.9772647,3.105965,-28.09016,-52.69659
19.234867573,-2.063314,-0.2925643,-0.2330568,0.01749885,0.08292844,0.9748635,3.105965,-28.09016,-52.69659
19.244865418,-2.370981,-0.4706214,-0.2330568,0.02050319,0.07860116,0.9734238,3.107658,-28.09343,-53.08359
19.254862785,-2.617113,-0.4706214,-0.1720861,0.0262317,0.0850886,0.9796335,3.107658,-28.09343,-53.08359
19.264860153,-2.92478,-0.5299737,0.0717969800000001,0.02968637,0.08270522,0.9772353,3.107658,-28.09343,-53.08359
19.274857521,-3.232446,-0.708030899999999,0.4376215,0.02738586,0.07531361,0.9710197,3.107658,-28.09343,-53.08359
19.284854889,-2.986313,-0.648678499999998,0.5595631,0.03138365,0.0700648,0.9729283,3.107658,-28.09343,-53.08359
19.294852734,-2.617113,-0.411269,0.986358399999998,0.03661495,0.07699765,0.975789,3.468651,-27.33371,-53.53637
19.304850102,-2.494047,-0.411269,1.047329,0.03915183,0.07173312,0.9791359,3.468651,-27.33371,-53.53637
19.314847469,-2.370981,0.2416071,1.535095,0.04053146,0.07614701,0.9805682,3.468651,-27.33371,-53.53637
19.324844837,-2.432514,0.1822547,1.413154,0.03363138,0.08043241,0.9858434,3.468651,-27.33371,-53.53637
19.334841728,-2.863246,0.3009594,1.291212,0.0331701,0.07891722,0.9805803,3.468651,-27.33371,-53.53637
19.34484005,-3.478579,0.4790165,1.352183,0.02882178,0.07686123,0.9777168,3.474539,-27.71025,-53.08283
19.354837418,-4.093911,0.716426,1.718008,0.02065927,0.07037394,0.9767756,3.474539,-27.71025,-53.08283
19.364834786,-4.64771,0.4790165,1.96189,0.01910629,0.07518952,0.9753413,3.474539,-27.71025,-53.08283
19.374831677,-5.324575,0.775778400000001,1.90092,0.01037583,0.07310396,0.9787071,3.474539,-27.71025,-53.08283
19.384829998,-5.324575,0.953835399999999,1.839949,0.005078702,0.06951,0.9691458,3.476513,-27.71407,-53.53434
19.394827366,-4.893843,0.8351307,1.230241,0.00600028,0.07250965,0.9763221,3.476513,-27.71407,-53.53434
19.404824734,-4.278511,0.953835399999999,0.925387699999998,0.003516879,0.07482011,0.9686686,3.476513,-27.71407,-53.53434
19.414821625,-3.663178,1.013188,0.31568,-0.002327994,0.07471779,0.9701146,3.476513,-27.71407,-53.53434
19.424818993,-3.109379,0.716426,-0.2940276,-0.004295094,0.07563765,0.968682,3.476513,-27.71407,-53.53434
